questions,option_A,option_B,option_C,option_D,correct_answer,option_E,source_file,source_folder,year
"Varón de 65 años con antecedente de hipertensión arterial, acude por cefalea intensa, convulsiones y edema de papila. 
Examen: PA: 190/120 mmHg. ¿Cuál es el medicamento inicial a usar?",Labetalol,Hidralazina,Nitroprusiato,Nitroglicerina,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 32 años asintomática que acude por chequeo. Al examen de mama a la expresión de uno de los pezones sale 
secreción blanco lechoso. ¿Cuál es el manejo más adecuado?",Solicitar prolactina,Mamografía,Ecografía de mamas,Observación,D,Ninguna de las anteriores,Prueba A,Year2025,2025
¿Cuál es el sitio más frecuente de implantación del blastocisto?,Fondo uterino,Segmento inferior del útero,Cérvix uterino,Cuerno uterino,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 43 años, llevado a urgencias porque sufrió hace 30 minutos impacto de timón en el tórax por accidente de 
tránsito. Presenta disnea intensa, dolor torácico izquierdo, taquipnea. Examen: PA:80/40 mmHg, FC: 100X', FR: 36X'; 
cianosis distal, movimiento paradojal de la pared torácica. RX: múltiples fracturas costales izquierdas. ¿Cuál es la 
conducta más adecuada?",Colocación de catéter central,Ventilación no invasiva,Fijación costal quirúrgica,Intubación orotraqueal,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 27 años, acude a consulta por visión doble y caída del párpado derecho. Examen: se evidencia pupila derecha 
dilatada con incapacidad para mover el ojo hacia el lado nasal ¿Cuál es el par craneal comprometido?",VI,I,III,IV,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Mujer de 58 años con antecedentes de litiasis renal recurrente, presenta fiebre de 39.2 °C, vómitos y dolor lumbar 
izquierdo de 48 horas de evolución. Examen: PA: 90/60 mmHg, FC: 120X', dolor en fosa lumbar izquierda. Leucocitosis. 
Tomografía abdomino pélvica: litiasis obstructiva en uréter proximal izquierdo, dilatación del sistema pielocalicial y 
absceso perinéfrico. ¿Cuál es la intervención inicial más adecuada?",Litotricia extracorpórea y seguimiento con antibióticos,Derivación urinaria urgente con  catéter doble J y nefrostomía percutánea,Antibióticos de amplio espectro y nefrectomía diferida,Drenaje quirúrgico del absceso sin derivación urinaria,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Preescolar de 4 años, contacto de familiar con TB pulmonar acude a control presentando un resultado de PPD de 12 mm. 
Asintomático. Antecedentes: inmunizaciones completas. Examen físico normal. Rx de tórax sin hallazgos. ¿Cuál es el 
diagnóstico?",Reacción cruzada a BCG,Infección por Mycobacterium tuberculosis,Enfermedad por Mycobacterium tuberculosis,Exposición a Mycobacterium tuberculosis,B,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 64 años con diagnóstico de enfermedad pulmonar obstructiva crónica, ingresa a emergencia por 
descompensación. Examen: FR: 32X'. Laboratorio: pH: 7.24, PaCO2: 62 mmHg, PaO2: 55 mmHg. ¿Qué tipo de receptores 
son los más sensibles a los cambios de CO2?",Quimiorreceptores centrales bulbo raquídeo,Receptores J (yuxtacapilares),Receptores de estiramiento pulmonar,Quimiorreceptores periféricos en los cuerpos carotídeos y aórticos,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 38 años, gasfitero, presenta fiebre, escalofríos, cefalea frontal intensa, náusea, vómitos, dolor abdominal 
inespecífico, congestión conjuntival, mialgia intensa y fotofobia. Examen: febril, ictérico, PA: 105/75 mmHg, FC: 68 X', 
congestión conjuntival y faríngea, sensibilidad muscular, adenomegalia cervical, meningismo y hepatoesplenomegalia. 
Crepitantes en hemitórax derecho. ¿Cuál es el tratamiento indicado?",Gentamicina,Sulfametoxazol,Penicilina,Metronidazol,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 46 años, hace una hora sufre impacto de proyectil de arma de fuego en abdomen. Examen: PA: 60/40 mmHg, 
FC: 100X'. Pálido. Tórax: MV normal. Cardiovascular: RC disminuidos de intensidad. Abdomen: distendido, orificio en 
mesogastrio, RHA disminuidos, signo de rebote (+). ¿Cuál es la indicación inmediata?",Laparatomía exploratoria,Laparoscopía diagnóstica,Exploración de la herida,FAST,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 45 años, obeso y con diabetes mellitus no controlada, acude al servicio de urgencias por una gangrena de 
Fournier. Examen: PA: 120/60 mmHg, FC: 86X', FR: 24X'. Región anorectal: celulitis con edema y necrosis marcada con 
afectación del esfínter anal externo. ¿Qué tipo de colostomía es la más indicada?",En caño de escopeta,Bocas separadas por piel,En asa derecha,En asa izquierda,D,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 74 años con EPOC moderado (FEV1 50%), acude por disnea marcada, tos con esputo mucoso y tendencia a 
la somnolencia. Examen: PA: 110/70 mmHg, FC: 92X', FR: 28X'; SatO2: 87%, FiO2: 21%; pulmones: tirajes, roncantes 
bibasales; neurológico: somnoliento y por momentos agitado. Laboratorio: pH: 7.29, PCO2: 55 mmHg, PO2: 62 mmHg. 
¿Cuál es el hallazgo más importante para manejo intrahospitalario?",Acidosis respiratoria,Neumonía atípica,Delirio hiperactivo,Insuficiencia cardíaca,A,Ninguna de las anteriores,Prueba A,Year2025,2025
"Varón de 25 años post laparotomía por apendicitis complicada y peritonitis generalizada; al cuarto día posoperatorio 
presenta distensión abdominal, náusea y vómitos. Examen: abdomen distendido y doloroso, RHA: ausentes, SNG: 1000 
ml de líquido verdoso. Electrolitos normales. ¿Cuál es el diagnóstico más probable?",Perforación intestinal,Obstrucción por bridas,Íleo paralítico,Síndrome de Ogilvie,C,Ninguna de las anteriores,Prueba A,Year2025,2025
"Según la norma técnica peruana para el manejo de la anemia en lactantes; si la suspensión del suplemento de hierro es 
mayor a 3 meses, debe...",continuar el tratamiento hasta los dos años.,continuar el tratamiento por 6 meses.,reiniciar la indicación hasta completar el esquema previamente indicado.,"iniciar un nuevo esquema, previa evaluación de hemoglobina.",D,Ninguna de las anteriores,Prueba A,Year2025,2025
