source_file,year,count_of_matches,total_rows,percent_correct,model_name,source_file_eng
Anatomía Patológica & Patología,2018,6,31,19.35,meditron 7B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,6,30,20.0,meditron 7B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,10,50,20.0,meditron 7B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,5,29,17.24,meditron 7B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,7,37,18.92,meditron 7B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,12,54,22.22,meditron 7B,Pathological Anatomy and Pathology
Anestesiología,2018,2,15,13.33,meditron 7B,Anesthesiology
Anestesiología,2019,7,33,21.21,meditron 7B,Anesthesiology
Anestesiología,2020,3,24,12.5,meditron 7B,Anesthesiology
Anestesiología,2022,7,21,33.33,meditron 7B,Anesthesiology
Anestesiología,2023,11,30,36.67,meditron 7B,Anesthesiology
Anestesiología,2024,4,19,21.05,meditron 7B,Anesthesiology
Anestesiología,2025,3,25,12.0,meditron 7B,Anesthesiology
Cirugía General,2018,8,31,25.81,meditron 7B,General Surgery
Cirugía General,2019,6,20,30.0,meditron 7B,General Surgery
Cirugía General,2020,8,36,22.22,meditron 7B,General Surgery
Cirugía General,2022,6,34,17.65,meditron 7B,General Surgery
Cirugía General,2023,12,33,36.36,meditron 7B,General Surgery
Cirugía General,2024,8,45,17.78,meditron 7B,General Surgery
Cirugía General,2025,11,30,36.67,meditron 7B,General Surgery
Cirugía de Tórax y Cardiovascular,2019,12,46,26.09,meditron 7B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,7,43,16.28,meditron 7B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,8,37,21.62,meditron 7B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,9,35,25.71,meditron 7B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,26,64,40.62,meditron 7B,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,9,43,20.93,meditron 7B,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,8,29,27.59,meditron 7B,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,12,41,29.27,meditron 7B,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,5,36,13.89,meditron 7B,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,11,40,27.5,meditron 7B,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,6,40,15.0,meditron 7B,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,5,35,14.29,meditron 7B,Gynecology and Obstetrics
Neurocirugía,2022,8,34,23.53,meditron 7B,Neurosurgery
Neurocirugía,2023,8,24,33.33,meditron 7B,Neurosurgery
Neurocirugía,2024,6,37,16.22,meditron 7B,Neurosurgery
Neurocirugía,2025,11,45,24.44,meditron 7B,Neurosurgery
Oftalmología,2018,8,38,21.05,meditron 7B,Ophthalmology
Oftalmología,2019,5,29,17.24,meditron 7B,Ophthalmology
Oftalmología,2020,8,34,23.53,meditron 7B,Ophthalmology
Oftalmología,2022,7,30,23.33,meditron 7B,Ophthalmology
Oftalmología,2023,7,29,24.14,meditron 7B,Ophthalmology
Oftalmología,2024,6,27,22.22,meditron 7B,Ophthalmology
Oftalmología,2025,9,39,23.08,meditron 7B,Ophthalmology
Pediatría,2018,5,33,15.15,meditron 7B,Pediatrics
Pediatría,2019,11,41,26.83,meditron 7B,Pediatrics
Pediatría,2020,15,50,30.0,meditron 7B,Pediatrics
Pediatría,2022,8,45,17.78,meditron 7B,Pediatrics
Pediatría,2023,14,48,29.17,meditron 7B,Pediatrics
Pediatría,2024,5,30,16.67,meditron 7B,Pediatrics
Pediatría,2025,7,40,17.5,meditron 7B,Pediatrics
Prueba A,2018,4,28,14.29,meditron 7B,Test A
Prueba A,2019,7,36,19.44,meditron 7B,Test A
Prueba A,2020,6,35,17.14,meditron 7B,Test A
Prueba A,2022,10,36,27.78,meditron 7B,Test A
Prueba A,2023,6,27,22.22,meditron 7B,Test A
Prueba A,2024,7,28,25.0,meditron 7B,Test A
Prueba A,2025,9,34,26.47,meditron 7B,Test A
Prueba B,2018,9,36,25.0,meditron 7B,Test B
Prueba B,2019,12,32,37.5,meditron 7B,Test B
Prueba B,2020,10,34,29.41,meditron 7B,Test B
Prueba B,2022,8,32,25.0,meditron 7B,Test B
Prueba B,2023,5,32,15.62,meditron 7B,Test B
Prueba B,2024,11,39,28.21,meditron 7B,Test B
Prueba B,2025,9,31,29.03,meditron 7B,Test B
Psiquiatría,2018,5,22,22.73,meditron 7B,Psychiatry
Psiquiatría,2019,6,28,21.43,meditron 7B,Psychiatry
Psiquiatría,2020,7,18,38.89,meditron 7B,Psychiatry
Psiquiatría,2022,7,27,25.93,meditron 7B,Psychiatry
Psiquiatría,2023,6,30,20.0,meditron 7B,Psychiatry
Psiquiatría,2024,5,31,16.13,meditron 7B,Psychiatry
Psiquiatría,2025,5,17,29.41,meditron 7B,Psychiatry
Radiología,2018,9,24,37.5,meditron 7B,Radiology
Radiología,2019,7,36,19.44,meditron 7B,Radiology
Radiología,2022,6,30,20.0,meditron 7B,Radiology
Radiología,2023,6,37,16.22,meditron 7B,Radiology
Radiología,2024,11,40,27.5,meditron 7B,Radiology
Radiología,2025,5,39,12.82,meditron 7B,Radiology
Urología,2018,11,42,26.19,meditron 7B,Urology
Urología,2020,7,39,17.95,meditron 7B,Urology
Urología,2022,4,31,12.9,meditron 7B,Urology
Urología,2023,9,30,30.0,meditron 7B,Urology
Urología,2024,9,29,31.03,meditron 7B,Urology
Urología,2025,7,39,17.95,meditron 7B,Urology
Anatomía Patológica & Patología,2018,35,91,38.46,OpenBioLLM-8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,32,92,34.78,OpenBioLLM-8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,33,97,34.02,OpenBioLLM-8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,32,97,32.99,OpenBioLLM-8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,23,98,23.47,OpenBioLLM-8B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,24,98,24.49,OpenBioLLM-8B,Pathological Anatomy and Pathology
Anestesiología,2018,27,94,28.72,OpenBioLLM-8B,Anesthesiology
Anestesiología,2019,31,92,33.7,OpenBioLLM-8B,Anesthesiology
Anestesiología,2020,33,88,37.5,OpenBioLLM-8B,Anesthesiology
Anestesiología,2022,40,95,42.11,OpenBioLLM-8B,Anesthesiology
Anestesiología,2023,21,92,22.83,OpenBioLLM-8B,Anesthesiology
Anestesiología,2024,25,97,25.77,OpenBioLLM-8B,Anesthesiology
Anestesiología,2025,31,95,32.63,OpenBioLLM-8B,Anesthesiology
Cirugía General,2018,30,96,31.25,OpenBioLLM-8B,General Surgery
Cirugía General,2019,32,96,33.33,OpenBioLLM-8B,General Surgery
Cirugía General,2020,31,98,31.63,OpenBioLLM-8B,General Surgery
Cirugía General,2022,34,97,35.05,OpenBioLLM-8B,General Surgery
Cirugía General,2023,27,93,29.03,OpenBioLLM-8B,General Surgery
Cirugía General,2024,20,96,20.83,OpenBioLLM-8B,General Surgery
Cirugía General,2025,24,100,24.0,OpenBioLLM-8B,General Surgery
Cirugía de Tórax y Cardiovascular,2019,28,92,30.43,OpenBioLLM-8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,35,93,37.63,OpenBioLLM-8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,20,97,20.62,OpenBioLLM-8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,19,93,20.43,OpenBioLLM-8B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,30,188,15.96,OpenBioLLM-8B,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,29,91,31.87,OpenBioLLM-8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,33,93,35.48,OpenBioLLM-8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,34,99,34.34,OpenBioLLM-8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,36,95,37.89,OpenBioLLM-8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,18,91,19.78,OpenBioLLM-8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,23,95,24.21,OpenBioLLM-8B,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,21,92,22.83,OpenBioLLM-8B,Gynecology and Obstetrics
Neurocirugía,2022,31,99,31.31,OpenBioLLM-8B,Neurosurgery
Neurocirugía,2023,15,97,15.46,OpenBioLLM-8B,Neurosurgery
Neurocirugía,2024,28,92,30.43,OpenBioLLM-8B,Neurosurgery
