questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Mujer de 72 años, multipara que refiere ""cólicos hepáticos"" a repetición, con diagnóstico ecográfico de litiasis vesicular 
hace un año, consulta por presentar un abdomen agudo obstructivo. ¿Cuál es el diagnóstico probable?",Sindrome de Mirizzi,Sindrome de Bouveret,Ileo biliar,Fístula colecisto- duodenal,Fístula colecisto- colonica,C
"¿Cuál es la causa que incrementa la incidencia de cefalea post punción dural en pacientes sometidos a anestesia 
raquídea?",Uso de agujas de mayor calibre,Uso de agujas de menor calibre,Edad avanzada,Sexo masculino,Malformaciones en la columna vertebral,A
¿En qué grado(s) de la hemorroides está indicado el tratamiento con fotocoagulación infrarroja?,Segundo y tercer grado,Solamente tercer grado,Solamente cuarto grado,Primer y segundo grado,Todos los grados,D
¿Cuál es la causa más frecuente de obstrucción intestinal en pacientes posoperados?,Hernias,Cálculos biliares,Cuerpos extraños,Tumores,Bridas y adherencias,E
"Neonato prematuro. Examen: bolsas escrotales hipoplásicas, poco arrugadas sin testículos. En el lado izquierdo no se 
encuentra testículo ni en el trayecto inguinal. En el lado derecho se palpa testículo por fuera del anillo inguinal externo. 
¿Cuál es su diagnóstico?",Criptorquidia bilateral,Testículo ectópico bilateral,Agenesia testicular izquierda - criptorquidia,Criptorquidia izquierda - testículo ectópico,Agenesia testicular izquierda - testículo ectópico,D
¿Cuál es la lesión inicial intestinal característica de la enfermedad de Crohn?,Úlcera aftosa,Envoltura grasa mesentérica,Fibrosis con estenosis,Acumulaciones linfoideas mesentérica,Granulomas caseosos mesentérica,A
"Politraumatizado atendido en shock trauma. Funciones vitales estables con deterioro de saturación de oxígeno 
progresiva por trauma encefálico con Glasgow 6, fractura costal múltiple con injuria pulmonar, hemotórax drenado y 
fractura de pelvis desplazada. Abdomen doloroso moderado, sin reacción peritoneal, TAC revela gran hematoma 
subcapsular hepático. ¿Cuál es el primer procedimiento a realizar?",Traqueostomía,Línea central,Laparotomía,Laparoscopía,Craneotomía,A
"Mujer de 65 años, fumadora crónica. Después de realizarle una resección transuretral completa por tumor vesical fue 
diagnosticada de cáncer vesical no invasivo. ¿Cuál es la conducta a seguir?",Cistectomía,Cistectomía ampliada,Vigilancia con pielografía retrograda,Inmunoterapia intravesical adyuvante,Urografía por tomografía,D
"En la denominada ""regla de los nueves"", método simple, rápido y eficaz para calcular el porcentaje de la quemadura. 
¿Cuánto se calcula la quemadura del miembro superior?",1,4.5,9,18,25,C
"¿Cuál de los siguientes hallazgos en el examen clínico de un paciente con trauma maxilofacial requiere tratamiento 
urgente?",Deformidad maxilar superior,Alteraciones de la agudeza visual y diplopia,Deformidad maxilar inferior,Sospecha de lesión nervio facial,Deformidad frontal sin inconciencia,B
¿De qué células se originan la mayor parte de las neoplasias en el cáncer testicular?,No germinativas,De Leydig,De Sertoli,Germinativas,Mixtas,D
¿Cuál es la complicación más frecuente de la anestesia raquídea?,Bradicardia,Perestesias,Hipotensión,Disnea,Náuseas,C
"Mujer de 55 años, acude a emergencia por fiebre y dolor abdominal generalizada. Antecedente de estreñimiento. 
Examen: T° 39.5°C. PA: 130/80 mmHg. Abdomen doloroso con mayor predominio en hipogastrio, reacción peritoneal 
(+), defensa muscular voluntaria y masa dolorosa en esta región. Laboratorio: 13,000 leucocitos. Ecografía y TAC 
abdomen: colección en pelvis de 115 x 120 mm de diámetro. Se diagnostica enfermedad diverticular complicada. ¿A 
qué estadío de clasificación de Hinchey corresponde?",I,III,II,IV,V,C
"Niña lactante con infección urinaria recurrente. Urografía: hidronefrosis bilateral Cistouretrograma miccional: reflujo 
vesicoureretral bilateral. ¿Cuál es el tratamiento indicado?",Implantación de catéter ureteral,Antibióticos previo cultivo y antibiograma,Ureteroplastía vesical abierta,Reimplantación de ambos uréteres,Endoureterotomía endoscópica,D
¿Cuál es la causa de esplenectomía que con más frecuencia presenta septicemia posoperatoria en niños y adultos?,Trauma esplénico,Absceso esplénico,Púrpura trombocitopénica inmune,Quiste esplénico,Neoplasia maligna hematológica,E
¿Cuál es el tratamiento adyuvante aprobado por la FDA en el manejo del melanoma en etapa IIB / III?,Anticuerpos monoclonales,Interferón alfa-2b,Radioisótopos,Gangliósido GM2,Vacunas con antígeno definido,B
"Varón de 65 años, refiere urgencia vesical, chorro urinario de flujo lento y nicturia. Últimamente ha recibido tratamiento 
con antibióticos por infección urinaria. Hace dos días presentó hematuria. Examen: próstata agrandada mayor de 100 
g, superficie lisa, no induraciones. PSA: 4 ng/ml. Con el diagnóstico de hiperplasia prostática benigna. ¿Cuál es la 
conducta a seguir?",Bloqueadores alfa,Prostatectomía suprapúbica,Inhibidores de reductasa,Resección transuretral,Vaporización con laser,B
"Paciente sometido a reducción cruenta de fractura de cúbito-radio con bloqueo regional. Luego de la aplicación del 
anestésico presenta súbitamente hormigueo, adormecimiento de la lengua y labios, sabor metálico, acúfenos y 
trastornos visuales, desorientación llegando a convulsionar. ¿Cuál es la causa probable del cuadro clínico?",Hipotensión por compromiso de los nervios simpáticos,Falta de hidratación pre anestésica adecuada,Sobredosis o inyección intravascular accidental del,Hipertensión con compromiso central,Hipotensión por compromiso de nervios sensitivos y,C
"Varón de 50 años, que refiere tumoración ulcerada de 1 x 1 cm en la base de la lengua acompañada de disfagia y 
adelgazamiento. Tiene resultado positivo paraVPH. No se palpan ganglios cervicales, el diagnóstico es cáncer de 
células escamosas en estadío temprano. ¿Cuál es el tratamiento?",Cirugía más radiación,Radiación primaria sola,Quimioterapia más radiación,Glosectomía total,Laringectomía,B
¿Cuáles son las venas que están dilatadas en el varicocele?,Pudendas,Safenas,Espermáticas,Epigástricas,Circunflejas,C
¿Cuál es la duración anestésica aproximada en minutos de la Procaína al 2%?,15,30,120,50,180,D
¿Cuál es el tipo de carcinoma más frecuente que se encuentra en los tumores malignos de tiroides?,Folicular,Células de Hürthle,Medular,Papilar,Anaplásico,D
¿En cuál de las glándulas salivales es más frecuente la presencia de neoplasia?,Sublingual,Submaxilar,Parótida,Paladar,Submucosa digestiva superior,C
