questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Gestante de 33 semanas con un embarazo gemelar monocoriónico biamniótico acude por RPM confirmado al examen. 
Prueba de bienestar feta normal en ambos fetos. ¿Cuál es la conducta más adecuada a seguir?",Maduración pulmonar y cesárea a las 48 horas,Cesárea de emergencia,Maduración pulmonar y manejo expectante,Maduración pulmonar e inducción a las 48 horas,Inducción del parto inmediato,C
¿Cuál es el tumor cardíaco más común durante la vida prenatal?,Rabdomioma,Endotelioma,Adenoma,Teratoma,Glioma,A
¿Cuál es el factor más importante para la transmisión vertical de VIH?,Momento de inicio de TARGA,Vía de parto,Lactancia materna,Carga viral alta,Recuento de CD4 bajo,D
¿Cuál es la causa más frecuente de amenorrea primaria con eugonadismo?,Tabique vaginal,Himen imperforado,Sindrome de insensibilidad a los andrógenos,Sindrome de ovario poliquístico,Agenesia de los conductos de Müller,E
¿Cuál de los siguientes valores en sangre se encuentra disminuido en el Hígado graso del embarazo?,Transaminasas,Fosfatasa alcalina,Bilirrubina,Fibrinógeno,Deshidrogenasa láctica,D
"En la mayoría de mujeres que presentan hemorragia uterina anormal con ciclos anovulatorios durante la pubertad o 
climaterio, se encuentra...",niveles estrogénicos altos y prolongados.,niveles estrogénicos normales y cortos.,niveles de progesterona aumentados y cortos.,estrógenos y progesterona altos.,estrógenos y progesterona bajos.,A
¿Cuál es un efecto adverso a largo plazo de la vasectomía?,Ninguno documentado,Presencia de anticuerpos anti espermatozoides,Disminución de la líbido,Cáncer de próstata,Quiste de epidídimo,A
"Mujer de 24 años con lesión en genitales. Examen: T°: 37 °C, úlcera única de 0.5 cm de diámetro, indurada e indolora 
en labio mayor izquierdo y ausencia de adenopatía inguinal. ¿Cuál es el diagnóstico más probable?",Chancroide,Herpes genital,Granuloma inguinal,Sífilis,Linfogranuloma venéreo,D
"Segundigesta de 34 semanas, hospitalizada por RPM. Examen: fiebre, taquicardia materna, feto en presentación 
cefálica, LCF: 140 X', líquido amniótico sin mal olor. ¿Cuál es la conducta terapéutica a seguir?",Antibióticos y Cesárea urgente,Antibióticos y observación,Antibióticos e inducción de parto,Maduración pulmonar y observación,Maduración pulmonar y antibióticos,C
"Gestante de 39 años, de 12 semanas por FUR, con grupo sanguíneo y factor O Rh (-). Se realizó biopsia de vellosidades 
coriales para descarte de cromosomopatías. ¿Cuál es la conducta a seguir?",Realizar dosaje de PAPP-A y B-HCG,Administración de 300 ug de Inmunoglobulina antiD,Solicitar cariotipo de ambos padres,Realizar el Test de Coombs directo,Estudio de ADN fetal libre en la madre,B
"Gestante de 22 semanas, por ultrasonido fetal se observa corazón desplazado a la derecha y presencia de estructura 
quística en el tórax, ausencia de cámara gástrica en el abdomen y el pulmón izquierdo es muy pequeño. ¿Cuál es el 
diagnóstico más probable?",Secuestro pulmonar,Malformación adenomatosa quística,Sindrome CHAOS,Hernia diafragmática izquierda,Hernia diafragmática derecha,D
"Mujer de 22 años sin patología orgánica, con extrema dificultad para la penetración al intentar relaciones sexuales ¿Cuál 
es el diagnóstico más probable?",Vaginitis,Vestíbulodinea,Vaginismo,Cistitis,Atrofia vaginal,C
¿Cuál de los siguientes medicamentos tocolíticos es un antagonista de la oxitocina?,Nifedipino,Indometacina,Atosiban,Ritrodina,Terbutalina,C
¿Cuál es la causa más frecuente de seudo hermafroditismo femenino?,Tumor de las células de Sertoli,Exposición a fármacos,Luteoma del embarazo,Hiperplasia suprarrenal congénita,Neoplasia suprarrenal,D
¿En qué caso debe restringirse las relaciones sexuales en una gestante?,Cesareada anterior,Hipertensión arterial,Presentación podálica,Antecedente de FIV,Amenaza de aborto,E
"Primigesta de 30 semanas víctima de violencia sexual, llega a la emergencia por presentar dolor abdominal 
persistente. ¿Qué complicación obstétrica debe descartarse?",Placenta previa,Desprendimiento prematuro de placenta,Rotura uterina,Amenaza de labor pretérmino,Laceración vaginal,B
"Mujer de 60 años posmenopaúsica sin terapia de remplazo hormonal, con sangrado vaginal de 2 días de duración. Eco 
TV: útero de 8 cm con endometrio de 6 mm, resto normal. ¿Cuál sera la conducta a seguir?",Observación,Biopsia de endometrio,Hidrosonografia,Eco Doppler,Terapia con progestágenos,B
¿En qué caso se puede presentar el síndrome HELLP antes de las 22 semanas?,Trisomia 21,Embarazo gemelar,Síndrome antifosfolipídico,Artritis reumatoide,Tabaquismo,C
¿A qué tipo de embarazo gemelar caracteriza el signo ecográfico de la T?,Bicoriónico,Monocoriónico,Monocigótico,Bicigótico,Gemelos siameses,B
¿Cuál de las siguientes vacunas está contraindicada en el embarazo?,Tétanos,Hepatitis B,Varicela,Influenza,Rabia,C
"De acuerdo a la clasificación de la OMS los métodos anticonceptivos se encuentran en el grupo de los más eficaces, 
cuando el número de embarazos por 100 mujeres por año es menor a:",1,3,4,2,5,D
¿Cuál de las siguientes lesiones indican una mayor severidad en la evaluación de la endometriosis?,Lesión peritoneal profunda > de 3 cm,Obstrucción parcial del fondo de saco,Adherencias densas alrededor de un ovario,Lesión profunda en el ovario > de 3 cm,Adherencias densas alrededor de una trompa,D
¿Cuál es el origen de los quistes vaginales de Gartner?,Falta de canalización de la lámina inferior,Agenesia de los conductos de Wolf,Vestigios del conducto de Wolf,Anormalidad producida por el uso de,Hipoplasia incompleta del conducto de Müller,C
"Primigesta de 32 semanas con contracciones uterinas. Examen: dos contracciones en 10 minutos, D: 2 cm, I: 80 %. 
¿Cuál es la conducta a seguir?",Solo tocólisis,Solo maduración pulmonar,Hospitalización y observación,Control ambulatorio,Maduración pulmonar y tocólisis,E
¿Cuál es el cariotipo que se encuentra con mayor frecuencia en la mola completa?,46 XX,69 XXX,69 XXY,46XY,45 X0,A
"Mujer de 42 años, post operada de 7 días de histerectomía abdominal más liberación de adherencias, con pérdida de 
líquido claro por vía vagina en quien se sospecha fístula vésico-vaginal. ¿Cuál es la conducta inicial?",Creatinina en secreción vaginal,Ecografía con flujo Doppler,Prueba de azul de metileno,Visualización directa,Cistouretroscopía,D
"Gestante de 36 semanas. ECO TV: placenta posterior cuyo borde llega a 2.5 cm del orificio cervical interno. ¿Cuál es 
el diagnóstico?",Placenta de inserción baja,Placenta marginal,Placenta previa Total,Placenta previa parcial,Placenta normoinserta,E
