questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"¿Cuál es la estructura en que se basa el diagnóstico diferencial histológico entre bronquios extrapulmonares e 
intrapulmonares?",Serosa en bronquios extrapulmonares,Músculo liso en bronquios intrapulmonares,Epitelio cúbico simple en bronquios,Cartílago hialino discontinuo en bronquios,Cartílago hialino discontinuo en bronquios,C
¿Cuál es el factor pronóstico más importante en una paciente con carcinoma de cérvix uterino?,Etapa clínica,Tipo histológico,Incapacidad para detectar en el tejido PVH,Densidad de microvasculatura en el tejido,Grado histológico,A
¿Cuál de los siguientes tumores se asocia a eritrocitosis como síndrome paraneoplásico?,Cáncer de próstata,Cáncer de mama,Cáncer de pulmón,Hepatocarcinoma,Cáncer de paratiroides,D
"Varón de 23 años y otros miembros de su club notan prurito en los pies en los últimos 2 meses, lesiones cutáneas 
difusas eritematosas y descamativas entre los dedos del pié. ¿Cuál es el microórganismo causante más probable?",VPH,Streptococcus beta hemolítico A,Sarcoptes scabiei,Staphylococcus areus,Trichophyton rubrun,E
¿Cuál es la localización del melanoma intraocular más fácilmente visible y menos propenso a sufrir metástasis?,Cuerpo ciliar,Corneal,Extra escleral,Iris,Coroideo,D
"Mujer de 57 años, refiere dolor miccional durante los últimos 5 meses, un día observa que la ropa interior estaba 
manchada de sangre. Examen: nódulo rojizo doloroso de 1 cm en el labio posterior de la uretra externa. ¿Qué hallazgo 
patológico es más probable en esta lesión?",Tejido de granulación,Carcinoma epidermoide,Células multinucleadas,Infiltrado de células plasmáticas,Rabdomiosarcoma,A
¿Cuál es el tumor más frecuente del mediastino anterior?,Timoma,Tumor broncogénico,Teratoma,Quiste esofágico,Quiste broncogénico,A
¿Cuál es el adenoma hipofisario que se presenta con mayor frecuencia?,Somatotrofo,Gonadotrofo,Tirotropo,Galactóforo,Corticotropo,D
¿Cuál es el inmunofenotipo del tumor estromal gastrointestinal?,CLA (+) PAN CK (-) EMA (-),CK20 (+) CK5/6 (+) p63 (+),CD117 (+) CD34 (+) DOG1 (+),CK20 (+) CK7 (+) CDX2 (+),CK7 (+) GATA 3 (+) Her2/neu (+),C
Paciente con síndrome de Li-Fraumeni. ¿Cuál es el gen que se asocia con alto riesgo de cáncer gástrico hereditario?,CDH1,p53,BRCA 1-2,APC,STK11,B
¿Cuál es el anticoagulante que sirve de transporte de muestras de sangre para el estudio molecular?,ACD A,ACD B,Citrato de sodio,EDTA,Heparina,D
¿Cuáles son los efectos de los pestícidas?,"Arritmias, parestesia, cataratas","Insuficiencia respiratoria, cataratas","Neurotoxicidad, dermatitis alérgica","Hepatotoxicidad, edema pulmonar, hemorragia","Neurotoxicidad, dermatitis alérgica, anemia y",C
¿Cuál es la neoplasia de páncreas más frecuente en niños menores de 8 años?,Carcinoma de células acinares,Neoplasia quística mucinosa,Pancreatoblastoma,Adenocarcinoma,Neoplasia papilar mucinosa intraductal,C
"Varón de 49 años, presenta bulto próximo a hombro derecho, ha crecido durante los últimos 8 meses. Examen: se palpa 
masa firme e indolora de 4 cm, en región supraclavicular derecha. Se extirpa. AP: revela neoplasia linfoide. Anállisis del 
cariotipo de las células muestra una traslocación cromosomica t(14;18). ¿Cuál de los siguientes genes es más probable 
que se active por esta traslocación?",IL2 (gen de factor de crecimiento),K-RAS (gen de proteínas de unión al GTP),APC (gen supresor de tumores),BCL2 (gen antiapoptósico),BRCA I (gen de reparación de ADN),D
¿Cuál es la causa de la leucoplasia vellosa?,Herpes virus,Candida albicans,VPH,VIH,VEB,E
¿Qué elemento heterólogo es el más frecuente en un leiomioma?,Músculo estriado,Tejido adiposo,Hueso,Cártilago,Colágeno,B
"Varón de 38 años, está talando árboles sólo en el bosque y se hace corte profundo en la pierna con motosierra; pierde 
gran cantidad de sangre, no es rescatado hasta el día siguiente. ¿Cuál de los parámetros sanguíneos incrementado, es 
más probable que indique una fase irreversible de shock?",Catecolaminas,Deshidrogenasa láctica,Bicarbonato,Hormona antidiurética,Protrombina,B
¿Cuáles son las células de la mucosa intestinal que producen lisozima para el control de la flora intestinal normal?,Argentafines,APUD,Paneth,Caliciformes,Absorventes,C
¿Cuál es el microorganismo causal más frecuente de salpingitis aguda?,Mycobacterium tuberculosis,Neisseria gonorrhoeae,Staphylococcus aureus,Chlamydia trachomatis,Pseudomona aeruginosa,B
"¿Cuál es la entidad que se caracteriza por presentar lesiones granulomatosas necrotizantes en el tracto respiratorio 
superior y glomerulonefritis necrotizante focal?",Púrpura de Henoch-Schönlein,Poliarteriris nodosa,Granulomatosis de Wegener,Crioglobulinemia,Vasculitis autoinmune,C
¿Qué gérmen se encuentra en los abscesos quísticos de la glándula de Bartholino?,Staphylococcus aureus,Staphylococcus piogenes,Peptostreptococcus,Prevotella,Escherichia coli,D
"¿Qué nombre recibe la proliferación patológica de la parte longitudinal de la aponeurosis palmar y sus extensiones 
digitales palmar y dorsal a los haces musculares?",Fibrosis patológica,Tendinitis de Quervain,Túnel del carpo,Contractura de Duppuytren,Contractura de Volkman,D
"¿Cuál es el órgano en que se deposita glucógeno de forma prominente en la glucogénosis tipo II con enfermedad de 
Pompe?",Músculo esquelético,Riñón,Corazón,Hígado,Cerebro,C
"¿A qué estadío patológico corresponde el carcinoma de cérvix con invasión estromal menor o igual a 3 mm de 
profundidad y extensión menor o igual a 7 mm?",II,Ia2,Ib,Ia,Ia1,E
La imposibilidad de un adulto para generar respuesta de hipersensibilidad a los dermatofitos o levaduras sugiere ...,una pérdida de la función de células T.,que el individuo padece tuberculosis.,enfermedad por deficiencia de macrófagos.,que no desarrolla enfermedad del suero.,que el factor de transferencia no es antigénico.,A
"¿Cuál es la enfermedad viral de la infancia que se caracteriza por una llamativa hiperplasia folicular con grandes centros 
germinales en los órganos linfoides, así como células gigantes multinucleadas de Warthin-Finkeldey?",Parotiditis,Mononucleosis infecciosa,Rubéola,Sarampión,Varicela,D
"Mujer de 69 años, tosedora desde hace un año. Rx de tórax: masa de 6 cm en pulmón izquierdo. Biopsia: carcinoma. 
Se realiza neumonectomía y el examen del ganglio linfático del hilio muestra una superficie de corte uniforme, negruzco. 
¿Cuál es el factor que explica el aspecto de los ganglios?",Trastorno hemorrágico,Efectos del envejecimiento,Insuficiencia hepática,Metástasis múltiples,Tabaquismo,E
¿Cuál es la capa de la corteza cerebelosa que se relaciona directamente con la sustancia blanca?,Piramidal,Granulosa,Purkinge,Multiforme,Molecular,B
¿Cuál de las siguientes alteraciones puede causar insuficiencia renal aguda?,Aumento de la resistencia vascular sistémica,Alto índice cardíaco,Hipervolemia,Aumento de la resistencia vascular renal,Alto gasto cardíaco,D
¿Cómo se denomina a la capacidad de las células neoplásicas de adquirir mayor potencial metastásico?,Iniciación,Progresión,Activación,Diferenciación,Promoción,B
"Mujer en edad fértil. Mamografía revela quistes de 1 a 5 cm, con microcalcificaciones focales y densidades circundantes. 
BAAF: se extrae líquido turbio con escasas células. ¿Cuál de los siguientes cambios histológicos es más probable que 
se encuentre en la lesión?",Carcinoma ductal in situ,Necrosis grasa,Metaplasia apocrina,Adenosis,Papilomatosis,C
¿Cuál es el factor pronóstico adverso para el linfoma de Hodgkin avanzado?,Estadío III,Albúmina < de 4g/dl,Sexo masculino,Hb 12g/dl,Paciente de 20 a 30 años,B
¿Cuál de los siguientes tumores de riñón está asociado a esclerosis tuberosa?,Carcinoma a células claras,Oncocitoma,Angiomiolipoma,Nefroblastoma,Carcinoma cromófobo,C
¿Cuál es el patrón histológico más frecuente en los adenocarcinomas mesonéfricos?,Tipo cordón sexual y sólido,Retiforme y sólido,Sólido y tubular,Ductal y retiforme,Ductal y tubular,E
"Varón de 18 años, con lesión proliferativa del tronco. AP: tumor no encapsulado, bien delimitado constituido por tejido 
esclerótico hialinizado, hipocelular, fibroblastos con núcleos de aspecto inócuo, infiltrado inflamatorio con linfocitos, 
células plasmáticas, agregados linfoides y aisladas calcificaciones distróficas. ¿Cuál es el diagnóstico más probable?",Fibromatosis,Fibroma de la vaina tendinosa,Tumor fibroso solitario,Tumor miofibroblástico inflamatorio,Tumor fibroso calcificante,E
"¿Cómo se denomina a las células de las glándulas fúndicas que se encargan de la síntesis del factor intrínseco de 
Castle?",Pilóricas,Cardiales,Parietales,Argentafines,Mucosas,C
¿Qué elemento inhibe la absorción intestinal del cobre?,Flúor,Manganeso,Magnesio,Fósforo,Zinc,E
¿Cómo se denomina a la lesión de Buschke-Lowenstein en el glande y prepucio?,Carcinoma escamoso,Condiloma gigante acuminado,Carcinoma verrucoso,Balanitis obliterante,Leucoplasia,B
"Mujer de 33 años, con bulto en dorso de la muñeca hace 4 meses. Examen: nódulo subcutáneo firme y fluctuante de 1 
cm, por encima del tendón. ¿Cuál es el diagnóstico más probable?",Tofo,Lipoma,Ganglión,Nódulo reumatoide,Tumor de células gigantes,C
¿Por qué son importantes los antígenos carcinofetales?,No se producen en animales normales después,Se han asociados sólo con cánceres del tracto,Son responsables de cánceres fetales y en,Siempre son útiles para diagnosticar espina bífida,Son útiles en el diagnóstico y pronóstico del,E
"¿Cuál es la forma parasitaria de la Malassezia spp, en capa córnea de un paciente con pitiriasis versicolor?",Hifas cenocíticas,Acúmulos de levaduras y filamentos cortos,Artroconidios,Levaduras unigemantes,Levaduras multigemantes,B
"¿Cuál es la lesión fibrosante de los lactantes, que afecta los músculos de la cabeza y cuello?",Fibromatosis hialina juvenil,Fibromatosis colli,Fibroma irritativo,Hiperplasia fibrosa focal,Fascitis nodular,B
¿Cuál es el virus que está asociado a la leucoencefalopatía multifocal progresiva?,EBV,Poliomavirus,PVH,H1LV-1,Herpes virus 8,B
¿Qué es el plexo mientérico de Auerbach?,Neuroras sensitivas pseudo monopolares,Grupos de fibras posganglionares,Neuronas posganglionares de la vía,Grupos de segundas neuronas de la vía sináptica,Grupos de determinaciones adrenérgicas,C
"¿Cuáles son los marcadores de inmunohistoquímica que permite diagnosticar el tumor uterino que se asemeja al tumor 
de los cordones sexuales?","Melan B, HMB45","Desmina, CD34","Calrretinina, inhibina","Vimentina, alfa actina","CD10, CK20",C
¿Cuál de los siguientes marcadores de superficie de los macrófagos contribuyen a la fase de unión en la fagocitosis?,Fc gamma R,Proteína clase I del CMH,Mieloperoxidasa,Proteína clase II del CMH,Receptor FEG-GM,A
¿Cuál es el agente químico que produce carcinoma de piel?,Cloruro de vinilo,Berilio,Arsénico,Benceno,Amianto,C
