questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Recién nacido por cesárea, con 29 semanas de edad gestacional, presenta marcada dificultad respiratoria. ¿Cuál es la 
terapia indicada luego de la atención de urgencia?",Surfactante,Corticoide,Óxido nítrico,Vitamina K,Tetraciclina,A
En el tratamiento de diabetes mellitus tipo 2. ¿Cuál de los siguientes fármacos aumenta la excreción urinaria de glucosa?,Sitagliptina,Metformina,Glimepirida,Pioglitazona,Empagliflozina,E
"Pre-escolar de 3 años llega a emergencia por presentar bruscamente violentos paroxismos de tos y marcada dificultad 
respiratoria. Al examen: FR:40X', FC:120X', politirajes, aleteo nasal, Sat O2: 90%, murmullo vesicular disminuido en 
HTD y sibilancias localizadas en la misma zona. ¿Cuál es el diagnóstico probable?",Neumonía viral,Crup espasmódico,Neumotórax,Crisis asmática,Cuerpo extraño,E
"¿A qué edad en meses, el niño logra hacer una torre con 7 cubos?",24,15,18,12,20,A
"Mujer de 50 años, obesa, hipertensa, con antecedente de cáncer de colon, viaja en bus de Tumbes a Lima, al llegar 
presenta súbitamente dolor torácico, disnea y síncope. Ingresa a emergencia con PA: 120/60 mm Hg, FC: 120X'. FR: 
30X'. Sat O2: 96%. Con diagnóstico de tromboembolismo pulmonar. ¿Cuál es la dosis de enoxaparina que se debe 
administrar?",1 mg/Kg cada 24 horas SC,1 mg/Kg cada 12 horas EV,1 mg/Kg cada 24 horas EV,1 mg/Kg cada 12 horas SC,2 mg/Kg cada 12 horas EV,D
"Paciente de 37 años, con antecedente de menometrorragia hace 1 año. Examen pélvico: útero aumentado de tamaño, 
irregular, firme e indoloro. ¿Cuál es el diagnóstico más probable?",Pólipo endometrial,Endometritis,Hiperplasia endometrial,Miomas uterinos,Cáncer cervical invasor,D
"Varón de 28 años, luego de 8 horas de accidente de tránsito, presenta intenso dolor en pierna derecha con incapacidad 
funcional. Examen: PA: 120/80 mmHg. Pulso: 90X'. T°: 37.5°C, pierna derecha con aumento de volumen y edema 
(+++), ausencia de pulso pedio. Rx. miembros inferiores: fisura diafisaria en tibia derecha. Ecodoppler: disminución del 
flujo arterial distal en pierna derecha. ¿Cuál es el tratamiento inicial?",Inmovilización del miembro inferior derecho,Colocación de placa y tornillos,Fijación externa,Fasciotomía de pierna derecha,Revascularización de la arteria,D
La calificación del APGAR permite identificar ..... del recién nacido.,el desarrollo neurológico,la vitalidad,el desarrollo neuromuscular,la edad gestacional,el grado de dificultad respiratoria,B
¿Cuál es el mecanismo de acción del bromuro de Ipratropio?,Bloquea los receptores Cis_LT1,Activa los receptores adrenérgicos beta 2,Antagoniza los receptores muscarínicos,Disminuye el número de células inflamatorias,Inhibe la fosfodiesterasa del músculo liso,C
"Paciente de 28 años, acude por dos años de intento reproductivo sin éxito. Antecedente de múltiples parejas sexuales. 
Examen: sin alteraciones. Histerosalpingografía: obstrucción de trompas. ¿Cuál es la causa más probable de 
infertilidad?",Factor adherencial,Enfermedad pélvica inflamatoria,Miomatosis uterina,Malformaciones uterinas,Hiperplasia endometrial,B
"Recién nacido de 4 semanas con vómitos en ""proyectil""; le diagnostican: estenosis hipertrófica del píloro. ¿Cuál es el 
tratamiento quirúrgico de elección?",Piloromiotomía laparoscópica,Esofagostomía,Gastroduodeno anastomosis,Gastrectomía distal,Gastrostomía,A
"Varón de 48 años hipertenso, ingresa a emergencia por palpitaciones, síncope y disnea. Examen: despierto, 
taquipneico, PA: 110/70 mmHg, FC: 140X´, FR: 22X´, Sat O2: 97%. EKG: taquiarritmia de complejos angostos 
irregulares compatibles con fibrilación auricular. ¿Cuál es el tratamiento de elección para el control de frecuencia 
cardiaca?",Lidocaína,Adenosina,Labetalol,Propafenona,Digoxina,C
"Varón de 40 años, con dolor en oido izquierdo de moderada intensidad y fiebre. Recibe tratamiento con antiinflamator ios 
y antibióticos. Seis semanas después aparece otorrea e hipoacusia. ¿Cuál es la complicación más frecuente?",Meningitis,Nistagmus persistente,Sinusitis,Rinorrea crónica,Parálisis del V par,A
"La siguiente definición: ""una red de organizaciones que presta, o hace los arreglos para prestar, servicios de salud 
equitativos e integrales a una población definida, y que está dispuesta a rendir cuentas por sus resultados clínicos y 
económicos y por el estado de salud de la población a la que sirve""; corresponde a:",Redes Integradas de Servicios de Salud,Modelo Mixto de Atención de Salud,Sistema de Integración Horizontal,Modelo de Atención Integral de Salud,Asociación Pública Privada de Salud,A
"¿Cuáles son los efectos adversos sistémicos más frecuentes, luego de vacunar a un niño con DPT?","Irritabilidad, fiebre (38° C), somnolencia","Vómito, edema, dolor","Diaforesis, sueño, vómito","Dolor, vómito, convulsiones","Convulsiones, llanto excesivo",A
"De acuerdo a la norma técnica de tuberculosis, al paciente que se le realiza uno o más baciloscopías de esputo, 
corresponde a sintomático respiratorio ...",descartado.,sospechoso.,examinado.,identificado.,detectado.,C
"Mujer de 50 años hipertensa, hipotiroidea, con enfermedad renal crónica estadío III y con antecedente de infecciones 
urinarias a repetición, desarrolla neuropatía periférica. ¿Cuál es el fármaco más asociado a este efecto adverso?",Tiamazol,Nitrofurantoína,Enalapril,Furosemida,Levotiroxina,B
¿Cuál es el tratamiento de elección en pacientes con crisis de ausencia?,Ácido valproico,Gabapentina,Fenitoina,Carbamazepina,Fenobarbital,A
"Varón, con fractura en tercio medio de tibia derecha sin desplazamiento. Presenta marcada inflamación y edema de la 
extremidad lesionada. ¿Cuál es el periodo ideal en horas para colocar el aparato de yeso?",10-18,72-96,01-09,24-72,19-23,D
¿Cuál de los siguientes fármacos puede ser usado como uterotónico en el manejo del alumbramiento?,Terbutalina,Atosibán,Progesterona,Oxitocina,Levonorgestrel,D
"Lactante de 11 meses, presenta durante 3 días fiebre de 39°C, que cede espontáneamente, presentando luego erupción 
máculopapular rosada no pruriginosa en tronco, que se extiende a cara y extremidades. ¿Cuál es el diagnóstico?",Escarlatina,Roséola,Sarampión,Eritema infeccioso,Rubéola,B
"Varón de 30 años, presenta caída a ""horcajada"", llega a emergencia con hematuria franca, incapacidad para orinar. 
Examen: hematoma perineal y sangre en el meato urinario. ¿Cuál es la estructura lesionada?",Riñón,Vejiga,Próstata,Uretra,Uréter,D
"Niño de 12 años que sufre quemadura oftálmica con lejía, se le diagnostica queratitis traumática. ¿Cuál es el tratamiento 
inicial?",Corticoterapia sistémica,Antinflamatorios sistémicos,Oclusión de ojo afectado,Anestésicos locales,Lavado y antibioticoterapia,E
"Varón de 52 años, diabético y enfermedad renal crónica en hemodiálisis, presenta hemorragia digestiva alta, hipotenso 
y taquicárdico. Hb: 5 g/dl. Evoluciona con dolor precordial opresivo y disnea. EKG: cambios compatibles con síndrome 
coronario agudo. Según la clasificación universal de infarto de miocardio. ¿A qué tipo corresponde?",2,3,4,1,5,A
¿Cómo se denomina el tipo de anestesia neuroaxial de aplicación extradural en la periferia?,Sedación,Endovenosa,Subdural,General,Regional,E
¿Cuál de las siguientes alternativas corresponde a la Atención Integral de Salud del Recién Nacido?,Visita familiar integral para nacidos de bajo peso,Atención a prioridades sanitarias IRA,Evaluación músculo esquelética,Prevención de enfermedades prevalentes,Intervenciones educativas a los padres sobre,A
"Gestante O Rh (-) con pareja O Rh (+), no sensiblizada. ¿Entre qué edad gestacional en semanas, debe recibir la 
inmunoglobulina anti D?",34 y 38,22 y 26,28 y 32,36 y 38,18 y 22,C
"¿Cuál de los siguientes estudios epidemiológicos se aplica para conocer la prevalencia de una enfermedad en la 
población?",Caso control,Cohorte,Transversal,Correlacional,Experimental,C
"Primigesta de 42 semanas acude por contracciones uterinas esporádicas y pérdida del tapón mucoso, sin signos de 
alarma. Examen: PA 90/60 mmHg, altura uterina: 33 cm, longitudinal cefálico derecho, latidos fetales: 142X', test no 
estresante reactivo, al tacto vaginal no cambios cervicales y pelvis ginecoide. ¿Cuál es la conducta a seguir?",Observación hospitalizada,Inducción de trabajo de parto,Parto por cesárea,Observación ambulatoria,Ruptura de membranas,B
"Lactante de 6 meses que inicia con rinorrea acuosa, estornudos, fiebre, hiporexia, luego tos y ronquera. Examen: FR: 
32X', FC: 120X', eutrófico, rinorrea trasparente, orofaringe congestiva, membranas timpánicas con eritema circular y 
respiración ruda bilateral. ¿Cuál es el diagnóstico?",Sinusitis,Resfrio común,Faringitis aguda,Bronquitis,Otitis media aguda,B
"Varón de 50 años, con baja de peso y tos productiva. Antecedentes: consumo de cigarrillos desde los 15 años. Luego 
de evaluación y estudios, se diagnostica carcinoma epidermoide pulmonar. En estadíos iniciales del cáncer. ¿A qué tipo 
de epitelio se transforma el pseudoestratificado cilíndrico?",Estratificado escamoso,Simple cilíndrico,Simple cúbico,Simple granular,Poliestratificado mucinoso,A
¿Cuál es el fármaco inhibidor de la fosfodiesterasa que se emplea en el tratamiento del asma?,Budesonida,Montelukast,Teofilina,Tiotropio,Salmeterol,C
"Lactante mujer de 18 meses, con episodios de diarrea a repetición, hiporexia y pobre ganancia pondoestatural. Es traída 
a emergencia con fiebre alta y vómitos alimentarios. Examen: adelgazada, pálida, signos de deshidratación leve, 
abdomen excavado. Laboratorio: reacción inflamatoria negativo. ¿En qué diagnóstico sospecha?",Intolerancia a la lactosa,Intoxicación alimentaria,Gastritis,Infección urinaria,Diarrea bacteriana,D
¿Cuál es la principal acción del lactógeno placentario humano durante el embarazo?,Actividad autoinmune,Relajar el músculo liso,Antagonizar la acción de la insulina,Mantener el cuerpo lúteo,Disminuir el flujo sanguíneo del útero,C
"Varón de 22 años, desde hace 3 días presenta deposiciones líquidas sanguinolentas 2 a 3 veces/día, con vómitos, 
fiebre y dolor abdominal tipo cólico. Antecedente de tratamiento antimicrobiano hace 1 semana. Examen: T: 38°C, FP: 
98 X', deshidratado; abdomen con ligera distensión y aumento de ruidos hidroaéreos. ¿Cuál es el agente causal más 
frecuente?",Clostridium difficile,Rotavirus,Campylobacter jejuni,Vibrion cholerae,Shigella sp,A
¿Cuál de los siguientes fármacos está contraindicado en la gestante hipertensa?,Inhibidores de enzima de conversión de,Simpaticolíticos con acción central,Antagonistas alfa selectivos,Vasodilatadores directos,Antagonistas de los canales de calcio,A
"Varón de 60 años, acude a consulta por presentar dolor óseo, debilidad muscular y fatiga. Bioquímica sanguínea: 
hipofosfatemia, normocalcemia, acidosis metabólica hiperclorémica, hipouricemia e hipokalemia. Dipstick urinario: 
glucosa (+), proteinuria (+). ¿En qué zona de la nefrona se encuentra el defecto?",Túbulo contorneado proximal,Asa descendente de Henle,Túbulo colector,Túbulo distal,Asa ascendente de Henle,A
¿Cuál de las siguientes condiciones aumenta el riesgo de transmisión vertical de VIH?,Ruptura de membranas mayor de 4 horas,Carga viral indetectable,Pinzamiento del cordón umbilical sin ordeñar,Tratamiento antirretroviral,Profilaxis antirretroviral antes del parto,A
