questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"¿Qué anormalidad del pensamiento se caracteriza por quiebres entre el mundo externo y el interno, entre el yo y la 
conciencia de su contenido y dentro de la conciencia de ese mismo contenido?",Obsesivo,Delusional,Esquizofrénico,Demencial,Fuga de ideas,C
"¿Cuál de los siguientes trastornos presenta con más frecuencia síntomas como enlentecimiento psicomotor, hipoergia 
y desánimo, muy semejantes a un episodio depresivo?",Hipotiroidismo,Síndrome de Cushing,Hiperlipidemia,Diabetes mellitus,Panhipopituitarismo,A
"¿Cuál de los siguientes trastornos de personalidad está principalmente asociado a episodios conversivos producto de 
su extrema emocionabilidad y sugestionabilidad?",Dependiente,Evitativo,Narcisista,Histriónico,Obsesivo,D
"Varón de 35 años, hace un año se hizo cirugía bariátrica por obesidad mórbida; no usa complementos nutricionales 
desde hace 10 meses. Con el curso del tiempo se torna triste, desmotivado, con dificultades cognitivas además de 
hiporexia, hipoergia, palidez de piel y mucosas. Hace dos meses se añade desesperanza e ideas pasivas de muerte. 
Luego de la evaluación médica se le indica un cambio de dieta con lo que mejora notoriamente. ¿Cuál es el trastorno 
más probable?",Trastorno de adaptación,Déficit vitamina D,Intoxicación por B1,Exceso vitamina E,Déficit vitamina B12,E
"Varón de 20 años, presenta problemas graves de conducta y socialización desde los primeros años de colegio, como 
hostigar a compañeros y faltar el respeto a profesores, además de maltrato a animales sin sentir pena ni remordimiento. 
Desde la secundaria inició consumo eventual de marihuana, agresividad y hurto. Nunca reconoce sus faltas y señala 
que su familia quiere perjudicarlo inventando todo. ¿Qué trastorno presenta?",Dependencia a sustancias,Déficit de atención con hiperactividad,Conducta disocial,Antisocial de personalidad,Narcisista de personalidad,D
¿Qué antipsicótico es el más relacionado a riesgo de agranulocitosis y convulsiones?,Clozapina,Olanzapina,Quetiapina,Risperidona,Clorpromazina,A
"Niño de 8 años, descrito como ""inquieto, hiperactivo, desobediente"", que desde hace tres años presenta tics faciales 
que se acompañan de sonidos diversos, interrumpe clases con movimientos y exclamaciones. Desde hace dos años 
tiene frecuentes castigos por decir groserías, por lo que tiene matrícula condicional. Fuera de esto, es un niño amable 
y que se relaciona bien con sus compañeros y hermanitos. ¿Qué diagnóstico considera con más probabilidad?",Gilles de la Tourette,Hiperactividad,Déficit parental,Autismo,Personalidad disocial,A
"Varón de 36 años, remitido por Dermatología. Muestra piel de las manos enrojecida, seca y descamada. Refiere que se 
lava con frecuencia las manos con productos de limpieza industrial para no llevar gérmenes a su casa, aunque reconoce: 
""estoy exagerando en mi cuidado, pero no lo puedo evitar"". ¿Cuál es el diagnóstico más probable?",Fobia a la contaminación,Trastorno dismórfico corporal,Ansiedad generalizada,Trastorno obsesivo compulsivo,Parasitosis delirante,D
"¿Cómo se denomina a la crisis de sueño que empieza y termina de forma brusca, que puede acompañarse a veces de 
relajación muscular completa sin perder la conciencia de la realidad?",Cataplexia,Catalepsia,Narcolepsia,Sonambulismo,Pesadilla,C
"¿Qué evaluaría necesaria e inmediatamente, en un paciente con antecedentes de depresión refractaria, diabético, sin 
parientes cercanos, que se presenta a un control de rutina y afirma que se ha retirado los antidepresivos y que ha legado 
sus bienes porque ya no los necesita y que nadie lo extrañará cuando parta de este mundo?",Red de apoyo social,Riesgo de suicidio,Tasa de transporte de litio,Cambio de medicación,Mecanismos de defensa,B
