questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Mujer de 30 años, sin antecedente familiar para cáncer de mama. Examen físico: normal. Ecografía de mamas: 
microquistes agrupados sin lesión sólida interna. ¿A qué categoría BI RADS corresponde?",5,1,3,4,6,C
"¿Cuántas semanas se recomienda mantener un catéter de colecistostomía percutánea dentro de la vesícula antes de 
poder retirarse?",6-Apr,10-Aug,15-Dec,2-Jan,3-Feb,A
"¿En qué patología vascular, se encuentra el signo característico ""cabeza de medusa"" como hallazgo en RM cerebral?",Hemangioma cavernoso,Malformación A-V,Aneurisma,Angioma venoso,Trombosis,D
¿Cuál es el signo ecográfico característico de la colecistitis enfisematosa?,Cálculos biliares,Engrosamiento de pared vesicular,Distensión vesicular,Murphy ecográfico,Gas en pared vesicular,E
"¿Cuál es el comportamiento de señal en Resonancia Magnética de la hemorragia parenquimatosa cerebral en fase 
aguda (12-48 horas)?",Hiperintensa en T1 y T2,Hipointensa en T1 y T2,"Intermedia en T1 , hiperintensa en T2","Intermedia en T1, hipointensa en T2",Hipointensa en T1 e hiperintensa en T2,D
"Paciente con sospecha de infección fuera del sistema esquelético. ¿Qué estudio de medicina nuclear puede realizarse 
para detectar una infección oculta?",Leucocitos marcados con Indio-111,Tecnecio-99m,Yodo-123,FDG,Talio-201,A
En la descripción de un nódulo mamográfico. ¿Cuál es el margen que se caracteriza por ondulaciones de ciclo corto?,Microlobulado,Circunscrito,Oscurecido,Indefinido,Espiculado,A
¿Cuál es el primer estudio radiológico que debe realizarse en los pacientes sintomáticos con enfermedad de Crohn?,Resonancia,Tránsito intestinal,Colon a doble contraste,Tomografía,Gammagrafía,D
"Varón de 50 años con cervicalgia prolongada, déficit sensitivo y debilidad motora. RM columna vertebral: lesión 
intramedular cervical central, delimitada, hipointensa en T1 e hiperintensa en T2, realce nodular con la sustancia de 
contraste. ¿Cuál es la primera posibilidad diagnóstica?",Ganglioglioma,Hemangioma,Ependimoma,Astrocitoma,Hemangioblastoma,C
¿Qué fármaco se utiliza en la colecistografía isotópica?,Gadolinio,IDA con Tc-99m,Tc-99m DTPA,Yodo-123,Indio-111,B
¿Cuál es la indicación más frecuente de la embolización esplénica?,Púrpura trombocitopénica idiopática,Aneurisma arterial esplénico,Talasemia,Hiperesplenismo por hipertensión portal,Tumor esplénico,D
¿Cuál es una contraindicación absoluta de fibrinólisis?,Hipertensión no controlada,Endocarditis bacteriana,Sangrado interno activo,Retinopatía diabética,Embarazo,C
¿Cuál es el tumor benigno que afecta con más frecuencia el retroperitoneo?,Paraganglioma,Lipoma,Linfangioma,Hemangioma,Teratoma maduro,C
"Mujer de 60 años acude a marcación con arpón bajo guía mamográfica. Mamografía: mama derecha con 
microcalcificaciones amorfas, agrupadas en cuadrantes inferointernos. ¿Cuál es la mejor incidencia mamográfica para 
que ingrese el arpón?",Lateromedial,Craneal exagerada,Interaxilar,Caudocraneal,Tangencial,D
"En una radiografía de tórax en posición de pie. ¿Cuál es el principal hallazgo radiológico asociado a derrame pleural no 
loculado?",Opacificación de un hemitórax,Ensanchamiento mediastinal,Concavidad en base pulmonar,Aplanamiento del diafragma,Borramiento del seno costofrénico,E
"¿En cuál de los tumores óseos benignos, NO hay captación significativa en la gammagrafía ósea?",Osteoma osteoide,Encondroma,Osteocondroma,Condroblastoma,Histiocitoma fibroso,B
¿Cuál es el origen más frecuente de tumores del mediastino posterior en adultos?,Quístico,Neurogénico,Ganglionar,Vascular,Óseo,B
¿Qué órgano debe incluir la evaluación tomográfica en el estadiaje del cáncer de pulmón?,Duodeno,Vesícula Biliar,Suprarrenal,Páncreas,Estómago,C
¿Cuál es la neoplasia cerebral extraaxial más frecuente en adultos?,Neurinoma,Meningioma,Hemangiopericitoma,Teratoma,Craneofaringioma,B
¿Cuál es la neoplasia maligna más frecuente en dar metástasis a la vesícula biliar?,Sarcoma,Linfoma,Melanoma,Neuroblastoma,Timoma,C
"¿Cuál es la complicación más frecuente en una biopsia por aspiración con aguja fina bajo guía ecográfica de nódulo 
tiroideo?",Hematoma carotideo,Infección,Punción traqueal,Dolor,Parálisis del nervio recurrente,D
¿Cuál es la indicación más frecuente para la creación de un shunt portosistémico intrahepático transyugular (TIPS)?,Ascitis masiva persistente,Hidrotórax refractario resistente,Gastropatía hipertensiva portal,Sangrado de várices gastroesofágicas,Síndrome hepatorrenal,D
"Mujer de 20 años, con historia de dismenorrea y sospecha de endometriosis diseminada. ¿Cuál es la técnica de imagen 
de elección para confirmar el diagnóstico?",Ecografía,Tomografía,Resonancia,Radiografía,Gammagrafía,C
"¿Cuál es la técnica que realiza una oclusión vascular temporal o permanente inducida por la administración intravascular 
de materiales a través de una vía percutánea?",Filtro en VCI,Colecistostomía,Drenaje biliar,Fibrinolisis,Embolización,E
¿Qué estudio radiológico sirve para evaluar la uretra masculina anterior?,Uretrografía retrógrada,Cistografía miccional,Resonancia funcional,Fluoroscopía,Ecografía,A
