questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Cuál es el tumor de la glándula pituitaria posterior?,Adenoma pituitario,Adenoma atípico,Oncocitoma de células fusiformes,Carcinoma pituitario,Gangliocitoma,E
"Varón con lesión elevada en colon distal, infiltrado inflamatorio crónico con histiocitos grandes, eosinófilos, con cuerpos 
de Michaeles-Gutman. ¿Cuál es el diagnóstico más probable?",Pólipos inflamatorios,Síndrome de Cronkhite-Canadá,Malacoplaquia,Síndrome de Cowdon,Pólipo de prolapso mucoso,C
"Paciente encontrado fallecido por infarto miocárdico después de 12 hs. ¿Qué tipo de necrosis espera encontrar en la 
necropsia?",Caseosa,Grasa,Liquefactiva,Coagulativa,Química,D
La diseminación temprana del adenocarcinoma de páncreas es a...,ganglios paraaórticos.,pulmón.,pleura.,cerebro.,tejido retroperitoneal.,E
"Paciente de 5 años con tumor cerebral, localizado en la línea media cerebelosa. ¿A qué tipo de astrocitoma podría 
corresponder?",Difuso,Pilocítico,Anaplásico,Fibrilar,Gemistocítico,B
¿Cuál es el marcador de inmunohistoquímica alternativo a BCL2 (negativo) en el diagnóstico de linfoma folicular?,CD5,CD43,CD23,E17,CD57,D
¿Cuál es el cáncer mamario menos frecuente?,Apocrino,Neuroendocrino,Metaplásico,Medular,Mixto,C
¿Qué tejido conectivo es el constituyente principal del cordón umbilical?,Mesenquimatoso,Conectivo laxo,Reticular,Mucoso,Elástico,D
"¿Cuál de las sustancias es una glucoproteína que a través de la cual los fibroblastos migran durante la cicatrización de 
una herida?",Laminina,Fibronectina,Elastina,Fibrilina,Entaclina,B
"Mujer joven con lesión solitaria en el hígado de 15cm, refiere dolor abdominal, malestar y náuseas, fosfatasa alcalina 
elevada y alfa fetoproteínas normales. La patología revela cápsula incompleta, hepatocitos dispuestos en placas 
gruesas de 1 a 3 células y población uniforme. ¿Cuál es el diagnóstico más probable?",Hiperplasia nodular focal,Carcinoma hepatocelular,Nódulo regenerativo grande,Adenoma hepatocelular,Hiperplasia nodular regenerativa,D
"Se realiza una biopsia de cérvix a una mujer en edad reproductiva por presentar un papanicolaou tipificado como 
ASCUS. A la lectura de la lámina se observan los siguientes hallazgos: displasia moderada, coilocitos, atipia citológica 
de leve a moderada que abarcan los dos tercios inferiores del epitelio y figuras mitóticas. ¿Cuál es el diagnóstico?",Lesión escamosa intraepitelial de alto grado (LEI-II),Lesión escamosa intraepitelial bajo grado (LEI-I),Lesión escamosa intraepitelial de alto grado (LEI-III),Lesión escamosa intraepitelial de bajo grado asociada a coilocitos,Displasia leve asociada a coilocitos,A
La categoría 4.3 de la estadificación patológica (TNM) del carcinoma gástrico corresponde a...,carcinoma invasivo.,adenoma de alto grado.,sospecha de carcinoma invasivo.,carcinoma intermucoso.,carcinoma submucoso.,C
¿Qué tipo de hemangioendotelioma se presenta preferentemente en niños?,Pseudomiógeno,Kapociforme,Compuesto,Epiteliode,Retriforme,B
¿Cuál de los carcinomas de células renales da positividad para el hierro coloidal?,Células claras,Papilar,Medular,Tubular mucinoso,Cromófobo,E
¿Cuál es el tumor que se origina de las células del músculo liso del canal de Sucquet?,Hemangiopericitoma,Higroma,Miopericitoma,Glómico,De DABSK,D
"En un frotis de citología cervical se evidencia en el extendido cocobacilos que ocultan la membrana celular, presencia 
de escasas células inflamatorias y ""células delatoras"". Hay ausencia de lactobacilos. ¿Cuál es el diagnóstico citológico?",Vaginitis bacteriana,Vaginitis viral,Vaginosis bacteriana,Vaginits micótica,Vaginitis por Actinomyces,C
¿Cuál es la ubicación más frecuente del rabdomiosarcoma de cabeza y cuello en niños?,Órbita,Nasofaringe,Oído medio,Hueso temporal,Oído externo,A
"Paciente mayor que presenta eritrodermia, linfadenopatia, alopecia y onicodistrofia, hiperqueratosis palmo plantar y 
linfocitos T anormales circulantes. ¿Cuál es el síndrome más probable?",Muir-Torre,Meigs,Maffuci,Sézary,Turcot,D
"Mujer con antecedente de uso de DIU. Clínicamente cursa con sangrado vaginal y ""malestar pélvico"". Se le realiza una 
biopsia endometrial diagnóstica; encontrándose a la microscopía edema estromal, células estromales en forma de huso, 
necrosis, infiltrado inflamatorio focal, presencia de células plasmáticas y escasos eosinófilos. ¿Cuál es el diagnóstico 
histopatológico?",Endometritis aguda,Endometritis estreptocócica,Endometritis eosinofílica,Endometritis por micoplasma genitalium,Endometritis crónica,E
"Tumor dependiente de la submucosa colónica de rara presentación; histológicamente son células fusocelulares y en 
algunos casos son epiteliodes. Los resultados de inmunohistoquímica dan positividad para CD34, KIT, DOG1 y es 
negativa para SM",Leiomioma,Tumor estromal gastrointestinal,Schawannoma,Rabdomioma,Perineuroma,B
¿Cuál es el anticuerpo con patrón de tinción nuclear en lesiones linfoproliferativas?,CD19,CD20,PAX5,MIC2,CD3,C
"Paciente con tumor en glándula parótida, la superficie de corte revela espacios quísticos que contienen líquido lechoso. 
La patología muestra estructuras quísticas con disposición papilar tapizado por epitelio eosinofílico y estroma linfoide. 
¿Cuál es el diagnóstico más probable?",Tumor de Warthin,Adenoma de células basales,Carcinoma adenoide quístico,Carcinoma mioepitelial,Carcinoma mucoepidermoide,A
¿Cuál es el marcador para precursores linfoides T?,CD20,CD23,CD5,CD15,CD19,C
Embriológicamente. ¿Cuál es la bolsa faríngea que da origen al timo?,Cuarta,Primera,Segunda,Cuarta y quinta,Tercera y cuarta,E
¿Cuál de los siguientes tumores es más probable que haga metástasis a la placenta?,Carcinoma de células claras del riñón,Melanoma,Carcinoma epidermoide de piel,Adenocarcinoma gástrico,Cistoadenocarcinoma mucinoso de ovario,B
¿Cuál es el grupo pronóstico del carcinoma in situ de laringe en la clasificación TNM?,I,Tis N0 M0,T0 N0 M0,T1 N0 M0,II,B
¿Cuál es el linfoma No Hodgkin con mejor sobrevida a los 5 años?,Linfoplasmocítico,Burkitt,Células del manto,Linfocítico de células pequeñas,Folicular,E
"Se recibe placenta a término con nódulo solitario, firme ubicado en el parénquima placentaria, cerca a la superficie fetal, 
color marrón. ¿Cuál es el diagnóstico más probable?",Teratoma,Neuroblastoma,Angiomatosis,Corioangioma,Linfangioma,D
¿Cuál es la localización más frecuente del mieloblastoma?,Lengua,Extremidades,Región cervical,Órganos viscerales,Hueso,A
¿En cuál de las patologías se observa lesiones semejantes a la sarcoidosis no caseificante?,Neumoconiosis,Silicosis,Asbestosis,Beriliosis,Talcosis,A
¿Cuál es el marcador de inminohistoquímica que su sobre expresión indica recaida temprana del hepatocarcinoma?,Deciclina D,p53,ß Catenina,p27,E-Cadherina,A
¿Cuál es la característica del carcinoma lobular de mama?,Poco común en mujeres de menos de 40 años,Más frecuente en hombres,Presenta mayor frecuencia de invasión perineural,Tiene grado histológico mayor,Mayor frecuencia de invasión linfovascular,A
¿En qué tipo de cáncer pulmonar se observan gránulos hipersecretores?,De células escamosas,De células pequeñas,De células grandes,Bronquioloalveolar,Adenocarcinoma,B
¿Cuál es la característica de la hiperplasia endocervical microglandular?,Es tipificada como una lesión premaligna,Presenta áreas sólidas que pueden confundirse,Se presenta en mujeres postmenopáusicas,Su compromiso tumoral puede comprometer,Su génesis tiene relación con el uso de AINES,B
¿Cuál es la característica del hidradenoma papilífero vulvar?,Se origina de ambas glándulas sudoriparas holocrinas y merocrinas,Es una lesión vulvar muy dolorosa,Tiene conexión con la superficie dérmica,Es una lesión tumoral de bordes no definidos,Se origina de glándulas sudoriparas ecrinas,E
"Tumor en cuero cabelludo, infiltrante. La histología revela aspecto cribiforme con espacios quísticos que contienen 
material basofílico PAS positivo. ¿Cuál es el diagnóstico más probable?",Acrospiroma maligno,Carcinoma adenoide quístico,Poroma ecrino,Carcinoma mucinoso,Adenocarcinoma sebáceo,B
Es característica propia de los pinealocitos:,Contiene concreciones de calcio,Actúan como células sinápticas posganglionares,Producción de melatonina,No son afectadas por los ciclos de luz y oscuridad,Se parecen a los astrocitos,C
"Paciente de 68 años, portador de prótesis dental floja, presenta formación tumoral con aspecto fibroso. La histología 
revela tejido colagenoso cubierto de epitelio escamoso hiperplásico, ulcerado con abundante tejido de granulación. 
¿Cuál es el diagnóstico más probable?",Epulis de células granulares,Epulis vascular,Sarcoma de Kaposi,Hiperplasia fibrosa periférica,Granuloma piógeno,D
"Tumor cerebral con marcada atipia, mitosis, hiperplasia microvascular, hemorragía y necrosis. ¿Cuál es el diagnóstico 
más probable?",Glioblastoma multiforme,Astrocitoma anaplásico,Astrocitoma difuso,Oligodendromioma,Ependimoma,A
Paciente con diagnóstico de adenocarcinoma gástrico que invade hasta la subserosa. ¿Cuál es el estadío patológico?,pT2,pT4,pT4a,pT4b,pT3,E
¿Cuál es el linfoma más común en la glándula tiroides?,Difuso de células grandes B,B intravascular,T intravascular,Burkitt,Hodgkin,A
¿Dónde se localiza el cartílago hialino?,Conducto auditivo,Meniscos de la rodilla,Epigliotis,Extremo vertebral de las costillas,Discos articulares,D
"¿Cuál es el marcador de inmunohistoquímica que identifica las células dentríticas de la histiocitosis de las células 
Langerhans?",CD 1a,CD 3,CD 57,CD 68,CD 15,A
¿Cuál es el lugar más frecuente de recurrencia del carcinoma de células acinares de las glándulas salivales?,Submandibular,Muscosa oral,Labio superior,Parótida,Paladar,D
¿Cuál es el tumor ubicado en el ligamento ancho de origen Mülleriano?,Masa de tipo uretral,Leiomioma,Adenosarcoma,Adenocarcinoma seroso,Restos de suprarenal,D
"Mujer adulta presenta dolor severo lancinante en planta del pie, región de las cabezas de metatarsianos, se agrava al 
caminar y alivia con el reposo. La patología revela marcada fibrosis endoneural, perineural y epineural y hialinización 
con pérdida de los axones. ¿Cuál es el diagnóstico más probable?",Neuroma de Morton,Neuroma traumático,Neuroma Paciniano,Neuroma mucoso,Neuroma circunscrito solitario,A
"Paciente con diagnóstico de adenocarcinoma de vejiga urinaria (origen uracal). Usted quiere saber si es de origien 
colónico, por lo que se solicita estudio de inmunohistoquímica: CDX2, CK7, trombomoludina. ¿Qué resultado espera 
encontrar?","CDX2 (+), Trombomoludina (-), CK7 (-)","CDX2 (+), Trombomoludina (+), CK7 (+)","CDX2 (-), Trombomoludina (+), CK7 (+)","CDX2 (+), Trombomoludina (+), CK7 (-)","CDX2 (-), Trombomoludina (-), CK7 (+)",B
¿Cuál de los siguientes nevos melanocíticos es usualmente amelanótico?,Congénito,Vulvar,Células globoides,Acral,Ota,C
"En el diagnóstico de adenocarcinoma de próstata, la aparición de glándulas fusionadas. ¿A qué Gleason corresponde?",1,3,6,5,4,E
¿Cuál de los siguientes elementos sanguíneos posee gránulos específicos y azurófilos?,Eritrocito,Linfocito,Monocito,Plaquetas,Neutrófilo,E
¿Cuál es el indicador pronóstico mas importante en el cáncer de laringe?,Participación del espacio linfovascular,Metástasis nodal y extensión extranodal,Patrón de invasión,Respuesta del huésped,Bordes de recepción,B
¿Cuál es el estudio de inmunohistoquímica específico para el Gist del intestino delgado?,CD 34,Kit,SMA,S100,Desmina,B
¿Dónde se secreta la inhibina?,Vesículas seminales,Glándulas bulbouretrales,Glándula prostática,Células de Leydig,Células de Sertoli,E
Es característica macroscópica de la bronconeumonía:,Consolidación extensa en un lóbulo de un pulmón,Consolidación en ambos pulmones,Consolidación tardía,Consolidación extensa en un lóbulo o en ambos lóbulos,Consolidación parcheada,E
"Paciente portador de esclerosis múltiple, con tumor renal de 4cm, asintomático, al corte el tumor es amarillo, bien 
encapsulado, infiltración local, la histología revela proliferación de tejido adiposo, músculo liso y vasos sanguíneos. 
¿Cuál es el diagnóstico más probable?",Lipoma,Angiomiolipoma,Angiosarcoma,Liposarcoma,Leiomioma,B
¿Qué patología produce la deficiencia de alfa 1 antitripsina en un niño?,Fibrosis quística congénita,Hepatitis neonatal,Fibrosis pulmonar,Bronquitis crónica,Enfermedad de Wilson,B
¿Cuál es el marcador negativo de valor discriminador en el mesotelioma?,CK 5/6,Calretinina,CEA,Podoplanina,EMA,C
¿Cuál es el carcinoma de laringe localmente destructivo y que no da metástasis?,Adenoescamoso,Basaloide de células escamosas,De aspecto linfoepitelial,Verrucoso,De células gigantes,D
¿Cuál es la sustancia que es secretada por la médula suprarrenal?,Catecolaminas,Mineralocorticoides,Glucocorticoides,Andrógenos,Estrógenos,A
"Varón portador de lesión esplénica, la patología revela lesión de distribución desordenada de espacios irregulares o 
redondos llenos de sangre sin formar masa, ubicado en área parafolicular. ¿Cuál es el diagnóstico más probable?",Peliosis,Hemangioma,Linfangioma,Angioma de células litorales,Hemangiosarcoma,A
El patrón histológico menos frecuente en el Feocromocitoma es...,células fusiformes.,alveolar.,trabecular.,sólido.,cordones de células anastomosadas.,A
¿Cuál es la neoplasia maligna más frecuente de pulmón?,Metástasis,Epidermoide,Tumor mixto,Adenocarcinoma,Carcinoma de células pequeñas,A
¿Qué coloración de histoquímica identifica los mieloblastos?,Sudan black,PAS,CD 45,Mieloperoxidasa,Grocott,D
¿Cuál es el tumor que predominantemente se presenta en las glándulas salivales menores del paladar?,Sialoadenoma papilifero,Tumor de Warthin,Carcinoma de células acinarias,Oncocitoma,Adenoma canalicular,A
¿Cuál es el marcador de inmunohistoquímica que se relaciona con pobre evolución del carcinoma de células de Merkel?,CK20,CAM,EMA,Cromogranina,P63,E
"Varón que presenta formación nodular en la porción flexora de las falanges proximales. La histología revela 
miofibroblastos, eosinófilos pálidos, mitóticamente activos, núcleos vesiculares, dispuestos en fascículos que infiltran la 
fascia y subcutáneo. ¿Cuál es el diagnóstico más probable?",Fibromatosis desmoide,Fibromatosis palmar,Fascitis proliferativa,Tumor inflamatorio miofibroblástico,Enfermedad de Ledderhose,B
"Varón de 62 años con diagnóstico de carcinoma de células renales localizado en polo inferior que mide 7.8cm sin 
compromiso de cápsula renal. ¿A qué estadío patológico corresponde?",T2b,T3a,T3b,T2a,T4,D
¿Cuál es el tumor mesenquimal más frecuente en laringe?,Condroma,Fibrosarcoma,Condrosarcoma,Schawnnoma,Angiosarcoma,C
¿Cuál es el marcador específico para tejidos y neoplasias derivadas de la Notocorda?,CK5,EMA,S-100,P16,Braquiúrea,E
"Varón de 20 años con obstrucción nasal, epistaxis, tumor en el área del foramen esfenopalatino. ¿Cuál es el 
diagnóstico más probable?",Neurofibroma,Leiomioma,Rabdomioma,Fibroma,Angiofibroma,E
¿Cuál de las siguientes lesiones cutáneas es de potencial biológico intermedio?,Tumor fibrolipomatoso hemosiderótico,Tumor mesenquimatoso fosfatúrico,Tumor inflamatorio miofibroblástico,Tumor fibromixoide osificante,Angiofibroma de tejidos blandos,D
"Varón de 17 años, jugador de fútbol, presenta nódulo de 2mm de diámetro en borde lateral de lengua, de color violáceo, 
de crecimiento rápido, sangra con facilidad. Menciona apareció luego de morderse la lengua. Como antecedente ha 
tenido relaciones sexuales con 17 mujeres durante el último año, y es habitual que tenga relaciones sexuales con 
prostitutas. En la biopsia de la lesión se observa proliferación lobular de capilares sobre un fondo mixoide, debajo de 
una úlcera con infiltrado inflamatorio. ¿Cuál es el diagnóstico más probable?",Sarcoma de Kaposi,Hemangioma capilar juvenil,Angiosarcoma,Granuloma piógeno,Angioma cavernoso,D
"Mujer de 32 años, con tiempo de enfermedad de 3 semanas, caracterizado por dolor epigástrico, dispepsia e hiporexia. 
En la endoscopía se observa eritema en mucosa gástrica, y se toma biopsia de diversas áreas. En dichas biospias se 
observa inflamación crónica superficial y profunda de grado moderado con actividad severa, y folículos linfoides con 
centro germinal. ¿Dónde tiene mas opción de encontrar el bacilo causante?",Mucosa intestinal,Mucosa del cuerpo,Mucosa antral,Mucosa gástrica con metaplasia intestinal,Mucosa gástrica erosiva y/o ulcerada,C
¿Qué variante de meningioma corresponde al grado III de la OMS?,Cordoide,Papilar,Células claras,Psamomatoso,Microquístico,B
En el sarcoma de Ewing extra óseo. ¿Cuál es el reordenamiento del gen?,MEN1,PTEN,EWSR1,RET,ALK,C
El tumor de Fechner es primario de...,laringe.,nasofaringe.,pulmón.,pericardio.,glándula salival.,C
¿Cuál es la enzima secretada por las células acinares del páncreas exocrino?,Glucagon,Lisozimas,Proteinas plasmáticas,Proteasas,Insulina,D
"Varón, en su séptima década de vida, presenta una lesión hipercrómica marrón oscuro en la mucosa sinonasal de 
crecimiento progresivo. En los hallazgos histopatológicos posterior a la toma de una biopsia se encontró mantos de 
células epiteliodes con nucleolos prominentes en algunas de ellas en un patrón infiltrativo con presencia de figuras 
mitóticas y un pigmento marrón. ¿Cuál es el diagnóstico si el resultado del S-100 dá positivo?",Lentigo maligno,Nevus azul,Nevus displásico,Melanoma maligno,Nevus lentiginoso,D
¿Cuál es la lesión epitelial de la vulva que puede progresar a carcinoma?,Liquen escleroso,Hidroadenoma papilar,Pólipo del estroma,Queratosis seborréica,Hiperplasia escamosa,E
