questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Cuál de las siguientes es una ventaja del uso de la anestesia balanceada?,Lenta absorción,Lento despertar,Lenta reversibilidad de la profundidad anestésica,Baja excitación,Buena hipnosis y analgesia,E
En la valoración para intubación traqueal. ¿A qué equivale un grado III de Mallampati?,Imposibilidad para ver el paladar blando,Visibilidad del paladar blando y úvula,Solo hay visibilidad del paladar blando,"Visibilidad del paladar blando, úvula y pilares",Visibilidad de cuerdas vocales,C
¿Cuál de las siguientes es una complicación de la inducción anestésica?,Fiebre,Cefalea,Reflujo gástrico,Laringoespasmo,Convulsiones,D
¿Cuál de los siguientes es un efecto adverso del uso crónico de los opiodes?,Prurito,Urticaria,Depresión respiratoria,Retención urinaria,Hipogonadismo,E
¿Cuál es el número de máscara laríngea que le corresponde a un niño eutrófico que pesa entre 20 a 30 kg?,1.5,2.5,1,4,3,B
"El paciente declarado en muerte cerebral y donante de órganos, equivale en la clasificación ASA a la clase:",5,4,3,6,2,D
¿Cuál de los siguientes laringoscopios tiene la hoja curva?,Flagg,Guedel,Macintosh,Miller,Winconsin,C
¿Cuál es el primer componente en la secuencia del bloqueo nervioso con el uso de anestésicos locales?,Pérdida de la sensibilidad táctil y de presión,Pérdida de la sensibilidad dolorosa y térmica,Pérdida de la propiocepción,Bloqueo simpático con vasodilatación,Parálisis motora,D
¿Cuál de los siguientes es un anestésico local de tipo éster?,Lidocaína,Procaína,Bupivacaína,Mepivacaína,Prilocaína,B
¿Cuál de las siguientes es una característica del dantroleno?,Aumenta la salida de calcio del retículo,Se metaboliza y excreta por vía hepática,Aumenta el reingreso de calcio,Disminuye la salida de calcio del retículo,Aumenta el sodio intracelular,D
El grado de dificultad IV para la ventilación con mascarilla facial se refiere a:,La imposibilidad de la ventilación con o sin mascarilla,Que se precisa el empleo de cánula nasal o faríngea,Una ventilación eficaz con mascarilla facial sin ayuda de dispositivos,Que se precisa emplear cánula de Guedel,Una ventilación difícil con dos personas y el empleo de cánula,A
¿Cuál de las siguientes es una contraindicación relativa de la anestesia neuroaxial?,Coagulopatía,Rechazo del paciente,Dolor crónico de espalda,Septicemia o bacteremia,Infección en el sitio de punción,C
La anestesia general es un estado fisiológico alterado que se caracteriza por:,Hipnosis y relajación muscular,"Inconsciencia, analgesia, relajación muscular y amnesia",Analgesia e inconsciencia,"Inconsciencia, inmovilidad y amnesia",Hipnosis y analgesia,B
"Paciente geronte hipertenso, que consume apraclonidina por largo tiempo para reducir la presión intraocular, es 
programado para cirugía ocular, por lo que se decide suspender el medicamento en el preoperatorio. ¿Cuál es el evento 
adverso mas frecuente a presentarse en éste caso?",Hipotensión arterial,Taquicardia,Tos,Vómitos,Hipertensión arterial,E
"Paciente joven con isquemia cerebral aguda que recibirá anestesia general. ¿Cuál de los siguientes 
fármacos es el indicado para el manejo anestésico?",Ketamina,Nimodipina,Corticoide,Barbitúrico,Succinilcolina,D
¿Cuál de los siguientes fármacos está indicado para el tratamiento de la hipertermia maligna?,Flumazenil,Dipirona,Dantroleno,Dexametasona,Dimenhidrinato,C
"En un paciente diabético sometido a una operación de mediana complejidad, el control de la glicemia se realiza:","En el pre, intra y posoperatorio",Solo en el preoperatorio,Al final de la cirugía,Un día antes de la operación,Al inicio de la cirugía,A
El propofol es un hipnótico ideal para la inducción y mantenimiento de la anestesia en neurocirugía debido a que:,Aumenta el flujo sanguíneo cerebral y disminuye la PIC,Aumenta el volumen sanguíneo cerebral y la PIC,Es antiemético y anticonvulsivante,"Reduce el flujo sanguíneo, el índice metabólico, el volumen sanguíneo cerebral y la PIC",Es antipruriginoso y antiemético,D
¿Cuál de los siguientes es un antídoto puro de los opiáceos?,Ciclazocina,Buprenorfina,Nalmexona,Neostigmina,Naloxona,E
El metabolismo de la meperidina es a nivel ...,renal.,hepático.,del plasma.,celular.,biliar.,B
"Promover la cultura de la seguridad del paciente de forma más integra y contribuir a reducir la mortalidad y 
complicaciones de los pacientes quirúrgicos, se asocia a:",La experiencia del anestesiólogo y el cirujano,Antibioticoterapia profiláctica,La aplicación de la lista de verificación de cirugía,La solicitud de exámenes preoperatorios,La obtención del consentimiento informado,C
¿Cuál de los siguientes fármacos anestésicos es derivado de la fenciclidina?,Ketamina,Tiopental,Diprivan,Propanidida,Etomidato,A
¿Cuál de las siguientes es una contraindicación de la anestesia general con el uso de mascarilla facial?,Cirugía con una duración menor a 30 minutos,Para desnitrogenar en inducción,Laringoespasmo,Paciente con terapia de coagulación,Paciente ambulatorio,C
¿Cuál es la técnica anestésica mas adecuada en el manejo de un paciente que será sometido a cirugía de un pulmón?,Uso de óxido nitroso mas tubo de doble lumen,Anestesia general con tubo simple,Anestesia general inhalatoria con tubo de doble,No dar dosis suplementarias por el catéter,Anestesia general combinada con epidural,E
¿Cuál es la contraindicación para el uso de analgesia regional en el trabajo de parto?,Vía aérea difícil,Coagulopatía,Enfermedad cardiorespiratoria,Preeclampsia,Embarazo múltiple,B
La estimulación más importante para la secreción de hormona antidiurética y de aldosterona es la:,Hipotensión arterial,Hipovolemia,Taquicardia,Hipernatremia,Bradicardia,B
¿Cuál de los siguientes opiodes tiene acción agonista u2 y antagonista sigma?,Nalorfina,Buprenorfina,Morfina,Fentanilo,Meperidina,E
"¿Cuál de los anestésicos mencionados es el menos indicado en pacientes en quienes se sospecha o tienen un aumento 
de la presión intracraneal?",Óxido nitroso,Isoflurano,Sevoflurano,Ketamina,Tiopental,D
"¿Cuál es el anestésico endovenoso muy utilizado en sedación, anestesia general, actúa en los receptores GABA y 
con efecto antiemético?",Propofol,Midazolam,Diazepam,Tiopental sódico,Succinilcolina,A
"¿Cuál de los siguientes anestésicos inhalatorios está relacionado con mayor frecuencia a episodios de hepatitis 
posanestésica?",Halothano,Isoflurano,Desflurano,Óxido nitroso,Sevoflurano,A
