questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Paciente de 45 años, con talla de 170 cm y 70 kg de peso, ha ingresado hace 30 min a la UCI de recuperación 
cardiovascular en el postoperatorio inmediato de una revascularización miocárdica con 3 bypass aortocoronarios. 
Examen: PA 90/60 mmHg, FC 110X’, FR 15X’ y se evidencia eliminación de 1000 ml de sangre por drenajes. ¿Cuál es 
la mejor conducta a seguir?",Conducta expectante por una hora,Realización de estudios de perfil de coagulación,Transfusión de componentes sanguíneos como concentrado de glóbulos rojos y plaquetas,Administrar protamina y ácido tranexámico,Retorno a sala de operaciones para reesternotomía y revisión de hemostasia,E
¿Cuál es la estructura que se lesiona con mayor frecuencia en un traumatismo cardiaco penetrante?,Ventrículo izquierdo,Aurícula derecha,Ventrículo derecho,Aurícula izquierda,Aorta,C
"Mujer de 72 años, referida por tos hace 6 semanas con inicio de sibilancias, respiración acortada, sudoración nocturna 
y pérdida de peso. Su historia clínica incluye hipertensión arterial, dislipidemia y consumo de una cajetilla de cigarros 
por día. Rx Tórax: masa en lóbulo inferior izquierdo y derrame pleural izquierdo. ¿Cuál es la conducta siguiente más 
apropiada?",Quimioterapia.,Biopsia pleural cerrada.,Resección quirúrgica de la masa,Toracocentesis y citología,Toracoscopia,D
"Paciente de 65 años con antecedente de tres infartos y que en la actualidad presenta disnea y angina por cardiopatía 
isquémica, con aneurisma antero-apical e insuficiencia mitral moderada (FE = 30%). La mejor opción terapéutica será:",Aneurismorrafía + revascularización + cambio mitral,Cirugía de Door + revascularización de miocardio + cambio mitral,Trasplante cardiaco,Cirugía de Door + revascularización de miocardio,Cirugía de Door + plastia mitral + revascularización de miocardio,E
"El principal aminoácido neurotransmisor implicado en el mecanismo de lesión neurológica luego de la cirugía de 
revascularización coronaria es:",Metionina,Glutamato,Prolina,Histidina,Glicina,B
"Varón de 69 años con triple bypass aortocoronario, al momento con infusión de dobutamina a 12 mcg/Kg/min, 
noradrenalina 0.2 mgr/Kg/min y que presenta los siguientes parámetros hemodinámicas PA: 90/60 mmHg, IC: 1.8 
L/min/m2, PVC: 15 mmHg; AI: 22 mmHg; RVS: 3200 dinas; RVP: 500 dinas. ¿Cuál es la conducta correcta a seguir?",Instalar ECMO,Reingresar a circulación extracorpórea y revisar los puentes,El paciente está compensado y sólo necesita protamina,Colocar balón de contrapulsación,Iniciar asociación de vasopresina,D
"En el traumatismo penetrante del corazón, el mejor tratamiento es:",Pericardiocentesis,Observación y monitoreo,Esternotomía de urgencia,Drenaje torácico,Balón de contrapulsación,C
"Mujer de 65 años con antecedente de trombosis venosa poplítea en miembro inferior derecho hace 2 años, luego de 
cirugía en cadera. Desde entonces tiene edema de pierna derecha +/++++. Acude a consulta por que ha aumentado la 
presencia de venas ingurgitadas en esa misma pierna ¿Cuál es la mejor indicación?",Antiagregación plaquetaria,Anticoagulación plena,Safenectomía convencional,Usar medias elásticas de compresión graduada,Safenectomía,D
¿Cuál es la válvula con mayor tendencia a desarrollar endocarditis infecciosa?,Mitral,Aórtica,Tricúspide,Pulmonar,De Tebesio,B
"En la transposición de grandes vasos. ¿Qué tipo de lesión asociada es esencial para la supervivencia inmediata del 
recién nacido?",Comunicación interventricular,Estenosis pulmonar,Atresia tricuspídea,Comunicación interauricular,Cabalgamiento de la aorta,D
El síndrome de Raynoud afecta las extremidades superiores y clínicamente se caracteriza por:,Manos pálidas y frías,Ausencia de pulsos periféricos,Claudicación de miembro superior,Dolor en reposo de manos,Presencia de úlceras,A
"Dos horas después del cateterismo cardíaco para la evaluación de una cardiopatía congénita, se observa que un niño 
de 1 año tiene el pulso femoral derecho ausente en el sitio de la punción, el pie derecho está frío y sin pulso; puede 
mover el pie y lo retira al dolor. Los pulsos en la otra pierna y el pie son normales. ¿Cuál de las siguientes es la mejor 
conducta a seguir?",Arteriografía para evaluar lesión,Exploración quirúrgica inmediata de la arteria femoral derecha con una embolectomía de Fogarty,Heparinización y observación,Exploración quirúrgica inmediata de la arteria femoral derecha con un injerto de interposición de vena safena,Exploración quirúrgica inmediata de la arteria femoral derecha con arteriotomía y abordaje del colgajo de la íntima,C
La confluencia de la vena radial y cubital originan la vena:,Axilar,Braquial,Basílica,Cefálica,Mediana,B
¿Cuál de las siguientes es una arteria parietal que emerge de la aorta abdominal?,Tronco celíaco,Suprarrenal media,Testicular,Ovárica,Frénica inferior,E
"Mujer de 30 años con velocidad de eritrosedimentación incrementada, claudicación de miembro superior izquierdo, PA 
brazo derecho: 70/50 mm Hg y de 60/40 mm Hg en el brazo izquierdo, pulsos distales rítmicos. Ecodoppler: 
engrosamiento parietal severo de ambas carótidas e inversión de flujo de arteria vertebral izquierda. Angiotem: oclusión 
del origen de arteria subclavia izquierda. ¿Cuál es el diagnóstico más probable?",Aneurisma de aorta ascendente,Cardioembolia,Coartación de aorta,Arteritis de Takayasu,Disección arterial aguda,D
"Durante el procedimiento quirúrgico de reemplazo de válvulas mitral y aórtica con prótesis mecánica en un paciente de 
30 años, se evidencia una depresión severa de la función ventricular derecha e izquierda, asociado a hipertensión 
pulmonar importante; lo que imposibilita salida de circulación extracorpórea. Se decide soporte de ECMO venoarterial 
central como puente a recuperación. Para dicho soporte se debe colocar las cánulas de drenaje y de retorno de ECMO, 
respectivamente, en:",Vena femoral y arteria femoral,Atrio derecho y arteria femoral,Atrio derecho y aorta ascendente,Arteria femoral y vena femoral,Atrio derecho y arteria pulmonar,C
En relación a la transposición de grandes vasos (TGV) es correcto que:,Los niños con un tabique ventricular intacto son el grupo más afectado y responden a la infusión de prostaglandina,Es la cardiopatía congénita cianótica más frecuente.,Se asocia más frecuentemente a sexo femenino,En la D-TGA la aorta es posterior y hacia la derecha de la arteria pulmonar,La indicación de cirugía correctiva es mejor a los 30 días,A
¿Cuál es la complicación más frecuente en várices primarias?,Celulitis,Claudicación,Tromboembolia pulmonar,Varicotrombosis,Trombosis venosa profunda,D
"Ingresa por Emergencia varón de 68 años, sin antecedentes conocidos; con dolor torácico retroesternal asociado a 
signos neurovegetativos y hallazgo electrocardiográfico de infradesnivel del segmento ST en cara anterior; además PA: 
80/50 mmHg y taquicardia sinusal. Cinecoronariografía: lesión severa de tronco principal de coronaria izquierda y tercio 
proximal de descendente anterior; además lesión significativa en tercio medio de coronaria derecha. ¿Cuál es la 
conducta más adecuada?",Angioplastia primaria percutánea a tronco de coronaria izquierda y coronaria derecha urgente,Angioplastia primaria percutánea a tronco coronaria izquierda y coronaria derecha programada,Cirugía de revascularización miocárdica electiva,Sólo considerar tratamiento médico óptimo,Cirugía de revascularización miocárdica urgente,E
"En la sala de emergencias se encuentra una tomografía de un varón de 45 años que muestra disección aguda de la 
aorta descendente. El síntoma más frecuente para este diagnóstico es:",Convulsiones,Dolor torácico,Disnea,Palpitaciones,Síncope,B
"¿En cuál de las siguientes condiciones la presión telediastólica del ventrículo izquierdo es mayor que la presión de 
enclavamiento capilar pulmonar?",Aumento de la presión intratorácica,Enfermedad pulmonar obstructiva crónica,Ventrículo izquierdo no distensible por isquemia,Aumento de la resistencia vascular pulmonar,Mixoma auricular izquierdo,C
"A la emergencia llega un paciente varón de 35 años con una herida por arma de fuego en región cervical media derecha 
y hemiparesia izquierda. El manejo consiste en:",Cirugía de emergencia para exploración y reparación de la arteria carótida,Arteriografía diagnóstica,Cirugía de emergencia para exploración y ligadura de la arteria carótida,Ecodoppler carotídeo,Reparo endovascular,A
"En la disección aguda de aorta, es cierto que la cirugía:",Siempre debe ser electiva,Está contraindicada en la afectación de troncos supraaórticos,Está indicada de forma inmediata si afecta a la aorta ascendente,Está contraindicada en presencia de hemopericardio,Está indicada de urgencia en la afectación de la aorta descendente,C
"Joven de 17 años asintomática, presenta soplo sistólico eyectivo con frémito en el borde esternal izquierdo alto, 
precedido por un clic sistólico; el componente pulmonar del 2º ruido es prácticamente inaudible. La coloración de 
mucosas es normal. ECG: hipertrofia severa del ventrículo derecho. Rx Tórax: gran prominencia del 2º arco izquierdo 
por dilatación del tronco pulmonar y rama pulmonar izquierda. ¿Cuál es el diagnóstico más probable?",Comunicación interventricular,Comunicación interauricular,Estenosis aórtica congénita,Hipertensión pulmonar,Estenosis pulmonar valvular,E
"Varón de 52 años, operado de triple bypass aortocoronario con cambio de válvula aórtica a quien no se puede destetar 
de extracorpórea después de 30 min; por lo que se decide colocar balón de contrapulsación. La indicación del balón es 
para aumentar:",La poscarga,El flujo coronario,La contractilidad,La resistencia periférica,La precarga,B
Una comunicación interauricular es inoperable cuando:,La persona está por encima de los 5 años de edad,Existe hipertensión pulmonar a nivel superior de la presión arterial sistémica,Existe sobrecarga de volumen del ventrículo derecho,Existe insuficiencia tricúspide asociada,Se asocia a drenaje venoso pulmonar anómalo parcial,B
"Paciente padece de fatiga, disnea ocasional y claudicación intermitente de piernas al caminar o correr. ¿Cuál es el 
diagnóstico más probable?",Complejo de Eisenmenger,Comunicación interventricular,Comunicación interauricular,Tetralogía de Fallot,Coartación de aorta,E
La arteria mesentérica superior está localizado 1 cm distal a la arteria:,Hipogástrica,Iliaca,Mesentérica inferior,Tronco celiaco,Renal,D
¿Cuál de las siguientes es la causa más común de los quilotórax?,Linfomas,Carcinoma,Iatrogenia quirúrgica,Traumatismo torácico,Congénita,A
"Mujer de 35 años presenta hipertensión arterial de difícil manejo y claudicación intermitente a 300 m. Angiotem: múltiples 
lesiones estenóticas en aorta torácica y abdominal. ¿Cuál es el diagnóstico más probable?",Enfermedad de Takayasu,Enfermedad de Gilbert,Síndrome de Marfan,Síndrome de Ehlers Danlos,Síndrome de Proteus,A
¿Qué tipo de inflamación es más característico de la fiebre reumática?,Pancarditis,Endocarditis,Miocarditis,Pericarditis,Vasculitis,A
"La presencia de nódulos linfáticos supraclaviculares afectados por un carcinoma broncogénico corresponde a un 
estadio:",N3,N2,M1,T1b,Nx,A
