questions,option_A,option_B,option_C,option_D,option_E,correct_answer
En mujeres gestantes. ¿Cuál es el fármaco asociado a defecto de tubo neural?,Carbamazepina,Fenobarbital,Lamotrigina,Topiramato,Valproato,E
"Mujer de 38 años con dolor intenso en fosa iliaca izquierda. Examen: T: 39°C, FC: 90X'. Tacto vaginal: tumoración de 
6x5 cm, muy dolorosa a la palpación. Ingresa a la sala de operaciones por abdomen agudo quirúrgico. Se evidencia 
secreción purulenta de 300cc en cavidad, apéndice sin alteraciones. Se diagnostica enfermedad pélvica inflamatoria. 
¿A qué estadio corresponde?",III,I,IV,II,V,C
¿Cuál es una contraindicación relativa para el manejo conservador del embarazo ectópico con metrotexate?,Inestabilidad hemodinámica,Abundante líquido libre en cavidad,Embarazo ectópico roto,Saco gestacional mayor a 3.5 cm,Enfermedad pulmonar activa,D
"En relación a los miomas uterinos ¿Cuál de las siguientes alternativas está relacionada con la disminución de 
su incidencia?",Embarazo,Sobrepeso,Historia familiar,Edad fértil,Tabaquismo,E
El Síndrome de Kallmann se clasifica como amenorrea de tipo:,Adquirida,Hipogonadismo hipogonadotrópico,Hipogonadismo hipergonadotrópico,Eugonadotrópica,Hereditaria,B
"Mujer de 13 años, presenta sangrado uterino irregular y abundante desde hace 6 meses. Niega relaciones sexuales y 
no tiene antecedentes de importancia. ¿Cuál es la causa mas probable?",Pólipo endometrial,Discrasia sanguínea,Sangrado relacionado a embarazo,Eje hipotálamo-hipófisis-ovario inmaduro,Abuso sexual,D
"En un embarazo gemelar monocoriónico diamniótico, la secuencia anemia - policitemia se diagnostica mediante...",pozo vertical mayor de líquido amniótico > 8 cm en gemelo receptor y < 2 cm en el gemelo donante,ausencia de vejiga en el gemelo donante y megavejiga en el gemelo receptor,pico de velocidad sistólica de la arteria cerebral media > 1.5 MoM en el donante y < 1.0 MoM en el receptor,discordancia en los pesos fetales ecográficos de los gemelos mayor del 25 %.,ausencia de flujo en la arteria umbilical del gemelo donante y onda a reversa en ductus venoso del receptor,C
"Los estadíos del vello púbico están relacionados con la cantidad y distribución del vello; cuando el vello es grueso, rizado 
y se extiende hacia el monte de Venus. ¿A qué estadío de la clasificación de Tanner corresponde?",1,4,2,3,0,D
"En mujeres con alto riesgo para desarrollar cáncer de ovario, que son portadoras de mutación de los genes BRCA 1 y 
BRCA 2. ¿Cuál de las siguientes medidas reduce el riesgo de cáncer de ovario en un 96 %?",Seguimiento con Eco TV,Anexectomía bilateral,Anexectomía unilateral,Seguimiento con dosaje de CA125,Salpinguectomía bilateral,B
Para el manejo de trabajo de parto con feto en presentación pelviana. ¿Cuál es el riesgo mas importante?,Desprendimiento prematuro de placenta,Ruptura uterina,Atonía uterina,Prolapso de cordón,Desgarro cervical,D
