questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"En una limitación de la motilidad ocular, se sospecha que sea de tipo restrictivo, la prueba de la presión intraocular 
diferencial es positiva si la presión intraocular ... en ... mmHg",disminuye / 4,aumenta / 4,disminuye / 6,disminuye / 2,aumenta / 6,E
"¿En cuál de las siguientes patologías, se presenta glaucoma secundario a la formación de rubeosis?",Homocistinuria,Melanoma,Retinoblastoma,Fístula arteriovenosa,Leucemia,C
"Prematuro con retinopatía, peso menor a 1200 g al nacer. ¿Cuál de los siguientes resultados de fondo de ojo nos obliga 
a revaluaciones semanales?",Grado 2 en zona II en regresión,Grado 1 en zona II sin plus,Retina inmadura en zona II,Grado 2 o 3 en zona II sin plus,Grado 2 en zona III sin plus,D
En los defectos del campo visual que se presentan en las neuropatías ópticas. ¿Cuál es la relación más apropiada?,Neuropatía óptica isquémica anterior: respeto del meridiano vertical,Desmielinización: respeto del meridiano horizontal,Glaucoma: escotoma central,Nutricional: escalón nasal,Papiledema: aumento de la mancha ciega,E
"Varón de 27 años, sin antecedentes cardiovasculares. Agudeza visual:  ojo izquierdo solo movimiento de manos, ojo 
derecho 20/200. Angiofluoresceinografía retinal: hemorragias, periflebitis oclusiva periférica y escape de colorante. 
Luego de dos meses de tratamiento la agudeza visual se recupera a 20/40 en ambos ojos. ¿Cuál es la enfermedad?",Purtscher,Eales,Coats,Paton,Sattler,B
"Mujer de 27 años con antecedentes de infección urinaria a repetición, con tratamiento profiláctico de largo plazo; 
presenta disminución de la visión en ambos ojos, que no mejora con el agujero estenopeico. Fondo de ojo: depósitos 
brillantes intraretinianos maculares superficiales y profundos distribuídos en patrón circinado. ¿Qué tipo de maculopatía 
presenta?",Hipertensiva,Diabética,Idiopática,Cristalina,Serosa central,D
En la terapia de fotocoagulación. ¿Cuál es el láser que mejor penetra cataratas nucleares y hemovítreo moderado?,Azul,Amarillo,Rojo,Verde,Violeta,C
¿Cuál es el tipo de células que constituyen los puntos de Trantas?,Macrófagos,Queratocitos,Melanocitos,Eosinófilos,Histiocitos,D
¿En qué patología se presenta hipocromía del iris?,Síndrome de Sturge - Weber,Síndrome de Waardemburg,Siderosis ocular,Nevus de Ota,Síndrome de Parinaud,B
¿Cuál de los siguientes signos es característico del síndrome de blefarofimosis?,Distiquiasis,Euribléfaron tarsal,Epibléfaron,Epicanto inverso,Pliegue tarsal congénito,D
¿Cuál de los siguientes pigmentos es responsable de la autofluorescencia del fondo de ojo?,Lipofucsina,Zeaxantina,Melanina,Luteína,Rodopsina,A
¿Cuál es el factor de riesgo mas importante en la retinopatía de la prematuridad?,Anemia,Transfusiones,Edad gestacional,Gemelaridad,Sepsis,C
¿Cuál es el signo oftalmológico que puede encontrar en la neurofibromatosis tipo I?,Nódulos de Eisten,Ectropion uveal,Catarata,Coloboma de iris,Disgenesia corneal,B
"¿Cuál es la medida en mm. de la distancia márgen-reflejo (DMR) que se considera para el diagnóstico de ptosis 
palpebral moderada?",2,1,4,5,3,E
"Mujer de 65 años con espasmo palpebral involuntario bilateral y progresivo, que se desencadena con el estrés y 
desaparece durante el sueño. ¿Cuál es el diagnóstico más probable?",Espasmo hemifacial,Mioquimia palpebral,Apraxia palpebral por Parkinson,Blefaroespasmo esencial,Triquiasis de ambos ojos,D
"Lactante con signos clínicos de movimientos erráticos y de búsqueda, se sospecha de ceguera bilateral si estos 
comienzan aproximadamente entre la.....semana de edad.",1a a 3 a,7 a a 9 a,4 a a 6 a,10 a a 12 a,13 a a 16 a,C
"Niña de 8 años con disminución de la visión de cerca, desde hace 3 meses cefalea y enrojecimiento ocular. Examen: 
endotropia en el cover test, relación AC/A de 8 y refracción ciclopléjica de +6.00 en ambos ojos. ¿Cuál es el tratamiento 
de inicio mas apropiado?",Lentes bifocales,Lentes negativos bajos,Prismas base interna,Parche parcial nasal,Parche total alternante,A
¿Cuál es la enfermedad que se asocia con mas frecuencia a estrías angioides de la retina?,Enfermedad de Paget,Anemia falciforme,Acromegalia,Seudoxantoma elástico,Síndrome de Ehlers-Danlos,D
El umbral para el uso de inmunosupresores en la oftalmopatía tiroidea se determina mediante el hallazgo de:,"Dolor orbitario, eritema palpebral y cefalea",Quemosis e inflamación de la carúncula,Edema palpebral secundario a oftalmopatía activa,Eritema palpebral e inflamación del pliege semilunar,"Dolor orbitario, quemosis y dolor al mover los ojos",E
"Varón de 25 años, con antecedente de uretritis, acude por ojo rojo de inicio subagudo. Examen de raspado 
conjuntival: cuerpos intracitoplasmáticos basófilos. ¿Cuáles son los serotipos de Chlamydia más probable?",A - C,D - K,L - M,B - C,T – R,B
"Varón de 74 años, que luego de cirugía de catarata nota disminución de la visión. Examen: edema corneal difuso. ¿Cuál 
es la densidad celular endotelial postoperatoria en células/mm2 que explicaría dicho cuadro?",1000,1500,500,2000,2500,C
¿Cuál de los siguientes factores puede disminuir la presión intraocular?,Embarazo,Posición supina,Hipertermia,Hipotiroidismo,Blefaroespasmo,A
"Mujer de 17 años con antecedente de cuadro respiratorio superior hace 3 días, acude por ojo rojo. Examen: edema 
palpebral, congestión conjuntival, lagrimeo y secreción acuosa en ambos ojos; ganglio preauricular palpable; agudeza 
visual normal. ¿Cuál es la etiología probable de esta conjuntivitis?",Alérgica,Micótica,Viral,Bacteriana,Parasitaria,C
¿Cuál es el tumor maligno de párpados mas frecuente?,Papiloma escamoso,Molusco contagioso,Queratosis seborréica,Nevo palpebral,Carcinoma basocelular,E
¿Cuál de las siguientes sustancias químicas produce queratitis tóxica crónica en usuarios de lente de contacto?,Peróxido de hidrógeno,Cloruro de benzalconio,Alcohol polivinílico,Ácido tetraetildiamino,Hidroxietilmetilcelulosa,B
