questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Cuál es el agente infeccioso más importante relacionado con la bronquiolitis obliterante postinfecciosa?,Mycoplasma pneumoniae,Influenza,Virus sincitial respiratorio,Bordetella pertussis,Adenovirus,E
"¿Cuál es la localización del embarazo ectópico, que si no es diagnosticado, se suele romper después de 8 a 16 semanas 
de amenorrea?",Ovárico,Istmico,Intersticial,Ampular,Abdominal,C
"Adolescente de 16 años, presenta prurito vaginal intenso, disuria, leucorrea amarillo verdosa maloliente y espumosa. 
Examen vaginal: cérvix en fresa. ¿Cuál es el diagnóstico?",Gonorrea,Giardanella,Candidiasis,Trichomoniasis,Vaginosis,D
"Mujer de 22 años, G0P0, FUR hace 3 meses, régimen catamenial irregular; acude por hirsutismo, acné y alopecía. 
Examen: índice de masa corporal: 34, acantosis nigricans, evaluación ginecológica normal. ß HCG negativa. Ecografía 
transvaginal: volumen de ambos ovarios > 10 cc. ¿Cuál es el diagnóstico más probable?",Tumor ovárico secretor de andrógenos,Hiperplasia adrenal congénita,Síndrome de ovarios poliquísticos,Hipogonadismo hipogonadotrófico,Síndrome de Cushing,C
"Mediante las técnicas de bandas de alta resolución, se identificó en un niño la deleción de la banda q12 en el cromosoma 
15. Esta deleción procedía del padre. El niño presentará el fenotipo del Sindrome de...",Prader-Willi.,Klinefelter.,Turner.,Down.,Edwards.,A
La irrigación del apéndice cecal se da a través de una rama de la arteria...,cólica media accesoria.,cólica izquierda.,rectal superior.,sigmoidea superior.,mesentérica superior.,E
¿Cuál es el factor de riesgo más importante para infección puerperal?,Parto por cesárea,Trabajo de parto prolongado,Número de tactos vaginales,Líquido meconial,Obesidad,A
¿Cuál es el factor pronóstico mas importante en el sindrome postparo cardiaco?,Hipotermia periférica,Bradiarritmia,Encefalopatía anóxica,Isquemia coronaria,Hipoperfusión periférica,C
"Mujer de 18 años, hace 3 días presenta malestar general, astenia, hiporexia, odinofagia, tos no productiva y rinorrea. 
Hace 24 horas mayor compromiso del estado general, tendencia a la somnolencia, cefalea intensa y vómitos explosivos. 
Examen: PA:105/70mmHg, FC: 105X', FR: 22X', T°: 39°C. Paciente en mal estado general, estuporosa, con excitación 
psicomotriz, rigidez de nuca, Kernig y Brudzinsky presente. Laboratorio: LCR: leucocitos 300/dl; 90% mononucleares, 
10% polimorfonucleares, hematíes: 15-20/dl, proteínas: 55 mg/dl, glucosa 60mg/dl. ¿Cuál es el diagnóstico probable?",Absceso epidural,Tromboflebitis intracraneal,Meningoencefalitis tuberculosa,Meningoencefalitis viral,Meningoencefalitis bacteriana,D
"Pre escolar de 5 años cuya madre refiere que varias veces al día la niña presenta súbitamente aleteo palpebral y giro 
ascendente de los ojos, chasquido de labios y mueve la cabeza hacia adelante; luego continúa la actividad que estaba 
haciendo. ¿En qué diagnóstico sospecha?",Crisis de ausencia,Vértigo paroxístico benigno,Síncope,Corea,Sindrome de Giles de la Tourette,A
"¿Cuál es la conducta a seguir en una paciente con 42 semanas de gestación, sin complicaciones materno fetales y un 
score de Bishop de 3?",Amniorrexis,Cesárea electiva,Maduración cervical,Dilatación cervical con sonda,Inducción con oxitocina,C
"¿Cuál es la ubicación más probable del cáncer colorrectal que evoluciona con metástasis ósea, pulmonar y/o cerebral, 
en ausencia de metástasis hepática?",Mitad proximal de colon transverso,Tercio superior de colon ascendente,Tercio inferior del recto,Mitad superior del recto,Región ileocecal,C
"En la cicatrización de una herida, la fase de maduración se caracteriza por:",Proliferación de células endoteliales,Estimulación de angiogénesis,Proliferación de fibroblastos,Migración de polimorfonucleares,Reorganización del colágeno sintetizado,E
¿Hasta cuántas horas es el tiempo ideal para aplicar el suero antiloxocélico?,24,8,12,6,48,D
"En una muestra de 65 pacientes con meningitis meningocócica se obtuvo la determinación de glucosa (mg/dl) y 
proteínas (mg/dl) para cada uno. Si se desea representar los valores de estos dos indicadores en un gráfico para este 
grupo de pacientes. ¿Cuál es el gráfico más adecuado?",De sectores,De dispersión,Histograma,De barras,De tallo y hojas,B
"Primigesta en trabajo de parto. TV: persiste con dilatación de 5cm por más de 3 horas, palpándose los arcos 
supraciliares del feto. ¿Cuál es el diagnóstico?",Deflexión de II grado,Presentación bregmática,Deflexión de I grado,Deflexión de III grado,Presentación compuesta,A
¿Cuál es la concentración sanguínea de alcohol expresado en g/100 ml para definir una intoxicación alcohólica aguda?,0.04,0.08,0.06,0.05,0.07,B
¿Qué antibióticos pueden generar disfunción vestibular y auditiva?,Aminoglicósidos,Sulfonamidas,Cefalosporinas,Carbapenémicos,Quinolonas,A
"Mujer de 50 años acude a emergencia por parálisis facial derecha. Examen: PA: 130/70mmHg, FC: 70X', FR: 16X', 
asimetría facial, al pedirle que sonría hubo desviación de la cara hacia la izquierda; además, pérdida del gusto en los 
dos tercios anteriores de la lengua, mucosa oral seca, sin lagrimeo por ojo derecho. ¿Cuál es el par craneal afectado?",X,V,VI,VIII,VII,E
"Varón de 25 años, desde hace 4 días presenta cefalea intensa, fiebre, náuseas, vómitos y 2 episodios convulsivos. 
Hace 2 semanas presentó sinusitis y hace 1 semana fue a nadar a un lago. Examen: PA: 110/70mmHg, FC: 90X', T°: 
39°C. Neurológico: despierto con tendencia al sueño, rigidez de nuca, parálisis del III y VI par craneal. Laboratorio: 
leucocitos 18000/µl, glucosa: 105 mg/dl. LCR: pleocitosis, a predominio de polimorfonucleares, proteínas: 80 mg/dl, 
glucosa: 25mg/dl, ADA negativo. ¿Cuál es el germen probable?",Streptococcus pneumoniae,Acanthamoeba sp,Naegleria fowleri,Neisseria meningitidis,Cryptococcus neoformans,C
¿En qué etapa del ciclo general del desarrollo se produce la cavitación e implantación?,Blastulación,Histogénesis,Segmentación,Gastrulación,Gametogénesis,A
¿Con qué patología se correlaciona con mayor frecuencia el estreñimiento crónico en la niñez?,Enfermedad de Hirschprung,Constipación funcional,Fisura anal,Fibrosis quística,Hipotiroidismo,B
"Después de iniciados los síntomas de Infarto agudo de miocardio. ¿Dentro de que tiempo en horas se produce el inicio 
del aumento de las troponinas?",2,4,6,3,1,B
"Lactante de 6 meses, irritable, con anorexia, diarrea, lesiones cutáneas y pobre ganancia pondo estatural. Examen: 
alopecia y lesiones vésico ampollosas en la región perioral, extremidades y región perigenital. Recibió lactancia mixta 
hasta los 4 meses, luego solo lactancia artificial. ¿En que deficiencia sospecha?",Hierro,Tiamina,Cobalamina,Zinc,Vitamina A,D
"Varón de 27 años de 70 Kg, sufre quemadura con fuego en el 40% de superficie corporal. Examen: PA: 90/60mmHg, 
FC: 120X', Sat.O2 96%; quemadura de segundo y tercer grado en ambos miembros superiores, miembro inferior 
izquierdo, asi como la tercera parte de cara y cuello. Según la fórmula de Parkland. ¿Cuál es el volumen de cristaloides 
en cc a trasfundir durante las primeras 8 horas?",4800,5600,4500,3600,5000,B
"En relación a la cuantificación del riesgo de cáncer en pacientes con nódulos pulmonares solitarios; encontramos: 
diámetro 1.5 - 2.2 cm, los bordes de los nódulos son festoneados. Edad 45 - 60 años, fumador actual (<20 cigarrillos/día). 
¿Cuál es el nivel de riesgo?",Sin riesgo,Intermedio,Alto,Bajo,No cuantificable,B
¿Qué tipo de inmunoglobulina es generalmente mediadora en la anafilaxia?,D,E,A,G,M,B
"Varón de 34 años, presenta herida por arma de fuego en abdomen. Examen: PA: 110/60mmHg, FC: 100X',T°38°C, 
Sat.O2 96%. Orificio de entrada en flanco derecho sin orificio de salida. Abdomen distendido pero blando y no doloroso. 
Leucocitos 12000/µl con 6% abastonados Hb: 13g/dl. Ecografía: escaso líquido libre en cavidad. Luego de 8 horas de 
observación se evidencia signo de Blumberg (+) con dolor a la palpación. Se sospecha de lesión duodenal. ¿Cuál es la 
conducta a seguir para llegar al diagnóstico?",Tomografía abdominal contrastada,Rx Esófago-Estómago-Duodeno,Gammagrafía abdominal,Ecografía control,Lavado peritoneal diagnóstico,A
"Para la valoración de la intensidad del prurito en un grupo de pacientes con dermatitis alérgica se emplea una escala 
en la cual 0 representa la ausencia de prurito y 10 el nivel más intenso de prurito que el paciente podría sentir. Desde 
un punto de vista estadístico la variable ""intensidad de prurito"". ¿En qué escala se está midiendo?",Continua,De intervalo,Ordinal,Nominal,Discreta,C
