questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Cuál es el hallazgo tomográfico mas indicativo en el diagnóstico de pancreatitis crónica?,Seudoaneurisma,Dilatación del conducto pancreático principal,Seudoquistes,Atrofia del parénquima pancreático,Calcificaciones pancreáticas intraductales,E
"En ecografía. ¿Qué artefacto se forma cuando el haz de sonido choca con una estructura curva, la cual enfoca las 
ondas y las refleja?",Velocidad de propagación,Lóbulo lateral,Espejo,Grosor de corte,Reverberación,C
En un nódulo benigno de mama. ¿Cuál es el patrón de realce dinámico de contraste en RM?,Lavado,Periferia se realza primero,Rápido e inicial,Gradual,Meseta tardía,D
"Lactante en el primer día de vida, presenta vómito bilioso, sin distensión intestinal. Rx abdominal: signo de doble burbuja. 
¿Cuál es el diagnóstico?",Obstrucción ileal,Estenosis del píloro,Malrotación intestinal,Duplicación intestinal,Atresia duodenal,E
¿Qué tipo de atelectasia se produce cuando la superficie luminal de las paredes alveolares se unen entre si?,Cicatrización,Adhesiva,Compresión,Reabsorción,Pasiva,B
"¿Qué venas conectan y garantizan el flujo del sistema superficial al sistema venoso profundo en los miembros 
inferiores?",Comunicantes,Accesorias,Superficiales,Perforantes,Profundas,D
¿Cuál es el tipo de inestabilidad de hombro más frecuente?,Posterior,Multidireccional,Anterior,Superior,Lateral,C
¿Cuál es la característica en la ecografía Doppler color de un ganglio cervical benigno?,Desplazamiento de los vasos,Localización periférica de vasos,Patrón vascular caótico,Pedículo vascular único,Valor de impedancia alto,D
"En tomografía, el hallazgo de una masa renal bien delimitada, de bordes lisos y redondeados, y que cuando es de gran 
tamaño puede presentar una cicatriz central, corresponde a:",Angiomiolipoma,Oncocitoma,Linfoma,Sarcoma,Leiomioma,B
¿Cuál es el tumor ovárico mas frecuente en la infancia?,Fibrotecoma,Cistoadenofibroma,Cistoadenoma,Teratoma,Tumor de Brenner,D
¿Cuál es una indicación para la embolización preesplénica?,Rotura de la arteria esplénica,Hiperesplenismo,Tumores esplénicos,Talasemia,Púrpura trombocitopénica idiopática,A
¿Cuál es la técnica de imagen de elección para el estadiaje local del cáncer uretral?,Tomografía,Uretrografía,Resonancia,Gammagrafía,Ecografía,C
¿Cuál es el tumor extraaxial más frecuente del SNC?,Hemangiopericitoma,Meningioma,Germinoma,Teratoma,Cordoma,B
¿Por qué se caracteriza el cáncer de próstata?,La TC es el método de elección para el estadiaje local,En el cáncer precoz la F-FDG-PET identifica lesiones en el lecho prostático,El ultrasonido en el estadiaje es de gran utilidad,El uso de RM dinámica con contraste es imprescindible,La secuencia de T2 en RM es la más útil en la descripción y estadiaje del tumor,E
¿Qué secuencia de RM se utiliza para distinguir los adenomas de las metástasis suprarrenales?,Flair,T2,STIR,Eco-gradiente,DP,D
Varón de 15 años. Rx Tórax: adenopatía hiliar derecha y consolidación del lóbulo medio. ¿Cuál es el diagnóstico?,Mycoplasma pneumoniae,Streptococo pneumoniae,Tuberculosis primaria,Virus sincitial respiratorio,Neumonía por gram-negativos,C
En la hemorragia cerebral aguda (12-48 horas). ¿Cuál es el comportamiento de señal en RM?,Intensidad media en T1 e hipointensa en T2,Intensidad media en T1 y levemente hiperintensa,Hiperintenso en T1 y T2,Hipointenso en T1 y T2,Hiperintenso en T1 e hipointenso en T2,A
"¿En qué bolsa sinovial, se desarrolla el quiste de Baker?",Prerrotuliana,Pata de ganso,Semimembranoso-ligamento colateral,Semimembranoso-gastrocnemio,Infrarrotuliana,D
¿Cuál es el signo tomográfico indirecto de lesión aguda de la aorta torácica?,Extravasación del contraste,Seudoaneurisma,Seudocoartación,Fístula aórtica,Hematoma periaórtico,E
Un drenaje biliar externo temporal es indispensable en caso de:,Colecistitis,Colangitis,Barro biliar,Pólipo,Litiasis,B
¿Cuál es la lesión ósea benigna mas frecuente en la mano y muñeca?,Osteoma,Schwannoma,Encondroma,Cordoma,Neuroma,C
¿Cuál es la principal indicación de la nefrostomía percutánea?,Obstrucción urinaria,Fístula urinaria,Ectasia en riñón transplantado,Implantación de stents,Biopsia endoluminal,A
¿Cuál es una reacción vasovagal moderada con el uso de sustancia de contraste en radiología intervencionista?,Urticaria,Edema de glotis,Bradicardia,Edema pulmonar,Broncoespasmo,C
