questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Varón de 50 años, procedente de los andes, ingresa a la emergencia por dolores cólicos abdominales intensos, 
sensación de náuseas sin vómitos y ausencia de flatos. Examen: Abdomen globuloso, timpánico, 
rebote (++).doloroso a la palpación en hemiabdomen izquierdo. RHA (-). ¿Cuál es el diagnóstico probable?",Diverticulitis de sigma,Vólvulo gástrico,Obstrucción yeyunal,Vólvulo de sigmoides,Intususcepción ileal,D
¿Cuál es la indicación absoluta para una laparotomía de urgencia?,Herida penetrante,Shock hemorrágico,Herida por proyectil de arma de fuego,Plastrón apendicular,Eventración encarcerada,B
"Varón de 25 años, ingresa a emergencia por presentar hace 2 días dolor abdominal difuso inicialmente en región 
periumbilical, que hoy se localiza en fosa iliaca derecha; se acompaña de malestar general, náuseas, vómitos y 
sensación de alza térmica. ¿Cuál es la conducta a seguir?",Laparotomía exploratoria,Continuar con observación médica,Repetir exámenes auxiliares,Iniciar antibióticos rápidamente,Repetir tomografía computarizada,A
"Varón de 30 años, tratado hasta en dos oportunidades por enfermedad péptica, ingresa por dolores abdominales 
difusos. Al examen se encuentra ""abdomen en tabla"" y el estudio de secreción peritoneal informa la presencia de 
abundantes grampositivos. Rx: aire libre en cavidad peritoneal ¿Cuál es el tipo de perforación más probable?",Yeyunal,Apendicular,Vesical,Colon,Gástrica,E
"En relación a la vascularización del recto, Se conoce que la arteria:",Hemorroidal media nace directamente de la,La mesentérica superior termina en la,Hemorroidal superior es rama de la mesentérica,Hemorroidal inferior es rama de mesentérica,Mesentérica superior nace en la iliaca común,C
"Varón de 30 años, sufre accidente de tránsito y presenta herida abierta en cara anterior de parrilla costal derecha. 
Examen: hipotensión arterial, ingurgitación yugular y disminución de ruidos respiratorios en hemitórax derecho. 
¿Cuál es el diagnóstico más probable?",Herida penetrante en tórax,Taponamiento cardiaco,Contusión pulmonar,Tórax flácido,Neumotórax simple,B
"Varón de 30 años, quien sufre accidente automovilístico, ingresa al establecimiento de salud con diagnóstico de 
politraumatismo múltiple. ¿Cuál es el examen auxiliar indicado para descartar una fractura pélvica?",Lavado peritoneal,Radiografía simple de abdomen,Resonancia magnética,Radiografía de colon con contraste,Cistografía,B
"Varón de 20 años, que sufre caída sobre rodilla derecha, y se provoca herida contusa. A posteriori hay una 
formación de un exudado fibrinoso sobre la herida. ¿Este hallazgo a que fase de la cicatrización pertenece?",Proliferación,Remodelado,Inflamatoria,Maduración,Regeneración,C
¿Cuál es el síntoma característico en la obstrucción del colon izquierdo ocasionada por neoplasias?,Estreñimiento crónico,Estreñimiento súbito,Diarreas y rectorragias,Sensación de hambre,Fiebre en picos altos,A
"Varón de 60 años, con diagnóstico de adenocarcinoma en el cuerpo gástrico en etapas II y III. ¿Cuál es el 
tratamiento más aconsejado?",Gastrectomía en Y de Roux,Resección tipo BII,Quimioterapia y radioterapia,Gastrectomía total,"Resección BII, quimio y radioterapia",E
"Varón de 20 años, consulta por tener dolor durante y después de la defecación se acompaña de rectorragia. 
Examen: región perianal sensible a la palpación. En canal y orificio anal se encuentra laceración que va desde el 
margen anal hasta la línea dentada en cara posterior ¿Cuál es el diagnóstico probable?",Fístula perianal,Desgarro anal,Absceso perianal,Hemorroides interna,Fisura anal,E
"Varón de 40 años, refiere dolor abdominal difuso acompañado de náuseas y vómitos alimentarios con ausencia 
de deposiciones. Examen: abdomen ligeramente distendido, ausencia de ruidos hidroaéreos. Rx. abdomen de pie: 
múltiples niveles hidroaéreos en mesogastrio y signo de “pila de monedas”. ¿Cuál es el diagnóstico más probable?",Válvula ileocecal incompetente,Obstrucción intestinal por hernia de Litré,Bridas y adherencias colónicas,Tumor obstructivo de colon derecho,Obstrucción intestinal de asas delgadas,E
"Varón de 22 años llega a emergencia por presentar dolor abdominal difuso, acompañado de calambres 
abdominales y escalofríos con sensación de alza térmica desde hace dos días y diarreas líquidas. Examen: 
abdomen tenso y no se palpan masas, puño percusión negativa. ¿Cuál es el diagnóstico más probable?",Hematoma de los rectos,Absceso perinefrítico,Apendicitis epiploica,Gastroenteritis aguda,Apendicitis aguda,D
"En presencia de un íleo por cálculo biliar, la obstrucción frecuentemente se ubica a nivel del:",Yeyuno,Íleon terminal,Colon derecho,Duodeno,Íleon proximal,B
"Para determinar el grado de necrosis que se produce en el páncreas, luego de un cuadro de pancreatitis aguda 
grave. ¿Qué examen auxiliar es el indicado?",Colangioresonancia,Ecografía abdominal,Radiografía simple de abdomen,Tomografía computarizada,Ecoendoscopía,D
"Varón de 20 años, sufre accidente en moto. Ingresa con inestabilidad hemodinámica a una laparotomía de urgencia 
por ruptura hepática severa. En el intraoperatorio se realiza la maniobra de Pringle. ¿En qué consiste esta técnica?",Presión continua de colédoco y vena porta,Ocluir el pedículo hepático,Oclusión de vena porta y cava inferior,Cierre temporal del tronco celiaco,Cierre de vena porta y arteria hepática,B
"Mujer de 30 años, natural y procedente de Canadá, presenta desde hace un año disfagia progresiva a nivel torácico 
y se le agrega en la actualidad espasmo torácico y regurgitación de líquidos. ¿Cuál es el diagnóstico más probable?",Enfermedad de Chagas,Divertículo de Zenker,Esófago de Barrett,Esofagitis por reflujo,Acalasia del cardias,E
"Varón de 60 años, refiere dolor abdominal intermitente en fosa iliaca izquierda y estreñimiento crónico. Examen: 
reacción peritoneal leve en fosa iliaca izquierda; no se palpan masas. Colonoscopia: divertículos parcialmente 
cubierta por material colónico con pequeños abscesos intramurales. ¿Cuál es el diagnóstico más probable?",Diverticulitis aguda no complicada,Pseudodiverticulitis aguda,Absceso pericólico,Diverticulitis recurrente,Diverticulitis crónica,A
"Los tumores benignos del tracto digestivo se encuentran en el intestino delgado. ¿En qué sector intestinal es más 
frecuente encontrarlos?",Yeyuno superior,Primera porción del duodeno,Válvula ileocecal,Íleon terminal,Tercera porción del duodeno,D
La presencia de ascitis caracteriza a un paciente cirrótico. ¿Cuál es la causa?,Aumento de la prostaglandina E,Disminución de monosacáridos,Presencia de un trasudado linfático,Presencia de hipoalbuminemia,Aumento de la presión oncótica,D
¿Cuál es el sistema orgánico más afectado durante el período postoperatorio del paciente de la tercera edad?,Cardiovascular,Respiratorio,Cerebrovascular,Inmunitario,Renal,B
"Paciente llega a la emergencia por presentar fiebre en picos, ascitis y hepatomegalia. Se trata de descartar la 
presencia de un absceso hepático. ¿Cuál es el examen auxiliar que tiene mejor indicación en este caso?",Resonancia magnética,Radiografía simple de abdomen,Tomografía abdominal,Gammagrafía hepática,Ecografía abdominal,E
"Mujer de 40 años de edad, diabética tipo II en control médico. Desde hace 2 años presenta cuadros de colecistitis 
crónica a repetición. Ecografía: vesícula de paredes gruesas con signos de calcificación difusa. ¿Qué se espera 
encontrar en el acto operatorio?",Empiema vesicular,Colecistitis crónica,Hidrops vesicular,Vesícula xantogranulomatosa,Vesícula en porcelana,E
"Varón de 40 años, con hábitos de ingestión de alcohol frecuente. Actualmente presenta hematemesis abundante, 
con cuadros de melena. Examen: ingurgitación yugular, región hipotenar atróficas y signo de araña vascular sobre 
el dorso de la nariz. Clínicamente sospechamos de:",Hipertensión portal,Úlcera péptica antral,Tumor GIST antral,Úlcera duodenal,Síndrome de Mallory Weiss,A
De acuerdo a la etiopatogenia de las hernias inguinales. ¿Qué tipo de hernia se relaciona con la criptorquidia?,Obturatriz,Mixta,Indirecta,Femoral,Petit,C
"Varón de 40 años, después de una comida copiosa presenta dolores cólicos repetidos en región epigástrica y/o 
periumbilical que se irradia a la espalda. Examen: Abdomen ligeramente distendido y doloroso a la palpación 
superficial y profunda, signo de Murphy (-). Rx. simple de abdomen se observa un asa con nivel en mesogastrio. 
¿Cuál es el probable diagnóstico clínico?",Pancreatitis aguda,Infarto de miocardio,Obstrucción intestinal,Úlcera péptica,Diverticulitis,A
"Mujer de 50 años, con antecedente de arritmia cardíaca, en tratamiento. Ingresa a la emergencia por presentar 
dolores abdominales cólicos intensos, difusos y se acompaña de vómitos alimentarios explosivos que no ceden 
con los antiespasmódicos intravenosos. Examen: Abdomen distendido y doloroso a la palpación, con rebote (+++). 
¿Cuál es su sospecha diagnóstica?",Perforación gástrica,Obstrucción pilórica,Vólvulo de ciego,Isquemia mesentérica,Cálculo coledociano,D
"Dentro de las diversas causas que producen quemaduras. ¿Cuál de las siguientes puede presentar paro cardiaco 
y síndrome compartimental?",Química,Inhalatoria,Térmica,Solar,Eléctrica,E
"Mujer de 65 años presenta dolor a la defecación acompañada de rectorragia, posteriormente se agrega escozor 
en la zona perianal. Examen: Se palpa tumoración dolorosa a 5cm del margen anal de bordes irregulares con 
sangrado activo. ¿Cuál es el diagnóstico más probable?",Carcinoma basoloide,Melanoma,Carcinoma escamoso,Carcinoma epidermoide,Adenocarcinoma,C
"Mujer de 40 años, multípara colecistectomizada hace un año. Actualmente refiere dolor cólico a repetición en 
epigastrio e hipocondrio derecho con intolerancia a las grasas e ictericia de escleras ¿Cuál es la primera sospecha 
diagnóstica?",Quiste coledociano,Ampuloma,Estenosis coledociana,Absceso subfrénico,Coledocolitiasis residual,E
"Varón de 77 años ingresa a emergencia por un episodio de diverticulitis aguda, sin signos peritoneales. 
Tomografía: absceso pélvico de 5 cm de diámetro, con absceso retroperitoneal, en contacto con pared abdominal. 
¿Cuál es la conducta terapéutica adecuada?",Proctocolectomía urgente,Alta con tratamiento antibiótico ambulatorio,Colostomía y drenaje quirúrgico,Dieta completa y antibioticoterapia,Drenaje percutáneo con antibioticoterapia,E
"Cantante de 30 años, requiere resección de tumor bucofaríngeo. Requiere de una intubación anestésica 
prolongada. ¿Cuál es la indicación más apropiada y evitar daños en las cuerdas vocales?",Cricotiroidectomía,Traqueostomía,Válvula de Passy-Muir,Intubación bucofaríngea,Tubo endotraqueal,B
"En la patología tumoral hepática. ¿Cuál de las alternativas está en relación directa con la ingesta de 
anticonceptivos orales?",Hemangioma,Adenoma,Adenocarcinoma,Carcinoma,Colangiocarcinoma,B
"¿Cuál de las siguientes entidades patológicas, juega un papel preponderante en la génesis de una hernia 
abdominal?",Diabetes mellitus,Hipertensión arterial,Insuficiencia cardíaca,Cálculos renales,Tos crónica,E
"Varón de 25 años, refiere que, desde hace 6 horas, presenta dolor abdominal tipo difuso en mesogastrio, que no 
migra. Examen: abdomen sensible, doloroso a la palpación profunda en epigastrio, rebote (-). Leucocitos 9,000 
por mm3 abastonados 2%. ¿Cuál es la conducta a seguir?",Examen de orina completo,Tomografía computarizada,Laparotomía exploratoria,Iniciar antibióticoterapia,Evitar dar analgésicos,E
"Paciente posgastrectomizado con técnica tipo Billroth II,  a los 10 días presenta náuseas y vómitos biliosos que 
calman el dolor abdominal. Clínicamente, se trata del síndrome:",Asa eferente,Remanente gástrico pequeño,Antro retenido,Evacuación gástrica rápida,Asa aferente,E
"En una obstrucción intestinal baja, en la cual además se encuentra una válvula ileocecal competente, aumenta el 
riesgo de:",Vómitos,Rectorragia,Diarreas,Ascitis,Perforación,E
"Mujer de 30 años, con consumo prolongado de anticonceptivos orales, refiere ligeros dolores abdominales. 
Examen: se palpa masa de 5 cm de diámetro sobre borde hepático derecho. Inesperadamente presenta un cuadro 
de shock hipovolémico, ¿Cuál es la causa más probable?",Hiperplasia nodular,Adenoma hepatocelular,Enfermedad de Carolli,Tumor de Klastskin,Colangiocarcinoma,B
"Mujer de 55 años, que sufre la resección de un tumor de 5 cm de diámetro en el antro gástrico. Patología informa 
que se trata de un tumor a partir de los músculos lisos. ¿A qué tumor corresponde el hallazgo?",Leiomioma,Adenosarcoma,Adenocarcinoma,Tumor del estroma,Fibroadenoma,A
"Varón de 65 años que hace 3 días presenta dolor abdominal con sensación de alza térmica y sensación nauseosa. 
Examen: PA: 90/50 mmHg, FC: 100X', T°: 39°C, Sat. O2: 96%, ictericia de piel y escleras; abdomen doloroso a la 
palpación en hipocondrio derecho, signo de Murphy (+). Hemograma muestra leucocitos: 16,000/m3 con 10% de 
abastonados. ¿Cuál es la mejor conducta a seguir?",Coledocotomía más drenaje Kher,Colangioresonancia,Colecistectomía más exploración de vía biliar,Colangiopancreatografía retrógrada,Colangiografía transparietohepática,D
¿Cuál es el tipo de hernia en el que sólo una parte de la circunferencia del intestino es atrapada?,Richter,Spiegel,Litré,Grynfelt,Hernia por deslizamiento,A
"En el manejo terapéutico de una obstrucción del intestino delgado, resulta fundamental el empleo de:",Laparotomía abierta,Antibioticoterapia,Sonda nasogástrica,Enterolisis,Laparoscopía diagnóstica,C
"En las infecciones localizadas de la piel, las del tipo no infectadas se les conoce como:",Chancro,Piodermitis,Celulitis,Absceso,Flemón,E
"Varón de 35 años, presenta dolores cólicos en hipocondrio derecho desde hace 2 años, en forma intermitente. 
Actualmente presenta dolores intensos e ictericia de escleras, sin baja de peso. ¿Cuál es el examen radiológico 
más indicado?",Colangioresonancia,Eco endoscopia,Tomografía computarizada,Ecografía abdominal,Colangiografía oral,A
"Varón de 50 años. Antecedente de colecistitis crónica calculosa. Actualmente refiere dolores abdominales intensos 
en mesogastrio acompañado de náuseas y vómitos biliosos, desde hace 6 días. ¿Qué examen auxiliar es el más 
indicado para precisar el diagnóstico?",Ácido clorhídrico,Amilasa,Albúmina,Lipasa,Globulinas,D
Una de las características más importantes de los tejidos de cubierta del recto es que:,Va desde la 5ta. vértebra sacra al ano,Tercio inferior carece de peritoneo,Mide cerca de 20 centímetros,El tercio inferior carece de mucosa,Todo el recto está cubierto por peritoneo,B
