questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Si un niño ha ingerido hidrocarburos en forma aguda, no presenta síntomas y tiene una radiografía de tórax normal. 
¿Cuál es la conducta a seguir?",Alta médica,Dosaje de electrolitos y gases en sangre,Profilaxis antibiótica por neumonitis intersticial,Observación durante 6 horas,Tratamiento con oxígeno y alta médica,D
"Niño de 5 años, traído a la emergencia por presentar en los últimos días, fiebre, vómitos, dolor abdominal; 
añadiéndose desde ayer cefalea y ataxia. Antecedente de infestación helmíntica por áscaris lumbricoides hace 
tres semanas. ¿Cuál es el diagnóstico más probable?",Encefalitis,Meningitis eosinofílica,Meningoencefalitis vírica,Seudotumor cerebral,Absceso cerebral,B
"¿Cuál es la condición, para que un paciente de 4 meses de edad con diagnóstico de VIH deba recibir TARGA?",Independiente de CD4 y carga viral,Si CD4 es menor de 750/mm3,En caso que CD4 es 450/mm3,"Cuando carga viral es >100,000","Si carga viral es de 10,000 copias/ml",A
"Paciente de 3 años, presenta desde hace 10 días congestión nasal y tos, 2 días después se agrega fiebre, cefalea 
y secreción purulenta por fosas nasales, desde hace 4 días halitosis; hoy amanece con tumefacción periorbitaria 
izquierda. ¿Cuál es diagnóstico más probable?",Sinusitis maxilar con absceso periorbitario,Sinusitis esfenoidal con celulitis periorbitaria,Sinusitis frontal con celulitis periorbitaria,Pansinusitis con celulitis periorbitaria,Sinusitis etmoidal con celulitis periorbitaria,E
"Lactante de 1 mes, presenta placas rojizas, costrosas y con escamas amarillentas, difusas, localizadas en el vértice 
del cuero cabelludo y en los pliegues retroauriculares; no presenta sintomatología. ¿Cuál es el diagnóstico más 
probable?",Psoriasis,Infección por dermatofitos,Dermatitis seborreica,Enfermedad de Letterer-Siwe,Histiocitosis X,C
¿Cuál es el periodo en años para que se logre el desarrollo pleno de los sonidos del habla?,10-11,6-7,8-9,2-3,4-5,B
"Paciente escolar con hiporexia y febrícula vespertina desde hace 3 semanas; hace 10 días se agrega cefalea y 
hace 2 días somnolencia y parálisis del VI y VII pares craneales. ¿Cuál es el diagnóstico más probable?",Encefalitis viral,Meningitis tuberculosa,Meningitis viral,Meningitis criptocócica,Meningitis bacteriana,B
"Paciente de 5 años, presenta dolor agudo intenso en oído derecho que se acentúa con la manipulación de la oreja, 
días anteriores tenía prurito ótico. Examen: edema del conducto auditivo externo, eritema, otorrea espesa, 
cerumen es blanco y de consistencia blanda. Examen otoscópico completo se posterga por inflamación. ¿Cuál es 
el diagnóstico más probable?",Mastoiditis,Celulitis aguda,Otitis externa difusa,Otitis media,Forunculosis,C
"Paciente de 10 meses, presenta movimientos de flexión concomitantes de cabeza y tronco. Su EEG muestra 
ipsiarritmia. ¿Cuál es el diagnóstico?",Síndrome de West,Síndrome de Ohtahara,Síndrome de Lennox-Gastaut,Epilepsia secundaria,Epilepsia mioclónica,A
"¿Cuál es el determinante más importante, que influye en la presión arterial en niños y adolescentes?",Pertenencia étnica,Sexo,Edad,Genética,Tamaño corporal,E
"Paciente de 2 años, presenta en forma brusca fiebre, irritabilidad, hiporexia, dos días más tarde ulceraciones 
blanquecinas de 2 a 3 mm rodeadas de membranas mucosas rojas dolorosas y friables; evoluciona con mucho 
dolor y no puede ingerir sus alimentos. ¿Cuál es el diagnóstico más probable?",Estomatitis aftosa recurrente,Herpangina,Mononucleosis infecciosa,Candidiasis,Gingivoestomatitis herpetiforme aguda,E
"¿Qué tipo de crisis tiene, un paciente escolar con episodios de desviación de la mirada a un lado, automatismos 
orofaciales y manuales, habla en forma incoherente?",Paroxística aguda,No epiléptica,Parcial simple,Mioclónica facial,Parcial compleja,E
¿Cuál es el tipo más frecuente de atresia de esófago?,Con fístula traqueoesofágica proximal,Con fístula en H,Sin fístula traqueoesofágica,Con fístula traqueoesofágica distal,Fístula sola,D
"Recién nacido a término, presenta incapacidad de expulsar el meconio, distensión abdominal, vómitos, intolerancia 
a las tomas. Examen: activo, afebril; tórax: no ruidos agregados; abdomen: distendido, timpánico; exploración 
rectal: recto vacío, defecación explosiva. ¿Cuál es el diagnóstico más probable?",Estreñimiento funcional,Megacolon agangliónico congénito,Seudoobstrucción intestinal congénita,Displasia neuronal intestinal,Hipotiroidismo,B
¿Cuál es la enzima que falta en la galactosemia clásica?,Galactocinasa,"Fructosa-1,6-bifosfato aldolasa",Glucosidasa alfa,Galactosa-1-fosfato uridil transferasa,Galactosa epimerasa,D
"Paciente de 7 meses, presenta fiebre e irritabilidad, fontanela abombada. Laboratorio: bioquímica del LCR: glucosa 
28 mg/dl, proteínas 120 mg/dl, 110 células x mm3 (75% linfocitos), glicemia 89 mg/dl. ¿Cuál es el diagnóstico más 
probable?",Meningitis viral,Meningitis tuberculosa,Meningitis bactriana,Síndrome de Guillain-Barré,Síndrome mononucleósido,B
¿Por qué la colestasis neonatal debe ser considerada una emergencia pediátrica?,Hipotiroidismo y su asociación con la cirrosis,Riesgo de hemorragia digestiva en caso de,Falla respiratoria si se asocia a infección viral,La asociación de kernícterus en este tipo de,Rápida instalación de cirrosis en caso de atresia,E
"¿En qué caso se considera criterio de derivación, durante la atención primaria de crecimiento y desarrollo del niño?",No dice palabras a los 15 meses,No realiza combinaciones de palabras a los 18,Los padres no comprenden el habla del niño a los,"No balbucea, ni señala, ni gesticula a los 9 meses","Dificultades para responder preguntas ""qué,",A
¿Cuál es la triada que caracteriza al síndrome de West?,"Convulsiones, malformación cerebral, EEG",Espasmos,"Convulsiones, déficit visual, RMN anormal","Retraso del desarrollo, espasmos epilépticos,","Retraso mental, crisis mixtas, EEG anormal",D
"¿Qué tipo de cuidado del cordón umbilical del recién nacido en un hospital, estimula su pronta caída?",Uso de clorhexidina,Aplicación de alcohol,Uso de iodopovidona,Cordón limpio y seco,Aplicación de antibiótico,D
"Paciente de 10 años presenta hemiparesia derecha, somnolencia y rigidez de nuca; desde hace 14 días tiene 
fiebre, cefalea, hiporexia y decaimiento. ¿Cuál es el diagnóstico más probable?",Meningitis tuberculosa en 3a fase,Meningitis tuberculosa en 2a fase,Meningitis bacteriana complicada,Absceso cerebral piógeno,Meningoencefalitis viral,B
"Adolescente femenina de 12 años, presenta hemorragia 24 horas después de extracción de muelas del juicio; 
tiene antecedente de presentar al día siguiente de traumatismo en cara, hemorragia mucocutánea con equimosis 
y epistaxis, así mismo, menorragia. ¿Cuál es diagnóstico más probable?",Deficiencia de protrombina,Deficiencia de fibrinógeno,Defecto cualitativo de plaquetas,Deficiencia de vitamina K,Enfermedad de Von Willebrand tipo I,E
"Niño nacido en parto distócico a término, con peso de 4,500 g. Examen: aducción con rotación interna del hombro, 
flexión del codo, pronación del antebrazo, y flexión de muñeca y dedos del lado izquierdo; reflejos izquierdos de 
Moro, bicipital y radial ausentes y el de prensión conservado; resto del examen físico y radiografía de hombros son 
normales. ¿Cuál es el diagnóstico?",Lesión completa del plexo braquial,Parálisis braquial de Klumpke,Fractura de clavícula en tallo verde,Síndrome de Horner,Parálisis de Duchenne-Erb,E
"En el estudio ecográfico de abdomen de un lactante que presenta heces con moco de color rojo sangre y que 
refiere el ""signo de la escarapela"". ¿Cuál es el diagnóstico más probable?",Intususcepción intestinal,Hiperplasia linfonodular en mucosa del íleon,Enterocolitis infecciosa,Púrpura de Henoch-Schönlein,Colitis seudomembranosa,A
"¿Cuánto tiempo adicional en meses debe continuarse el tratamiento; en los niños con anemia ferropénica que 
responden al tratamiento con complemento de hierro?",1,3,2,4,6,C
"Preescolar, presenta desde hace 3 meses pápulas pálidas umbilicadas localizadas mayormente en tórax, no 
pruriginosas. ¿Cuál es el diagnóstico más probable?",Molusco contagioso,Hidrocistoma,Verruga vulgar,Siringoma,Impétigo,A
"En general, las vacunas atenuadas no pueden ser administradas a los pacientes inmunodeprimidos debido a la 
posibilidad de...",alergia anafiláctica severa.,encefalopatía.,ser susceptibles de ineficacia.,multiplicación descontrolada del virus vacunal.,mayores costos de aplicación.,D
"Cuando un niño tiene la vacunación atrasada por una falsa contraindicación o porque no existe registro de haberlas 
recibido. ¿Cuál es el procedimiento a seguir?",Debe recomenzarse el esquema de vacunación,Cumplir con los intervalos máximos,No considerar la dosis incumplida,Evitar indicar dosis mayores,Administrar el número total de dosis,E
"Cuando hacemos el diagnóstico de brucelosis en un paciente, tenemos en cuenta la tendencia a la cronicidad de 
esta patología. ¿Cuál es la causa principal de esta condición?",Inicio tardío del tratamiento,Resistencia a los antibióticos usados,La brucela se hace intracelular,Dosis inadecuada de antibióticos,No usar el tratamiento por vía parenteral,C
"En los pacientes con trastornos genéticos-metabólicos de acuerdo con los hallazgos clínicos pertinentes debe 
tenerse mayor sospecha del diagnóstico cuando se presenta:",Deterioro manifiesto del estado general,Infecciones graves,Evolución crónica,Antecedentes familiares,Anormalidades de más de un sistema orgánico,E
"¿Cuál es el porcentaje de curación de la displasia de cadera, si se diagnostica en el primer mes de vida?",90%,85%,80%,75%,95%,E
"Paciente de 28 días, presenta ictericia desde hace 8 días que ha ido en aumento. Laboratorio: bilirrubina total: 7 
mg/dl, bilirrubina indirecta: 1.5 mg/dl. ¿Cuál es la causa más probable de ictericia?",Lactancia materna,Atresia de vías biliares,Enfermedad de Gilbert,Esferocitosis hereditaria,Isoinmunización O-A tardía,B
"Si a una gestante en trabajo de parto se le diagnostica infección vaginal por Neisseria gonorroheae, para la que 
no ha recibido ningún tratamiento previo. ¿Cuál es la conducta a seguir con el recién nacido?",Tomar muestra de secreción ocular para examen directo con tinción de gram y cultivo,Administrarle 25-50 mg/Kg (máximo 125 mg) de ceftriaxona IV o IM al nacimiento,Administrarle 1-2 gotas de nitrato de plata al 1 % en cada saco conjuntival en la primera hora,"Administrarle penicilina G sódica 50,000 U/Kg de peso corporal IV o IM durante 7-10 días",No dar tratamiento si no hay signos de oftalmia gonocócica,B
"Adolescente femenina, presenta acné en cara. Examen: lesiones de tipo comedones cerrados, abiertos y algunas 
pústulas. Ella ha comprado isotretinoína por recomendación del boticario. Usted le explica que ese medicamento 
se prescribe en acné del tipo…",comedociano.,inflamatorio papular.,inflamatorio pustuloso.,inducido por fármacos.,nódulo-quístico.,E
"En lactantes entre 28 y 60 días de edad con fiebre mayor a 38°C. ¿Qué instrumento nos ayuda a identificar niños 
con bajo riesgo de infección bacteriana?",Escala de observación de Yale,Escala de observación del lactante pequeño,Índice de gravedad,Criterios de laboratorio,Criterios de Rochester,E
"¿Qué es necesario considerar, para mejorar la adherencia y el cumplimiento del tratamiento médico en pediatría?",Supervisión continua,Hacer partícipe a todo el equipo de salud,Brindar información personalizada,Remarcar la importancia de la salud del niño,Elegir un cronograma de tratamiento simple y,E
"Lactante de 9 meses, presenta erupción máculopapulosa que se inicia en tronco, luego brazos y cuello, después 
cara y piernas; tres días antes de la erupción, presentó fiebre de 39 °C que desapareció al aparecer ésta, además 
irritabilidad y molestias al lactar. ¿Cuál es el diagnóstico más probable?",Herpes zóster,Sarampión,Rubéola,Varicela,Exantema súbito,E
"Niño de 4 meses, traído a consulta por vómitos de aproximadamente 30 ml de volumen, 2 a 3 veces al día. ¿Cuál 
es el diagnóstico más probable?",Otitis media,Regurgitación,Estenosis pilórica,Sobrealimentación,Gastroenteritis,B
¿Cuál es la información de mayor utilidad durante la evaluación de un niño con talla baja?,Ver la curva de crecimiento en la ficha de control de crecimiento y desarrollo,Antecedentes familiares de padres y abuelos,Tener el dato puntual de una talla que cae por fuera de la curva normal,El uso de fármacos estimulantes,Disminución del apetito y selectivos con sus comidas,A
"Niño que lava vehículos en vía pública, presenta lesiones en piel de extremidades inferiores algunas costrosas, 
engrosadas de color marrón rodeada de eritema; algunas lesiones han evolucionado a necróticas con úlceras 
profundas en sacabocado. ¿Cuál es el diagnóstico más probable?",Impétigo ampollar,Forunculosis,Escabiosis infectada,Ectima,Traumatismo cutáneo,D
"Infante de 2 años, presenta deshidratación causada por diarrea aguda infecciosa. Laboratorio: creatinina: 1.4 
mg/dl, úrea: 88 mg/dl, densidad urinaria: 1035, sodio en orina: 12 mEq/l, excreción fraccionada de sodio <1%. 
¿Cuál es la decisión terapéutica inicial e inmediata?",Hidratación adecuada para evitar progresión de daño renal,Restringirle líquidos por insuficiencia renal aguda establecida,Administrar bolo de furosemida para forzar diuresis,Dializarlo urgentemente por falla renal aguda,Repetir exámenes auxiliares para reevaluación,A
"Paciente varón de 6 años, presenta en forma brusca erupción purpúrica, formada por petequias y una púrpura 
palpable en las extremidades inferiores y nalgas; se agrega dolor en rodilla izquierda y dolor abdominal. Estudios 
de coagulación son normales. ¿Cuál es diagnóstico más probable?",Síndrome de Ehlers-Danlos,Escorbuto,Púrpura de Henoch-Schönlein,Tratamiento crónico con corticoides,Malnutrición grave,C
"¿Cuáles son las causas más frecuentes, para que niños sin condiciones médicas preexistentes, presenten un 
episodio agudo de hemoptisis?",Tuberculosis pulmonar/malformaciones congénitas,Embolismo pulmonar/enfermedades autoinmunes,Neoplasias pulmonares primarias/hemoptisis facticia,Malformaciones endovenosas/infecciones pulmonares parasitarias,Neumonía/aspiración de cuerpo extraño,E
