questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Se le interconsulta por gestante de 30 semanas con ecografía rutinaria donde se observa oligohidramnios y feto 
varón con hidroureteronefrosis bilateral, vejiga engrosada y distendida y el signo de ""ojo de cerradura"". Pene y 
testículos ecográficamente normales. ¿Cuál es el diagnóstico más probable?",Estenosis de unión pieloureteral,Estenosis de unión ureterovesical,Megauréter congénito obstructivo,Válvulas uretrales posteriores,Reflujo vesicoureteral severo,D
¿Cuál es la ecuación para calcular la Pdet (presión del detrusor) en el estudio urodinámico?,Pdet = Qmax + Pves,Pdet = Pves - Pabd,Pdet = Pabd + Pves,Pdet = Pabd - Qmax,Pdet = Pabd - Pves,B
¿Cuál de los siguientes enunciados caracteriza a la vasculatura renal?,La arteria renal derecha nace por debajo de la,La vena renal izquierda pasa por debajo de la,La arteria renal izquierda pasa por encima de la,La vena renal derecha nace por encima de la,La vena renal derecha nace por debajo de la,A
Es un anticolinérgico con una mayor afinidad por los receptores M3.,Mirabregon,Tolterodina,Tamsulosina,Flavoxato,Solifenacina,E
"¿Qué informan las estadísticas con respecto al embarazo y la capacidad reproductiva en pacientes trasplantados 
renales?",Los niveles de testosterona en hombres suelen,Solo un 10% de los embarazos concluyen de,Por lo general se restaura la fertilidad tanto en,Las anormalidades congénitas son frecuentes,Se presenta retraso del crecimiento intrauterino,C
"El músculo psoas mayor se origina desde la ...... vertebra dorsal, hasta la ...... vértebra lumbar.",11a / 4a,12a / 5a,12a / 2a,11a / 2a,11a / 3a,B
"Mujer de 40 años, diagnosticada de cáncer renal a células claras, según el TNM: T1bN0M0. ¿Cuál es el porcentaje 
de supervivencia a 5 años que los estudios demuestran para estos casos?",50 - 60,>80,30 - 40,15- 20,<10,B
"Varón de 40 años, refiere un ""crack"" durante la relación sexual, con dolor e inmediata detumescencia del pene 
y aumento de volumen del mismo. Al examen: Pene con gran edema y equimótico, lateralizado hacia la izquierda. 
¿Cuál es el diagnóstico más probable?",Parafimosis,Prepucio redundante,Fractura de pene,Balanopostitis,Contusión peneana,C
"Mujer de 23 años, sufre atropello por mototaxi, refiere dolor en flanco izquierdo. Funciones vitales normales. 
UROTEM con contraste: Riñón izquierdo con hematoma subcapsular, no se evidencia laceraciones corticales ni 
extravasación de contraste. ¿Qué grado de trauma renal le corresponde?",1,2,3,4,5,A
"Varón de 1 año con testículo derecho aumentado de tamaño, duro. Biopsia testicular hace una semana, la AP 
informa: mezcla de células epiteliales y mesenquimatosas en un patrón organoide, presencia de cuerpos de 
Schiller-Duval. ¿Cuál es el diagnóstico anatomopatológico más probable?",Teratoma inmaduro,Quiste epidermoide,Tumor de células de Leydig,Tumor de células de Sertoli,Tumor del Saco Vitelino,E
