questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Mujer de 70 años, con dolor en región postolateral de muslo y se extiende a toda la pierna, no hay pérdida de reflejos. En 
la resonancia presenta hernia. ¿A qué disco lumbar se atribuye dicha hernia?",L5-S1,L3-L4,L4-L5,L1-L2,S1-S2,C
"Niño de 5 años, sometido a cirugía traumatológica por accidente de tránsito, el reporte pre anestesiológico nos indica un 
MALLAMPATI clase I. ¿Cuál es el valor predictivo de vía aérea?",Ayuda de presión laríngea,Mayor dificultad para intubación traumática,Difícil intubación,Peligrosa intubación,Normal y fácil intubación,E
¿Cuál es la causa de la alcalosis metabólica que suele aparecer en el periodo perioperatorio?,Hipoventilación,Aspiración nasogástrica,Narcosis,Supresión incompleta del bloqueo neuromuscular,Hiperproteinemia,B
¿Cuál es un factor neurógeno que influye en el flujo sanguíneo cerebral?,Anestésicos,PaCO2,Temperatura,Viscosidad sanguínea,Vía extracraneal simpática,E
"Gestante de 36 semanas, tiene accidente automovilístico, familiar no refiere antecedentes patológicos. Es llevada a 
emergencia, presentado laceraciones de pierna, pulso filiforme, trauma en tórax y abdomen, palidez marcada, llenado 
capilar de 4 segundos, FR 24X', FCF 120 X'. ¿Cuál es el puntaje de índice de gravedad del trauma?",36,32,30,25,45,A
La cardioversión es el tratamiento de la .........causado por isquemia.,bradicardia sinusal,taquicardia sinusal,fibrilación ventricular,taquiarritmias auriculares,bloqueo cardiaco,C
"Niño de 5 años que presenta pérdida de conciencia en el colegio, paramédico inicia RCP. ¿Cuál es la conducta a seguir?",La frecuencia es de 1 ventilación cada 2 a 3,No se debe administrar adrenalina,Se recomienda siempre la presión cricoidea,La relación compresión / ventilación es de 30:2,No iniciar desfibrilador,A
"Varón de 45 años ASA1 programado para cirugía de colecistectomía laparoscópica, con anestesia general, con intubación 
fallida. ¿Cuál es la mejor conducta a seguir?",Pedir ayuda y llamar a un anestesiólogo con mayor,Seguir intentando hasta lograr intubación,Cambiar de técnica anestésica,Pasar a anestesia regional,Continuar la cirugía,A
"Estasis venosa, daño endotelial e hipercoagulabilidad sanguínea es conocido como la triada de...",Virchow,Willis,Horner,Raynaud,Fick,A
"¿Cuál es el opioide hidrofílico con inicio retardado en la analgesia, con duración más larga, y su distribución es extensa 
en el LCR?",Fentanilo,Remifentanilo,Sufentanilo,Morfina,Tramadol,D
