questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"En la revascularización coronaria quirúrgica el injerto que se anastomosa con mayor frecuencia a la arteria descendente 
anterior es...",vena safena mayor.,arteria radial.,arteria mamaria interna izquierda.,vena safena menor.,arteria gastroepiploica.,C
¿Cuál es una indicación de revascularización coronaria?,Angina estable en tratamiento,Estenosis <50% de la coronaria izquierda,ICC con miocardio inviable,Oclusión coronaria aguda sin ICP,Shock cardiogénico,E
La cirugía de Palma consiste en...,la derivación arterial fémoro-femoral.,la derivación venosa fémoro-femoral con injerto,la derivación venosa fémoro poplítea.,la derivación arterial fémoro poplítea.,la derivación venosa fémoro tibial.,B
"Varón de 33 años, hace media hora presenta herida punzopenetrante en cuello. Examen:  FC 120X', PA 70/50 
mmHg; herida cortante en cara lateral izquierda del cuello con sangrado activo pulsátil; pulso carotídeo no 
evaluable. ¿Cuál es la conducta a seguir?",Ecodoppler arterial carotídeo,Angiotem cuello,Arteriografía carotídea,Angiorresonancia cuello,Exploración vascular quirúrgica del cuello,E
"En un RN con CIV extensa que cursa con insuficiencia cardiaca refractaria y cortocircuito importante. ¿Cuándo se 
recomienda cerrar quirúrgicamente?",En el período neonatal,A los 2 meses,A los 30 días,En la etapa pre escolar,Al año,A
La indicación quirúrgica de un aneurisma torácico proximal es cuando el diámetro del mismo es mayor de:,2.5 cm,3.5 cm,5.5 cm,4 cm,1 cm,C
En la clasificación clínica de la enfermedad venosa crónica de la extremidad inferior. ¿Cuál corresponde a la clase 3?,Edema sin alteraciones cutáneas,Venas varicosas,"Alteraciones cutáneas con hiperpigmentación,",Alteraciones cutáneas más úlceras cicatrizadas,Alteraciones cutáneas más úlceras activas,A
"Mujer 45 años. Edema y lipodermatoesclerosis pierna izquierda. Antecedente TVP hace 3 años. EDV MMII: insuficiencia 
severa vena femoral y poplítea. ¿Cuál es el tratamiento?",Medias de compresión elástica,Ablación endovenosa safena con laser,Ablación endovenosa con radiofrecuencia,Derivación venosa femo-femoral,Reconstrucción venosa profunda,A
"En un ataque isquémico transitorio (AIT) carotídeo. ¿Cuál es una condición para la indicación aceptable pero no 
demostrada de endoarterectomía carotídea?",AIT en los últimos 6 meses y estenosis del 50-69%,Uno o más AIT en los últimos 6 meses y estenosis >70%,AIT con estenosis <50%,Ictus leve con estenosis >70%,Ictus leve con estenosis <50%,A
La anuloplastía de DeVega se utiliza en:,Estenosis tricúspidea,Insuficiencia mitral,Estenosis mitral,Insuficiencia tricúspidea,Insuficiencia aórtica,D
"Varón de 25 años, acude por presentar dolor en pierna derecha. No antecedentes de trauma. Examen: 
frémito y dilataciones venosas en muslo y pierna derecha; alteraciones tróficas en pierna; pulsos periféricos presentes. 
¿Cuál es la principal sospecha diagnóstica?",Malformación arteriovenosa de alto flujo,Malformación venosa,Malformación linfática,Malformación capilar,Tumor vascular,A
"Durante la protección miocárdica, la cánula de cardioplejía retrógrada se inserta en:",Seno coronario,Aorta ascendente,Arteria pulmonar,Vena pulmonar derecha,Vena innominada,A
"Los abscesos de la región anal catalogados como ""absceso en herradura"" están clasificados como:",Perianales,Interesfinterianos,Transesfinterianos,Isquiorrectales,Supraelevadores,D
¿Cuál es el aneurisma más frecuente en las arterias periféricas?,Ilíaco,Femoral,Pedio,Tibial,Poplíteo,E
"Varón de 76 años, se diagnóstica estenosis aórtica, dada la edad el cardiólogo sugiere patología por cambios en el 
envejecimiento. ¿Cuál es el cambio específico causante de esta lesión?",Aumento de tamaño de la cavidad auricular,Calcificación en la válvula aórtica,Depósitos de lipofuscina,Depósitos cálcicos de la unión sinotubular,Placas ateroescleróticas,B
El bypass arterial coronario sin circulación extracorpórea puede realizarse en:,Shock cardiogénico,Arritmias isquémicas recurrentes,Neumonectomía izquierda previa,Lesiones de la arteria coronaria izquierda,Pectus excavatum severo,D
"Mujer 35 años con dolor y pesadez en piernas. Examen: edema y dilataciones venosas tortuosas en pierna derecha. 
¿Cuál es el CEAP?",C1,C3,C2,C4,C5,B
"¿Cuál es la incisión que se realiza con mayor frecuencia en el tratamiento quirúrgico de emergencia de las lesiones 
penetrantes de tórax?",Esternotomía mediana,Toracotomía anterolateral izquierda,Toracotomía axilar,Toracotomía postero lateral,Toracoesternotomía bilateral,B
La cirugía de Palma se indica en...,oclusión aguda vena iliaca.,várices de miembros inferiores.,insuficiencia venosa primaria.,linfedema.,oclusión crónica vena iliaca.,E
La simpatectomía o simpaticotomía torácica bilateral se indica en:,Enfermedad arterial periférica miembros inferiores,Síndrome Horner,Neumotórax espontáneo,Quilotórax,Hiperhidrosis palmar y axilar,E
¿Cuál es la contraindicación absoluta en el uso del balón intraaórtico?,Insuficiencia aórtica,Enfermedad vascular periférica,Shock cardiogénico,Infarto miocardio agudo,Aneurisma aorta torácica,E
¿Cuál es la triada clásica en la producción de la trombosis venosa profunda?,"Estasis venosa, edema e hipercoagubilidad","Lesión endotelial, edema e hipercoagubilidad","Obstrucción venosa, hipercoagubilidad y estasis","Lesión endotelial, obstrucción venosa y edema","Estasis venosa, hipercoagubilidad y lesión endotelial",E
En una radiografía lateral de tórax. ¿Qué estructura corresponde al borde cardiaco anterior?,Aurícula izquierda,Ventrículo izquierdo,Ventrículo derecho,Aorta descendente,Aurícula derecha,C
"Varón 43 años hace una hora sufre herida por PAF en MID. Examen: FC 120X', PA 70/50 mmHg; herida por PAF con 
orificio de entrada y salida en muslo derecho; pulsos ausentes; frialdad y palidez extrema pierna. ¿Cuál es la conducta 
a seguir?",Ecodoppler arterial,Angiotem,Angiorresonancia,Arteriografía,Exploración vascular quirúrgica,E
Mujer con sospecha de traumatismo cerrado en tórax. ¿Cuál es el lugar más frecuente de lesión aortica?,Aorta descendente,Istmo aórtico,Aorta proximal a la salida de la arteria subclavia,En la base de la aorta ascendente,Aorta ascendente,B
"Mujer de 65 años, hace una hora dolor súbito y frialdad distal MID. Antecedente: HDA 6 
meses antes. Examen: RC arrítmicos; pierna derecha fría y pálida; pulsos ausentes. Angiotem: ausencia de pasaje de 
contraste a nivel fémoro poplíteo, pobre llenado colateral distal. ¿Cuál es la conducta a seguir?",Trombólisis intraluminal femoral,Derivación fémoro-femoral,Derivación fémoro poplíteo,Angioplastia femoral,Tromboembolectomía femoral con catéter balón,E
¿Cuándo se indica el reemplazo de la válvula aórtica transcatéter?,Insuficiencia aórtica severa,Estenosis aórtica leve,Pacientes con bajo riesgo de mortalidad por cirugía,Estenosis aórtica severa,En pacientes menores de 30 años,D
"Varón de 46 años con antecedente de infarto agudo de miocardio, después de 4 semanas refiere presentar fiebre y 
dolor precordial intenso, el cual calma al inclinarse hacia adelante. ¿Cuál es la pericarditis más probable?",Purulenta,Fibrinosa,Hemorrágica,Caseosa,Serosa,B
El objetivo de la timectomía en el paciente con diagnóstico de miastenia gravis es:,Reemplazar a la plasmaféresis,Evitar el uso de inmunoglobulinas intravenosas,Evitar el uso de corticoides,Lograr la remisión completa de los síntomas,Aumentar los anticuerpos contra los receptores de,D
La operación de Homan se realiza en...,la insuficiencia venosa primaria.,la insuficiencia venosa secundaria.,el linfedema.,la enfermedad arterial periférica.,la trombosis venosa profunda.,C
"En malformaciones congénitas, donde se requiere visualizar los grandes vasos extracardíacos, sus conexiones venosas 
sistémicas y pulmonares para luego medir con exactitud la función cardíaca. ¿Cuál es el examen no invasivo que se 
utiliza cada vez con más frecuencia?",Resonancia magnética,Ecocardiografía,Tomografía computarizada,Electrocardiografía,Emisión de positrones,A
¿Cuál es el examen de elección para el diagnóstico de la estenosis mitral?,Ecocardiografía,Rx de tórax,Cateterismo cardiaco,TEM de tórax,RMN de tórax,A
"Según la clasificación TASC II de las lesiones oclusivas aortoiliacas. ¿A qué tipo corresponde una oclusión bilateral de 
la arteria iliaca común?",A,D,E,B,C,E
La filariasis puede causar...,insuficiencia venosa primaria.,linfedema.,insuficiencia venosa secundaria.,várices miembros inferiores.,enfermedad arterial periférica.,B
