questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"En el Síndrome de hipertensión endocraneana descompensado, en la fase de deterioro rostro caudal. ¿Cómo están las 
pupilas en la etapa diencefálica temprana?",Midriáticas,Normales,Pequeñas hiporreactivas,Intermedias arreactivas,Pequeñas hiperreactivas,C
"Varón de 23 años es trasladado al servicio de emergencia, debido a que hace 2 horas sufrió atropello por vehículo. Sus 
respuestas son incoherentes. Examen: PA 100/70 mmHg, FC 98X', FR 34X'; Glasgow 8; herida en región temporal 
izquierda, pupilas hiporreactivas; resto del examen sin mayor alteración. ¿Cuál es la indicación inmediata?",Oxigenoterapia 4 l/mín,Hidrocortisona 0.25 mg,Metilprednisolona 25 mg/Kg,Aperturar vía venosa central,Intubación endotraqueal,E
"¿Cuál es el cuadro que se produce cuando la persistencia del conducto arterioso no se cierra, en especial las de mayor 
magnitud?",Miocardiopatía grave,Vasculopatía pulmonar irreversible,Insuficiencia valvular,Insuficiencia cardiaca derecha,Estenosis valvular,B
"Varón de 45 años, hace 2 horas sufre agresión con arma blanca en espalda, con dolor, limitación del movimiento y 
sensibilidad. Examen: herida penetrante a nivel paravertebral izquierda, altura L1-L2; no moviliza la extremidad inferior 
izquierda y pérdida de la termoalgesia del lado derecho. ¿Qué lesión presenta?",Lesión axonal difusa,Hematoma epidural,Cordón posterior,Cordón central,Cordón lateral,E
"RN varón, presenta vómitos no biliosos “en proyectil” intensificado en el curso de varios días, no tolera ni siquiera líquidos 
claros; a pesar del vómito recurrente, tiene un apetito voraz; la mamá menciona que evacua cada vez menos 
flatos.  Examen: deshidratado; abdomen: se palpa tumoración pequeña en el cuadrante superior derecho con presencia 
de ondas gástricas visibles. ¿Cuál es el diagnóstico?",Estenosis pilórica hipertrófica,Atresia yeyunal,Intususcepción,Duplicación intestinal,Estenosis duodenal,A
"Varón de 30 años, desde hace 8 horas, luego de un esfuerzo, la hernia inguinal ""ya no regresa"", el dolor es continuo, 
náuseas, vómitos y no puede eliminar flatos. Examen: abdomen distendido, doloroso a la palpación; masa inguinal 
irreductible con RHA (+). ¿Cuál es la indicación a seguir?",Tomografía abdominal,Ecografía de masa inguinal,Cirugía de emergencia,Rx de abdomen simple,Reducción manual,C
"En la clasificación clínica de Fontaine de la enfermedad arterial periférica. ¿A qué estadío corresponde la claudicación 
moderada o grave?",IIb,I,IIa,III,IV,A
"Varón de 30 años, desde hace 2 días con dolor anal de aparición brusca, luego de levantar objeto pesado. Antecedente: 
estreñido crónico. Examen: perineo posterior se aprecia masa rojoviolácea en el margen anal. ¿Qué indicación es la 
pertinente?",Escisión elíptica,Dieta rica en fibra,Hemorreidectomía,Baños de agua tibia,Metronidazol,A
"Mujer de 18 años, desde hace 4 días presenta dolor intenso al defecar, con sangrado rectal. Antecedente: estreñimiento 
crónico. Examen: al tacto rectal se evidencia esfínter hipertónico y doloroso. ¿Cuál es el tratamiento inicial recomendado?",Nitroglicerina tópica,Esfinterotomía externa,Baños de agua fría,Avance de colgajo,Infiltración con lidocaína,A
"Lactante que desde hace 2 días presenta vómitos frecuentes no biliosos. Examen: mucosas resecas; se palpa masa a 
nivel del epigastrio. Ecografía: píloro de 5 mm de espesor. ¿Qué se debe indicar?",Nutrición enteral,Rx abdomen simple de bipedestación,Proquinéticos,Rehidratación,NPT,D
"Varón de 50 años, sufre atropello por vehículo, con dolor y deformación de pierna. Examen: PA 100/70 mmHg, FC 96X', 
FR 24X'; herida de 10 cm en tercio medio de pierna con exposición de músculos y tibia. ¿Cuál es la conducta a seguir?",Irrigación y desbridamiento,Antibióticos y analgésicos,Fijación externa y antibióticos,Lavado y vendaje,Afrontamiento y vacuna antitetánica,A
"Varón de 25 años, admitido en trauma-shock por accidente de tránsito grave. Examen: pálido; T° 35°C, PA 60/40 
mmHg, FC 110X', pulsos débiles, SatO2 88%; tórax múltiples fracturas costales; abdomen: distendido, RHA ausentes. 
Laboratorio: Hto 24%, EcoFAST líquido libre en cavidad peritoneal y desgarro esplénico. ¿Cuál es la indicación más 
importante?",Control de daños,Paracentesis diagnóstica,TAC toracoabdominal,Transfusión sanguínea,Lavado peritoneal diagnóstica,A
¿Cuál es el tratamiento quirúrgico recomendado para la pancreatitis necrotizante infectada?,Pancreatectomía total,Pancreatectomía distal,Drenaje percutáneo,Necrosectomía con drenaje,Pancreatectomía parcial,D
En una diverticulitis aguda catalogada como Hinchey estadío IV. ¿Cuál es el tratamiento quirúrgico recomendado?,Colectomía total,Hemicolectomía izquierda ampliada,Hemicolectomía izquierda,Sigmoidectomía más anastomosis,Operación de Hartmann,E
¿Cuál es la conducta a seguir en un traumatismo de cráneo leve?,Rx de cráneo,Observación por 6 horas,TAC cerebral,Observación por 24 horas,Craneotomía exploradora,B
"Varón de 19 años, sufre caída del tercer piso y es trasladado por bomberos. Examen: dolor cervical, limitación motora de 
las cuatro extremidades. Rx cervical: fractura de 3a vertebra cervical. Se mantiene hipotenso a pesar de la infusión de 
cristaloides. ¿Cuál es la acción a seguir?",Dar albúmina EV,Aplicar mantas térmicas,Indicar cámara hiperbárica,Indicar dopamina,Aplicar hidrocortisona EV,D
"Neonato de 2 semanas, traído por la madre, quien refiere que presenta eliminación de saliva abundante luego de iniciar 
la lactancia acompañado de tos y ""atoro"". Examen: abdomen distendido, blando y depresible. Se diagnostica atresia 
esofágica y se desea saber si existe la fístula traqueoesofágica. ¿Cuál es el examen a solicitar?",Tomografía de tórax,Rx esófago con contraste,Rx simple de tórax,Mediastinoscopía,Toracoscopía,B
En enfermedad venosa crónica. ¿Cuál es uno de los tratamientos más exitosos de las telangiectasias en araña?,Flebectomía cortante,Escleroterapia con espuma,Ablación venosa quirúrgica,Flebectomía potenciada,Escleroterapia con inyección,B
"Varón de 20 años, laparatomizado por trauma abdominal cerrado, al 10° día presenta dolor abdominal intermitente, fiebre 
y cambios en el hábito intestinal. Examen: estable; abdomen distendido, RHA disminuidos, doloroso a la palpación 
superficial. Laboratorio: leucocitos 18000/µl; TAC colección intrabdominal 100 cm3. ¿Cuál es la indicación prioritaria?",Relaparatomía + ATB,Nutrición enteral + ATB,NPT + ATB,Piperazilina-tazobactam,Drenaje percutáneo + ATB,E
¿Qué imágenes en la TAC son característicos de los hematomas subdurales agudos?,Sangrado difuso,Hemorragias puntiformes,Hematoma convexo,Hematoma intraventricular,Hematoma cóncavo,E
"Mujer de 30 años, hace una hora sufre caída de escaleras de su casa, manifiesta no recordar lo sucedido. Antecedente: 
HTA con tratamiento regular. Examen: hematoma en región parietal derecha del cuero cabelludo, pupilas normoreactivas, 
disminución de la fuerza de la mano izquierda. ¿Qué se debe de indicar?",Angio TEM cerebral,Potenciales evocados,RMN cerebral con contraste,Rx cráneo lateral y frontal,TAC cerebral sin contraste,E
"Varón de 46 años, hace 4 horas sufre el impacto de proyectil de arma de fuego en abdomen. Examen: pálido e hipotenso. 
Tórax: pulmones MV pasa en ACP. Cardiovascular: RC rítmicos, taquicárdicos; abdomen globuloso, herida a nivel del 
mesogastrio, RHA disminuidos, Rebote(+). EcoFast: líquido libre en espacio de Morrison. ¿Cuál es la indicación 
inmediata?",Rx abdomen en incidencia tangencial,Exploración de la herida,Laparoscopía diagnóstica,Transfusión sanguínea grupo universal,Laparotomía exploratoria,E
"Varón de 80 años con artritis reumatoide con tratamiento con AINES, desde hace 5 horas presenta dolor brusco e intenso 
en epigastrio. Examen: abdomen algo distendido y doloroso a la palpación profunda en epigastrio, RHA (+). Rx abdomen 
simple sin mayores cambios. TAC perforación sellada. ¿Cuál es la conducta a seguir?",Derivación gastroyeyunal,Gastrectomía distal,Observación,Vagotomía troncular con resección de úlcera,Resección parcial de la perforación,C
"Según la clasificación de Strasberg de lesiones de la vía biliar. Una lesión en el hepático común a 2 cm de la confluencia 
de los conductos hepáticos. ¿A qué tipo corresponde?",E1,E5,E3,E4,E2,E
"Varón de 2 meses, es traído por la madre que manifiesta que su hijo tiene vómitos biliosos, somnoliento, retraso del 
crecimiento. Examen: abdomen doloroso, RHA incrementados. Rx abdomen con contraste: imagen en ""pico de ave"" en 
la tercera porción del duodeno. ¿Cuál es el diagnóstico?",Atresia de duodeno,Malrotación intestinal,Enterocolitis necrotizante,Ileo meconial,Síndrome de intestino corto,B
¿Cuántas semanas dura la consolidación de fracturas de huesos largos en adultos?,9 - 10,10 - 12,4 - 5,3 - 4,6 - 8,E
"En una paciente con estadio 0 para neoplasia maligna de colon, que presenta pólipos en el colon sigmoides. ¿Cuál es la 
conducta a seguir?",Dosaje de ACE cada 3 meses,TEM colon con contraste cada 6 meses,Colectomía izquierda,Extirpar por completo los pólipos,Sigmoidectomía parcial,D
"Varón de 16 años, desde hace 2 meses presenta aumento de tamaño del hemiescroto derecho, sin otra molestia. 
Antecedente: hace 13 años operado de cliptorquidia. Examen: testículo derecho 10 cm de longitud, indoloro. ¿Qué 
estudios auxiliares se debe indicar?",Rx tórax y abdomen simple,Alfa-fetoproteína y HGC ß,Rx tórax y PCR,PSA y calcitonina,RMN y biopsia testicular,B
En la clasificación clínica de la enfermedad venosa crónica de la extremidad inferior. ¿Cuál corresponde a la clase 3?,Alteraciones,Venas varicosas,Alteraciones cutáneas más úlceras cicatrizadas,Edema sin alteraciones cutáneas,Alteraciones cutáneas más úlceras activas,D
¿Cuál es la triada clásica en la producción de la trombosis venosa profunda?,"Lesión endotelial, obstrucción venosa y edema","Obstrucción venosa, hipercoagulabilidad y estasis","Estasis venosa, hipercoagulabilidad y lesión","Lesión endotelial, edema e hipercoagulabilidad","Estasis venosa, edema e hipercoagulabilidad",C
"Varón de 27 años, sufre accidente de tránsito, con mucho dolor y ""falta de aire"". Examen: PA 80/60 mmHg, FC 100X', 
FR 30X', SatO2 90%; herida de 4 x 5 cm en cara anterior de HTD de espesor total que comunica con la cavidad pleural. 
¿Qué medida inmediata se debe indicar?",Apósito oclusivo con cinta en 3 de sus lados,Sutura del defecto,Apósito oclusivo que se fija herméticamente,Toracoscopia,Toracotomía exploratoria,A
"En un ataque isquémico transitorio (AIT) carotídeo. ¿Cuál es una condición para la indicación aceptable pero no 
demostrada de endarterectomía carotídea?",AIT en los últimos 6 meses y estenosis del 50-69%,Ictus leve con estenosis <50%,AIT con estenosis <50%,Ictus leve con estenosis >70%,Uno o más AIT en los últimos 6 meses y estenosis,A
"Varón de 80 años que desde hace 5 días con dolor abdominal, sensación de alza térmica y pérdida del apetito. 
Examen: T° 39°C, PA 120/90 mmHg, FC 90X', FR 24X'; pulmón: MV pasa en ACP; RC rítmicos, regular intensidad; pulsos 
presentes; abdomen: globuloso, RHA disminuidos, dolor a la palpación profunda en hemiabdomen inferior y leve 
resistencia en FID. Laboratorio: leucocitosis y desviación izquierda. Examen de orina normal. Rx abdomen simple de pie: 
íleo reflejo CID. ¿Cuál es el diagnóstico más probable?",Obstrucción intestinal,Perforación péptica,Pancreatitis aguda,Isquemia mesentérica aguda,Apendicitis aguda,E
"Mujer de 45 años, hace 4 días fue intervenida de emergencia de colecistectomía laparoscópica, presenta ictericia, dolor 
abdominal y fiebre. Examen: ictericia de escleras; abdomen: distendido, doloroso, RHA presentes, rebote(+). Ecografía: 
colección líquida en el subhepático. Rx abdomen simple: niveles hidroaéreos. ¿Cuál es el posible diagnóstico?",Perforación del duodeno,Lesión de vía biliar extrahepática,Lesión de la vía biliar intrahepática,Colangitis aguda supurada,Perforación inadvertida del colon transverso,B
"Varón de 18 años, hace 6 horas fue mordido por perro del vecino en el rostro. Examen: herida de 4 cm en la región frontal 
con bordes irregulares, sangrante y sin necrosis. ¿Cuál es la conducta a seguir?",Aplicación de nitrato de plata,Cierre por segunda intensión,Ampicilina-sulbactam EV,Irrigación profunda con NaCl 0.9%,Cierre primario,E
"Mujer de 36 años, desde hace 2 días presenta dolor urente en faja luego de ingerir abundantes alimentos. Antecedente: 
hace 1 año litiasis vesicular. Examen: abdomen: globuloso, RHA disminuidos, dolor a la palpación en hemiabdomen 
superior. Amilasa y lipasa incrementadas. TAC abdominal vesícula biliar paredes engrosadas conteniendo múltiples litos 
y aumento del volumen del páncreas. ¿Cuál es la conducta a seguir?",Antibióticos de amplio espectro,Colecistectomía diferida,Nutrición parenteral total,Exploración quirúrgica de la vía biliar,CPRE,B
"¿Qué maniobra quirúrgica debe realizarse en una lesión grado IV del hígado, en el paciente inestable?",Mantoux,Catell,Ladd,Pringle,Kocher,D
"Varón de 20 años es trasladado a emergencia por haber sufrido atropello por vehículo. Examen: pulmones MV pasa ACP. 
RC taquicárdico y pulsos presentes. Abdomen: distendido, RHA (+); hematoma escrotal, sangrado en meato urinario. TR: 
próstata alta. Rx pelvis: fractura de rama superior del pubis. ¿Qué estructura anatómica es la afectada?",Vejiga urinaria,Testículos,Riñón,Recto,Uretra,E
El tronco arterioso persistente tipo II se caracteriza porque...,las ramas arteriales pulmonares nacen de la aorta,las ramas de la arteria pulmonar nacen del tronco,las ramas arteriales pulmonares nacen de la aorta,se observa una arteria pulmonar principal común,las ramas arteriales pulmonares nacen de la aorta,B
"Diabético de 68 años, desde hace 3 semanas presenta dolor persistente de oídos, con cefalea y prurito; desde hace 5 
días secreción purulenta por el oído derecho. Examen: PA 150/80 mmHg, FC 95X', T° 38°C. Otoscopía: tejido de 
granulación descamativo en el piso del CAE, con zonas de necrosis. Cultivo de secreción positivo para Pseudomona. 
¿Cuál es el diagnóstico?",Sinusitis crónica,Otitis externa maligna,Otitis media aguda,Otitis externa crónica,Otitis media crónica,B
¿Cuál es la indicación adecuada en el paciente con hipertensión endocraneana?,PIC para disminuirla en primera instancia consiste en sedación y manitol EV,Mantener la PIC debajo de 20 mm Hg y presión de perfusión cerebral > 70 mmHg,Mantener la cabeza elevada en 10° y en posición lateral izquierda,Mantener la PIC debajo de 10 mm Hg y presión de perfusión cerebral > 90 mmHg,PIC se mantiene < 10 mm Hg se indica la sedación e hiperventilación,B
"Mujer de 21 años con diagnóstico de VIH, desde hace 4 días con dolor perineal intenso y progresivo, fiebre y malestar 
general. Examen: induración del perineo posterior. Laboratorio: neutropenia. Se le indica antibióticos de amplio 
espectro. ¿Cuál es la conducta a seguir?",RMN perineal,Baños de asiento con agua tibia,Ungüento anestésico,Ecografía transrectal,Drenaje,E
"Niño de 7 años, sin antecedente previo, súbitamente presenta disnea intensa, tos, estridor laríngeo, disfonía, insuficiencia 
respiratoria y agitación sicomotriz. ¿Cuál es el diagnóstico?",Espasmo bronquial agudo,Cuerpo extraño en laringe,Aspiración de sustancias tóxicas,Laringitis subglótica,Laringitis espasmódica,B
"Varón de 18 años, desde hace 4 días presenta dolor en mano izquierda, malestar general y alza térmica. 
Antecedente: hace 2 años ITS. Examen: dolor articular al movimiento, edema, eritema y dolor al examen. Rx mano: 
aumento del espacio interarticular. ¿Cuál es el tratamiento indicado?",Artrotomía + drenaje abierto,Drenaje cerrado + irrigación con gentamicina,Ceftriaxona EV + aspiración articular,Artrodesis + amikacina,Ciprofloxacino + drenaje cerrado,C
"Escolar de 12 años, presenta hace 6 días dolor en rodilla derecha con sensación de alza térmica e incapacidad funcional 
para caminar. Examen: PA 110/60 mmHg, FC 100X', T° 38.5°C; rodilla aumentada de volumen con flogosis y dolor para 
caminar. ¿Cuál es la conducta inmediata a seguir?",Aspiración articular,Resonancia,Rx de rodilla,Tomografía,Artrotomía,A
¿Cuál es el tratamiento principal en el niño con sinusitis crónica?,Drenaje del seno,Cauterización,Antibióticos,Adenoidectomía,Amigdalectomía palatina,D
"En la enfermedad venosa crónica de extremidad inferior. ¿Cuándo está indicado el tratamiento compresivo conocido 
como ""bota de Unna""?",Hiperpigmentación con úlceras cicatrizadas,Úlceras por estasis venosa,Venas varicosas visibles,Edema con eritema maleolar,Presencia de telangiectasias y venas reticulares,B
"Varón de 54 años, hace 2 días presenta tumoración dolorosa en pared lateral derecha del abdomen, que se acompaña 
de sensación nauseosa y distensión abdominal. Examen: PA 130/80 mmHg, FC 83X', T° 37.7°C; abdomen distendido, 
se palpa masa que protruye por el lado derecho, lateral al estuche de los rectos, dolorosa a la palpación e irreductible. 
¿Cuál es el diagnóstico?",Hernia de Spiegel,Hernia de Petit,Hernia de Grinnfelt,Plastrón apendicular,Eventración abdominal,A
¿Cuál es la conducta adecuada frente a un traumatismo vertebromedular?,En la unión cervicotorácica es suficiente la Rx,"Traslado debe ser con collarín, en tabla rígida y",Movilización y atención inmediata en el lugar del,Indicar Rx lateral y frontal de toda la columna,Examen clínico y Tomografía solo de la zona afectada,B
"Varón de 65 años, desde hace 10 días presenta dolor abdominal a predominio del hemiabdomen inferior, alza térmica y 
estreñimiento. Antecedente: hace 1 año cuadro semejante que mejoro con antibióticos y dieta. Examen: abdomen algo 
distendido, RHA disminuidos, doloroso a la palpación profunda en CII, rebote +/+++. TAC: torcimiento del tejido blando 
pericólico y engrosamiento de la pared del colon. ¿Cuál es el diagnóstico más probable?",Diverticulitis aguda,Enfermedad de Crohn,Colitis ulcerativa,Colon irritable,NM de colon,A
"Varón de 43 años, atendido en emergencia por accidente de tránsito de hace 1 hora. Examen: PA 140/70 mmHg, FC 
85X'; pierna izquierda: aumento de volumen y dolor a la movilización; piel lustrosa y tensa; no se palpa pulso pedio. Se 
evidencia incremento en la presión tisular del miembro. ¿Cuál es el tratamiento indicado?",Fijación externa,Osteotomía de tibia,Fasciotomía,Miotomía anterior,Yeso muslo pedio,C
"Varón de 40 años, hace 4 horas sufre agresión con arma blanca a nivel del hipocondrio derecho; manifiesta dolor intenso 
en el abdomen. Examen: PA 90/60 mmHg, FC 110X', FR 24X', SatO2 90%. Abdomen: distendido, herida sangrante, 
rebote(++). ¿Qué medida inmediata se debe tomar?",Indicar pruebas de laboratorio,Asegurar la vía aérea,Colocar vía endovenosa,Cohibir el sangrado,Indicar tomografía axial computada,B
¿Cuál es el tratamiento quirúrgico más recomendado para la hemorroide no complicada de grado II?,Hemorroidectomía de Milligan y Morgan,Hemorroidectomía de Ferguson,Trombectomía,Ligadura con banda elástica,Hemorroidectomía con grapadora,D
"Mujer de 45 años que será programada para colecistectomía laparoscópica. Antecedente: asma bronquial. ¿Qué 
anestésico es ideal?",Fentanilo,Propofol,Morfina,Tiopental,Tramadol,B
"Mujer de 28 años, desde hace 4 semanas presenta luego de defecar una tumoración que sale y regresa en forma 
espontánea a través del ano. Examen: tacto rectal huella de sangrado, esfínteres normotónicos. ¿Cuál es el diagnóstico?",Hemorroides internas grado III,Prolapso de mucosa,Hemorroides internas grado II,Hemorroides mixtas,Fisura anal,C
"Diabético de 55 años, desde hace 6 meses disminución del chorro urinario, goteo terminal y nicturia. TR: aumento de 
tamaño y consistencia de próstata. PSA libre 30 ng/dl. ¿Cuál es la conducta a seguir?",Prostatectomía radical,RMN de próstata,Bx de próstata por ecografía pélvica,Bx de próstata por ecografía transrectal,RTU,D
"En malformaciones congénitas, donde se requiere visualizar los grandes vasos extracardíacos, sus conexiones venosas 
sistémicas y pulmonares para luego medir con exactitud la función cardíaca. ¿Cuál es el examen no invasivo que se 
utiliza cada vez con más frecuencia?",Resonancia magnética,Tomografía computarizada,Ecocardiografía,Electrocardiografía,Emisión de positrones,A
"¿Cuál es la característica clínica del síndrome de ""cola de caballo""?",La paraparesia es espástica,No se produce retención urinaria y fecal,No hay dolor,La hipoestesia es por encima de L3,El dolor radicular es intenso,E
¿En cuantos días se cierra en forma espontánea la herida al retirar la cánula de traqueostomía?,30,7,14,21,35,C
"Mujer de 56 años, sufre accidente de tránsito, golpeándose contra el timón del auto, por lo que acude a emergencia. 
Examen: PA 90/60mmHg, FC 96X´, SatO2 96%; se palpa pulso paradojal en inspiración, ingurgitación yugular; ruidos 
cardiacos disminuidos de intensidad. ¿Cuál es el examen para confirmar el diagnóstico?",Resonancia magnética de tórax,Rx de tórax,Ecocardiografía,Tomografía de tórax,Electrocardiograma,C
¿En qué tipo de fracturas o condiciones se utiliza la fijación externa?,Complejas que precisan reducción abierta y fijación,Abiertas,Pacientes inestables pero que tolere anestesia,En pacientes inestables que toleren hemorragia,Sin lesiones vasculares asociadas,B
"Mujer de 35 años, luego de parto vaginal presenta salida heces y gases por vagina. Examen: pared posterior de vagina 
defecto por donde drena secreción fecaloide. ¿Cuál es la conducta a seguir?",Esperar 1-2 meses para cierre espontáneo,Esperar 3-6 meses para cierre espontáneo,Drenaje,Colgajo endorrectal por deslizamiento,Colostomía de derivación,B
"RN con respiración quejumbrosa, retracciones intercostales, disnea y cianosis. Examen: tórax en HTI MV disminuido y se 
auscultan RH",Laparoscopía diagnóstica,Toracoscopía diagnóstica,Cierre del defecto posterolateral del diafragma,Toracotomía descompresiva,Sutura del defecto anterolateral del diafragma,C
"Mujer de 80 años, con ASA IV, se encuentra hospitalizada en la UCI por neumonía intrahospitalaria, se encuentra 
descompesada. Examen: PA 80/60 mmHg; pulmones: crepitantes HTD. CV: RC rítmicos y taquicárdicos. Abdomen: se 
palpa masa en hipocondrio derecho y doloroso. Ecografía: vesícula biliar de gran tamaño, conteniendo un cálculo 
enclavado en el bacinete. ¿Cuál es la indicación pertinente?",Colecistectomía abierta,Colecistectomía laparoscópica,Colecistostomía abierta,Añadir ceftriaxona EV,Colecistostomía percutánea,E
¿Cuál es un factor de riesgo para la producción de colecistitis aguda alitiásica?,Edad media de la vida,Uso corto de nutrición parenteral total,Uso corto de inmunosupresores,Uso prolongado de nutrición enteral,Enfermos en estado crítico,E
"Mujer de 20 años que después de defecar presenta dolor anal que dura varias horas. Antecedente: estreñida crónica y 
baja de peso. Examen: canal anal con ulceración lateral, con bordes y se ve las fibras blancas del esfínter anal interno. 
¿Cuál es el diagnóstico?",Fisura anal,Enfermedad pilonidal,Tuberculosis,Fístula anal,Colitis ulcerativa,C
¿Cuál es la vía de abordaje de elección para el tratamiento de la fístula carótido-cavernosa indirecta?,Transvenoso vía vena cerebral media,Transvenoso vía seno venoso longitudinal superior,Transarterial vía arteria central de la retina,Transvenoso vía vena oftálmica superior,Transarterial vía arteria infraorbitaria,D
"Mujer de 85 años con antecedente de cardiopatía aterosclerótica, desde hace 14 horas presenta dolor abdominal muy 
intenso, náusea, vómito, distensión abdominal y diarrea sanguinolenta. Examen: Pulmones MV pasa ACP; RC 
arrítmicos; abdomen dolor difuso a la palpación, dolor de rebote y rigidez. ¿Cuál es el diagnóstico?",Pancreatitis aguda,Enfermedad disentérica,Obstrucción intestinal aguda,Isquemia mesentérica aguda,Perforación por úlcera péptica,D
¿Cuál de las siguientes cirugías se considera herida quirúrgica limpia-contaminada?,Drenaje de absceso hepático,Cuadrantectomía de mama,Hernioplastia inguinal,Ritidectomía,Gastrectomía subtotal,E
"Varón de 34 años operario en fábrica industrial sufre quemaduras con ácido fluorhídrico, es trasladado a emergencia. 
Examen: compromiso de ambas extremidades superiores. CV: arritmia cardiaca. Pulmones: sin alteraciones. Se procede 
a lavado abundante con suero salino. A pesar de los analgésicos aplicados no sede el dolor. ¿Cuál es la indicación 
pertinente?",Gluconato cálcico al 10% diluido EV,Gel gluconato de calcio al 10% tópico,Opioides infusión EV,Cloruro de potasio diluido EV,Apósitos con vaselina,A
"Mujer de 40 años acude porque hace 6 meses presenta pesades en pantorrillas, aumento de volumen de extremidades 
conforme pasan las horas, calambres. Antecedente: uso de anticonceptivos orales. Examen: obesa, piel de tobillo 
hiperpigmentada, lesión ulcerosa a nivel supramaleolar interna. ¿Cuál es el diagnóstico?",Fístula arteriovenosa,Insuficiencia arterial crónica,Trombosis venosa profunda,Tromboembolia venosa,Insuficiencia venosa crónica,E
¿Cuál de los siguientes microorganismos sólo se encuentra en el apéndice cecal del adulto?,Peptoestreptococos sp,Eschericha coli,Porphyromonas gingivalis,Kliepsella sp,Bacteroides fragilis,C
De las lesiones colónicas que se presentan. ¿Cuál es de mayor malignidad?,Pólipo hamartomatoso,Adenoma tubular,Pólipo hiperplásico,Adenoma velloso,Pólipo inflamatorio,D
"Mujer de 35 años, mientras estaba cocinando explotó el balón de gas, provocándole quemaduras. Examen: PA 110/70 
mmHg, FR 24 X', SatO2 94%; lesiones en cara, vellos nasales chamuscados; voz ronca. ¿Qué medida se debe de tomar?",Dexametasona en bolos,Antibióticos endovenosos,Intubación endotraqueal,Enoxaparina EV,Inhalación con salbutamol,C
"Varón de 70 años es sometido a resección transuretral, luego presenta trastornos del estado mental e incontinencia, 
náuseas y vómitos. ¿Qué indicación es recomendada?",Oxigenoterapia y dimenhidrinato,Diuréticos y soluciones salinas hipertónicas,Corregir el estado acidobase,Dexametasona y NaCl 0.9%,Manitol y albúmina humana,B
¿Qué estudio de imágenes es muy útil para la evaluación del trauma vertebral torácico con sospecha de lesión medular?,TAC con contraste,Resonancia magnética,Ecografía doppler,Mielografía,Rx columna vertebral,B
"Varón de 19 años, hace 4 horas sufre caída de altura y es trasladado a emergencia por dolor intenso cervical y hormigueo 
en las extremidades superiores. Examen: PA 90/60 mmHg, FC 98X', FR 24X', SatO2 98%; sensibilidad y motricidad 
conservada. Rx: fractura de C3 sin desplazamiento. RMN cervical no hematoma. ¿Cuál es la indicación más apropiada?",Fijación con placas,Descompresión quirúrgica,Mantener pO2 >90 mmHg,Hidrocortisona 100 mg EV,Tracción cervical,E
¿Cómo se denomina a la hernia en la que el saco forma parte de la pared de la víscera?,Incoercible,Coercible,Mixta,Deslizada,Recidivada,D
"¿Cuál es el examen que más se utiliza en la detección y tratamiento de pacientes con cánceres tiroideos diferenciados 
con enfermedad metastásica, donde la imagen proporciona información no sólo de la glándula sino también de la 
distribución de la actividad funcional?",Resonancia magnética,Gammagrafía con yodo-131,Ecografía tiroidea,Tomografía con emisión de positrones,Tomografía sin contraste,B
¿Cuál es el estudio auxiliar indicado para la evaluación de una fístula perineal compleja?,Fistulografía,TEM pélvica,Rx colon con enema,Defecografía,RMN pélvica,E
"Varón de 12 años, acude a la emergencia, desde hace 2 horas tiene dolor intenso y súbito en el testículo izquierdo, con 
aumento de volumen del escroto. Examen: edema del escroto, testículo en posición alta y doloroso. ¿Cuál es la conducta 
a seguir?",Orquiectomía,TEM testicular,Orquidiopexia,Ecografía doppler,RMN testicular,D
"En un RN con CIV extensa que cursa con insuficiencia cardiaca refractaria y cortocircuito importante. ¿Cuándo se 
recomienda cerrar quirúrgicamente?",En la etapa pre escolar,A los 30 días,A los 2 meses,En el período neonatal,Al año,D
