questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Lactante de 10 meses, es traído a emergencia por presentar movimientos tónico-clónicos generalizados de 20 minutos 
de duración, que cedió espontáneamente, madre niega convulsión previa. Examen: T° 39°C, FC 128X', FR 24X', 
SatO2 94%, se evidencia convulsión focalizada de miembro superior derecho que cede con diazepam. ¿Cuál es el 
diagnóstico probable?",Síndrome de West,Mioclonías,Convulsión febril compleja,Convulsión febril simple,Epilepsia,C
"Mujer de 30 años, intervenida de hernioplastia umbilical; habiendo recibido anestesia epidural, 3 horas después presenta 
cefalea intensa con mareos e hipotensión. ¿Cuál es el diagnóstico probable?",Depresión respiratoria,Schok anafiláctico,Desgarro de duramadre,Reacción vagal,"Síndrome de la ""cola de caballo""",C
"Niña de 3 años, con prurito intenso en cuero cabelludo que ha ocasionado lesiones por el rascado. Madre refiere que 
otras niñas en el nido presentan la misma molestia. Examen: T° 36.5°C, FC 100X', FR 22X', Peso 15 Kg; lesiones 
papulares eritematosas en cuero cabelludo y pabellones auriculares; linfadenopatías cervicales y occipitales. ¿Cuál es el 
tratamiento específico?","Malation al 0,5%",Tacrolimus,Ivermectina,Lindano loción,Vaselina,C
¿Con qué agente etiológico está relacionada la tiroiditis de De Quervain?,Infecciones por estafilococo,Radiación,Histoplasmosis,Equinococosis,Virus de la parotiditis,E
"En un paciente con diagnóstico de Síndrome de Alport (glomerulonefritis hereditaria). Histológicamente. ¿Qué estructura 
se espera encontrar alterada?",Membrana basal glomerular,Conductos papilares,Túbulos conectores,Conductos colectores corticales,Endotelio de los capilares glomerulares,A
"Varón de 60 años, hace una semana presentó fiebre que mejoró con sintomáticos; hace 6 horas presenta dolor torácico 
y disnea. Examen: sudoroso, pálido, en ortopnea; FR 28X´, FC 100X´, PA 90/50 mmHg; pulso paradógico. ¿Cuál es el 
diagnóstico más probable?",Taponamiento cardiaco,Neumonía  atípica,Aneurisma de aorta torácico,Miocardiopatía dilatada,Cardiopatía isquémica crónica,A
"Varón de 25 años, que todos los fines de semana practica deporte, manifiesta dolor en rodilla derecha que aumenta a la 
deambulación y provoca leve limitación funcional. ¿Cuál es el examen que permite confirmar el daño articular?",Tomografía axial computarizada,Radiografía comparativa de ambas rodillas,Ecografía de partes blandas,Densitometría ósea,Artroscopía,E
"Neonato de 20 días, nacido de parto vaginal domiciliario, producto de tercera gestación, presenta secreción ocular 
bilateral. Examen: edema palpebral, quemosis, exudado purulento, discreta opacidad corneal. ¿Cuál es el agente causal 
más probable?",Chlamydia trachomatis,Staphiloccocus aureus,Haemophilus influenzae,Neisseria gonorrhoeae,Pseudomona aeruginosa,D
En un caso de insuficiencia suprarrenal. ¿Qué hallazgo de laboratorio esperaría encontrar?,Hiponatremia,Alcalosis metabólica,Hipocalcemia,Hipokalemia,Hiperglicemia,A
¿Qué FiO2 se recomienda en ventilación asistida coordinada con masaje cardiaco durante la reanimación neonatal?,21%,100%,80%,40%,50%,B
"Paciente de 22 años, ingresa a emergencia por pérdida de conciencia. Examen: PA 70/40 mmHg, FC 100X'; pálida; 
abdomen doloroso, rebote dudoso; TV: cérvix ligeramente blando móvil, doloroso, útero y anexos difíciles de precisar por 
dolor. ECO transvaginal: líquido en fondo de saco en regular cantidad. ¿Cuál es el diagnóstico más probable?",Aborto incompleto,Enfermedad pélvica inflamatoria,Embarazo ectópico complicado,Obstrucción abdominal,Apendicitis,C
"Escolar de 12 años, presenta hace 6 días dolor en rodilla derecha con sensación de alza térmica e incapacidad funcional 
para caminar. Examen: PA 110/60 mmHg, FC 100X', T° 38.5°C; rodilla aumentada de volumen con flogosis y dolor para 
caminar. ¿Cuál es la conducta inmediata a seguir?",Rx.de rodilla,Resonancia,Tomografía,Aspiración articular,Artrotomía,D
"Pre escolar de 4 años, es evaluado para riesgo quirúrgico para colonoscopía por prolapso rectal y hematoquecia. 
Laboratorio: eosinofilia y anemia severa. ¿En qué parásito sospecha?",Trichocephalus dispar,Giardia lamblia,Strongyloides stercoralis,Ascaris lumbricoides,Ancylostoma duodenale,A
"Turista de 28 años que procede de selva alta; acude por presentar hace 15 días cefalea, fiebre matutina interdiaria 
precedida de escalofríos con diaforesis profusa. Examen: ictericia de escleras, matidez en espacio de Traube. ¿Cuál es 
el diagnóstico más probable?",Malaria,Fiebre amarilla,Zika,Chikungunya,Dengue,A
"Recién nacido de 35 semanas, con peso de 2,500 g que nace bañado con líquido amniótico con meconio, es colocado 
sobre la madre, está hipotónico en apnea. ¿Cuál es la primera acción a realizar?",Aspirar secreciones por boca y nariz,Administrar oxígeno a presión positiva,Colocarlo en ventilación mecánica,Fricción suave con paños tibios y colocarlo sobre uno,Administrar oxígeno a flujo libre,A
"¿Cuál es el examen que más se utiliza en la detección y tratamiento de pacientes con cánceres tiroideos diferenciados 
con enfermedad metastásica, donde la imagen proporciona información no sólo de la glándula sino también de la 
distribución de la actividad funcional?",Tomografía con emisión de positrones,Tomografía sin contraste,Ecografía tiroidea,Gammagrafía con yodo-131,Resonancia magnética,D
