questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Varón de 50 años es llevado a emergencia por dolor intenso 10/10 a nivel de primer dedo de pie derecho.  Antecedente: 
HTA  en tratamiento triple. Examen: deshidratado, desorientado en tiempo, articulación metatarso falángica de primer 
dedo de pie con eritema, incremento de temperatura local y limitación al movimiento. ¿Qué fármaco es el causante de 
todos los hallazgos clínicos?",Acetazolamida,Amlodipino,Carvedilol,Espironolactona,Hidroclotiazida,E
¿Cuál es el primer cuadro ocular que se presenta en la artritis reactiva (síndrome de Reiter)?,Queratitis,Escleritis,Conjuntivitis papilar,Glaucoma ángulo cerrado,Glaucoma ángulo abierto,C
"Adolescente varón de 16 años, desde hace una semana presenta disuria, polaquiuria. Examen: eritema y exudado 
mucoide en el meato uretral. ¿Cuál es el posible agente causal?",Neiseria gonorrhoeae,Haemophilus ducreyi,Virus herpes tipo 2,Papiloma virus,Treponema pallidum,A
"""La urgencia urinaria usualmente acompañada de polaquiuria y nicturia, con o sin incontinencia urinaria de urgencia, en 
ausencia de infección urinaria u otra enfermedad obvia"" corresponde a:",Hipermovilidad uretral,Vejiga hiperactiva,Vaciamiento anómalo,Hiperactividad del detrusor,Incontinencia urinaria mixta,B
¿Cuál es el nivel de isquemia intestinal que alcanza una obstrucción aguda de la arteria mesentérica superior?,Yeyuno hasta colon ascendente o transverso,Todo el marco cólico,Todo el yeyuno e ileon,"Ileon, colon derecho y transverso","Duodeno, yeyuno e ileon",A
"Varón de 64 años, acude por mareos, baja de peso, anorexia, adormecimiento de miembros inferiores, visión borrosa y 
por momentos delirio. Examen: palidez moderada, glositis. Neurológico: somnoliento y por momentos agitado. 
Laboratorio: Hb 10 g/dl, VCM 110 fl. Lámina periférica macro ovalocitos. TSH: 2 mU/L. ¿Cuál es el diagnóstico más 
probable?",Anemia megaloblástica,Neuropatía metabólica,Demencia de Alzheimer,Coma mixedematoso,Hipotiroidismo,A
"Mujer de 45 años, desde hace 4 meses presenta hipersomnia, astenia, ronquera y estreñimiento. Examen: FC 60 X'; 
bradilalia; piel seca; ROT: fase de relajación prolongada. ¿Qué examen inicial solicitaría?",TSH sérico,Ac anti-TPO,T3 libre,Antiroglobulina,Ecografía tiroidea,A
"¿Cuál es la complicación más grave en el tratamiento de la displasia de cadera, en los lactantes menores de 6 meses?",Subluxación residual,Displasia acetabular,Necrosis avascular de la epífisis femoral,Reluxación,Sinovitis transitoria,C
"Niña de 2 años, presenta fiebre hace dos días, dolor faríngeo, anorexia, es traída por presentar erupción generalizada. 
Examen: FC 90X', FR 25X', T° 37°C, eritema en la cara y el cuello, pequeñas máculas irregulares, rosadas, que confluyen 
y se diseminan en tronco y extremidades; orofaringe con lesiones rosadas y petequias en paladar blando; 
adenopatías suboccipitales y retroauriculares de 1 cm de diámetro, dolorosas. ¿Cuál es el diagnóstico?",Rubéola,Kawasaki,Mononucleosis,Sarampión,Eritema infeccioso,A
"¿Cómo se llama aquel atributo de gobierno de reforma de estado en la que se es transparente, accesible a los ciudadanos, 
que sepa que tiene derechos y que el gobierno esté obligado a responder?",Eficiente,Unitario,Descentralizado,Abierto,Orientado al ciudadano,D
"Niño de 10 años, es traído a consulta porque se desconoce si recibió la vacuna contra el virus de Hepatitis B. ¿Qué 
resultado confirma que el niño está protegido?",IgG anti Hbc,IgM anti Hbs,IgM anti Hbe,IgM anti Hbc,IgG anti Hbs,E
"Mujer de 28 años, desde hace diez meses estuvo disminuyendo su flujo menstrual hasta encontrarse en amenorrea desde 
hace 4 meses. Examen: emaciada; útero de seis centímetros; anexos normales. Ecografía: útero de 6 cm; anexos 
normales. Se le indica estrógenos y progesterona por 10 días y luego de ello, la paciente no menstrúa. ¿Dónde se 
encuentra la falla?",Tiroides,Útero,Ovario,Hipotálamo,Hipófisis,B
"Cuando en la sala de partos, se coloca el paño tibio en el platillo de la balanza previo a la calibración, se evita que suceda 
pérdida de calor por...",radiación.,conducción.,evaporación.,transpiración.,convección.,B
"¿La deficiencia de qué vitamina ocasiona con más frecuencia la presencia de glositis y queilosis angular con ulceración 
y formación de costras?",Rivoflavina,Vitamina A,Acido pantoténico,Acido ascórbico,Tiamina,A
"Varón de 45 años, desde hace 2 días presenta tos, sibilantes y roncantes, luego de ingerir naproxeno se exacerba la 
crisis y se agrega dificultad respiratoria. Examen: PA 90/50 mmHg, FC 125X', FR 36X'; SatO2 88%; politirajes y paciente 
en posición sentado. ¿Cuál es la gravedad de la crisis asmática?",Grave,Moderada,Casi fatal,Severa,Leve,A
"Paciente de 28 años con dolor en fosa iliaca derecha y sensación de alza térmica. Examen: T° 39°C, PA 130/70 mmHg, 
FC 90X'. TV: tumoración en anexo derecho de 7 cm. Laboratorio: hemograma con leucocitosis y desviación izquierda. 
ECO TV: tumoración de 6 cm de diámetro. ¿Cuál es el tratamiento primario?",Laparotomía exploratoria,Histerectomía más SOB,Clindamicina + gentamicina,Drenaje percutáneo,Drenaje transvaginal,C
"Según el test peruano de evaluación del desarrollo del niño. ¿A qué edad en meses el niño sentado en el suelo se para 
solo sin ayuda?",12,9,18,15,8,C
"Varón de 25 años con VIH-SIDA, recibiendo tratamiento por micosis profunda; en forma brusca al cuarto día la creatinina 
se eleva a 2.5 mg/dl y presenta hipopotasemia; a pesar de permanecer siempre hidratado y con funciones vitales estables. 
¿De los medicamentos administrados, cuál condicionó la falla renal aguda?",Zidovudina,Ritonavir,Cotrimoxazol,Anfotericin B,Lamivudina,D
"Varón de 35 años, es agredido en el tórax con objeto contundente, presentando dificultad respiratoria. Examen: PA100/50 
mmHg, FC 96X', SatO2 93%. Pulmones: MV disminuido en hemitórax derecho. Rx. torax: velamiento en el 50% del HTD. 
Se coloca un drenaje pleural en el 5° EICD, drenando la primera hora 300cc, la segunda 250cc y la tercera 200cc de 
secreción hemática. ¿Cuál es la conducta a seguir?",Toracotomía,Pleurectomía con decorticación,Colocación de drenaje pleural en el 2° EICD,Transfusión sanguínea,Colocación de drenaje pleural izquierdo,A
"Gestante de 8 semanas, con aversión a los alimentos de olor intenso, con náuseas y vómitos persistentes al menos 
3 veces al día, sin pérdida de peso. ¿Cuál es el fármaco de elección para este caso?",Ondansetrón,Prometazina,Metoclopramida,Metilprednisolona,Vitamina B6,E
"En un RN con radiografía simple de abdomen que muestra el signo de “doble burbuja”. ¿Cuál es la entidad obstructiva 
que corresponde?",Atresia duodenal,Ileo meconial,Malrotación intestinal,Duplicación intestinal,Atresia yeyunal,A
"Niño de 12 años, presenta anorexia, paroxismos de fiebre alta, cefalea, sudoración, mialgias y dolor abdominal. Examen: 
FC 100X', FR 25X', T° 39°C, palidez marcada, ictericia, hepato esplenomegalia. Laboratorio: leucocitosis, Hb 8 mg/dl, 
PCR 10 mg/dl, BT 10 mg/dl, BD 2 mg/dl. ¿Qué examen solicita para confirmar la sospecha diagnóstica?",Gota gruesa,Hemocultivo,Elisa NS1,Rosa de Bengala,Aglutinaciones,A
"Niño de 5 años con fiebre de 5 días, malestar general, dolor faríngeo; visto por médico quien prescribió amoxicilina; acude 
a emergencia por aparición de exantema, persistencia de fiebre y dolor abdominal. Examen: erupción máculo papular 
generalizada; adenopatías cervicales, axilares e inguinales de 1 y 2 cm de diámetro, amígdalas hipertróficas y secreción 
blanquecina, esplenomegalia. ¿Cuál es el diagnóstico más probable?",Mononucleosis infecciosa,Enfermedad de Kawasaki,Rubéola,Sarampión,Fiebre escarlatina,A
"Varón de 25 años, sufre agresión en el lado derecho del tórax, es evaluado en emergencia por insuficiencia respiratoria 
e hipotensión. Examen: desviación traqueal izquierda, ausencia de ruidos respiratorios, enfisema subcutáneo en el lado 
derecho, distensión de las venas del cuello. ¿Cuál es el diagnóstico?",Tromboembolia pulmonar,Hemoneumotórax masivo,Hemotórax,Neumotórax a tensión,Neumotórax simple,D
"Niña de 10 años previamente sana, peso habitual 53 Kg, presenta edema generalizado y palidez. Antecedente de haber 
recibido vacuna de COVID-19 15 días previos. Examen: FC 100X', FR 22 X', Peso 69 Kg, PA 70/50 mmHg. Flujo 
diuresis 40 cc/m2/h; proteinuria 690 mg/m2/h. Se inicia terapia con infusión de albumina y diuréticos. ¿Cuál es el volumen 
hídrico a indicar en el primer día de atención?",Sólo el volumen de los medicamentos,Volumen según tolerancia,75% del requerimiento hídrico diario,Dos veces el requerimiento hídrico basal,50% del requerimiento hídrico diario,E
"Mujer de 35 años acude por disuria, polaquiuria y dolor lumbar. Antecedente de ITU por E. coli hace 15 días. El nuevo 
urocultivo sale positivo nuevamente a E. coli. ¿Cuál es el diagnóstico de la paciente?",Pielonefritis aguda,Bacteriuria asintomática,ITU recidivante,ITU complicada,ITU recurrente,E
"Varón de 75 años, es llevado a emergencia porque hace 3 horas presentó pérdida de la visión transitoria, disartria, 
hemiparesia. Examen: REG; REN; PA 140/85 mmHg, FC 78X', FR 18X'. CV: ruidos cardiacos normales; Neurológico: 
hemiplejía derecha. TAC cerebral sin contraste normal. ¿Cuál es el fármaco indicado como prevención secundaria?",Nimodipino,Enoxaparina,Citicolina,Warfarina,Ácido acetil salicílico,E
"Cuando se paraliza la lengua, y ésta tiene tendencia ir hacia atrás con el consecuente riesgo de asfixia. ¿Cuál es el 
músculo paralizado?",Geniogloso,Geniohiodeo,Hipogloso,Estilogloso,Tirogloso,A
En el tratamiento eficaz de los granulomas laríngeos. ¿Cuál es la indicación inicial?,Biopsia,Tratar causas subyacentes,Esteroides sistémico,Esteroides tópicos,Resección amplia,B
"Lactante de 1 mes, que recibe lactancia materna exclusiva, presenta vómitos y diarreas desde los 4 días de 
vida; actualmente cursa con letargia, irritabilidad, dificultad para alimentarse, escasa ganancia de peso; llega a 
emergencia por presentar convulsión, ictericia, hepatomegalia, esplenomegalia. Se confirma insuficiencia hepática, 
tubulopatía renal y sepsis por Escherichia coli. ¿Cuál es la sospecha diagnóstica?",Glucogenosis tipo II,Deficiencia de piruvato deshidrogenasa,Galactosemia,Trisomía 21,Hipotiroidismo congénito,C
"¿Qué afecta a la integralidad de las políticas públicas sociales en salud para que se consolide un programa, influenciado 
principalmente por la cultura organizacional?",El centralismo del estado,La estrategia focalizada,La fragmentación de intervenciones,Modelos organizacionales inadecuados,Problemas de la implementación del sector,E
"Se tiene un paciente que llega a la emergencia por intoxicación por paracetamol, se encontró 3 blíster abiertos al lado de 
su cómoda, y en emergencia tiene alterada las pruebas de función hepática. ¿Cuál es el antídoto indicado?",Adrenalina,Atropina,Oxígeno,Acetilcisteína,Naloxona,D
"Lactante de 2 años, hace 6 horas presenta llanto incontenible que según refiere la madre es por dolor abdominal, que se 
presenta en forma periódica y se acompaña de vómitos alimentarios. Examen: se palpa masa alargada en hemiabdomen 
superior. Tomografía abdominal: signo de la salchicha (+). ¿Cuál es la conducta a seguir?",Enema con aire,Sonda rectal,Laparotomía,Colonoscopía,Enema con bario,A
"Paciente que desde hace un año presenta dolor abdominal que ocurre principalmente 3 horas después de las comidas. El 
dolor se atenúa con el alimento. Examen: dolor a la palpación de epigastrio. Biopsia gástrica: infiltrado inflamatorio de 
linfocitos y células plasmáticas con severa atrofia de la mucosa gástrica. ¿La absorción de qué vitamina se verá alterada?",D,B12,E,A,C,B
"Varón de 19 años sufre asalto, acude por presentar imposibilidad para extender la muñeca derecha y los dedos por las 
articulaciones metacarpofalángicas. ¿Cuál es el nervio afectado?",Radial,Interóseo posterior,Musculocutáneo,Cubital,Mediano,A
"Varón de 47 años, nació y vive en Cerro de Pasco, refiere que desde hace 6 meses disnea progresiva, fatiga, cefalea, 
vértigo e insomnio. Examen: cianosis perioral, rubicundez facial y de manos, acropaquía; CV: 2do ruido cardiaco 
aumentado de intensidad. Laboratorio: Hb 23 g/dl, Hto 63%, SatO2 85%. ¿Cuál es el tratamiento definitivo?",Sangrias,Vivir a nivel del mar,Acetazolamida,Hemodilución,Medroxiprogesterona,B
"Diabético de 67 años, desde hace 3 meses se queja de fatiga, palpitaciones, mareos y dificultad para respirar. Examen: 
PA 110/70 mmHg, FR 18X', palidez de piel, estomatitis angular, glositis. Laboratorio: Hto 27%, Hb 8.1 g/dl, VCM 71 fl, 
reticulocitos 1.5%, recuento de leucocitos 6100/µl, neutrófilos 59%, recuento de plaquetas 250000/µl, hierro 29 mg/dl, 
capacidad total de unión al hierro 490 mg/dl, ferritina 4 ng/ml. ¿Cuál de los siguientes tipos de anemia es más probable?",Talasemia,Perniciosa,Inflamación crónica,Deficiencia de hierro,Sideroblástica,D
"¿Cuál es la función esencial en salud pública en la que se desarrolla programas sanitarios que fomenten la salud 
comunitaria, fortalezca la intersectorialidad, la participación social y los derechos en salud de los ciudadanos?",Participación social y refuerzo,Garantía de la calidad de los servicios de salud,Desarrollo de políticas y planes,Promoción de la salud,Capacidad de gestión para organizar servicios,D
"Varón de 78 años, hipertenso con ERC en estadio 2 acude por somnolencia. Laboratorio: Na 118 mOsm/l. ¿Qué 
medicamento está condicionando esta complicación?",Atorvastatina,Hidroclorotiazida,Losartan,Amlodipino,Ácido acetilsalicílico,B
"Varón de 60 años con diagnóstico de EPOC, presenta cuadros repetidos de tos, expectoración y disnea al ejercicio que 
limitan su actividad diaria. Antecedente: fumador pesado, consumo de alcohol quincenal. ¿Qué medida debe seguir el 
paciente para mejorar su salud?",Uso de anticolinérgicos,Uso de glucocorticoides orales,Uso de glucocorticoides inhalados,Uso de broncodilatadores,Interrupción del tabaquismo,E
¿Durante qué parte del ciclo cardíaco está abierta la válvula aórtica?,Llenado ventricular rápido,Relajación ventricular isovolumétrica,Sístole auricular,Eyección ventricular disminuida,Eyección ventricular rápida,E
¿Qué hormona produce la regularización de la eyección de la leche materna?,LH,Prolactina,Progesterona,Estrógeno,Oxitocina,E
"Mujer de 30 años acude por fiebre, malestar general, disfagia, otalgia y aumento de volumen en el cuello. Antecedente 
de infección respiratoria baja hace 1 semana. Examen: PA 100/60 mmHg, FC 102X'; piel caliente; linfadenopatías 
cervicales dolorosas, tiroides aumentada de volumen y dolorosa. Laboratorio: leucocitosis, VSG elevado y hormonas 
tiroideas en valores normales. ¿Cuál es la posibilidad diagnóstica?",Angina de Ludwig,Hipertiroidismo primario,Tiroiditis aguda,Adenitis tuberculosa,Nódulo tiroideo,C
"Varón de 28 años, sufre caída de una altura de 2 m. sobre su mano derecha, presentando dolor intenso en el hombro del 
mismo lado. Examen: asimetría anterior del hombro derecho, en rotación interna, con incapacidad funcional para movilizar 
el miembro superior. ¿Cuál es la posición recomendada para la reducción?",Decúbito lateral,Indiferente,Supina,De pie,Prona,C
"Agricultor de 48 años, dedicado al cultivo desde hace 20 años, consulta por presentar desde hace 6 meses, parestesias 
en miembros inferiores y disminución de fuerza muscular. Examen: despierto, orientado en tiempo y persona. CV: RC 
normales, no soplos. Paraparesia de miembros inferiores; Lassege (-); sin nivel sensitivo. ¿Cuál es el diagnóstico más 
probable?",Lumbociatalgia crónica,Mielitis transversa,Deficiencia de hidroxicobalamina,Neurotoxicidad retardada por órganos fosforados,Intoxicación por carbamatos,D
"Neonato de 2 días de vida que presenta gran dificultad respiratoria, cianosis marcada. Examen: FR 60X', FC 160X', T° 
36.5°C. SatO2 90%. Tórax y Pulmones: ausencia de ruidos respiratorios en hemitórax izquierdo, abdomen excavado. 
¿Cuál es el diagnóstico más probable?",Secuestro pulmonar,Eventración diafragmática,Hernia diafragmática,Quiste broncogénico,Malformación adenomatoidea quística,C
