questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Gestante de 22 semanas, en la ecografía morfológica se encuentra feto masculino con vejiga y uretra próxima 
dilatadas, signo de la “cerradura” presente. ¿Cuál es el diagnóstico más probable?",Megavejiga asociada a aneuploidia,Divertículo uretral,Válvulas uretrales posteriores,Agenesia uretral,Estenosis del meato uretral,C
"Gestante de 16 semanas en control prenatal, asintomática. Examen físico normal. Urocultivo: E. coli más de 100000 
UFC/ml. ¿Cuál es la conducta a seguir?",Tratamiento supresivo por el resto del embarazo,Observación,Hospitalización y antibióticos parenterales,Ecografía renal,Tratamiento antibiótico VO,E
¿Cuál es el factor de riesgo endógeno más importante para el desarrollo de cáncer de endometrio?,Menarquia temprana,Obesidad,Menopausia tardía,Nuliparidad,Antecedente de infertilidad,B
"Mujer de 23 años con tumoración de 2 cm en el cuadrante infero-externo de la mama izquierda, forma ovoidea bien 
delimitada del parénquima vecino, indolora, de consistencia firme, móvil y superficie lisa; no hay piel de naranja, ni 
retracción del pezón. ¿Cuál es el diagnóstico más probable?",Absceso mamario,Ectasia conductos mamarios,Carcinoma,Necrosis grasa,Fibroadenoma,E
"Tercigesta de 33 semanas, con sangrado vaginal post coital, antecedente de dos cesáreas previas. Examen: PA 120/60 
mmHg, FC 72X'. AU 31 cm; LCF 135X´. Ecografía obstétrica: placenta cubre totalmente el orificio cervical interno, pérdida 
de la zona retroplacentaria hipoecoica normal y presencia de lagunas placentarias múltiples. ¿Cuál es el diagnóstico más 
probable?",Acretismo placentario,Desprendimiento prematuro de placenta,Infartos placentarios,Vasa previa,Hematomas placentarios,A
"Con respecto al uso del sulfato de magnesio, el paro respiratorio se produce cuando el magnesio plasmático llega a...",8mEq/l.,16mEq/l.,12 mEq/l.,14 mEq/l.,10 mEq/l.,C
"Multigesta añosa de 20 semanas, antecedente de diabetes pregestacional, sin tratamiento. ¿Qué tipo de anomalías 
congénitas se esperaría encontrar con mayor frecuencia en la ecografía morfológica?",Cardíacas,Osteomusculares,Urinarias,Gastrointestinales,Del sistema nervioso central,A
"Mujer de 31 años, presenta resultado de Papanicolau ASC-H. ¿Cuál es la conducta a seguir?",Colposcopía,Tipificación de VPH,Papanicolau en 6 meses,Electrocauterización de cérvix,Conización,A
"Mujer de 18 años, acude por amenorrea de 8 meses; manifiesta ""tener temor a volverse obesa"", sin embargo, en los 
últimos 6 meses ha bajado 5 Kg. Examen: peso 46 Kg, talla 1.65 m. Laboratorio: ßHcg negativo. ¿Cuál es la causa más 
probable de su amenorrea?",Hipogonadismo hipogonadotrópico,Síndrome de ovario poliquístico,Himen imperforado,Disgenesia gonadal,Falla ovárica prematura,A
"Mujer de 45 años, con diagnóstico de carcinoma escamoso de cérvix. TV: tumoración cervical irregular con invasión 
al parametrio izquierdo y a la pared pélvica. Ecografía renal: hidronefrosis ipsilateral. ¿Cuál es el estadío según la FIGO?",IIA,IIB,IVB,IIIB,IVA,D
"Primigesta de 8 semanas, es diagnosticada con apendicitis aguda. Durante la cirugía laparoscópica se evidencia 
tumoración de 3 cm en ovario izquierdo, superficie lisa, consistencia blanda y color oscuro. ¿Cuál es la conducta a seguir?",Observación,Cobertura antibiótica,Quistectomía izquierda,Salpingooferectomía izquierda,Resección en cuña de ovario,A
"Primigesta de 37 semanas de gestación, acude a emergencia por presentar disminución de movimientos fetales. Se le 
realizan pruebas de bienestar fetal: test no estresante reactivo y perfil biofísico 8/10 con oligohidramnios. ¿Cuál es la 
conducta a seguir?",Inducir trabajo de parto,Repetir perfil biofísico en una semana,Realizar ecografía Doppler,Realizar nuevo test no estresante,Realizar amniocentesis diagnóstica,A
"Primigesta de 42 semanas, en quien se decide iniciar inducción de labor de parto. Examen ginecológico:  dilatación 1 cm, 
borramiento 40%, altura de presentación -3, cérvix de consistencia blanda y posición intermedia. ¿Cuál es la calificación 
de Bishop?",7,3,4,5,6,D
"Primigesta a término, en labor de parto. Examen: altura uterina 34 cm, feto en LCI; LCF 126 X', contracciones cada 3 
minutos de regular intensidad.TV: dilatación 4 cm, borramiento 80%; estación -1, membranas integras. Pelvis ginecoide. 
Monitorización fetal con presencia de desaceleraciones variables recurrentes y ausencia de variabilidad. ¿Cuál es la 
conducta a seguir?",Acentuación con oxitocina,Evolución espontánea,Doppler obstétrico,Perfil biofísico,Cesárea de emergencia,E
"Primigesta de 34 semanas con cefalea intensa. Examen: PA 150/110 mmHg, FC 86X´. AU 33 cm, feto en LCD, 
LCF 140X´. TV: Cuello uterino cerrado, duro, posterior. Laboratorio: Hb 11 g/dl, plaquetas 95000/µl, TGO 100 U/l, TGP 
120 U/l. ¿Cuál es la conducta terapéutica a seguir?","Nifedipino, sulfato de magnesio, corticoides, cesárea","Nifedipino, sulfato de magnesio, cesárea de urgencia","Corticoides, sulfato de magnesio, parto vaginal","Nifedipino, corticoides, cesárea de urgencia","Nifedipino, sulfato de magnesio, parto vaginal",B
"¿Cuál es la técnica quirúrgica para una ligadura tubárica, en la que se reseca la porción media de la trompa y el muñón 
proximal de cada trompa se vuelve hacia el útero y se sutura en una pequeña incisión de la pared uterina, creando un 
asa ciega?",Uchida,Pomeroy,Pomeroy modificada,Irving,Parkland,D
"Primigesta de 18 años con sangrado vaginal excesivo luego del parto vaginal de un recién nacido de 4000 g. Examen: 
laceración del perineo que no afecta el complejo del esfínter anal pero involucra los músculos perineales, superficiales 
y transversos. ¿A qué grado de desgarro corresponde?",0,II,I,III,IV,B
¿Cuál es el método anticonceptivo con la mejor tasa de efectividad en el uso habitual?,Sistema intrauterino,Implante con levonorgestrel,Anticoncepción oral combinada,Píldora de solo progestágeno,DIU de cobre,B
"Según el sistema de clasificación de los miomas de la FIGO. Un mioma ""parásito"". ¿A qué tipo corresponde?",7,6,1,0,8,E
"Secundigesta de 9 semanas, portadora de DIU; acude a consultorio por presentar leve dolor pélvico. Examen: útero de 9 
cm, no doloroso a la palpación bimanual. Especuloscopía: OCE cerrado, se visualiza hilos de DIU, no hay sangrado 
vaginal. Ecografía: gestación intrautero de 9 semanas. ¿Cuál es la conducta a seguir?",Control ecográfico cada 2 semanas,Cervicometría cada 4 semanas,No retirar el dispositivo intrauterino,Uso de misoprostol para expulsión del DIU,Retirar el DIU mediante tracción suave,E
"La aplicación de la vacuna Tdap, se realiza idealmente entre las semanas.......de gestación, con el objetivo de maximizar 
la transferencia pasiva de anticuerpos al feto.",37 y 40,6 y 11,12 y 20,21 a 26,27 y 36,E
