questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Cuál de los siguientes NO es un factor de riesgo de hidrocefalia tras una HSA?,Edad avanzada,Puntuación baja en la escala de Glasgow,Aneurisma de cerebral media,Hemorragia intraventricular,Convulsiones,C
¿De dónde son los aneurismas que más frecuentemente afectan al quiasma óptico por su localización?,Comunicante posterior,Cerebral media,PICA,Paraclinoideo,Comunicante anterior,E
¿Cuál de las siguientes afirmaciones NO es correcta acerca de la hemorragia subaracnoidea (HSA)?,La HSA espontánea asocia una elevada mortalidad,La HSA más frecuente es la secundaria a la rotura de,La HSA se localiza en el compartimento,La HSA espontánea afecta a una población más,Es la hipertensión arterial un factor de riesgo,B
En la escala del coma de Glasgow. La respuesta de apertura de los ojos al dolor. ¿A qué puntuación corresponde?,1,3,4,5,2,E
¿Cuál de las siguientes opciones sería la menos probable para explicar la etiología de la HSA perimesencefálica?,Cavernoma pontino,Rotura de arteria perforante,Sangrado venoso,Hematoma de la pared de la arteria basilar,Trastorno de coagulación,A
"Varón de 60 años, que luego de traumatismo encéfalo craneano severo, presenta cefalea, náuseas y vómitos. 
Antecedente de hipertensión arterial no controlada. Examen: segmento anterior normal en ambos ojos. Fondo de ojo: 
papiledema bilateral. Campimetría computarizada: cuadrantanopsia superior izquierda en ambos ojos. TAC cerebro: 
hemorragia intraparenquimatosa. ¿Cuál es el lóbulo comprometido?",Parietal izquierdo,Temporal izquierdo,Temporal derecho,Occipital izquierdo,Parietal derecho,C
"Mujer de 70 años, con dolor en región postolateral de muslo y se extiende a toda la pierna, no hay perdida de reflejos. En 
la resonancia presenta hernia. ¿A qué disco lumbar se atribuye dicha hernia?",L4-L5,L5-S1,L3-L4,L1-L2,S1-S2,A
"Niño de 2 años con tumor cerebral de rápido crecimiento, con diseminación metastásica. Sospecha clínica de 
neuroblastoma. ¿Qué examen de laboratorio solicita para confirmar el diagnóstico mientras espera el AP?",Ácido homovainíllico,Dosaje de catecolaminas,Dosaje de ACTH,Dosaje de cortisol,Examen de líquido raquídeo,A
"Mujer de 30 años, hace una hora sufre caída de escaleras de su casa, manifiesta no recordar lo sucedido. Antecedente: 
HTA con tratamiento regular. Examen: hematoma en región parietal derecha del cuero cabelludo, pupilas normoreactivas, 
disminución de la fuerza de la mano izquierda. ¿Qué se debe de indicar?",TAC cerebral sin contraste,Rx cráneo lateral y frontal,RMN cerebral con contraste,Potenciales evocados,AngioTEM cerebral,A
"Adulto joven con trastornos conductuales de evolución rápida. AP: revela como hallazgo patognomónico, transformación 
espongiforme de la corteza cerebral y estructuras profundas de la sustancia gris. ¿Cuál es el diagnóstico más probable?",Panencefalitis subaguda esclerosante,Toxoplasmosis cerebral,Insomnio familiar letal,Enfermedad de Creutzfeldt-Jackob,Esclerosis múltiple,D
¿Cuál es el tipo de meningioma que ésta asociado con la metástasis extranerviosa?,Anaplásico,Mixto,Fibroso,Angioblástico,Psamomatoso,A
"Tras un accidente por caída de bicicleta, la evaluación neurológica inicial de un paciente con traumatismo 
craneoencefálico revela que solo abre los ojos ante un estímulo doloroso y emite sonidos incomprensibles, pero localiza 
el dolor. ¿Que puntuación en la Escala de Coma de Glasgow corresponde?",9,6,3,4,12,A
"Varón de 30 años, luego de una gresca presenta herida profunda a nivel del pómulo. Para poder suturar adecuadamente. 
¿Cuál es la ubicación anatómica en donde se debe de aplicar la anestesia?",Región infraorbitaria,Maxilar superior,Nasofaríngeo,Fosa retromolar,Directo en la herida,D
"Mujer de 25 años que ha sufrido un traumatismo craneal, llega consciente al servicio de emergencia; se observa fractura 
en la bóveda craneal. A las 12 horas del accidente comienza en forma progresiva a reducirse el nivel de conciencia, 
observándose anisocoria pupilar. ¿Qué diagnóstico debe hacerse en primer lugar?",Hematoma subdural,Crisis epiléptica postraumática,Meningitis,Coma metabólico iatrogénico,Hematoma epidural,E
