questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Qué enfermedad cutánea produce madarosis?,Dermatomiositis,Sífilis adquirida,Psoriasis,Lupus eritematoso sistémico,Mixedema,C
"La granulomatosis de ...... es una enfermedad granulomatosa multisistémica e idiopática que puede afectar a la 
órbita, a menudo de modo bilateral.",Rieger,Koeppe,Fuchs,Harada,Wegener,E
¿Cuál es el tumor intraocular primario maligno más frecuente en adultos?,Linfoma,Melanoma coroideo,Linfangioma,Retinoblastoma,Hemangioma capilar,B
"En el electrorretinograma, la onda a es una deflexión inicial rápida, negativa respecto a la córnea, generada por…",células bipolares.,células de Müller.,células ganglionares.,epitelio pigmentario.,fotorreceptores.,E
"Varón de 28 años, con ojo rojo izquierdo. Examen: agudeza visual en ojo derecho 20/20, y en ojo izquierdo 20/70. 
Inyección ciliar con lesión epitelial dendrítica en cornea de ojo izquierdo, que tiñe con la fluoresceína y presenta 
hipoestesia. Fondo de ojo normal en ambos ojos. ¿Cuál es la complicación que puede ocasionar el uso de corticoides 
tópicos en esta patología?",Úlcera corneal geográfica,Desprendimiento coroideo hemorrágico,Hifema,Oclusión de vena central de la retina,Edema macular cistoide,A
¿Qué bacteria es capaz de producir queratitis aún con epitelio corneal sano?,S. pneumoniae,S. pyogenes,Haemophilus influenzae,Staphylococcus aureus,Pseudomonas aeruginosa,C
"¿Cuál es el tipo de ptosis que presenta adelgazamiento del párpado, ascenso del surco palpebral superior y buena función 
del músculo elevador?",Aponeurótica,Congénita,Neurógena,Miógena,Mecánica,A
¿Cuál es el nervio craneal oculomotor que se afecta con más frecuencia en la hipertensión intracraneal idiopática?,VI,III,IV,V,VII,A
"¿Cuál es la enfermedad idiopática causada por inflamación granulomatosa inespecífica del seno cavernoso, la hendidura 
orbitaria superior y el ápex orbitario, que se considera diagnóstico de exclusión?",Tolosa - Hunt,Sturge - Weber,Posner - Schlossman,Goldmann - Favre,Kearns - Sayre,A
¿Cuál es la localización del tumor sinusal maligno que con más frecuencia invade la órbita?,Etmoidal,Frontal,Nasofaríngeo,Maxilar,Esfenoidal,D
"Varón de 65 años, de raza blanca, agricultor, acude por lesión de párpado inferior de ojo izquierdo de lento crecimiento 
desde hace 2 años. Hace 3 meses nota ulceración de dicha lesión. Examen: ptosis palpebral, dermatocalasia, congestión 
conjuntival leve en OI en donde se aprecia lesión ulcerada de parpado inferior, central, con bordes redondeados y 
perlados, con telangiectasias sobre sus márgenes, de aprox. 3 mm de extensión. ¿Cuál es la conducta a seguir?",Escisión quirúrgica con bordes libres de 3 mm,Cirugía de incisión y curetaje,Inyección de triamcinolona intralesional,Aplicación de mitomicina tópica por 3 minutos,Fotocoagulación láser en rejilla con 100 mW de,A
"¿Cómo se denomina a las líneas generadas por los pliegues retinocoroideos circunferenciales peripapilares que se 
presentan en el papiledema crónico?",Paton,Sattler,Watzke,Parry,Lander,A
El depósito epitelial lineal anterior de hierro en un pterigión se conoce como línea de:,Haab,Fuchs,Jadassohn,Stocker,Stoll,D
"¿Cuál de las siguientes condiciones, se asocia típicamente a la catarata “en gota de aceite”?",Diabetes insípida,Fibrosis quística,Hemocromatosis,Hipercolesterolemia,Galactosemia,E
"Mujer de 30 años, con ojo rojo y baja de visión de ojo derecho y parálisis facial. Antecedente: hace dos meses, picadura 
de garrapata en Estados Unidos luego de lo cual presentó lesión cutánea eritematosa anular migratoria. Examen: OD 
queratopatía por exposición por parálisis facial y uveítis intermedia. ¿Cuál es el agente etiológico más probable?",Treponema pallidum,Borrelia burgdorfery,Histoplasma capsulatum,Cryptococcus neoformans,Candida albicans,B
"Varón de 65 años, fumador, con hipertensión arterial, presenta pérdida de visión de ojo derecho desde hace 1 hora. 
Examen: agudeza visual en ojo derecho percepción luminosa y en ojo izquierdo 20/20. Presión ocular normal en ambos 
ojos. Cornea transparente y Tyndall negativo en ambos ojos. Fondo de ojo: signo de la “mancha rojo cereza” en ojo 
derecho, siendo normal en ojo izquierdo. ¿Cuál de las siguientes sería la conducta más adecuada?",Inyección intravítrea de bevacizumab,Iridotomía yag laser,Panfotocoagulación,Masaje ocular,Cross-linking,D
¿Cuál de las siguientes conjuntivitis presenta seudogerontoxon?,Micotica,Vernal,Herpética,Seca,Epidémica,B
"¿Cuál es una alternativa terapéutica frente a una úlcera de Mooren si esta no responde al tratamiento con corticoides 
tópicos?",Plastia libre,Resección conjuntival,Mitomicina tópica,Paracentésis,Curetaje de la úlcera,B
"Varón de 35 años, presenta en forma aguda enrojecimiento, tumefacción y dolor ocular y periocular de ojo derecho. 
Examen de fondo de ojo: edema de papila y pliegues coroideos. Tomografía computarizada: opacificación mal delimitada 
de la órbita y pérdida de definición de su contenido. ¿Cuál es el diagnóstico?",Miositis orbitaria,Granulomatosis de Wegener,Sarcoidosis,Linfoma,Seudotumor orbitario,E
La retinopatía por Valsalva rompe habitualmente los capilares…,peripapilares.,en la base del vitreo.,nasales inferiores.,periféricos.,perifoveales.,E
¿Cuál de los siguientes signos del fondo de ojo se presenta en la retinopatía por radiación?,Rosario venoso,Drusas,Estrechamiento venular,Nevus coroideos,Microaneurismas,E
"Varón de 35 años, agricultor, con dolor, sensación de arenilla, fotofobia, visión borrosa y secreción acuosa en ojo izquierdo 
desde hace 1 mes. Antecedente de golpe de rama hace mes y medio. Examen: infiltrado corneal estromal blanco-
amarillento con bordes desflecados mal definidos con un gran defecto epitelial y pliegues en la membrana de Descemet. 
¿Cuál es el examen complementario más rápido y sensible para confirmar el diagnóstico?",Microscopía confocal,Tinción de rosa de bengala,Paracentesis de cámara anterior,Biomicroscopia por ultrasonido,Reacción en cadena de la polimerasa,E
"Varón de 35 años, con baja de visión espontánea de ojo izquierdo desde hace dos días. Examen de fondo de ojo: 
envainamiento vascular periférico con exudados duros y blandos y hemorragias en llama en cuadrante temporal inferior 
de ambos ojos, con hemovítreo en ojo izquierdo. Angiografía retinal: tortuosidad de vasos, microaneurismas, shunts 
arteriovenosos y cierres capilares en la retina temporal inferior de ambos ojos. ¿Cuál es el diagnóstico más probable?",Enfermedad de Coats,Retinopatía diabética,Enfermedad de Eales,Retinopatía leucémica,Enfermedad de Aicardi,C
"¿Cuál es el reparo anatómico que se toma en cuenta para determinar el grado de protrusión ocular con el 
exoftalmómetro de Hertel?",Reborde orbitario inferior,Ángulo externo palpebral,Apertura palpebral,Limbo corneal,Vértice corneal,E
"Varón de 45 años, con dificultad para la visión de cerca. Antecedente de hepatopatía y trastornos psiquiátricos. Examen: 
agudeza visual de 20/20 de lejos y visión de cerca se corrige con lentes de +1.00 D. Presión intraocular normal en ambos 
ojos. Cornea periférica con coloración pardo-amarillenta en ambos ojos. Fondo de ojo normal. ¿Cuál es el tratamiento 
más adecuado?",Hidróxido de aluminio,Acetato de zinc,Metilprednisolona,Gemfibrozil,Ciclofosfamida,B
¿Cuál es el grado de retinopatía hipertensiva que se define por la presencia de cruces arteriovenosos patológicos?,3,4,1,0,2,E
Anatómicamente las empalizadas de Vogt son el reservorio de células:,Hialocíticas,Cristalineanas,Astrocíticas,Madre corneal,Caliciformes,D
"¿Cuál de las siguientes alteraciones, indica una mayor separación ósea entre las órbitas?",Telecanto,Hipertelorismo,Exoftalmos,Exotropia,Estafiloma,B
"Varón de 30 años, con disminución crónica de la visión de ojo derecho. Antecedente de tuberculosis pulmonar de hace 2 
años. Examen: agudeza visual en ojo derecho percepción luminosa y 20/20 en ojo izquierdo. No se aprecia congestión 
conjuntival. Fondo de ojo: coroiditis multifocal en ojo derecho, retina y coroides normal en ojo izquierdo. Ante la sospecha 
de su origen específico. ¿Cuál es la característica de la coroiditis que definiría el diagnóstico?",Forma en botón de camisa,Muestra el signo de “faro en la niebla”,Se asocia a escleritis anterior difusa,Sigue el trayecto de los vasos retinianos,Forma desgarros de retina periférica,D
"Varón de 78 años, pescador, fumador crónico, acude por lesión de superficie ocular de progresión lenta en ojo derecho 
desde hace 6 meses. Examen: tumoración visible en ojo derecho, en conjuntiva limbar interpalpebral, nasal, de aspecto 
gelatinoso, con vasos superficiales nutricios. Para valorar la profundidad de la lesión. ¿Cuál es la prueba complementaria 
de mayor utilidad?",Angiografía con fluoresceína,Microscopía especular,Biomicroscopia por ultrasonido,Tomografía axial computarizada,Resonancia magnética nuclear,C
"Varón de 15 años con alta miopía y queratoconjuntivitis vernal. Examen: estrías de Vogt y adelgazamiento corneal con 
signo de Munson (+) bilateral. Topografía corneal: astigmatismo corneal irregular elevado con ectasia corneal temporal 
inferior. ¿Qué agravaría su evolución?",Frotamiento ocular persistente,Uso de lentes de contacto esclerales,Exposición a radiación UV,Uso de hipotensores oculares,Implante de anillos intraestromales,A
"Varón de 45 años, agricultor, post-operado de trasplante de córnea de ojo derecho, con pannus en dicho ojo. Con el uso 
de inmunosupresión sistémica para evitar el rechazo del botón corneal. ¿Cuál de las siguientes complicaciones se podría 
presentar?",Queratitis micótica,Parálisis simpática,Recesión angular,Luxación de cristalino,Hipertricosis,A
¿Cuál de las siguientes queratoconjuntivitis se asocia habitualmente a la presentación de una úlcera corneal “en escudo”?,Herpética,Flictenular,Epidémica,Leñosa,Vernal,E
¿Cuál de las siguientes anomalías de la forma del cristalino se asocia con sordera neurosensorial progresiva y nefropatía?,Lenticono posterior,Lenticono anterior,Lentiglobo,Coloboma,Microesferofaquia,B
La catarata “en girasol” se presenta por depósito anormal de …,hierro.,calcio.,oro.,plomo.,cobre.,E
"Niño de 6 años con dificultad para la lectura; madre refiere lagrimeo constante y fotofobia que se ha incrementado en los 
últimos 3 meses. Examen: agudeza visual 20/100 en ambos ojos; presión intraocular de 26 mmHg en ambos ojos. 
Blefaroespasmo, megalocórnea con estrías de Haab y edema corneal en ambos ojos. Fondo de ojo: incremento de la 
excavación papilar (C/D: 0.8) de ambos ojos. ¿Cuál sería el tratamiento quirúrgico indicado?",Cerclaje escleral,Trabeculotomía,Iridoplastía laser,Facoemulsificación,Paracentesis,B
"La retinopatía asociada al cáncer es el síndrome paraneoplásico intraocular más común y se asocia con mayor frecuencia 
al carcinoma de:",Páncreas,Tiroides,Hígado,Pulmón,Riñón,D
¿Cuál de las siguientes se cumple en el mecanismo de vergencia fusional?,La divergencia fusional sirve para controlar la exoforia,La convergencia fusional sirve para controlar la esotropia,La divergencia fusional es mayor de lejos que de cerca,La convergencia fusional sirve para controlar la esoforia,La convergencia fusional es mayor de cerca que de lejos,E
En la gonioscopía. ¿En qué patología se visualiza el signo característico de la “doble joroba”?,Glaucoma neovascular,Iris en meseta,Dispersión pigmentaria,Iridociclitis con trabeculitis,Seudoexfoliación,B
¿Cuál de las siguientes es característica del hemangioma cavernoso?,Predomina en hombres,Aparece en adultos de mediana edad,Crecimiento rápido en 3 a 6 meses,Es el tumor más frecuente de la glándula lagrimal,Es una malformación arteriovenosa de alto flujo,B
"Varón de 40 años con ojo rojo derecho y diplopía. Antecedente de traumatismo craneal. Examen: en ojo derecho, 
proptosis pulsátil, quemosis con vasos conjuntivales tortuosos y soplo orbitario. Ojo izquierdo normal. Ecografía ocular: 
dilatación de la vena oftálmica superior derecha. ¿Cuál es el par craneal que se afecta con más frecuencia en esta 
patología?",V,VI,IV,III,VII,B
"Varón de 60 años, que luego de traumatismo encéfalo craneano severo, presenta cefalea, náuseas y vómitos. 
Antecedente de hipertensión arterial no controlada. Examen: segmento anterior normal en ambos ojos. Fondo de ojo: 
papiledema bilateral. Campimetría computarizada: cuadrantanopsia superior izquierda en ambos ojos. TAC cerebro: 
hemorragia intraparenquimatosa. ¿Cuál es el lóbulo comprometido?",Parietal izquierdo,Temporal izquierdo,Occipital izquierdo,Parietal derecho,Temporal derecho,E
"En el párpado inferior, el cabalgamiento del musculo orbicular preseptal sobre el orbicular pretarsal al cerrar los párpados 
es un factor etiopatogénico del…",ectropión involutivo.,entropión involutivo.,ectropión mecánico.,entropión cicatricial.,entropión congénito.,B
¿Qué colorante tiene afinidad por las células epiteliales muertas o desvitalizadas de la superficie ocular?,azul de metileno,verde de Indiocianina,rosa de Bengala,rojo fenol,rojo de Congo,C
"¿En qué pacientes con infección por herpes simple el compromiso corneal es más frecuente y la afectación cutánea 
puede ser muy extensa y grave?",Atópicos,Obesos,Fumadores,Hipertiroideos,Hipertensos,A
¿Cuál es el factor de riesgo clínico más importante en el desarrollo de la oftalmopatía tiroidea?,Ansiolíticos,Cocaína,Café,Tabaco,Alcohol,D
La prueba de Watzke-Allen positiva permite el diagnóstico de:,Edema macular,Agujero macular,Distrofia de conos,Coriorretinopatía serosa central,Membrana epirretinal,B
"Varón de 35 años con diplopía. Antecedente de trauma orbitario. Examen: hipertropia del ojo izquierdo en posición 
primaria, que aumenta cuando mira a la derecha y cuando inclina la cabeza hacia la izquierda. ¿Cuál es el nervio craneal 
probablemente afectado?",Troclear izquierdo,Troclear derecho,Motor ocular común derecho,Motor ocular común izquierdo,Motor ocular externo derecho,A
¿Qué hipovitaminosis es factor de riesgo en casos de queratitis bacteriana?,E,A,B,D,C,B
"En una queratitis ulcerativa periférica asociada a enfermedad autoinmunitaria sistémica. ¿Cuál de las siguientes 
manifestaciones se presenta y es de ayuda para distinguirla de una ulcera de Mooren?",Escleritis,Limbitis,Blefaritis,Queratitis,Conjuntivitis,A
¿Por qué se caracteriza el síndrome de Parinaud también conocido como síndrome mesencefálico dorsal?,Pupilas mióticas con buena respuesta a la luz,Ptosis palpebral en los intentos de supraversión,Limitación de la mirada vertical a la supraversión,Pupilas midriáticas con mala respuesta a la,Ptosis palpebral con exotropia en posición primaria,C
¿Qué produce o es causa de tricomegalia?,Sífilis,Ciclosporina,Psoriasis,Hipertiroidismo,Pilocarpina,B
"Mujer de 28 años, con ojo rojo bilateral y lagrimeo desde hace 2 días. Antecedente de familiares y amigos con molestias 
similares. Examen: agudeza visual normal en ambos ojos, inyección conjuntival a predominio de fondo de saco 
conjuntival, con hemorragias subconjuntivales difusas en ambos ojos. ¿Cuál es el agente etiológico más probable?",Coronavirus,Virus del herpes simple,Virus de la viruela,Enterovirus,Citomegalovirus,D
"¿Cuál es el estadio de la retinopatía de la prematuridad que se define por la presentación de proliferación fibrovascular 
extrarretiniana que se extiende desde la superficie de la cresta hacia el vitreo?",2,3,1,4,5,B
"¿Cuál es el síndrome que se presenta con infección del hueso petroso, secundaria a otitis media, causante de paresia 
ipsilateral del VI y VII nervios craneales?",Benedikt,Nothnagel,Gradenigo,Foville,Weber,C
El aneurisma de la comunicante posterior puede comprimir un par craneal adyacente. ¿Cuál es el par afectado?,VI,V,IV,III,VII,D
¿Cómo se denominan a las muescas del borde palpebral en casos de blefaritis crónica?,Tilosis,Tapón meibomiano,Entropión marginal,Collarete,Madarosis,A
"Varón de 19 años, acude por cefalea intensa, malestar general, náuseas y vómitos, con proptosis unilateral, quemosis y 
congestión venosa facial derecha. Examen: agudeza visual OD 20/200, parálisis del III al VI pares craneales del ojo 
derecho, ojo izquierdo normal. Fondo de ojo: congestión vascular en ojo derecho. ¿Cuál es el diagnóstico?",Miositis orbitaria,Fístula carotidocavernosa,Linfoma,Seudotumor orbitario,Trombosis del seno cavernoso,E
¿En qué patologías se presentan los islotes de Fuchs?,Úlcera corneal,Maculopatías,Pterigion,Vitreítis,Distrofias corneales,C
