questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Lactante de 4 meses que inició alimentación con fórmula hace 2 meses, presenta diarrea crónica y lesiones dérmicas 
extensas vesículoampollosas eczematosas, secas, descamativas, psoriasiformes, que abarcan mejillas, zona perioral, 
codos, tobillos; retraso del crecimiento; alopecia; infecciones bacterianas recurrentes. ¿En qué deficiencia de 
micronutriente sospecha?",Hierro,Magnesio,Zinc,Calcio,Cobre,C
"Niño de 3 años, traído al Centro de Salud, por fiebre, pérdida del apetito, disminución de peso, dolor abdominal, sangrado 
en la orina. Examen: T° 37.5°C, FC 100X´, FR 24X´, PA 120/80 mmHg; abdomen: se palpa masa abdominal. Laboratorio: 
anemia microcítica, policitemia, plaquetas elevadas y deficiencia de factor VII. ¿Cuál es el diagnóstico más probable?",Neuroblastoma,Linfoma no Hodgkin,Rabdomiosarcoma,Hepatoblastoma,Tumor de Wilms,E
"Lactante varón de 8 meses con poca ganancia ponderal y fiebre de 39 °C desde hace dos días, irritabilidad, distensión 
abdominal, anorexia y vómitos; niega otros síntomas. Examen: se evidencia adherencia balanoprepucial. ¿Cuál de las 
siguientes patologías es importante descartar?",Otitis media,Infección urinaria,Apendicitis,Neumonía,Urolitiasis,B
¿Qué examen confirma el diagnóstico de la displasia congénita de caderas?,El signo de Ortolani-Barlow,La asimetría de los pliegues,Signo de Galeazzi,Asimetría en longitud de miembros,Radiografía o ecografía,E
"Varón de 5 meses, traído a emergencia por dificultad respiratoria marcada, inició hace 3 días con rinorrea, tos persistente, 
fiebre y rechazo a la lactancia. Sin antecedentes patológicos. Examen: T 37.5°C, FC 124X', FR 54X', SatO2 92%; 
retracciones intercostales, supraesternal, disbalance tóracoabdominal; tórax y pulmones: sibilancias inspiratorias y 
espiratorias en ACP. ¿Cuál es el diagnóstico más probable?",Bronquiolitis aguda,Laringotraqueitis,Tos ferina,Reflujo gastroesofágico,Insuficiencia cardíaca,A
¿Cuál de las siguientes patologías causa hirsutismo gonadal?,Síndrome de Cushing,Hiperplasia suprarrenal congénita,Neoplasia ovárica,Hipotiroidismo juvenil,Síndrome de HARI-AN,C
"Recién nacido de 7 días, nacido de parto eutócico, AEG y alta conjunta. Recibe LME con curva ponderal adecuada. 
Examen: ictericia hasta muslos. Laboratorio: bilirrubina indirecta elevada. ¿En qué diagnóstico sospecha?",Ictericia por leche materna,Hepatitis de células gigantes,Citomegalovirus,Quiste de colédoco,Fibrosis quística,A
"Varón de 2 meses, es traído por la madre que manifiesta que su hijo tiene vómitos biliosos, somnoliento, retraso del 
crecimiento. Examen: abdomen doloroso, RHA incrementados. Rx abdomen con contraste: imagen en ""pico de ave"" en 
la tercera porción del duodeno. ¿Cuál es el diagnóstico?",Malrotación intestinal,Íleo meconial,Enterocolitis necrotizante,Síndrome de intestino corto,Atresia de duodeno,A
¿Cuál de las siguientes causas de síncope es potencialmente mortal en pediatría?,Síndrome de QT largo,Síncope vasodepresor reflejo,Crisis de pánico y ansiedad,Uso de antihistamínicos,Convulsiones,A
"Recién nacido de una hora de vida, madre con pruebas treponémicas positivas; luego de la evaluación del recién nacido la 
situación clínica es de sífilis congénita confirmada o muy probable. ¿Cuál es el tratamiento antimicrobiano de elección?",Penicilina G procaína,Cefalotina,Penicilina G benzatínica,Penicilina G acuosa cristalina,Ceftriaxona,D
"¿Cuánto tiempo en meses debe durar el tratamiento con hierro en los niños entre 6 meses y 11 años de edad, que han 
sido diagnosticados de anemia ferropénica?",6,3,2,9,4,A
"Niño de 4 años, con diagnóstico de asma bronquial, ha sido ubicado en el Step 2 para su tratamiento. ¿Qué medicación 
debe recibir?",Corticoide inhalado a baja dosis + B2 agonista cuando sea necesario,Corticoide inhalado a dosis media + B2 agonista cuando sea necesario,Corticoide inhalado a baja dosis + antileucotrieno,Corticoide inhalado a dosis media + antileucotrieno,Antileucotrieno + B2 cuando sea necesario,A
"Niño de 6 años llega a urgencias referido de periférico por caída de 2do piso y pérdida del 
conocimiento. Examen: FC 84X', FR 12X´, PA 90/70 mmHg; SatO2 94%; portador de collarín cervical, ventila 
espontáneamente; Neurológico: abre los ojos en estímulos verbales, pronuncia palabras inapropiadas, localiza los 
estímulos dolorosos. ¿A qué puntuación de Glasgow corresponde?",8,14,15,11,9,D
"Niño de 2 años, presenta palidez, diarrea crónica e irritabilidad. Antecedentes: muy escasa ingesta de carnes, pescado, 
órganos animales, huevos, leche, frutas, verduras verdes. Examen: T° 37°C, FC: 100X´, FR 30X´; peso 8 Kg; palidez 
leve a moderada. Laboratorio: anemia macrocítica, los hematíes son ovalados, neutrófilos están hipersegmentados. 
¿Cuál es el diagnóstico más probable?",Anemia de Diamond,Anemia hemolítica crónica,Anemia sideroblástica,Deficiencia de Copper,Anemia megaloblástica,E
"¿A qué corresponde, la relación que desarrolla el niño con sus cuidadores?",Vínculo,Apego,Angustia,Estima,Confianza,B
"Niño de 5 años, presenta desde hace un mes prurito generalizado a predominio nocturno. Examen: se evidencia en piel 
de muñecas, espacios interdigitales, tobillos, glúteos y genitales erupción micropapular eritematosa; en tronco y 
extremidades micro costras puntiformes de distribución lineal. ¿Cuál es el tratamiento de elección?",Retinoides,Cremas azufradas,Corticoides tópicos,Permetrina,Antihistamínicos orales,D
"Niño de 6 años con cardiopatía cianótica congénita, presenta fiebre de 39°C desde hace 7 días, vómitos, cefalea y tos 
con movilización de secreciones. Examen: FC 100X', FR 25X', SatO2 75%, T° 38°C; cianosis generalizada; subcrepitantes 
difusos; RC por fuera de línea medio clavicular, hepato esplenomegalia. Laboratorio: leucocitos 22000/µl, segmentados 
60%, Hb 17 g/dl, PCR 5 mg/dl, plaquetas 50000/µl. Luego de tomar muestras (3) para cultivo. ¿Cuál es la acción 
terapéutica inmediata?",Realizar sangría roja,Iniciar antibióticos parenterales,Transfundir plaquetas,Administrar aporte de oxígeno,Observar hasta resultados de cultivos,B
"En relación a obstrucción intestinal congénita, en más del 90% de los casos, ocurren en:",Recto y ano,"Duodeno, yeyuno e íleon",Colon descendente,Colon transverso,Colon ascendente,B
"Niño de 5 años, presenta desde hace 5 días fiebre, dolor al paso de líquidos, lesiones en boca, tos seca. Examen: T° 
38.5°C, FC 120X´, FR 25X´; vesículas ulcerativas en encías y faringe anterior, congestión conjuntival y nasal. ¿Cuál es 
la etiología más probable?",Adenovirus,Virus coxsackie,Estreptococo del grupo A,Virus de Epstein Barr,Virus herpes simple,E
"Mujer de 16 años con dificultad para la micción. Antecedentes: traumatismo pélvico por arma de fuego hace 1 año. 
Examen: reflejo bulbocavernoso negativo. Urocultivo: negativo. Ecografía: capacidad vesical 800 ml. ¿Qué raíces 
nerviosas están afectadas?",L4 - L6,L5 - S1,D10- D12,D11 - L2,S2 - S4,E
"Lactante de 5 meses con deshidratación moderada referida al servicio de emergencias por presentar convulsiones 
autolimitadas y de corta duración mientras recibía tratamiento de la deshidratación con lactato de Ringer. Examen: 
despierta, irritable, hiperreflexia, hipertonía. En la ampliación de anamnesis madre refiere cuadro de diarreas acuosas 
abundantes 2 días previos y calendario vacunal incompleto para rotavirus. Niega fiebre. ¿Cuál es el diagnóstico probable?",Deshidratación hiponatrémica,Meningoencefalitis bacteriana,Estado convulsivo,Shock séptico,Deshidratación hipernatrémica,E
"Niño de 5 años hace 7 días lesiones en piel a predominio de miembros inferiores, en últimos 3 días aumento de volumen 
y dolor en tobillos, dolor abdominal intermitente. Antecedente de proceso respiratorio alto hace 15 días. Examen: FC 85X´, 
FR 18X´, PA 85/50 mmHg; lesiones exantemáticas simétricas petequial palpable en miembros inferiores y región 
glútea, edema en dorso de pies y manos, dolor a la palpación en miembros inferiores, RC no soplos; abdomen B/D no 
masas no dolor. ¿Cuál es el diagnóstico clínico?",Trombocitopenia inmune primaria,Poliarteritis nudosa infantil,Enfermedad de Kawasaki,Eritema multiforme,Púrpura de Henoch-Schonlein,E
"Niño de 3 años, hace 3 días inicia cuadro con fiebre, tos seca, secreción nasal y pérdida del apetito. Conducido al Centro 
de Salud por persistencia de fiebre y tos que se ha incrementado. Examen: T° 38.5°C, FC 120X´, FR 50X´; decaído; TyP: 
murmullo vesicular pasa bien en ambos campos pulmonares, no ruidos agregados; CV: taquicardia sinusal, no soplos. 
¿Cuál es el diagnóstico más probable?",Bronquiolitis,Crup,Neumonía adquirida en la comunidad,Hiperreactividad bronquial,Resfrío común,C
"Niño de 1 año, traído al Centro de Salud por presentar fiebre, pérdida del apetito, pérdida de peso, vómitos, dolor 
abdominal. Antecedentes: nació prematuro, historia familiar de poliposis adenomatosa. Examen: T° 38°C, FC 100X´, FR 
30X´; abdomen: se palpa masa grande asintomática. Laboratorio: niveles elevados de alfa-feto proteína, bilirrubina y 
enzimas hepáticas normales, anemia, trombocitosis, test serológicos para hepatitis B y C negativos. ¿Cuál es el 
diagnóstico más probable?",Carcinoma hepatocelular,Sarcoma embrionario,Angiosarcoma,Rabdomiosarcoma hepático,Hepatoblastoma,E
Para el cálculo de la reposición hídrica en paciente quemado. ¿Cómo determina la superficie corporal comprometida?,La regla de la palma,La regla de los nueves,El volumen de líquido necesario depende de la,Método de Parkland,El volumen sólo depende de la extensión de la,B
