questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"La oxitocina es la hormona implicada en el apego y establecimiento de las relaciones sociales. ¿Dónde se libera esta 
hormona?",Hipófisis anterior,Núcleo mamilar,Hipófisis posterior,Suprarrenal,Putamen,C
"Mujer de 25 años con trastorno bipolar y tratamiento estable con litio, acude a emergencia general por dolor precordial y 
se le diagnostica un infarto agudo de miocardio. ¿Cuál es la conducta médica a seguir?",Ampliar la historia clínica,Incrementar la dosis de litio,Agregar un estabilizador del ánimo,No modificar el tratamiento,Rotar a otro estabilizador de ánimo,E
"Madre de un varón de 7 años que acaba de ser diagnosticado de trastorno del espectro autista, consulta sobre el riesgo 
que existe para sus otros hijos de tener autismo, por tener el antecedente de un primo con esquizofrenia. ¿Qué le podría 
decir usted sobre el rol de la herencia familiar en los trastornos mentales, considerando que son multifactoriales y 
complejos?",No tiene ningún rol en el caso,Hay una heredabilidad variable,Herencia recesivo probable,Herencia dominante probable,Herencia ligada al X probable,B
¿Cuál de las siguientes afirmaciones sobre suicidio es correcta?,Todas,Los que intentan matarse lo hacen sin aviso,La mejor psicoterapia es la psicoanalítica,Hay necesidad de sedarlos de inmediato,Los médicos presentan mayor riesgo que la,E
¿Cuál de los siguientes fármacos tiene mayor efecto bloqueador de los receptores D2?,Risperidona,Clozapina,Quetiapina,Ziprasidona,Clorpromazina,A
"Niño de 8 años, que discute y pelea con frecuencia con padres y abuelos; se enoja y resiente con facilidad ante pedidos 
o llamadas de atención, tiende a culpar a sus hermanos o compañeros de sus actos, fastidia a sus compañeros en clase 
y estos lo rechazan de sus juegos. Sin embargo, ante la psiquiatra se porta con buenos modales y admite que sabe lo 
que hace, pero que no puede contener su enojo. Cuando sus padres hacen su relato, los acusa de mentir o de provocarlo. 
Tiene buen rendimiento académico y es persistente con sus tareas. ¿Cuál es el trastorno más probable?",Rasgos antisociales,Déficit de atención,Oposicionista desafiante,Rivalidad fraternal,Negligencia infantil,C
"Varón de 38 años, desde hace un año teme padecer de alguna enfermedad grave, como cáncer o una cardiopatía; 
toma los borborigmos o eructos como probables síntomas de estas enfermedades. Solicita evaluaciones a varios 
médicos, las que resultan sin alteraciones. Se angustia si oye que algún familiar o amigo enferma y busca información 
sobre enfermedades que respondan a sus molestias pasajeras. ¿Cuál es el trastorno más probable?",Ansiedad por enfermedad,Pánico y agorafobia,Esquizofrenia pseudoneurótica,Síndrome de Münchhausen,Delusiones somáticas,A
"Abogada de 43 años, se queja siempre ante su jefe de ser postergada en el estudio a pesar de sus grandes méritos; sin 
embargo, su rendimiento es promedio. Grita a las asistentes si no hacen de inmediato lo que les ordena; afirma 
continuamente que es la mejor abogada del estudio y se enoja si elogian a su colega, de mejor trato con el personal, 
profesora universitaria y que hace trabajos de mayor calidad que el suyo. ¿Cuál es el trastorno de personalidad más 
probable?",Narcisista,Esquizotípica,Histriónica,Obsesiva,Neurótica,A
El trastorno ciclotímico es una forma leve del trastorno...,bipolar II.,distimia.,bipolar I.,esquizoafectivo.,depresión.,A
"Varón de 23 años en tratamiento con paroxetina por trastorno de ansiedad generalizada, cursa con reducción de la libido 
desde que inicio la toma de la medicación. ¿Qué antidepresivo de reemplazo es el indicado?",Sertralina,Duloxetina,Fluoxetina,Mirtazapina,Venlafaxina,D
"Varón de 25 años refiere que desde hace 3 meses siente que lo espían y controlan sus pensamientos mediante los 
aparatos electrónicos de su casa y en otros lugares, además de faltar al trabajo. A la evaluación no presenta otros 
síntomas, como alucinaciones o conductas bizarras. ¿Cuál es el diagnóstico?",Trastorno delirante,Esquizofrenia tipo paranoide,Depresión con síntomas psicóticos,Episodio psicótico agudo,Trastorno esquizoafectivo,A
"¿A qué corresponde, el ""arrancamiento o pellizcado sin objetivo, generalmente de la ropa de cama o de las prendas de 
vestir, observado habitualmente en la demencia y el síndrome confusional""?",Flocilación,Egoalieno,Anancasmo,Letología,Sinestesia,A
"¿Cuál es el trastorno caracterizado por déficit o deterioros que afectan a la función motora voluntaria o a la sensorial, sin 
etiología orgánica y asociados con conflictos o estresores?",Idealización,Pánico,Histriónico,Conversión,Evitativo,D
"De acuerdo con las fases del desarrollo intelectual de Piaget, la fase de operaciones formales se caracteriza por...",juego simbólico.,razonamiento silogístico.,reacción circular primaria.,reacción circular secundaria.,pensamiento hipotético deductivo.,E
"Mujer de 23 años con diagnóstico reciente de trastorno bipolar con episodios mixtos. ¿Qué estabilizador de ánimo le 
indica?",Lamotrigina,Oxcarbazepina,Quetiapina,Risperidona,Modafinílo,B
"Varón de 26 años con diagnóstico de esquizofrenia, cursa a la evaluación con una falta de sensibilidad emocional. ¿A 
qué corresponde esta alteración del afecto?",Disforia,Incongruente,Ambivalente,Embotamiento,Eutímico,D
"Varón de 55 años con episodio depresivo, antecedente de hipertensión arterial no controlada. ¿Qué antidepresivo se 
contraindica?",Sertralina,Duloxetina,Paroxetina,Amitriptilina,Bupropión,B
El trastorno de relación social desinhibida se presenta con mayor frecuencia en niños que han sufrido...,gigantismo psicosocial.,negligencia emocional.,sobreprotección.,trastorno bipolar.,custodia compartida.,B
"Mujer de 90 años totalmente ciega, que empieza a ver personas que vienen hacia ella y le sonríen; además ve animales 
y niños que suben y bajan escaleras. Esas alucinaciones parecen extraordinariamente reales. Neurólogo lo evalúa y no 
encuentra organicidad, fuera de la ceguera previa diagnóstica. ¿Cuál es el probable síndrome que presenta?",Capgras,Fregoli,Asperger,Korsakoff,Charles Bonnet,E
"Mujer de 35 años que acaba de dar a luz a su primer hijo hace 3 semanas, acude a consulta de psiquiatría por presentar 
llanto frecuente, tristeza, preocupación y miedo, se siente incapaz de cuidar a su hijo, por lo que ha necesitado asistencia 
para el cuidado de su bebé. ¿Cuál es el diagnóstico probable?",Tristeza posparto,Psicosis posparto,Ansiedad anticipatoria,Trastorno adaptativo,Depresión posparto,E
"¿A qué corresponde la ""modalidad del pensamiento precategorial donde se perciben relaciones secretas entre las cosas 
y los objetos o los acontecimientos adquieren un papel representativo sui géneris""?",Adjudicación adventicia,Concretismo de lo mental,Pensamiento enajenado,Perseveración y estereotipia,Simbolismo primitivo,E
En el trastorno obsesivo compulsivo. ¿Cuál es el pensamiento obsesivo más frecuente?,Duda patológica,Agresiones,Simetría,Recuento,Contaminación,E
