questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"En relación con la ecogenicidad de los nódulos tiroideos en la evaluación ecográfica. ¿Qué nódulo tienen mayor 
probabilidad de ser maligno?",Isoecogénico,Hiperecogénico,Hipoecogénico,Heterogéneo,Anecogénico,C
¿Cuál es la neoplasia auricular primaria más frecuente?,Sarcoma,Linfoma,Teratoma,Lipoma,Mixoma,E
"Varón de 80 años, ingresa a emergencia por hipotensión, dolor abdominal intenso con masa pulsátil. TEM abdominal sin 
contraste: aorta de 7 cm de calibre, hematoma retroperitoneal adyacente disecando los planos tisulares, imagen 
hiperdensa en el músculo psoas. ¿Cuál es su diagnóstico?",Aneurisma disecante,Ruptura de un aneurisma aórtico,Pseudoaneurisma,Aneurisma inflamatorio,Trombosis arterial aórtica,B
En el estudio de Histerosalpingografía. ¿Cuál es una contraindicación para su realización?,Abortos a repetición,Reconstrucción tubaria,Bloqueo tubario,Miomatosis uterina,Dispositivo intrauterino,E
"Mujer de 60 años, sufre caída con la mano abierta y el antebrazo pronado en dorsiflexión. Radiografía de muñeca: fractura 
extraarticular a 2 cm de la cara articular del radio distal asociada a fractura de apófisis estiloides cubital. ¿Cuál es el tipo 
de fractura más probable?",Colles,Smith,Galeazzi,Piedmont,Barton y Hutchinson,A
"RMN columna lumbar: lesión bien delimitada extramedular intradural T1: hipointensa, T2: hiperintensa e isointensa 
respecto al líquido cefalorraquídeo. Con contraste: No hay refuerzo. ¿A qué corresponde este resultado?",Hemangiopericitoma,Metástasis leptomeníngea,Quiste aracnoideo,Paraganglioma,Teratoma,C
"Mujer de 60 años, con diagnóstico de artritis reumatoidea y tumoración en la región poplítea. Ecografía: acúmulo de 
líquido en la bolsa sinovial del gastrocnemio-semitendinoso. ¿Cuál es el diagnóstico?",Quiste de Baker,Bursitis,Derrame articular,Hemartrosis,Lipohemartrosis,A
"Mujer con masa palpable en muñeca. Ecografía: lesión anecogénica de pared bien definida en comunicación con la 
articulación, sin flujo vascular al doppler color. ¿Cuál es el diagnóstico?",Ganglión,Schwannoma,Absceso,Hematoma,Sinovitis,A
"Según el BI-RADS 5ta edición RMN. ¿A qué tipo de patrón corresponde el realce interno en grumos de distinta 
forma, tamaño y algunas zonas confluentes?",Empedrado,Focalizado,Homogéneo,Anular agrupado,Heterogéneo,A
"¿Cuál es la fractura asociada que se produce con mayor frecuencia en la luxación anterior de la articulación gleno 
humeral?",Fractura de Bankart,Fractura de la línea hendida,Fractura del pilón,Fractura de Hill Sachs,Fractura de Barton,D
En ecografía abdominal. ¿Cuál es el artefacto más frecuente que se presenta al explorar el diafragma?,Espejo,Velocidad de propagación,Grosor de corte,Lóbulo lateral,Reverberación,A
"En el estudio Doppler del post trasplantado inmediato. ¿Cuál es la causa parenquimal que produce incremento del índice 
de resistencia?",Necrosis tubular aguda,Hipotensión,Trombosis de la vena renal,Compresión del injerto,Obstrucción uretral,A
"Mujer con antecedente de cáncer de mama tratada con cirugía y radioterapia. Mamografía: en cicatriz post 
operatoria calcificaciones irregulares, con centro radiotransparente de 5 mm de grosor. ¿A qué tipo de calcificaciones 
corresponde según BIRADS 5ta edición?",Anulares,Redondeadas,Leche cálcica,Distróficas,Vasculares,D
¿Cuál es un signo radiológico directo de atelectasia?,Aumento local de la opacidad,Elevación del hemidiafragma,Ausencia de broncograma aéreo,Aproximación de las costillas,Desplazamiento de la cisura interlobar,E
En una radiografía lateral de tórax. ¿Qué estructura corresponde al borde cardiaco anterior?,Aurícula izquierda,Ventrículo derecho,Ventrículo izquierdo,Aorta descendente,Aurícula derecha,B
"En radiodiagnóstico. ¿Cuál es el parámetro que es directamente proporcional al número de fotones X presentes en el haz 
(cantidad de radiación)?",Kilovoltaje (Kv),Tiempo,Calidad de rayos X,Miliamperios (mA),Milisegundos (ms),D
"En relación con las propiedades de los rayos X. ¿Cómo se denomina la emisión de luz por parte de ciertas sustancias 
cuando sobre ellas incide la radiación X?",Poder de penetración,Efecto luminiscente,Efecto ionizante,Efecto biológico,Efecto fotográfico,B
"Mujer de 33 años, con alteración de la curva cifótica normal. Radiografía de columna dorsolumbar: erosión y destrucción 
de platillos vertebrales con esclerosis reactiva, obliteración del espacio discal, colapso patológico de cuerpos vertebrales 
de D11 y D12. ¿Cuál es el diagnóstico más probable?",Espondilitis anquilosante,Espondilodiscitis tuberculosa,Enfermedad de Scheuermann,Síndrome de espalda recta,Espondilolistesis,B
¿Cuál es el lugar más frecuente de implantación en el embarazo ectópico?,Ovario,Cérvix,Cavidad abdominal,Endometrio,Trompa de falopio,E
"El sistema de Clasificación Internacional de Couinaud divide al hígado en ocho segmentos. ¿Cuál es el segmento que 
forma los contornos inferior izquierdo y lateral del hígado?",II,IV,V,VI,III,E
"Mujer de 30 años con neurofibromatosis tipo II y dolor lumbar. RMN columna: lesiones extramedulares extradurales con 
calcificaciones, T1: señal intermedia, T2: señal intermedia a levemente hiperintensa. Con contraste: refuerzo 
heterogéneo. ¿Cuál es el diagnóstico?",Neurofibroma,Paraganglioma,Metástasis leptomeníngea,Hemangiopericitoma,Meningioma,E
"En el estudio Doppler de las patologías tiroideas difusas. ¿Cuál es el diagnóstico más probable si el nivel de corte de la 
velocidad sistólica de la arteria tiroidea inferior es de 60 cm/s?",Bocio difuso,Tiroiditis crónica autoinmune,Tiroiditis subaguda,Bocio multinodular,Graves Basedow,E
"En relación con la clasificación de Bosniak. ¿Qué categoría se le asigna a un quiste de pared engrosada y nódulo sólido 
en su interior que realza débilmente tras la administración de sustancia de contraste?",I,II,III,IIF,IV,C
"En el estudio de RM convencional, Flair y difusión, de un paciente con accidente cerebrovascular isquémico hiperagudo 
(<6 horas). ¿Cuál es el signo radiológico que lo caracteriza?",Corteza hiperintensa en T2,Dilatación de ventrículos,Transformación hemorrágica,Encefalomalacia,Arteria hipointensa,E
¿Cuál es un signo ecográfico Doppler en un ganglio cervical benigno?,Desplazamiento de vasos,Patrón hiliar,Presencia de varios pedículos vasculares,Vasos con trayectos tortuosos,Ausencia focal de perfusión,B
