questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Qué anticolinérgico solo actúa en los receptores muscarínicos M3?,Oxibutinina,Solifenacina,Darifenacina,Flavoxato,Tolterodina,C
"Lactante varón de 8 meses con poca ganancia ponderal, presenta fiebre de 39 °C desde hace dos días, irritabilidad, 
distención abdominal, anorexia y vómitos; niega otros síntomas. Examen: se evidencia adherencia balanoprepucial. ¿Cuál 
de las siguientes patologías es importante descartar?",Otitis media,Apendicitis,Neumonía,Urolitiasis,Infección urinaria,E
¿Qué caracteriza a las infecciones urinarias pediátricas?,No evolucionan a un proceso de nefroesclerosis,Son más frecuentes durante el primer año de vida,La incidencia es 10 veces mayor en los lactantes,Hay una asociación precisa entre síntomas y localización de las bacterias en la vía urinaria,Las pilosidades o las fimbrias bacterianas disminuyen la virulencia de las bacterias,B
"En el riñón, las arterias interlobulares se ramifican en arterias...",interlobulillares.,segmentarias.,aferentes.,eferentes.,arcuatas.,E
Se define hiperactividad vesical cuando la contracción del detrusor supera los ...... cm H2O con un volumen vesical ...,15 / inferior a 300 ml.,15 / superior a 500 ml.,10 / inferior a 100 ml.,15 / superior a 300 ml.,10 / superior a 100 ml.,A
¿Cuál es una contraindicación para la realización de una biopsia de próstata?,Insuficiencia renal,Adulto mayor,Coagulopatía,Estrechez uretral,Litiasis vesical,C
¿Cuál es la causa más frecuente de formación de cálculos de calcio?,Hipercalciuria,Hiperoxaluria,Hipercalcemia,Hiperuricosuria,Hipercitraturia,A
La inervación simpática y parasimpática procedente del plexo pelviano se dirige a la próstata a través de los nervios...,cavernosos.,hipogástricos.,femorales.,vesicales.,ilioinguinales.,A
¿Cuáles son los planos musculares que componen la musculatura del flanco lateral?,"Oblicuo externo, oblicuo interno y abdominales transversos","Oblicuo interno, dorsal ancho y psoas mayor y menor","Psoas mayor, dorsal ancho y abdominales transversos","Intercostales internos, oblicuo externo y dorsal ancho","Dorsal ancho, oblicuo interno y abdominales transversos",A
"Mujer de 33 años, desde hace 15 meses con dolor suprapúbico al llenado vesical, polaquiuria >10 veces, disuria 
permanente, niega nicturia y escape de orina. Urocultivos repetidos negativos, Ecografía: riñones normales, vejiga 
volumen premicción 110 ml, RPM 3%. ¿Cuál es un criterio de exclusión para el diagnóstico de cistitis intersticial?",Urocultivos negativos,Polaquiuria >8 veces,Síntomas >6 meses,Ausencia de nicturia,Ausencia de incontinencia,D
¿Cuál es una característica del divertículo congénito de la vejiga?,Es más frecuente en niños,Son múltiples,Frecuente en niños >10 años,Asociado a estrechez uretral,Gran trabeculación de la vejiga,A
"¿Cuál es un factor que afecta la función peristáltica normal del uréter favoreciendo el ascenso de bacterias de la vejiga al 
riñón?",Embarazo,Menstruación,Estreñimiento,Menopausia,Inmunodeficiencia,A
"Varón de 81 años que acude para instilación vesical de BCG. Antecedentes: RTU de tumor vesical, carcinoma urotelial 
de alto riesgo. ¿Cuál es una contraindicación absoluta para colocación de BCG en cáncer de vejiga?",Infección urinaria,Mal estado general,Edad avanzada,Cateterismo traumático,Reflujo ureteral,D
"Mujer de 46 años con síntomas irritativos urinarios recurrentes desde hace 6 meses. Antecedentes: cirugía de divertículo 
uretral de 5 cm hace 6 meses, 3 infecciones urinarias después de la cirugía. Urocultivo positivo, ecografía renal y vesical 
normales. ¿Cuál es una complicación frecuente de la diverticulectomía uretral transvaginal?",Lesión vesical,Estenosis vaginal,Necrosis uretral distal,Estenosis uretral,Infección urinaria recurrente,E
¿Cuál es la causa más frecuente de fístula renovascular?,Nefrolitotomía anatrófica,Nefrolitotomía percutánea,Nefrectomía laparoscópica,Nefrostomía,Pielolitotomía,B
¿A partir de qué semana gestacional la orina representa la mayor parte del líquido amniótico?,15,10,12,20,8,D
¿Cuál es el sitio más frecuente de la tuberculosis urogenital?,Riñón,Epidídimo,Uréter,Vejiga,Próstata,B
El diagnóstico ecográfico Doppler del varicocele consiste en la dilatación de los vasos venosos mayor de:,1.5 mm,2 mm,0.25 mm,1 mm,0.75 mm,B
¿Con qué diagnóstico se indica colocar el pesario con la vejiga relativamente llena?,Vejiga hiperactiva,Enuresis nocturna,Prolapso genital anterior,Retención urinaria,Incontinencia de esfuerzo,E
¿Qué medicamento promueve de forma directa la formación de cálculos urinarios?,Furosemida,Acetazolamida,Corticosteroides,Enalapril,Triamtereno,E
"Mujer de 65 años presenta pérdida constante de orina con patrón normal de micción posterior a histerectomía hace 6 
meses. UROTEM con contraste: dilatación del uréter y pelvis renal derecha. ¿Qué tipo de fístula es más probable?",Vesicovaginal,Uterovaginal,Vesicorectal,Ureterorectal,Ureterovaginal,E
¿Cuál es la complicación más importante de la reparación de la fístula vésicovaginal?,Hemorragia significativa,Lesión ureteral,Estenosis de la vagina,Infección urinaria,Recidiva de la fístula,E
