questions,option_A,option_B,option_C,option_D,correct_answer
"El AP de biopsia gástrica informa agregados de histiocitos espumosos cargados de lípidos. Se solicita pruebas 
complementarias para confirmar el diagnóstico. ¿Qué espera encontrar?",CD68 (+); AE1/AE3 (-); PAX-2 (-),CD68 (+); AE1/AE3 (+); PAX-2 (-),CD68 (+); AE1/AE3 (+); PAX-2 (+),CD68 (-); AE1/AE3 (-); PAX-2 (+),A
"Paciente de 60 años, con deficiencia de Vitamina B12, secreción inadecuada de ácido gástrico, descenso de la 
concentración sérica del peptinógeno. AP gástrico daño difuso de la mucosa en cuerpo y fondo, atrofia difusa, infiltrado 
inflamatorio profundo y centrado en las glándulas gástricas, pérdida de células parietales y principales. IHQ coloración de 
cromogranina revela hiperplasia de células endocrinas. ¿Cuál es el diagnostico más probable?",Gastritis linfocítica,Tumor carcinoide,Gastritis autoinmunitaria,Gastritis atrófica,C
¿Qué tipo de lepra se caracteriza por presentar la prueba de lepromina positiva?,Lepromatosa,Dismorfo intermedia,Dismorfo lepromatosa,Tuberculoide,D
"Varón de 44 años portador de neumoconiosis, el examen macroscópico de pulmón se observa nódulos fibrosos bien 
delimitados que miden entre 1 a 5 mm, dispersos en todo el pulmón, algunos muestran partículas de carbón y 
calcificaciones, en otros se observan necrosis isquémica y cavitaciones. Rx: imágenes en cáscara de huevo. ¿Qué tipo 
de neumoconiosis padece el paciente?",Por asbesto,Silicosis,De los trabajadores de carbón,Beriliosis,B
"Varón de 21 años con tumor localizado en muslo derecho, indoloro. AP: revela tumor lobulado constituido por sabana de 
células de distintos tipos, poligonales de citoplasma eosinófilo granular, células multivacuoladas con gotículas de lípidos, 
adipocitos univacuolados, núcleos homogéneos, pequeños, centrales. ¿Cuál es el diagnóstico más probable?",Grasa parda residual,Lipoma fetal,Lipoma angiomatoso,Tumor lipomatoso atípico,B
¿Qué características histológicas se observa en el rechazo agudo del transplante renal?,Fibrosis intersticial e inflamación crónica,Atrofia tubular,Trombosis capilar glomerular,Endotelitis y tubulitis,D
"En la necropsia en un cadáver (varón de 72 años), se encuentran riñones pequeños, con aspecto granular fina en la 
superficie. La histología revela glomérulos escleróticos, fibrosis intersticial, atrofia tubular, engrosamiento arterial e 
infiltrado inflamatorio difuso. Se encuentra asociado a:",Hidronefrosis,Cistitis,Hemorragia digestiva,Hipertensión,D
¿Cuál es la cardiopatía congénita más frecuente?,Comunicación interauricular,Conducto arterioso persistente,Estenosis pulmonar,Comunicación interventricular,D
"Varón de 66 años con distensión abdominal que se ha desarrollado en el transcurso de varias semanas. Se realiza una 
laparotomía exploradora encontrándose una gran cantidad de material gelatinoso, semisólido. ¿Cuál es el órgano 
afectado que origina este cambio?",Páncreas,Apéndice,Hígado,Estómago,B
¿Cuál es el nevo melanocítico que tiene riesgo de transformación maligna?,Displásico,De unión,Intradérmico,Compuesto,A
"¿Qué enfermedad de la infancia se caracteriza por presentar hiperplasia folicular linfoide con grandes centros germinales, 
así como células gigantes multinucleadas de Warthin-Finkeldey?",Mononucleosis infecciosa,Varicela,Rubéola,Sarampión,D
"Menor de 8 años con cefalea persistente; RM muestra masa tumoral ubicada en el vermis cerebeloso. ¿Cuál es la primera 
posibilidad diagnóstica?",Neuroblastoma,Meduloblastoma,Astrocitoma,Oligodendroglioma,B
¿Cuál es causa de hipotiroidismo secundario?,Autoinmunitario,Disgenesia tiroidea,Traumatismo,Bocio dishormonógeno,C
¿Qué tipo de células inmunitarias nos permite reconocer el antígeno CD1?,Linfocitos T colaboradores,Linfocitos citolíticos,Monocitos,Timocitos y células de Langerhans,D
