questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 44 años, hace 4 horas sufre traumatismo torácico penetrante en HTD por arma blanca (verduguillo). Examen: 
FC 110 X', FR 24 X', PA: 120/80 mmHg; disneico con desviación traqueal izquierda; tórax: herida puntiforme de 5 mm en 
4to EICD en LA",Inserción de catéter en 2do EICD en LMC,Rx de tórax PA y lateral derecha,Drenaje pleural derecho,Toracoscopía exploradora,A
"Recién nacido con cianosis y taquipnea. Rx tórax: leve cardiomegalia, mediastino estrecho ""corazón con forma de huevo"" 
y flujo pulmonar normal. ¿Cuál es el diagnóstico más probable?",Anomalía de Ebstein,Insuficiencia mitral congénita,Transposición de grandes vasos simple,Tetralogía de Fallot,C
"Niño de 5 años con insuficiencia cardiaca, desaturación leve, soplo sistólico en el borde esternal izquierdo y ritmo de 
galope. Rx: aumento de la trama vascular, opacidad supracardíaca grande y silueta cardiaca normal, dando un aspecto 
de ""muñeco de nieve"". ¿Cuál es el diagnóstico más probable?",Tetralogía de Fallot,Anomalía de Taussig-Bing,Atresia tricuspidea,Retorno venoso anómalo pulmonar total,D
"Varón de 42 años, que sufre una contusión en pared costal derecha por accidente de tránsito, con dolor a la respiración 
y disnea. Examen: dolor a la presión digital de 5ta y 6ta costilla y línea axilar anterior derecha. Rx: fracturas de un solo 
trazo en 5ta y 6ta costilla. ¿Cuál es el tratamiento a seguir?",Vendaje elástico en tórax,Analgésico y posición semisentado,Corsé elástico,Drenaje torácico,B
En TC. ¿Cuál es un signo indirecto de lesión aguda de la aorta torácica?,Extravasación del contraste,Hematoma periaórtico,Seudoaneurisma,Colgajo en la íntima,B
"Varón de 29 años, con herida por PAF de una hora de evolución, orificio de entrada en 5to EID en LAA y orificio de salida 
en 6to EID en LAP. Examen: PA: 110/70 mmHg, FC: 90 X', FR: 20X'. Rx: opacidad periférica que abarca el tercio inferior 
de HTD. ¿Cuál es el procedimiento a seguir?",Toracocentesis evacuadora,Toracotomía exploradora,Videotoracoscopía,Drenaje pleural,D
Los puntos de referencia de la toracotomía pósterolateral son:,Esternón y columna vertebral,Clavícula y omóplato,Esternón y omóplato,Columna vertebral y omóplato,D
¿Cuál es una tumoración maligna de la pared torácica?,Angiomatosis quística,Osteoma osteoide,Rabdomioma,Plasmocitoma solitario,D
¿Cuál es el órgano más usado en la reconstrucción esofágica?,Colon,Estómago,Yeyuno,Piel,B
¿Cuál es causa indirecta del derrame pleural maligno?,Hipoproteinemia,Metástasis pleural,Compromiso ganglios mediastínicos,Obstrucción bronquial,A
