questions,option_A,option_B,option_C,option_D,correct_answer
"Hacia la semana ...... de gestación, el número de ovocitos en el feto alcanza su máximo pico, con unos 6 ó 7 millones.",20,12,32,36,A
"¿A qué estadío de Tanner corresponde el desarrollo de la mama de una niña con: presencia de botones mamarios, con 
un montículo de tejido mamario visible y palpable, inicio de crecimiento de la areola y el pezón con desarrollo variable?",1,3,2,4,C
"Primigesta de 39 semanas. Antecedente de miomectomía hace un año. Ingresa a emergencia con dolor abdominal. 
Examen: PA 70/40 mmHg, FC: 105 X’, FR: 25 X’; altura uterina: no se logra identificar, se palpan partes fetales. Monitoreo 
fetal presenta desaceleraciones tardías con bradicardia. ¿Cuál es el manejo más adecuado?",Inducir con oxitocina,Reevaluación en dos horas,Hospitalización para monitoreo,Cesárea de emergencia,D
"Paciente de 55 años asintomática, durante su chequeo en la eco TV, le encuentran un quiste de 5 cm, unilocular, sin 
tabiques de paredes delgadas; sin factores de riesgo. Ca 125 normal. ¿Cuál es su manejo?",Drenaje con guía ecográfica,Observación,Quistectomía laparoscópica,Laparotomía,B
"Primigesta de 37 semanas, acude a emergencia por que durante trabajo parto domiciliario presentó convulsiones 
tonicoclónicas. Examen: PA: 180/100 mmHg, FC: 105 X´, FR: 30 X´; abdomen: AU: 32 cm, SPP: LCI, LCF: 142 X´; tacto 
vaginal: D: 2 cm, AP: -3; M: integras. Se administra sulfato de magnesio y se termina gestación vía abdominal. ¿Cuándo 
se debe suspender el sulfato de magnesio?",24 horas después de iniciada las convulsiones,24 horas después del parto,12 horas después del alumbramiento,12 horas después de iniciada las convulsiones,B
"Mujer de 32 años sufre de hemorragia severa luego de desprendimiento prematuro de placenta post traumatismo 
abdominal; presentó como complicación un síndrome de Sheehan. Ella desea ser nuevamente madre. ¿Qué terapia 
hormonal se indica para inducir la ovulación?",Letrozol,Citrato de clomifeno,Bajas dosis de estrógeno,Gonadotrofinas,D
"Mujer de 35 años, G0 P0000, acude por no poder concebir desde hace un año. Antecedente: síndrome de ovario 
poliquístico asociado a anovulación. Examen: peso: 85 Kg, talla: 1.72 m. Ecografía: útero normal con ovario polifolicular. 
¿Cuál es el fármaco de elección para inducción de ovulación?",Citrato de clomifeno,Dexametasona,Gonadotropinas,Letrozol,D
"Mujer de 28 años consulta por infertilidad primaria y por sangrado menstrual abundante. No antecedentes de importancia. 
Examen: PA: 120/70 mmHg, FC: 72 X'. Ecografía TV: útero de 8 cm, con tumoración compatible con mioma submucoso 
tipo 1 de 4 cm a nivel del fondo uterino; no masas anexiales. ¿Cuál es la conducta terapéutica a seguir?",Tratamiento médico,Miomectomía laparoscópica,Embolización arterial,Histeroscopía quirúrgica,D
"En la evaluación Doppler de la restricción del crecimiento intrauterino (RCIU), la alteración más tardía se presenta en:",Arteria umbilical,Ductus venoso,Arteria cerebral media,Istmo aórtico,B
"Primigesta de 39 semanas, sin control prenatal acude por pérdida de líquido y contracciones desde hace 5 horas. Examen: 
AU: 33 cm, se palpa cabeza fetal en fosa iliaca izquierda y el dorso hacia la parte superior del abdomen, LCF: 144 X'; 
peso probable fetal: 3700 g; TV: dilatación: 7 cm; Borramiento: 100%, M: rotas; pelvis ginecoide. ¿Cuál es la conducta a 
seguir?",Cesárea de urgencia,Continuar chance vaginal,Estimulación con oxitocina,Versión interna,A
