questions,option_A,option_B,option_C,option_D,correct_answer
"¿Cuál es la enfermedad que se presenta con articulaciones hiperextensibles, escleras azules, fragilidad escleral y 
queratocono?",Ehlers-Danlos,Hudson-Stähli,Tolosa-Hunt,Von Hippel-Lindau,A
¿Cuál es la alteración que se presenta en el síndrome de Brown?,Insuficiencia de convergencia,Restricción de la abducción,Déficit de elevación en aducción,Estrechamiento de la hendidura palpebral,C
¿Qué caracteriza a la coriorretinopatía serosa central?,Desprendimiento de retina regmatógeno,Desprendimiento coroideo seroso peripapilar,Agujero macular con desprendimiento seroso de retina,Desprendimiento de la retina neurosensorial en la mácula,D
"Niña de 12 años con baja visión de OD. Antecedente: contacto con cachorro canino. Fondo de ojo: OD granuloma 
periférico con banda de fibrosis hacia el nervio óptico. ¿Cuál es el diagnóstico probable?",Toxoplasmosis,Toxocariasis,Retinoblastoma,Tuberculosis,B
"Varón de 40 años, con infarto del lóbulo parietal izquierdo. ¿Cuál es la cuadrantanopsia que afecta al ojo derecho?",Nasal superior,Temporal inferior,Nasal inferior,Temporal superior,B
El músculo sinérgico contralateral del músculo oblicuo superior izquierdo es el músculo ...... derecho.,oblicuo superior,recto superior,oblicuo inferior,recto inferior,D
"¿Cuál es la disgenesia iridocorneal que se caracteriza por embriotoxon posterior al que se adhieren bandas de iris 
periférico?",Peters,Rieger,Hering,Axenfeld,D
"Mujer de 40 años, con diagnóstico de glaucoma crónico, operada reciente de trabeculectomía en OI, refiere disminución 
de la agudeza visual en OI. Examen: AV OD: 20/20, OI: 20/100, PIO OD:19 mmHg OI:4 mmHg. Ampolla filtrante 
prominente en OI. ¿Cuál es el hallazgo probable en el segmento posterior del OI?",Desprendimiento de retina,Retinopatía central serosa,Telangiectasias retinianas,Pliegues retinocoroideos,D
¿Cuál es la patología que presenta fosetas de Herbert?,Conjuntivitis vernal,Tracoma cicatricial,Queratoconjuntivitis epidémica,Fiebre faringoconjuntival,B
"Mujer de 32 años con flotantes y fotopsias de aparición reciente en ojo derecho. Examen: OD signo del ""polvo de tabaco"". 
¿Cuál es la probable lesión?",Rotura retiniana,Escleritis posterior,Ciclodiálisis,Tracción macular,A
