questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 26 años, sufre accidente automovilístico y es llevado a emergencia. Examen: paciente en hiperventilación, 
glasgow 5, se evidencia signos de descerebración, pupilas midriáticas, no reactivas, abolición de reflejos oculomotores y 
oculovestibulares. Según lo encontrado. ¿Cuál es el diagnóstico?",Lesión primaria de SRAA,Disfunción cerebral difusa,Inconsciencia psicógena,Lesión hemisférica con herniación troncal,D
"Niño de 2 años con fiebre y otalgia izquierda desde hace 4 días. Examen: intranquilo, T°: 38.9 °C; perforación de la 
membrana del oído izquierdo. ¿Cuántos días como mínimo debe indicarse el tratamiento antibiótico?",20,5,10,7,C
"Varón de 25 años, quien ingiere sustancia que produce lesión a nivel de la células ganglionares de la retina y nervio óptico 
por el ácido fórmico, produciendo inflamación, atrofia y posible ceguera bilateral. ¿Cuál es el antídoto a usar?",Etanol,Flumazenilo,Atropina,Adrenalina,A
"Lactante de 8 meses, presenta lesiones cutáneas eccematosas papulares eritematosas, que se hacen confluentes en las 
mejillas y mentón, así como en los pliegues del cuello, con zonas liquenificadas, muy pruriginosas. 
Antecedentes familiares: madre asmática. ¿Cuál es el diagnóstico probable?",Ictiosis vulgar,Dermatitis seborreica,Dermatitis atópica,Eccema numular,C
"Respecto a la evaluación del bienestar del feto. ¿Cuál de las siguientes es una variable que se evalúa en el perfil biofísico 
fetal?",Test estresante,Líquido amniótico,Fllujometría Doppler,Edad gestacional,B
"Niño de 2 años, es traído a emergencia luego de haber ingerido lejía colocada en botella de gaseosa, hace 30 minutos. 
Examen: T°: 36.5 °C, FC: 90 X', FR: 24 X', algunas lesiones en labio y mucosa oral. ¿Cuál es la actitud inmediata a 
seguir?",Provocar el vómito,Lavado de piel y ojos con agua,Lavado gástrico,Carbón activado,B
"Mujer de 46 años ingresa por dolor precordial opresivo de una hora de evolución. Examen: PA: 200/130 mmHg, FC: 100 
X', FR: 22 X', T°: 37°C. EKG: supradesnivel del segmento ST en precordiales. Con respecto al manejo de la presión 
arterial. ¿Cuál es el medicamento de elección?",Nitroprusiato de sodio,Hidralacina,Nitroglicerina,Nicardipino,C
"¿Cuál es la conducta frente a una lesión del colon sigmoide de 1 cm, advertida durante una quistectomía ovárica?",Cierre + colostomía,Sigmoidectomía,Cecostomía,Cierre simple,D
"Mujer de 30 años acude por cefalea súbita e intensa que la despierta en la noche seguida de trastorno de sensorio. 
Examen: despierta pero con tendencia al sueño, rigidez de nuca y parálisis del III par craneal. ¿Cuál es la primera 
posibilidad diagnóstica?",Hemorragia subaracnoidea,Tumor cerebral,Infarto cerebral,Meningitis aguda,A
"Niño de 4 años con antecedente de intolerancia a la lactosa, es traído después de dos años de pandemia por presentar 
sensación de rigidez en manos y pies desde hace un mes y tos desde hace 3 días. Retraso del desarrollo psicomotor. 
Examen: talla: 90 cm, peso: 13 Kg; se ausculta escasos roncantes en ambos hemitórax. ¿Cuál es el diagnóstico?",Hiperparatiroidismo,Déficit de Alfa1 antitripsina,Hipovitaminosis D,Galactosemia,C
"Varón de 75 años que consulta por presentar chorro urinario de flujo lento, refiere haber sido tratado hace unos meses 
por infección urinaria. No diabetes. Examen: FR: 20 X', FC: 80 X', PA: 130/60 mmHg; tacto rectal: próstata agrandada 
sin nodulaciones. PSA <4 ng/ml. Ecografía urológica: residuo posmiccional 50 ml. ¿Cuál es el tratamiento inicial más 
indicado?",Inhibidores de la 5-alfa-reductasa,Inhibidores alfa-adrenérgicos,Resección transuretral de próstata,Prostatectomía suprapúbica,B
"Mujer de 48 años desde hace un mes presenta baja de peso, polidipsia y poliuria, 2 días antes del ingreso presenta dolor 
abdominal, náusea, vómitos, y dificultad respiratoria. Examen: FC: 100 X', FR: 25 X', T: 37°C, PA: 120/75 mmHg. HGT: 
430 mg/dl, pH: 7.15, HCO3: 12 mEq/l, se indica solución salina isotónica un litro en una hora e insulina R 7 unidades EV 
y se espera resultados de electrolitos, obteniendo un sodio corregido en 135 mEq/l. Con respecto al manejo de la 
hidratación. ¿Qué solución es la que debe de continuar?",Cloruro de sodio 0.9%,Dextrosa al 5%,Cloruro de sodio 0.45%,Lactato de Ringer,C
"Varón de 40 años sin antecedentes previos, es hospitalizado por pancreatitis aguda, quién luego de colocación de catéter 
venoso central en vena subclavia derecha, presenta disnea súbita y taquipnea. Rx de tórax evidencia neumotórax que 
compromete menos del 10%. ¿Cuál es el tratamiento de elección?",Observación,Toracostomía con drenaje,Descompresión con aguja,Oxígeno complementario,D
