questions,option_A,option_B,option_C,option_D,correct_answer
¿Cómo se denominan las masas ováricas bilaterales por cánceres gastrointestinales metastásicos secretores de mucina?,Tumor de Krukenberg,Tumor de células de Sertoli,Tumor de Brenner,Fibrotecoma,A
"Mujer de 37 años, hace 5 meses presenta nódulo en región tiroidea asociada a baja de peso. Antecedente de irradiación 
con yodo radiactivo. ¿Cuál es el carcinoma probable?",Medular,Folicular,Papilar,Anaplásico,C
"Recién nacido de un día, nacido de parto eutócico, hospitalario, al ser evaluado se evidencia que no moviliza miembro 
superior izquierdo. Examen: dolor a la movilización, no deformaciones, no signos de flogosis. Radiografía: se evidencia 
periostitis humeral. ¿En qué diagnóstico sospecha?",Osteomielitis de hombro,Trauma obstétrico,Sífilis congénita,Artritis séptica,C
"Varón de 35 años, viaja a Huaraz, acude a emergencia por presentar somnolencia, cefalea, disnea en reposo, 
palpitaciones, náusea y desorientación. Examen: PA: 80/60 mmHg, FC: 110 X', piel fría y sudorosa. ¿Cuál es el 
tratamiento de elección?",Diuréticos de asa,Oxigenoterapia con O2,Oxigenoterapia con Óxido Nítrico,Acetazolamida,B
De los siguientes síntomas. ¿Cuál es característico de la incontinencia urinaria de urgencia?,Disuria,Nicturia frecuente,Pierde orina al toser,Perdida escasa de orina,B
"En UCI neonatal, usted es llamado para atender a un neonato de dos días de vida, con diagnóstico de sepsis precoz que 
está convulsionando. ¿Qué fármaco es de primera elección?",Midazolam,Fenobarbital,Diazepam,Fenitoina,B
"Mujer de 28 años, desde hace 2 meses presenta tos, disnea, espectoración y esporádicamente hemoptisis. Examen: 
acropaquia. Rx tórax: infiltrados alveolares bilaterales sin broncograma aéreo, tomografía pulmonar: vidrio delustrado con 
imagen de empedrado. ¿Cuál es el diagnóstico más probable?",Proteinosis alveolar,Microlitiasis alveolar,Fibroelastosis pleuroparenquimatosa,Neumonía intersticial linfocítica,A
"Recién nacido a término de parto eutócico, nace con llanto vigoroso, APGAR 81 - 95; es colocado en el pecho de la madre; 
es secado y se le limpia con un paño las secreciones de la boca. ¿Cuál es la conducta a seguir?",Ventilación a presión positiva,Oxígenoterapia con CBN,Atención inmediata del RN,Aspirar secreciones,C
"Varón de 47 años, con antecedente de infarto de miocardio hace un año, llega a emergencia por presentar disnea, nicturia 
y fatigabilidad. De acuerdo a su diagnóstico, ¿Que mecanismo fisiológico es el que presenta?",Falla de marcapasos intrínseco,Aumento del gasto cardíaco,Disminución del gasto cardíaco,Disminución de la presión venosa,C
"Niño de 5 años es traído por presentar engrosamiento de la voz.  Examen: talla 130 cm, peso 30 Kg, acné en cara, se 
evidencia desarrollo muscular, crecimiento testicular y del pene, se palpan pequeños nódulos paratesticulares. ¿En qué 
diagnóstico sospecha?",Hiperaldosteronismo,Hiperplasia suprarrenal,Hipercortisolismo,Tumor testicular,B
