questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál es la lesión encefálica más frecuente en consumidores crónicos de inhalantes?,Leucoencefalopatía,Infarto occipital,Hemorragia aracnoidea,Microinfartos frontales,A
"Mujer de 24 años, que fue secuestrada y asaltada por una banda hace 6 meses. Consulta por experimentar flashbacks, 
sueños donde es perseguida y huye de asaltantes, angustia y palpitaciones al ver que se acercan varios hombres juntos 
y sensación de embotamiento emocional. ¿Cuál es la alternativa farmacológica de elección?",Haloperidol,Litio,Paroxetina,Clobazam,C
"Mujer de 31 años, que llega a terapia por discusiones con el esposo porque se rehúsa a salir a la calle o quedarse en 
casa sin compañía; abandonó su trabajo hace 6 meses y no acude sola a entrevistas laborales, aunque necesita el 
empleo. Afirmó que tiene miedo de estar sola en casa o en lugares con mucha gente, porque teme que le pase ""algo 
terrible, como que me desmaye, me dé un infarto o algo así, y nadie pueda ayudarme"". ¿Cuál es el diagnóstico más 
probable?",Manipulación,Esquizofrenia,Evitación,Agorafobia,D
"De las siguientes técnicas psicoterapéuticas, ¿Cuál tiene mejor nivel de evidencia para el tratamiento del trastorno de 
ansiedad generalizada?",De esquemas,Cognitivo conductual,Constelaciones familiares,Psicoanálisis,B
"¿Cuál es el fármaco usado para reducir el craving y la gratificación de beber alcohol a través del bloqueo de receptores 
opiáceos?",Haloperidol,Naltrexona,Tiamina,Ketazolam,B
"Médica de 51 años; se queja constantemente de no ser atendida ""como merezco"" por los enfermeros y técnicos, a los 
cuales grita y humilla con frecuencia. Dice que es postergada injustamente por sus jefes ""aunque soy una médica A1""; su 
trabajo es de mediana calidad. Se enoja cuando elogian a una colega suya, de buen trato con colegas y trabajadores, 
estimada de los pacientes y profesora universitaria. Cuando hace alguna gestión es muy amable, sobre todo con varones, 
pero si no obtiene lo que quiere dice que son ineptos. ¿Cuál es el trastorno de personalidad más probable?",Obsesivo,Distímico,Empático,Narcisista,D
"Mujer de 52 años, sumisa y dependiente, sin patología orgánica que tiene un hijo dominante y agresivo con esquizofrenia. 
Afirmó en la consulta: ""mi hijo no está enfermo, lo que dice es cierto. He visto cómo los policías lo señalan en la calle y lo 
siguen, hacen gestos y dicen que lo van a encarcelar, no sé por qué"". Luego del internamiento del hijo por un mes, señaló: 
""no sé por qué creí todo lo que decía mi hijo, era como si yo también fuera esquizofrénica"". ¿Cuál es el trastorno más 
probable?",Hebefrenia,Personalidad histriónica,Infarto cerebral,Psicótico compartido,D
"Miedo es una respuesta a un peligro manifiesto, definido; ...... es una respuesta a una amenaza inminente con sensación 
de aprensión difusa, desagradable y vaga.",huida,angustia,afronte,ansiedad,D
El rango terapéutico del litio está entre ...... mEq/l.,0.2 y 0.9,0.6 y 1.2,1.5 y 2.3,1.1 y 3.2,B
"El deseo sexual está frecuentemente disminuido en la esquizofrenia, principalmente en quienes...",no usan medicación.,ganan peso.,reciben aripiprazol.,viven solos.,A
