questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál de las siguientes patologías causa hiperactividad neurogénica del detrusor?,Lesión medular,Tumor vesical,Litiasis vesical,Envejecimiento,A
"Varón de 16 años. TE 2 horas, acude a EMG por dolor intenso y brusco en testículo izquierdo, náusea, leve dolor en fosa 
iliaca izquierda. Examen: testículo elevado, horizontalizado, con gran hipersensibilidad y ausencia de reflejo cremastérico. 
¿Cuál es su sospecha diagnóstica?",Epididimitis aguda,Hidrocele,Torsión testicular,Infección urinaria,C
"¿Cuál es una contraindicación absoluta, para realizar una biopsia de próstata?",Portador de sonda Foley,Edad avanzada,Estrechez uretral,Prostatitis aguda,D
¿Cuál es el medicamento estándar para el tratamiento del cáncer de próstata metastásico resistente a la castración?,Goserelina,Docetaxel,Bicalutamida,Cabazitaxel,B
"En el adenocarcinoma de próstata, el sistema de Gleason se basa en evaluar...",la célula muscular lisa.,el patrón glandular del tumor.,células de la cápsula prostática.,células de la matriz celular.,B
¿Qué medicamento es el de elección en la profilaxis antibiótica de la biopsia prostática transrectal?,Metronidazol,Cefalosporina,Aminoglucósido,Fluoroquinolona,D
"Varón de 50 años con dolor lumbar derecho. UROTEM con contraste: hidronefrosis y cálculo en uréter proximal derecho. 
Riñón izquierdo: masa de 1.5 cm en tercio medio que tras administración de contraste presenta realce de más de 15 UH. 
¿Cuál es el diagnóstico más probable del riñón izquierdo?",Angiomiolipoma renal,Seudotumor renal,Absceso perinéfrico,Cáncer renal,D
¿Cuál es el examen auxiliar para el diagnóstico de absceso renal?,Radiorrenograma,Urografía excretoria,Cistografía,Urotem,D
¿Cuál de los siguientes factores se asocia con el desarrollo de necrosis papilar renal?,Nefrostomía,Diabetes mellitus,Ureteroscopía,Cistitis intersticial,B
La estructura de la próstata es ......% elementos glandulares y un ......% de estroma fibromuscular.,70 / 30,30 / 70,50 / 50,Oct-90,A
"En tumor de testículo. ¿Por qué es importante medir los marcadores tumorales, alfafetoproteina y gonadotropina coriónica 
humana, antes y después de la orquiectomía radical?",Define vía de abordaje,Evalúa grado de sensibilidad del tumor,Dosis de tratamiento,Define pronóstico,D
