questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál es el protozoo causante de la enfermedad de Kala-azar?,Entamoeba histolytica,Leishmania donovani,Naegleria fowleri,Trypanosoma cruzi,B
"Linfoma insidioso más frecuente en adultos, con células tumorales que reproducen el patrón de crecimiento del linfocito 
B normal de los centros germinales, la mayoría de los cuales se asocia a una traslocación (14;18) que da lugar a la 
sobreexpresión de BCL2 ¿A qué tipo de linfoma corresponde?",B difuso de células grandes,Folicular,Linfocítico pequeño,De Burkitt,B
"Varón de 36 años, con lesión localizada en zona posterior de la mandíbula. RX: lesión multilocular radiotransparente con 
expansión cortical.  AP: Islotes odontogénicos rodeadas por una sola capa de células tipo ameloblástico con núcleos lejos 
de la basal, con polaridad inversa y vacuolización citoplasmática. ¿Cuál es el diagnóstico?",Ameloblastoma,Fibroma ameloblástico,Fibroodontoma ameloblástico,Tumor odontógeno adenomatoide,A
¿Qué tipo de linfocitos originan el síndrome de Sézary?,T colaborador,T citotóxico,B memoria,B virgen,A
¿Qué lóbulos cerebrales son afectados en la enfermedad de Alzheimer?,Temporal y occipital,Parietal y occipital,Frontal y occipital,Parietal y temporal,D
"¿Qué patología presenta respuesta a infección o lesión inflamatoria pulmonar caracterizada por tapones polipoideos de 
tejido conjuntivo laxo organizado (cuerpos de Masson) dentro de los conductos alveolares, alvéolos y bronquiolos, 
pero conservando su estructura pulmonar normal?",Neumonía intersticial habitual,Sarcoidosis,Neumonía en organización criptógena,Proteinosis alveolar pulmonar,C
"Mujer de 25 años, con signos de virilización. ECO: tumor ovárico uniteral de 10 cm. AP: Tumor parcialmente quístico, con 
túbulos y cordones cerrados y abiertos cubiertos por células de Sertoli combinados con nidos y láminas de células de la 
granulosa. El estroma contiene células fusiformes similares a células de la teca. ¿Cuál es el diagnóstico más probable?",Ginandroblastoma,Tumor de células de Sertoli-Leydig,Tumor de células de la granulosa,Tumor estromal microquístico,A
"Mujer de 52 años acude por irritación vesical y hematuria. Citoscopía: masa vesical polipoide cubierta por mucosa intacta. 
AP: láminas de histiocitos con citoplasma eosinófilo, granular, inclusión intracitoplasmática basofílica, concéntricas, 
redondeadas. epitelio suprayacente ulcerado, hiperplásico con infiltrado inflamatorio crónico, constituido por linfocitos, 
células plasmáticas y eosinófilos. ¿Cuál es el diagnóstico más probable?",Carcinoma urotelial,Inflamación granulomatosa asociada a TBC,Sarcoma histiocítico,Malacoplaquia,D
¿Cuál es la lesión localizada en la cúpula de la vejiga con epicentro en la capa muscular propia?,Adenocarcinoma de colon secundario,Carcinoma urotelial invasivo,Adenocarcinoma primario de vejiga,Adenocarcinoma uracal,D
"En un carcinoma ductal in situ, la extensión de células malignas dentro del sistema ductal a través de los senos 
galactóforos hasta la piel del pezón y sin romper la membrana basal. Se le denomina…",carcinoma lobulillar in situ,hiperplasia ductal atípica,enfermedad de Paget del pezón,papiloma intraductal,C
¿Cuál de las siguientes es una enfermedad causada por reacción de hipersensibilidad tipo IV?,LES,Poliarteritis nodosa,Enfermedad del suero,Dermatitis de contacto,D
"Varón de 55 años con aumento de volumen de testículo izquierdo, de meses de evolución. AP: tumoración formada por 
una mezcla de células, unas de tamaño mediano con cromatina tipo espirema, nucléolo ocasional y citoplasma 
eosinófilo; otras células más pequeñas de cromatina densa y otra población de células gigantes dispersas. ¿Cuál es el 
diagnóstico?",Seminoma clásico,Tumor espermatocítico,Tumor de células de Leydig,Linfoma de testículo,B
"Mujer de 50 años con nódulo en labio mayor derecho de vulva. Biopsia: proliferación subepidérmica de proyecciones 
papilares recubiertas por dos capas de células: una superior de células secretoras cilíndricas y una más profunda de 
células mioepiteliales aplanadas. ¿Cuál es el diagnóstico?",Quiste de Bartholino,Quiste de Gartner,Hidradenoma papilar,Enfermedad de Paget extramamaria,C
"Varón de 55 años, acude por diarrea y baja de peso. Endoscopía: engrosamiento irregular de los pliegues gástricos, 
algunos polipoides en cuerpo y fondo pero respetando el antro. AP: hiperplasia foveolar, glándulas alargadas con aspecto 
de sacacorcho y dilatación quística. ¿Cuál es el diagnóstico?",Síndrome de Zollinger-Ellison,Gastritis quística,Enfermedad de Ménétrier,Pólipos de glándulas fúndicas,C
En relación a los carcinógenos químicos. ¿Qué sustancias tienen acción directa?,Hidrocarburo aromáticos policíclicos,Plantas naturales,Sustancias alquilantes,Productos microbianos,C
¿Qué lesión renal se presenta en la granulomatosis de Wegener?,Granuloma glomerular,Glomérulonefritis focal necrosante,Gloméruloesclerosis,Granuloma intersticial,B
"Niño de 6 meses, que presenta masa firme en epidídimo asociado a hidrocele. El patólogo describe nódulo firme 
homogéneo, redondeado, blanco azulado, con áreas de pigmentación oscura. AP: tumor bifásico con dos tipos celulares: 
unas pequeñas redondas con escaso citoplasma que forman copas o nidos irregulares y otras grandes epitelioides 
poligonales con abundante citoplasma eosinófilo, grandes núcleos vesiculares y pequeños nucléolos; con estroma fibroso 
hialinizado. IHQ: las células grandes son Vimentina (+), HMB45 (+) y S100 (+); las células pequeñas son CD56 (+), NSE 
(+) y sinaptofisina (+) y CK (-). ¿Cuál es el diagnóstico?",Tumor desmoplásico de células pequeñas redondas,Tumor neuroectodérmico melanótico,Rabdomiosarcoma embrionario,Melanoma metastásico,B
"El estudio histológico de una tiroides revela infiltrado inflamatorio de linfocitos, macrófagos y células plasmáticas 
asociado a presencia de células gigantes multinucleadas, englobando lagunas de coloide. ¿A qué tipo de tiroiditis 
corresponde?",Quervain,Riedel,Hashimoto,Linfocítica subaguda,A
"La pérdida ósea en un hiperparatiroidismo primario sintomático no tratado, que provoca microfracturas, hemorragia 
secundaria, reclutamiento de macrófagos y crecimiento interno de tejido fibroso reparativo, da origen a:",Osteítis disecante,Tumor pardo,Osteoporosis,Osteítis fibrosa quística,B
"El AP de un paciente con trasplante renal revela daño glomerular y de vasos sanguíneos pequeños, inflamación de los 
glomérulos y de los capilares peritubulares, asociados a depósitos de productos del complemento, vasos pequeños 
muestran trombosis focal. ¿A qué tipo de rechazo corresponde?",Mediado por anticuerpo,Hiperagudo,Crónico,Mediado por PMN,A
¿Cuál es la infección viral que con más frecuencia causa encefalitis?,Coronavirus,Herpes simple,PVH 6,PVH 11,B
¿Qué factor puede detener la división celular actuando sobre las proteínas de control del ciclo celular?,FG,EGF,PDGF,TGF-ß,D
"Varón de 11 años, presenta diarrea crónica e hiperpigmentación cutánea. Antecedente: padre con adenocarcinoma de 
colon. Endoscopía: Múltiples pólipos en intestino delgado. AP: red arborescente de tejido conjuntivo, músculo liso, lámina 
propia y glándulas revestidas por epitelio intestinal de aspecto normal. ¿Cuál es el diagnóstico?",Pólipos juveniles,Pólipos hiperplásicos,Sindrome de Peutz-Jeghers,Síndrome de Cowden,C
¿Cuál es la neoplasia maligna que con más frecuencia da metástasis a placenta?,Adenocarcinoma mucinoso de ovario,Adenocarcinoma gástrico,Carcinoma de células renales,Melanoma,D
"Varón de 62 años, que al examen genital muestra neoplasia exofítica blanco grisácea, que afecta glande, surco coronal 
y prepucio. AP: papilas acantóticas gruesas con ejes fibrovasculares delgados, las papilas están separadas por cráteres 
de queratina. No se observa coilocitosis. ¿Cuál es el diagnóstico?",Carcinoma condilomatoso,Carcinoma papilar,Carcinoma verrucoso,Condiloma gigante,C
"Mujer de 40 años a quien se le detecta una masa ovárica en un estudio ecográfico realizado por otros motivos. AP: masa 
de 5 cm, sólida, compuesta por estroma fibroso parecido al del ovario normal, donde están inmersos nidos bien 
delimitados de células epiteliales que recuerdan al epitelio de las vías urinarias, con glándulas mucinosas en el centro. 
¿Cuál es el diagnóstico?",Tumor de células de Sertoli-Leydig,Tumor de células de la granulosa,Fibrotecoma,Tumor de Brenner,D
"Mujer de 25 años con lesiones en la zona ano genital, caracterizadas por pápulas umbilicadas firmes y pruriginosas, que 
al estudio microscópico revelan hiperplasia epidérmica en forma de copa con inclusiones eosinófilas citoplasmáticas 
homogéneas, elipsoides en el estrato granuloso y córneo. ¿Cuál es el diagnóstico?",Condiloma,Papulosis bowenoide,Herpes genital,Molusco contagioso,D
