questions,option_A,option_B,option_C,option_D,correct_answer
En cirugía cardíaca. ¿Cuál es el cambio fisiológico que ocurre con el pinzamiento aórtico?,Aumenta la presión por debajo de la pinza,Disminución de la fracción de eyección,Disminución de la adrenalina y noradrenalina,Disminución del flujo sanguíneo coronario,B
"¿Cuál es factor de riesgo, relacionado con cirugía en el desarrollo de complicaciones pulmonares postoperatorias?",Alteraciones sensoriales,Cirugía abdominal superior,Tabaquismo,Cirugía artroscópica,B
¿Cuál es factor de riesgo moderado para trombosis perioperatoria?,Disfibrinogenemia,Déficit proteína C,Déficit de antitrombina,Trombocitopenia inducida por heparina,A
"¿Cuál es el anestésico local tipo amida, con inicio de acción moderado, potencia de acción intermedia, un pKa de 7.7 y 
es tóxica para el neonato?",Mepivacaína,Procaína,Clorprocaína,Tetracaína,A
"Varón de 59 años, obeso, sin otro antecedente de importancia, programado para una cirugía electiva por fractura proximal 
de diáfisis de fémur; en el intraoperatorio presentó sangrado profuso con pérdida de abundante volumen, por lo que se 
transfunde hemoderivados. A las 2 h post transfusión presenta disnea, dificultad respiratoria, hipoxemia, cianosis, fiebre 
y taquicardia. ¿Cuál es el diagnóstico más probable?",Reacción anafiláctica,Infección bacteriana,Hemólisis transfusional,Lesión pulmonar aguda,D
"Varón de 65 años, ASA 2, programado para una cirugía de cadera, con uso frecuente de sildenafilo y levotiroxina, en la 
evaluación preoperatoria el anestesiólogo le menciona que el día de la operación debe suspender ...... horas antes el 
sildenafilo y continuar el tratamiento con la levotiroxina.",36,48,24,72,C
¿Qué fármaco se usa para revertir los efectos secundarios de la heparina no fraccionada?,Protamina,Vitamina K,Idarucizumab,Andexanet alfa,A
"La rigidez muscular inducida por opioides sistémicos, se deben a la activación de receptores...",d1 supramedular.,k1 centrales.,k periféricos.,µ centrales.,D
"¿Cuál es el factor más importante que, afecta la distribución y altura del bloqueo del anestésico local epidural?",Concentración,Raza,Fármaco,Edad avanzada,D
"¿Cuál es el fármaco que reduce rápida y eficazmente el volumen cerebral, con efecto reductor de la PIC y cuya 
administración brusca puede producir congestión cerebral por vasodilatación?",Solución salina hipertónica,Furosemida,Manitol,Dextrosa al 5%,C
"Niño de 6 años, sometido a cirugía de fimosis. Antecedente de alergia a la albúmina. ¿Cuál es el fármaco no recomendado 
para la anestesia?",Tiopental,Fentanilo,Midazolam,Propofol,D
¿Cuál factor influye en la disminución del flujo sanguíneo cerebral y en el índice metabólico cerebral?,Beta agonista,Alfa 2 agonista,Noradrenalina,Adrenalina,B
¿Cuál es el agente anestésico disociativo útil en broncoespasmo que produce sialorrea?,Fentanilo,Midazolam,Ketamina,Sugammadex,C
¿Qué factor influye en la magnitud de los cambios fisiológicos que tienen lugar en el pinzamiento aórtico?,Función ventricular derecha,Premedicación anestésica,Altura de la pinza aórtica,Tratamiento vasoconstrictor,C
"¿Cuál es el fármaco de bloqueo neuromuscular de duración corta, cuyo modo de eliminación son las hidrólisis por plasma 
a través de las colinesterasas?",Pancuronio,Metocurina,Mivacurio,Cisatracurio,C
¿Cuál es µ agonista potente que puede provocar excitación del SNC?,Tapentadol,Meperidina,Tramadol,Naloxona,B
"Varón de 30 años, llega a emergencia politraumatizado y hemodinamicamente compensado; pasa a sala de operaciones 
para procedimiento quirúrgico, abre los ojos al hablarle, emite palabras inadecuadas y tiene una respuesta de retirada al 
estímulo doloroso. ¿Qué puntuación de la escala de Glasgow le corresponde?",10,9,11,8,B
¿Cuál factor aumenta la magnitud y duración del efecto anestésico inducido por opioides?,Acidosis respiratoria,Uso de naloxona,Hipercapnia intraoperatoria,Uso de nalmefeno,A
