questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál es la causa más frecuente de tratamiento quirúrgico de la secuela de tuberculosis pulmonar?,Intensa caseificación y cavitación,Hemoptisis masiva intratable médicamente,Infección secundaria de bronquiectasias,Empiema más fístula broncopleural,B
"Varón de 53 años, con traumatismo torácico cerrado por accidente de tránsito. TC: fracturas de 4a, 5a, 6a y 7a costillas en 
región anterior derecha y signos de contusión pulmonar amplia; en los días siguientes y en forma progresiva va 
disminuyendo la saturación y el PaO2/FiO2 por lo que tiene que ser intubado e ingresa a UTI. ¿Cuál es el probable 
diagnóstico?",Neumonía severa,Síndrome de dificultad respiratoria aguda,Tórax inestable,Insuficiencia ventilatoria,B
¿Cuál es el abordaje para el control proximal de la lesión traumática de la arteria subclavia izquierda?,Toracotomía posterolateral,Toracotomía axilar,Supraclavicular,Esternotomía,A
"Mujer de 65 años con antecedentes de tabaquismo, con tos, expectoración matutina, y dísnea de esfuerzo al caminar 
alrededor de 90 metros. Según la escala de disnea del Medical Research Council modificada, en que grado de dísnea se 
encuentra?",3,4,2,1,A
"Mujer de 58 años. Antecedente: hace dos años traqueostomía prolongada, presenta en forma insidiosa disnea y 
estridor. ¿Cuál es el diagnóstico?",Asma bronquial,Fibrosis pulmonar,Enfermedad pulmonar obstructiva crónica,Estenosis traqueal,D
"Varón de18 años, con herida punzopenetrante en HTI. Refiere dolor torácico y disnea. FV estables. RX tórax: radiolucidez 
con colapso pulmonar mayor al 50%. ¿Cuál es la conducta a seguir?",Toracocentesis,Ventana torácica,Drenaje intercostal,Toracotomía exploratoria,C
¿Dónde se localizan principalmente los traumatismos penetrantes del árbol tráqueobronquial?,Tráquea cervical,A  2.5  cm de la carina,A  2 cm o menos del bronquio principal derecho,Tráquea  torácica,A
¿Cuál es indicación de revascularización coronaria híbrida?,Lesiones múltiples DA y enfermedad difusa CD o CX,Ausencia calcificaciones aorta ascendente,Lesión de tronco de coronaria izquierda,Estenosis proximal DA más lesión focal CD,D
En el drenaje venoso pulmonar total anómalo de tipo intracardíaco. ¿Dónde drenan las venas pulmonares?,Vena vertical,Vena comunicante inferior,Arteria pulmonar,Seno coronario,D
¿Cuál es el subtipo histológico más agresivo del timoma?,AB,A,B3,B1,C
"En un traumatismo torácico tratado con drenaje pleural, si persiste hemotórax residual. ¿Cuál es el procedimiento 
quirúrgico?",Toracotomía de limpieza,Cambio de drenaje torácico,Instilación de fibrinolíticos,Toracoscopía videoasistida,D
"Paciente que dos años después de un trasplante cardíaco presenta fracción eyección disminuida. La biopsia 
endomiocárdica es negativa. Coronariografía evidencia enfermedad arterial coronaria. ¿Cuál es el tratamiento a seguir?",Angioplastía coronaria,Retrasplante cardíaco,By pass aortocoronario,Revascularización híbrida,B
"Varón de 24 años con herida punzo penetrante en cara anterior de muslo, suturada. Al 5to día acude a control donde se 
evidencia nódulo indurado con signos de flogosis, se realiza punción con sangrado activo profuso. ¿Cuál es la conducta 
a seguir?",Exploración vascular electiva,Arteriografía,Exploración vascular de emergencia,Angiotem,C
"Mujer de 60 años, con traumatismo torácico derecho. Acude por dolor torácico y disnea. Examen: FV estables, MV 
disminuido en 2/3 inferiores de HTD. RX tórax: opacidad en mitad inferior HTD y fractura de dos arcos costales. ¿Cuál es 
la conducta a seguir?",Toracocentesis,Toracotomía exploratoria,Drenaje intercostal,Fijación costal,C
En una radiografía de tórax se observa crecimiento de aurícula izquierda. ¿Cuál es la causa más probable?,Isquémica,Hipertensión pulmonar,Estenosis mitral,Insuficiencia tricuspídea,C
