questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 70 años operado por trombosis mesentérica, se le realizó resección masiva de intestino delgado con ileostomía 
terminal. ¿En qué se basa fundamentalmente el tratamiento posoperatorio inmediato?",Evitar la dermatitis,Controlar la diarrea,Evitar déficit de Vitamina B12,Control de hipergastrinemia,B
¿Cuál es la complicación más común en la hemorroidectomía?,Hemorragia postoperatoria,Retención urinaria,Estenosis anal,Incontinencia fecal,B
"Mujer de 60 años, sometida a gastrectomía subtotal por cáncer gástrico, cursa con diarreas y sensación de 
desvanecimiento 1 hora después de la ingesta de alimentos. ¿Cuál es la causa de dicho cuadro?",Dumping tardío,Vaciamiento rápido,Intolerancia a la lactosa,Intolerancia a suplementos nutricionales,A
¿Cuál es la indicación quirúrgica de urgencia para la enfermedad de Crohn complicada?,Megacolon tóxico,Fístula enteroentérica,Fisura perineal,Neoplasia maligna,A
"Mujer de 32 años, durante una apendicectomía se encuentra una tumoración de 3 cm en la punta del apéndice ¿Cuál es 
la conducta a seguir?",Hemicolectomía derecha,Apendicectomía con resección del mesoapéndice,Apendicectomía simple,Hemicolectomía derecha y linfoadenectomía regional,D
"Mujer de 70 años con diagnóstico de cáncer rectal localizado a 6 cm del margen anal; T2N0M0. ¿Cuál es la resección 
quirúrgica de elección?",Anterior baja,Local del tumor y colostomía definitiva,Anterior baja e ileostomÍa,Abdomino perineal,C
En las hernias inguinales por deslizamiento. ¿Qué debe considerarse primariamente en la cirugía de reparación?,Reducir contenido y resecar el saco redundante,Evitar el uso de malla de polipropileno,Usar fascia lata para la reparación,Usar técnica preperitoneal,A
"Mujer de 56 años, desde hace 4 días presenta dolor en HCD, vómitos y fiebre. Examen: abdomen globuloso, RHA 
incrementados, doloroso a la palpación. TAC: niveles hidroaéreos y neumobilia. ¿Cuál es el diagnóstico?",Colangitis aguda,Pancreatitis aguda,Colecistitis aguda,Íleo biliar,D
"Son muchos los factores que contribuyen a la ISQ (infección de sitio quirúrgico), algunos del paciente y otros del 
tratamiento quirúrgico; de ser superficial (dentro de los primeros 30 días). ¿Cuál es el agente etiológico más frecuente?",Staphylococcus coagulasa negativo,Enterococcus,Escherichia coli,Staphylococcus aureus,D
"Mujer de 65 años, ingresa por distensión abdominal marcada, RH incrementados, rebote positivo. Leucocitosis: 
18,000mm. RX simple de abdomen: niveles hidroaéreos. Se programa para laparotomía exploratoria. Ante la posibilidad  
de cierre de pared  difícil. ¿Qué material de sutura es el ideal a utilizar para el cierre de la pared abdominal?",Nylon,Polopropileno,Podioxanona,Poliglactina 910,C
