questions,option_A,option_B,option_C,option_D,correct_answer
"Mujer de 45 años, que labora como operaria de limpieza, relata que los últimos cuatro días tuvo que refregar pisos en 
posición de rodillas ocasionándole dolor y aumento de volumen de la rodilla derecha que dificulta la deambulación y sus 
actividades habituales. ¿Cuál es la lesión anatómica más probable?",Rótula,Meniscos,Bursa de la rodilla,Ligamento cruzado,C
"Mujer de 70 años con diagnóstico de pancreatitis biliar grave hace un mes y medio, actualmente refiere dolor persistente 
en epigastrio, náusea y llenura precoz. Examen de abdomen: se palpa tumoración de 15x15 cm, poco movil y de bordes 
irregulares. ¿Cuál es el diagnóstico probable?",Neoplasia pancreática,Acumulación de líquido pancreático,Acumulación necrótica aguda,Seudoquiste pancreático,D
"Lactante de 10 meses, irritable, piel con lesiones papulares eritematosas en abdomen, axilas, codos y muslos, algunas 
costras en palmas y plantas. Madre presenta lesiones similares en abdomen. ¿Cuál es el tratamiento tópico de elección?",Tacrolimus,Lindano,Permetrina al 5%,Mometasona al 1%,C
"En la RCP básica de alta calidad del lactante y niño, se recomienda iniciar compresiones y ventilaciones ...... con un solo 
reanimador.",30/2,15/2,40/1,40/2,A
"Neonato de 5 días, es traído por madre quien refiere notarlo muy amarillo. Nacido de parto eutócico, peso al nacer: 3500 
g, adecuado para la edad gestacional; luego de alta conjunta, recibe lactancia materna exclusiva. Peso actual 3200 g, 
ictericia hasta raíz de muslos, presencia de reflejo de búsqueda y succión. ¿Cuál es la causa más probable de la ictericia?",Incompatibilidad Rh,Fallo de la lactancia,Hepatitis del RN,Cefalohematoma,B
"Varón de 25 años con dolor en FID desde hace 10 días, concomitantemente anorexia y fiebre hasta 39 °C. Examen: 
estable, tolera vía oral, afebril; PA 120/70 mmHg, FC 80 X', FR 26 X'; abdomen: tumoración en FID de 4x4 cm, poco movil 
ligeramente dolorosa, no reacción peritoneal. Leucocitosis 14000/µl. TC abdominal: tumoración de 5x5 cm en FID, con 
líquido escaso. ¿Cuál es el tratamiento?",Drenaje laparoscópico,Apendicectomía,Drenaje percutáneo,Antibióticoterapia,D
"Mujer de 22 años, sin antecedentes importantes, fue diagnosticada de COVID-19 hace 7 días. Desde hace 2 días se 
queja de palpitaciones, temblor de manos, sudoración profusa y leve dolor en región cervical anterior. Examen: PA 140/70 
mmHg, FC 126 X’, FR 22 X’, T° 37 °C. Se palpa pequeño bocio doloroso, piel húmeda y caliente y temblor de manos; 
resto normal. Laboratorio: TSH disminuida, T3 y T4 aumentada. Gammagrafía tiroidea: hipocaptación. ¿Cuál es el 
tratamiento inicial recomendado?",Prednisona,Yodo radiactivo,Metimazol,Propanolol,A
"Adolescente de 15 años, después de terminar con enamorado, decide quitarse la vida, por lo que ingiere un frasco de 
lejía (aprox. 100 ml). Padre la encuentra con sialorrea, dolor, estridor y dificultad respiratoria y decide llevarla a 
la emergencia. ¿Cuál es la conducta inicial a seguir?",Lavado gastrointestinal,Observación,Endoscopía digestiva,Intubación endotraqueal,D
"Niña de 8 años procedente de Puente Piedra acude a centro de salud con 4 días de fiebre, cefalea, dolor 
abdominal, vómitos persistentes y astenia; madre refiere lesiones eritematosas en piel, intermitentes desde hace 2 días. 
Según su sospecha diagnóstica. ¿Cuál es la indicación más oportuna?",Sintomáticos y control en 3 días,Alta y tratamiento en el hogar,Iniciar tratamiento antibiótico de amplio espectro,Administración de líquidos IV y referencia a hospital,D
"Pre-escolar de 20 meses con lesiones eritematosas a nivel perianal, piel macerada, dolorosa a la palpación y presencia 
de micropústulas en margen anal, madre refiere que las lesiones no mejoran a pesar de usar cremas antimicóticas ¿Cuál 
es el tipo de dermatitis?",De contacto,Bacteriana,Seborreíca,Candidiásica,B
"En la anatomía natural de la cavidad gástrica, existen diversas células. ¿Cuál es la que produce el pepsinógeno?",H,Parietal,Principal,G,C
"Mujer de 72 años, desde hace 3 meses presenta debilidad de miembros inferiores y sensación de adormecimiento, luego 
se agrega astenia, cansancio, habla incoherencias y en algunas ocasiones presenta delusiones. Examen: paciente 
adelgazada; equímosis en miembros inferiores; boca: glositis con lengua depapilada. Laboratorio: leucocitos 3000/µl, 
hemoglobina 8 g/dl, plaquetas 100,000/µl, VCM: 102 fl, macroovalocitos e hipersegmentación de neutrófilos. ¿Cuál es el 
tipo de anemia más probable?",Ferropénica,Aplásica,Hemolítica,Megaloblástica,D
"Escolar de 8 años con síndrome de Down, hace 4 días presenta lesiones eritemato pruriginosas en piel que en algunas 
zonas son descamativas. Diagnosticado de urticaria persistente, recibe antihistamínicos, sin mejoría clínica. Examen: 
faringe eritematosa, enantema petequial en paladar blando, adenopatía cervical; piel eritema difuso con discreta 
descamación en flexuras. ¿Cuál es su diagnóstico?",Escarlatina estafilocócica,Enfermedad de Kawasaki,Mononucleosis infecciosa,Escarlatina estreptocócica,D
"Desde las primeras semanas del 2024 se presentan casos autóctonos de dengue en la mayoría de distritos de Lima 
Metropolitana por ello declara alerta. ¿Cuál es la clasificación según escenario epidemiológico?",I,III,IV,II,B
"En la regulación del flujo sanguíneo a nivel del músculo liso vascular. ¿Cuál es la sustancia que cambia la resistencia 
arteriolar produciendo vasoconstricción?",Endotelina,Óxido nítrico,Sustancia P,Histamina,A
"Mujer de 63 años, hace 5 días presenta fiebre, tos, dolor torácico y expectoración verdosa de olor fétido. Antecedente: 
tumor bronquial. Rx de tórax: imagen cavitaria con nivel hidroaéreo. ¿Cuál es el agente etiológico?",Streptococcus milleri,Peptostreptococcus spp,Bacteroides spp,Staphylococcus aureus,D
