questions,option_A,option_B,option_C,option_D,correct_answer
"Mujer de 30 años, G1 P1001, quién acude por presentar hipermenorrea y anemia de un año de evolución. TV: útero 
aumentado de tamaño y consistencia. Ecografía transvaginal: mioma en cara anterior de 7 cm tipo 3 (FIGO). ¿Cuál es el 
manejo más adecuado?",Miomectomía abierta,Miomectomía laparoscópica,Histerectomía laparoscópica,Miomectomía histeroscópica,B
"Mujer de 25 años, asintomática, con dos ecografías previas que informaban embarazo gemelar a las 5 y a las 
7 semanas. Acude a realización de su ecografía genética y se evidencia embarazo único activo de 13 semanas. ¿Cuál 
es la conclusión más probable del caso?",Error del ecografista,Gemelo evanescente,Gemelo atascado,Gemelo acárdico,B
"Gestante de 38 semanas en fase activa de trabajo de parto. Se desea realizar bloqueo del nervio pudendo. ¿Qué 
estructura anatómica se usa como punto de reparo para el procedimiento?",Espina ciática,Ligamento cardinal,Hueso coxis,Punto medio del sacro,A
¿Cuál es un factor pronóstico de baja recurrencia en el cáncer de mama?,Presencia de receptores hormonales,Presencia de tumores aneuploides,Tumor de 30 mm,Expresión elevada del Oncogen HER-2/neu,A
La arteria pudenda interna brinda el principal aporte sanguíneo al periné. Este vaso es rama de la arteria ...,aorta.,uterina.,iliaca común.,iliaca interna.,D
"Mujer de 32 años, acude por fiebre y dolor pélvico intenso de 3 días. Examen: PA 100/60 mmHg, FC 95 X', T° 39.5 °C. 
Dolor a la palpación profunda en flanco izquierdo. Tacto vaginal: útero 9 cm, doloroso a la lateralización del cérvix, se 
palpa masa en anexo izquierdo de 4 cm dolorosa. ß-hCG negativo. Ecografía transvaginal: masa heterogénea de 38 mm 
en anexo izquierdo, con dolor intenso a la ecopulsión. ¿Cuál es la conducta a seguir?",Histeroscopía,Laparotomía exploratoria,Antibióticoterapia,Hidrosonografía,C
"Mujer 39 años, hace 6 meses presentaba tumor en mama izquierda de 2 cm, no doloroso. Examen actual: tumoración de 
5x4cm en el cuadrante supero externo de mama izquierda, bilobulado, móvil, de consistencia aumentada y 
delimitada. Mama derecha normal. No adenopatías axilares. Ecografía BIRADS 4a. ¿Cuál es la conducta a seguir?",Biopsia con aguja gruesa,Observación y seguimiento con ecografía,Tumorectomía,Cuadrantectomía,A
El ligamento redondo del útero y el ligamento propio del ovario son vestigios del ...,cordón ectodérmico.,proceso vaginal.,tubérculo genital.,gubernáculo ovárico.,D
"Posmenopáusica de 48 años, desde hace 3 días presenta sangrado vaginal escaso. Examen: PA 150 /90 mmHg, peso 
68 Kg, talla 1.50 m. Especuloscopía: cérvix con epitelio normal, sangrado escaso por orificio cervical. TV: útero de 7 cm, 
anexos no se palpan. Eco TV: Útero de 7 cm, endometrio heterogéneo de 12 mm. ¿Cuál es la conducta a seguir?",Toma de PAP,Ecografía Doppler,Tomografía de pelvis,Biopsia de endometrio,D
"La zona de continencia urinaria de mayor importancia es el ...... sustentado en la parte anterior por los ligamentos 
pubouretrales.",segmento proximal de la uretra,cuello vesical,segmento medio de la uretra,segmento distal de la uretra,C
"Mujer de 36 años, con amenorrea de 7 semanas y dolor hipogástrico desde hace 3 días, el cual se intensifica hoy y se 
asocia sangrado vaginal escaso. Examen: PA 90/50 mmHg FC 100 X´, piel palidez marcada, abdomen: doloroso a la 
palpación superficial y profunda, rebote positivo; TV: útero y anexos difícil de palpar por dolor. ß-hCG cualitativa positivo. 
¿Cuál es el tratamiento de elección?",Laparotomía,Metotrexate dosis única,Metotrexate múltiples dosis + ácido folínico,Laparoscopía,D
"Gestante de 28 semanas acude a emergencia porque no siente movimientos fetales desde hace 2 días. Antecedente de 
cesárea anterior por sufrimiento fetal en gestación a término. Examen: funciones vitales estables; AU 26, LCF ausentes. 
Ecografía: feto en longitudinal podálico izquierdo. Laboratorio normal. ¿Cuál es el manejo?",Cesárea de emergencia,Inducción,Cesárea programada,Histerectomía,B
¿Cuál es la localización más frecuente del embarazo ectópico no tubárico?,Cervical,Abdominal,Ovárico,Cicatriz uterina,C
"Mujer de 45 años, presenta tumor en ambos ovarios con extensión hacia el útero y trompas. ¿A qué estadío clínico 
corresponde?",I,IV,II,III,C
"Mujer de 34 años, asintomática, sin control prenatal. Se le realiza ecografía que informa: un feto de morfología conservada 
y activo de 16 semanas por biometría fetal y otro feto amorfo en el que no se evidencia el polo cefálico ni el área cardíaca. 
¿Cuál es el diagnóstico?",Secuencia de anemia-policitemia,Malformación gemelar discordante,Secuencia TRAP,Transfusión feto fetal,C
"Gestante de 8 semanas con hiporexia, náusea y vómitos matinales desde hace una semana que no han mejorado con 
las medidas dietéticas. No ha ganado peso respecto a antes del embarazo. Examen: piel con signo del pliegue negativo, 
mucosa oral parcialmente hidratada. Laboratorio: Na 136 mEq/l , K 3.8 mEq/l , Cl 99 mEq/l, TGO 25 mg/dl; examen de 
orina normal sin cuerpos cetónicos. ¿Cuál es el diagnóstico más probable?",Anorexia nervosa,Náusea y vómitos del embarazo,Hiperemesis gravídica,Hipertiroidismo subclínico,B
"Primigesta de 35 semanas, acude a control prenatal. Examen: PA 130/90 mmHg, FC 72 X', AU 32 cm, LCF 142 X'. Para 
diagnosticar pre eclampsia el índice proteína/creatinina en sangre debe ser mayor a ...",0.25,0.3,0.2,0.15,B
"Mujer de 22 años, primigesta de 11 semanas con diagnóstico de insuficiencia cardíaca congestiva clase funcional IV por 
cardiopatía congénita refractaria a tratamiento. Luego de informarle los riesgos de su gestación, se le plantea ...... para 
poder salvar su vida.",interrupción terapéutica del embarazo,aborto eugenésico,histerotomía,cesárea programada a las 36 semanas,A
"Primigesta de 32 semanas, derivada de centro de salud por PA 140/90 mmHg, asintomática. No tiene antecedentes 
personales ni familiares de hipertensión arterial. Examen: PA 130/90 mmHg, FC 78 X´. Altura uterina: 31 cm, LCF 140 X´. 
TV: no cambios cervicales, pelvis ginecoide. Laboratorio: proteinuria 300 mg/24 horas, creatinina, transaminasas y 
plaquetas normales. ¿Cuál es la conducta a seguir?",Corticoides e inducción de parto a las 48 horas,Corticoides y seguimiento estricto,Cesárea en las próximas 12 horas,Inducción de parto de inmediato,B
