questions,option_A,option_B,option_C,option_D,correct_answer
"Mujer de 66 años usuaria de corticoides y AINES, iba de pasajera en última fila de autobús, al pasar velozmente un 
rompemuelle tuvo un sobresalto sobre su asiento, quedando con lumbalgia. También refiere que ya presentaba dorsalgia 
3 meses antes del evento traumático. TC: reducción de volumen vertebral, T6 colapsada y L1 acuñada, ¿Cuál es el 
diagnóstico más probable?",Fractura traumática,Fractura por osteoporosis,Metástasis,Fractura en tallo verde,B
¿Cuál es el punto más prominente del hueso occipital?,Asterion,Opistocranion,Inion,Pterion,B
La TC craneal tiene una sensibilidad de detección de HSA cercana al ...... en las primeras horas.,100%,50%,40%,30%,A
"Niño de 15 años, con cefalea post TEC. TC de cráneo: disminución de la densidad cerebral, ventrículos laterales 
comprimidos, borramiento de los surcos superficiales y espacios subaracnoideos basales; pérdida de la interfase entre la 
sustancia blanca y la sustancia gris. ¿Cuál es el diagnóstico más probable?",Edema cerebral difuso,Lesión axonal difusa,Infarto lacunar,Aneurisma arterial,A
"Varón de 69 años, ingresa por cefalea persistente y convulsionar por primera vez. TC sin contraste: evidencia imagen 
parenquimal cerebral isodensa, con edema perilesional formando aspecto de “halo” con escaso efecto de masa, 
sospechando de secundarismo, indicamos TC con contraste en tórax, abdomen y pelvis sin hallazgo de foco neoplásico. 
¿Cuál es la neoplasia primaria más probable?",Osteosarcoma,Adenocarcinoma,Linfoma,Melanoma,D
¿Cuál es el valor objetivo de la glicemia en mg/dL en el manejo neuroquirúrgico intraoperatorio?,80 a 99,190 a 220,144 a 180,60 a 130,C
"¿Cuál es el edema cerebral que consiste en el pasaje de líquido intravascular al espacio extracelular y suele asociarse a 
tumores intraparenquimales?",Vasogénico,Neurogénico,Intersticial,Citotóxico,A
"Niño de 2 años con TEC, tiene Glasgow 9 en descenso. TC:  Hematoma epidural y fractura craneal bilateral. Se decide 
intervención quirúrgica inmediata. En sala de operaciones el soporte de Mayfield ...",debe colocarse con pines de soporte pediátrico.,debe colocarse en Pterion y suturas craneales.,se coloca a una presión de 60 lb/pulgada2.,no se debe utilizar en niños menores de 3 años.,D
"D. no se debe utilizar en niños menores de 3 años. 
 
9. El Edema Cerebral Difuso (ECD) se debe a ...... del volumen de sangre intravascular o del contenido de agua en el 
encéfalo o de ambos.",déficit,pérdida,disminución,aumento,D
"Niño de 5 años con epilepsia y déficit neurológico. RM: atrofia progresiva de un hemisferio cerebral; T2:  zonas 
hiperintensas mal definidas situadas en sustancia blanca, núcleos basales y corteza; no hay realce al contraste. ¿Cuál es 
el diagnóstico más probable?",Cisticercosis,Absceso cerebral micótico,Encefalitis de Rasmussen,Toxoplamosis,C
