questions,option_A,option_B,option_C,option_D,correct_answer
"La diarrea crónica se define con una duración de ..... semanas, con volumen de heces mayor de ...... g/Kg/día en lactantes 
y pre escolares; mayor de ..... g/día en escolares.",4/20/200,4/10/200,4/10/300,4/15/250,B
"Niño de 5 años, traído al centro de salud por presentar desde hace 5 días dolor abdominal tipo cólico y diarrea, afebril. 
Desde hace 2 días la diarrea es sanguinolenta y el dolor abdominal ha empeorado; las heces son voluminosas. Examen: 
T° 37 °C, FC 110 X', FR 22 X'; mucosas con humedad disminuida; abdomen: blando, depresible, no visceromegalia, RHA 
incrementados; resto sin alteraciones. ¿Cuál es el agente etiológico?",Shiguella,Escherichia coli productora de toxina Shiga,Escherichia coli entero invasiva,Campylobacter,B
"Adolescente de 15 años, consulta por fiebre de 7 días, decaimiento, pérdida de peso y dolor articular. Antecedentes: hace 
un año presentó cuadro similar. Examen: T° 37.8 °C, FC 100 X', FR 24 X'; aftas bucal y nasal; fondo de ojo: vasculitis 
retiniana; Tórax y CV: normales; abdomen: hepatoesplenomegalia; SOMA: tumefacción rodillas y tobillos; neurológico: 
normal. ¿Cuál es el diagnóstico más probable?",Lupus eritematoso sistémico,Artritis idiopática juvenil,Leucemia,Linfoma,A
"En el niño menor de 2 años, que está siendo evaluado por la probabilidad de asma. ¿Cuál es la prueba de función 
pulmonar más utilizada?",Compresión rápida tóraco-abdominal,Espirometría,Pletismografía,Oscilometría de impulsos,A
"Niña de 18 meses, hace una semana recibió curso de antibióticos orales por diarrea aguda infecciosa; madre consulta 
por lesiones a nivel perineal que no mejoran con cremas de óxido de zinc. Examen de región perineal: exantema 
eritematoso confluente con pústulas satélites. ¿Cuál es el tratamiento tópico de elección?",Terbinafina,Tacrolimús,Betametasona,Clotrimazol,D
¿Cuál es la complicación más frecuente de la parotiditis?,Conjuntivitis,Pancreatitis,Meningoencefalitis,Trombocitopenia,C
"La muerte cerebral en pacientes pediátricos es el cese irreversible de todas las funciones del cerebro en su conjunto, 
incluido...",el tronco encefálico.,el cerebelo.,paro cardiorespiratorio.,paraplejia.,A
"Escolar de 12 años acude a emergencia por presentar dolor abdominal intenso y alza térmica; antecedente de varicela 
hace 10 días. Examen: FC 120 X', FR 30 X', T° 39 °C, despierto, facies dolorosa, con múltiples lesiones costrosas en 
superficie corporal y huellas de rascado; abdomen: eritema marcado que abarca hipogastrio y mesogastrio con dolor 
intenso a la palpación; GU sin alteraciones. ¿Cuál es el diagnóstico más probable?",Celulitis,Apendicitis Aguda,Mionecrosis,Fascitis necrosante,D
"Niña de 2 años, presenta fiebre alta, dolor intenso de garganta, tos seca, secreción nasal. Examen: T° 39 °C, FC 130 X', 
FR 30 X'; tos seca, secreción nasal transparente, úlceras en faringe, ganglios cervicales con leve aumento de tamaño; 
resto sin anormalidades. ¿Cuál es el diagnóstico más probable?",Faringitis estreptocócica,Mononucleosis infecciosa,Faringitis herpética,Herpangina,D
¿Cuál es la consecuencia más grave de la hipernatremia severa no tratada?,Mielinólisis pontina,Epilepsia estructural,Hemorragia cerebral,Hidrocefalia comunicante,C
"Adolescente de 13 años acude solo a la Estrategia Sanitaria de Prevención y Control de ITS-VIH; el especialista indica 
prueba para tamizaje VIH. ¿Cuál es la conducta inmediata a seguir?",Tomar la prueba y luego solicitar presencia de padres/tutor,Si la prueba es positiva solicitar presencia de padres/tutor,Brindar consejería post test al adolescente,Solicitar presencia de padres/tutor previo a la prueba,D
"Niño de 5 años, conducido a emergencia por haber sufrido quemadura que ha comprometido toda la epidermis y parte 
de la dermis. ¿A qué grado de quemadura corresponde?",Primer grado,Segundo grado,Tercer grado,Indeterminado,B
¿Cuál es el tipo de leucemia más frecuente en la edad pediátrica?,mieloide aguda,mieloide crónica,linfoblástica aguda,promielocitica aguda,C
"Niño de 2 años previamente sano, es traído a emergencia por presentar tos paroxística y nausea. Examen: T° 36.5 °C, 
FR 50 X', FC 100 X', SatO2 92%; sibilantes en hemitórax derecho. ¿Cuál es el diagnóstico más probable?",Bronquiolitis,Laringotraqueítis aguda,Cuerpo extraño en vía aérea,Crisis asmática,C
"En la evaluación terciaria de una crisis hipertensiva, la primera intervención terapéutica es...",establecer la gravedad.,excluir otras causas de hipertensión.,confirmar la presión arterial elevada.,administración de hipotensores intravenosos.,C
"Niña de 13 años, desde hace dos meses debilidad en extremidades inferiores y dificultad para caminar; hace 
dos semanas se agregan náusea y vómitos. Antecedente: migraña medicada por la madre con antimigrañosos. 
Examen: fuerza muscular disminuida; sensibilidad, tono y ROT normales; cianosis intensa en pies que desaparece al 
decúbito. Laboratorio: CPK, DHL y electrolitos normales. Electromiografía normal. ¿Cuál es el diagnóstico más probable?",Somatismo,Ergotismo,Guillain Barré,Mielitis transversa,B
¿Qué espera encontrar en la dermatitis atópica?,Ampollas,Pliegues de Dennie-Morgan,Pliegue nasal transverso,Queratosis pilar,B
"Niña de 9 años, es traída por la madre para hacer evaluación del desarrollo puberal, ya que está preocupada porque ve 
a sus compañeras de colegio ""más desarrolladas"". Examen de mamas, vello púbico, genitales y corporal: etapa 1. ¿Cuál 
es la recomendación a la madre?",Esperar y control posterior,Solicitar pruebas de laboratorio,Solicitar estudios de imágenes,Hospitalización y tratamiento,A
"RN de una hora de vida, parto domiciliario, 33 semanas de EG, es llevado a emergencia. Examen: FC 180 X', FR 80 X', 
SatO2 86 %, presenta aleteo nasal, cianosis, retracciones supraesternales e intercostales, quejido audible y taquipnea. 
Rx tórax: microatelectasias homogéneas y broncogramas aéreos. ¿Cuál es el diagnóstico?",Taquipnea transitoria del recién nacido,Síndrome de dificultad respiratoria,Neumonía neonatal,Displasia broncopulmonar,B
"Adolescente de 12 años referido de Provincia con el diagnóstico de desnutrición severa, tuberculosis e HTA; refiere 
tratamiento de TB curso completo sin mejoría de síntomas respiratorios. Ampliación anamnésica: paciente con disfagia y 
pirosis, refiere coloración azulada en dedos de manos al frío, cansancio al esfuerzo físico. Examen: despierta conectada 
con entorno, dificultad para la deambulación, facie características, piel endurecida y seca a predominio de articulaciones 
metacarpofalangicas y metatarsofalangicas, úlceras en las puntas dedos de las manos. ¿Cuál es la sospecha 
diagnostica?",Esclerodermia Sistemica,Tuberculosis MDR,Desnutrición severa.,Dermatomiosistis juvenil,A
¿Cuál es el medicamento que induce o desencadena LES?,Salicilato,Minociclina,Furosemida,Fluconazol,B
"Lactante de un mes, traído a urgencias por episodios de palidez marcada intermitente, respiración muy pausada 
acompañada de flacidez de corta duración. Antecedentes de prematuridad, EG al nacer 32 semanas. Examen: FC 130 
X', FR 40 X', SatO2 98%; reactivo al estímulo táctil y succión vigorosa. Según su diagnóstico. ¿Cuál es la conducta a 
seguir?",Monitorización por 4 horas,Cobertura antibiótica,Alta y consejería a cuidadores,Hospitalización y estudio,D
"Niño de 6 años, desde hace 10 días presenta fiebre, cefalea, irritabilidad, somnolencia y malestar general; hace dos 
días vómitos. Examen: T° 38.5°, FC 100 X´, FR 24 X´, nauseoso, somnoliento, irritable, disártrico; neurológico: signos de 
Kernig (+) y Brudzinsky (+). Laboratorio: LCR: 400 leucocitos/µl a predominio de linfocitos, Proteínas 2000 mg/dl, Glucosa 
<40 mg/dl. ¿Cuál es el diagnóstico más probable?",MEC bacteriana,MEC viral,MEC TB,Meningitis eosinofílica,C
"Enfermedad sistémica, inflamatoria, febril aguda, que se manifiesta en forma de vasculitis y que afecta principalmente a 
las arterias coronarias; es la principal causa de cardiopatía adquirida en los niños en la mayoría de países desarrollados. 
¿Cuál es el diagnóstico?",Fiebre reumática,Artritis idiopática juvenil,Lupus eritematoso sistémico,Enfermedad de Kawasaki,D
"Lactante de 4 meses, es llevado a control de niño sano. Examen: Ortolani y Barlow dudosos en cadera derecha, pliegues 
simétricos. ¿Cuál es la conducta a seguir?",Solicitar radiografía,Colocar arnés de Pavlik,Solicitar ecografía,Colocar triple pañal,C
"Niño de 18 meses, presenta erupción eritematosa macular difusa que inició en cara dando aspecto de ""mejillas 
abofeteadas"", extendida al tronco y parte proximal de las extremidades y que progresivamente dan un aspecto reticulado 
en encaje, respetando palmas y plantas. ¿Cuál es el agente causal más probable?",Paramixovirus,Herpes virus 6,Herpes Zoster,Parvovirus B19,D
"Lactante de 07 meses, traída a emergencia por llanto excesivo y fiebre. Desde hace una semana presenta congestión 
nasal y tos leve. Antecedente de lactancia mixta. Examen: faringe eritematosa sin placas purulentas, en oído derecho 
membrana timpánica congestiva y abombada. ¿Cuál es el tipo de otitis que presenta?",Externa,Media crónica,Interna,Media aguda,D
"¿Cuál es la indicación para la alimentación de un recién nacido de madre con TB pulmonar en tratamiento de esquema 
sensible?",Sucedáneos de la leche materna sin protección respiratoria,Lactancia materna indirecta por extracción manual,Lactancia materna exclusiva con protección respiratoria,Inicio de alimentación complementaria,C
"Recién nacido de 4 semanas, presenta dificultad respiratoria persistente, requiriendo oxígeno suplementario con soporte 
no invasivo de presión positiva. Antecedente: nacido de 28 semanas de EG. Examen: T° 37 °C, FC 150X', FR 60 X', 
SatO2 94% (con O2); TyP: tiraje intercostal y subcostal. Rx tórax: hiperinsuflación relativa con opacidades intersticiales 
difusas y finas. ¿Cuál es el diagnóstico más probable?",Displasia broncopulmonar,Sepsis precoz,Enfermedad de membrana hialina,Neumonía neonatal,A
"Niño de 8 años traído por trauma ocular jugando futbol, presenta visión borrosa, disminución de la apertura ocular y leve 
lagrimeo. ¿Cuál es la primera posibilidad diagnóstica?",Glaucoma secundario,Retinoblastoma,Catarata traumática,Desprendimiento de retina,D
"La posibilidad de que un recién nacido de 32 a 36 semanas de EG desarrolle síndrome de dificultad respiratoria 
(enfermedad de la membrana hialina) es del...",15-30%.,60-80%.,40-50%.,<5%.,A
"Niña de 4 años, presenta intolerancia a la luz y dificultad en la visión nocturna. Examen: T° 36.5 °C, FC 80 X', FR 22 X'; 
en la membrana conjuntival se observan Manchas de Bitot; resto sin alteraciones. ¿La deficiencia de qué vitamina produce 
este cuadro?",C,B12,B6,A,D
