questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 30 años con ingesta de alcohol frecuente, presenta dolor abdominal crónico, no tiene pérdida de peso ni 
anorexia. TC abdomen: páncreas atrófico con conducto dilatado y arrosariado con calcificaciones gruesas, incremento de 
la densidad de la grasa adyacente. ¿Qué tipo de pancreatitis es más probable?",Autoinmune,Crónica,Aguda,Del surco,B
"Niña de 7 meses con masa palpable. TC: masa retroperitoneal que se extiende hacia el hilio hepático, 
muestra componentes sólidos, quísticos, grasos y calcificaciones. ¿Cuál es el diagnostico más probable?",Shwannoma,Fetus in fetus,Linfangioma quístico,Liposarcoma,B
"Mujer de 35 años con tos y fiebre. Rx de tórax: se visualiza en el lóbulo inferior derecho una opacidad consolidativa de 
contornos mal definidos con broncograma aéreo. ¿A qué patrón radiológico corresponde?",Alveolar,Reticular,Vidrio delustrado,Empedrado,A
"Paciente con síndrome coronario agudo; el estudio de coronariografía reporta: estenosis de vaso que recorre el surco 
interventricular anterior y finaliza en el ápex cardíaco. ¿Cuál es la arteria del árbol coronario a la que se hace referencia?",Descendente anterior,Coronaria derecha,Circunfleja,Interventricular posterior,A
"Paciente con antecedente de traumatismo abdominal contuso, se observa líquido libre al eco FAST. TC: 
laceración hepática grado IV del lóbulo derecho con foco de extravasación del material de contraste al hígado y peritoneo. 
¿Cuáles son los hallazgos que se observan en el parénquima hepático?",Laceración parenquimatosa <1 cm de profundidad,Laceración de 1-3 cm de profundidad y ≤10 cm de longitud,Disrupción parenquimatosa >75%,Disrupción parenquimatosa que afecta al 25-75%,D
"Varón de 60 años en controles por antecedente de hepatocarcinoma operado. RMN: en hígado nódulo de pared delgada, 
bien circunscrito; T1 basal hipointenso, T2 hiperintenso, en la fase dinámica no muestra realce y su contorno no cambia 
de forma ¿Cuál es el diagnóstico más probable?",Metástasis,Absceso,Quiste biliar,Hemangioma,C
"TC: quiste renal de paredes engrosadas con tabiques internos y nódulo interno; todos realzan al contraste. Según la 
clasificación de Bosniak. ¿A qué tipo corresponde?",IV,II,IIF,I,A
"Varón de 40 años. RMN: en la corteza cerebral y la sustancia blanca se encuentra lesión delimitada que erosiona la tabla 
interna de la calota; T1: hipointensa a intermedia; T2: hiperintensa a intermedia, con vacío de señal por calcificaciones. 
Realce heterogéneo con contraste. ¿Cuál es el diagnóstico más probable?",Ganglioneuroma,Gangliocitoma,Ganglioglioma,Oligodendroglioma,D
Para el diagnóstico de carcinoma hepatocelular. ¿Cuál es uno de los criterios mayores utilizado por el LI-RADS ?,Vena ocluida por el tumor,Hemorragia dentro de la lesión,Arquitectura en mosaico,Hiperrealce tumoral en fase arterial,D
"En Rx tórax PA; la convexidad focal entre la arteria pulmonar izquierda y el borde del ventrículo izquierdo corresponde a 
un crecimiento de...",ventrículo derecho.,aurícula derecha.,aurícula izquierda.,ventrículo izquierdo.,C
"Paciente de 40 años, con diagnóstico de luxación acromioclavicular izquierda en Rx AP de clavículas comparativas. RM: 
luxación Rockwood tipo II. ¿Cuáles son los hallazgos que se espera encontrar?",Esguince de ligamento acromioclavicular,Rotura de ligamentos acromioclavicular y coracoclaviculares,Esguince de ligamento acromioclavicular y luxación posterior de clavícula,Desgarro del ligamento acromioclavicular y esguince coracoclavicular,D
"En las fracturas vertebrales de baja energía. ¿Cuál es uno de los criterios de RMN para diagnosticar fracturas de origen 
maligno?",Patrón de edema en banda,Borde convexo,Baja señal en difusión,ADC entre 1.2 y 2 × 10−3 mm2/s,B
"En pacientes con traumatismo de pelvis de alta energía en las que se sospecha lesión del anillo posterior. ¿Cuál es la 
técnica radiológica a realizar?",Rx AP y lateral de columna,RX en proyección outlet,ANGIO TC,RMN,C
"Varón de 12 años, asintomático, madre refiere masa palpable en la rodilla. Rx y TC rodilla: en fémur distal, lesión ósea 
expansiva con continuidad cortical y medular con el hueso subyacente. ¿Cuál es el diagnóstico más probable?",Encondroma,Condroblastoma,Osteocondroma,Fibroma condromixoide,C
¿Cuál es un signo tomográfico de bronquiolitis?,Opacidad de distribución subpleural y basal,Quistes en una sola capa,Nódulos centrilobulillares con opacidad en vidrio esmerilado,Cavitación con contenido sólido,C
¿Cuál es el signo tomográfico más frecuente en un empiema pleural?,Mal definido,Vasos desplazados,Pared irregular,Esférico,B
¿Cuál es un signo tomográfico secundario de traumatismo pancreático?,Imagen lineal hipodensa intrapancreática sin realce,Aumento de la densidad de la grasa peripancreática,Imagen oval hiperdensa intrapancreática,Aumento de tamaño del páncreas,B
"Varón de 40 años, que al realizar actividad física forzada con el hombro, presenta dolor agudo, deformidad y edema 
subcutáneo. Radiografía AP: húmero desplazado inferior y medial, por debajo de la coracoides. ¿Cuál es el diagnóstico 
más probable?",Luxación glenohumeral anterior,Lesión de Hill Sachs,Lesión de Bankart,Luxación inferior pura,A
¿Cuál de los siguientes signos radiológicos de un nódulo pulmonar tiene el mayor valor predictivo positivo de malignidad?,Broncograma aéreo,Margen espiculado,Cavitación con nivel hidroaéreo,Nódulos satélites asociados,B
"Lactante varón con infecciones urinarias a repetición. Cistografía retrograda: moderada dilatación y tortuosidad del uréter 
con moderada dilatación de la pelvis renal, cálices y pérdida del ángulo del fórnix. ¿Cuál es el grado de reflujo 
vesicoureteral?",IV,I,II,V,A
En una radiografía de tórax P,Aurícula izquierda,Ventrículo derecho,Ventrículo izquierdo,Aurícula derecha,B
"Varón de 50 años con infecciones respiratorias frecuentes. TC tórax: lóbulo inferior izquierdo con lesión quística y nivel 
hidroáereo, asociado a consolidación y áreas radiolucentes. ¿Cuál es el diagnóstico más probable?",Malformación congénita de la vía áerea,Secuestro extralobar,Síndrome del pulmón hipogenético,Secuestro intralobar,D
"Varón de 4 años, presenta dolor en antebrazo derecho tras caer mientras jugaba en columpio. Padres notan edema en 
codo y limitación funcional. Rx: fractura en tercio distal del radio y luxación radiocubital. ¿Cuál es el tipo de fractura más 
probable?",Monteggia,Jefferson,Galeazzi,Bado,C
"Niño de 5 años con epilepsia y déficit neurológico. RMN: atrofia progresiva de un hemisferio cerebral. T2:  zonas 
hiperintensas mal definidas situadas en la sustancia blanca, los núcleos basales y la corteza. No hay realce al contraste. 
¿Cuál es el diagnóstico más probable?",Toxoplamosis,Absceso cerebral micótico,Cisticercosis,Encefalitis de Rasmussen,D
"Según el I-TIRADS (International Thyroid Imaging Reporting and Data System), la ecogenicidad se refiere a la reflectividad 
de los componentes sólidos no calcificados de un nódulo, en comparación con las estructuras de referencia. Un nódulo 
marcadamente hipoecogénico se compara con...",la cápsula tiroidea.,la grasa subcutánea.,los músculos anteriores del cuello.,la tiroides.,C
"Paciente con diagnóstico de leucemia mieloide aguda, cursa con fiebre y dolor pleurítico en hipocondrio izquierdo. 
Examen: esplenomegalia blanda y dolorosa. TC: bazo con múltiples lesiones mal definidas de baja atenuación menores 
a 10 mm. ¿Cuál es el diagnóstico más probable?",Sarcoidosis,Metástasis,Sarcoma de Kaposi,Microabscesos,D
"Anciana con antecedente de caída desde su propia altura, traumatismo en pélvis, presenta dolor inguinal y lumbar bajo. 
¿Cuál es la estructura anatómica con sospecha de fractura?",Fémur,Acetábulo,Coxis,Ala sacra,D
