questions,option_A,option_B,option_C,option_D,correct_answer
"Está indicado realizar una toracotomía de urgencia en un paciente con hemotórax traumático que tiene dren pleural, si el 
sangrado es más de ...... ml/h observado durante...... horas seguidas.",200 - 3,100 - 2,1000 - 3,50 - 4,A
¿Cuál es la complicación más frecuente durante la colocación de un tubo de drenaje pleural?,Absceso de pared torácica,Laceración pulmonar,Lesión de diafragma,Lesión de bronquios lobares,B
"¿Cuál es la tasa de recidiva en el neumotórax recurrente por bullas, después del fracaso del tratamiento conservador 
inicial?",50%,20-30%,25-35%,36-44%,A
"Mujer de 65 años, ingresa a emergencia con disnea severa y cianosis intensa rápidamente progresiva. Examen: MV 
abolido en HTD. Rx de tórax: radiopacidad completa del pulmón derecho. TC: tumor localizado en el bronquio principal 
derecho. ¿Qué acciones realizaría para evitar el paro respiratorio?",Braquiterapia,Quimioterapia,Hospitalización e indicar exámenes prequirúrgicos,Broncoscopía para extirpar el tumor,D
El transplante cardíaco está indicado en:,Angina intratable,Edad mayor a 65 años,Resistencia vascular pulmonar > 6 Woods,Gradiente transpulmonar > 18 mmhg,A
El diagnóstico del tórax inestable es fundamentalmente...,"radiológico, mediante una radiografía simple de tórax frontal y lateral.","imagenológico, mediante una tomografía axial computarizada sin contraste.","gasométrico, mediante la determinación de gases en sangre.","clínico, observando movimiento paradójico del segmento desprendido del resto de la pared torácica.",D
La causa más frecuente de neumotórax espontáneo primario es...,trauma torácico.,enfermedad pulmonar obstructiva crónica.,ruptura de una bula subpleural.,neoplasia pulmonar.,C
"El síndrome de cimitarra en el que se presenta un drenaje anómalo del pulmón derecho a la vena cava inferior está 
asociado a:",Comunicación interventricular,Persistencia del ductus arterioso,Comunicación interauricular,Coartación de aorta,C
El tumor del mediastino más frecuente en adultos es el...,quiste pericárdico.,linfoma.,timoma.,teratoma.,C
"Varón de 60 años, con diagnóstico de leiomiosarcoma de alto grado de malignidad bien localizado en la región pectoral 
derecha. ¿Cuánto es el mínimo de margen libre en cm que se debe dejar para disminuir la probabilidad de recidiva?",2,1,4,8,C
¿Cuáles son las características típicas del derrame pleural tuberculoso?,Tiene un pH <7.3 y glucosa elevada,Frecuentemente se presenta como un trasudado,Se puede resolver espontáneamente en 2 a 4 meses,En la mayoría se observan < 30% de linfocitos,C
"¿Qué porcentaje de todos los tumores malignos del tracto respiratorio constituyen los tumores de las vías aéreas 
superiores?",2 - 4,10,< 0.2,5 - 7.5,C
"Varón de 75 años, con tos productiva y fiebre, recibió antibioticoterapia, pero luego de 6 días empeora y presenta disnea 
y dolor torácico. Examen: taquipnea, taquicardia, matidez y ausencia del MV en mitad inferior del hemitórax 
derecho. Líquido pleural: amarillo turbio, pH 6.9, glucosa 30 mg/dL, LDH 1500 UI/L, con gérmenes gram positivos. ¿Cuál 
es su estadío?",1,3,4,2,D
"Varón de 26 años, agricultor, procedente de Apurímac, cría perros y ganado vacuno, presenta vómica hidatídica y 
hemoptisis leve desde hace 3 semanas. ¿Cuál es el signo radiológico más frecuente que esperaría encontrar?",Del camalote,Del doble arco,Del neumoperiquiste,De Monod,A
"Varón de 60 años con IMA de cara anterior, de 4 días de evolución, cursa con hipotensión, congestión pulmonar y un 
nuevo soplo holosistólico paraesternal izquierdo. ¿Qué complicación presenta?",Ruptura pared ventricular libre,Insuficiencia mitral aguda,Estenosis aórtica,CIV post infarto,D
¿Cuál es el porcentaje de supervivencia a los 10 años después de una resección de un tumor traqueal?,36-79,10-25,27-57,59-64,C
"Varón de 67 años, fumador pesado, sin antecedentes patológicos, desde hace 6 días presenta disnea leve y progresiva, 
dolor torácico en hemitórax derecho, tos seca, niega fiebre, diaforesis y baja de peso. TC: imagen cavitaria de 4 cm de 
diámetro, de paredes delgadas en el segmento 1, con parénquima pulmonar alrededor sano, además de neumotórax del 
30%. ¿Cuál es la conducta a seguir?",Cirugía de Monaldi,Resección primaria de bulla,Realizar drenaje pleural,Lobectomía superior derecha,C
¿Cuál es la vía de abordaje más utilizada en la toracotomía torácica?,Anterolateral,Axilar,Posterolateral,Bilateral,C
El defecto congénito diafragmático retroesternal anterior se conoce como la hernia de ...,Bochdalek.,Morgagni.,tipo I hiatal.,tipo II paraesofágica.,B
"Varón 63 años en PO inmediato de esternotomía media + reemplazo válvula aórtica por estenosis aórtica severa. 
Presenta en las primeras 3 horas drenaje mediastínico hemático con un volumen de 1000 mL.  Perfil coagulación normal. 
¿Cuál es el siguiente paso a seguir?",Reesternotomía exploratoria,Ecocardiograma transtorácico,Cateterismo cardiaco,TC de corazón y grandes vasos,A
¿Cuál de los tumores de la pared torácica se origina en partes blandas?,Plasmocitoma solitario,Histiocitoma fibroso maligno,Tumor de Askin,Linfoma,B
¿En qué circunstancia se realiza la metastasectomía pulmonar?,"En metástasis bilaterales con CVF de 48%, VEF1 de 1000 mL",Si presenta concomitantemente metástasis cerebral asintomática,En ausencia de enfermedad metastásica extrapulmonar distante,En metástasis aún si la factibilidad quirúrgica es adversa,C
"¿Cuál de las siguientes características debe tener un paciente para que pueda ser sometido a resección pulmonar en 
forma electiva por bronquiectasias?","Capacidad vital forzada < 40%, VEF1 < 0.6 L",Estar asintomático y con diagnóstico tomográfico reciente,Bronquiectasias difusas que comprometen ambos pulmones,La enfermedad debe ser localizada para permitir una resección anatómica,D
"Varón de 25 años, agredido con arma blanca puntiforme en el precordio, a su ingreso a emergencia presenta agitación 
psicomotriz y no tolera el decúbito. Examen: escasa salida de sangre por la herida a nivel precordial, disneico, 
taquicárdico e hipotenso, con ingurgitación yugular, pulso filiforme y RC apagados. Luego de 3 minutos presenta 
descompensación hemodinámica y bradicardia. ¿Cuál es el diagnóstico y que acción realizaría como medida heroica?","Taponamiento cardiaco traumático, se debe realizar ecocardiografía e inmediatamente toracotomía","Neumotórax a tensión en HTD, se debe realizar drenaje pleural y luego colocar un aspirador pleural","Taponamiento cardiaco traumático, realizar pericardiocentesis evacuatoria inmediatamente toracotomía","Trauma de mediastino y pericárdio abierto, se debe realizar TC de tórax y luego colocar dren mediastinal",C
La colocación de drenaje pleural bajo sello de agua está indicado en...,enfisema subcutáneo.,abscesos de pared torácica.,bulas pulmonares como profilaxis.,piotórax.,D
"Varón de 25 años que ingresa con herida punzo penetrante en región supraclavicular izquierda. Examen: FC: 120X' , FR: 
22X', PA: 90/70 mmHg; herida de 4 cm supraclavicular izquierda con sangrado activo. Se sospecha probable lesión arteria 
subclavia. ¿Cuál es el abordaje para el control proximal de la arteria?",Toracotomía izquierda,Supraclavicular,Infraclavicular,Esternotomía media,A
"Varón de 17 años, con constitución marfanoide presenta neumotórax espontáneo por bulas pulmonares, se le coloca un 
dren pleural, evoluciona con persistencia de salida de aire. Se decide colocar succión continua. ¿A qué presión en cm de 
agua debe programar el aspirador pleural?",Entre -45 a -50,Entre -4 a -5,Entre -15 a -25,Entre +5 a +15,C
¿Qué valores corresponde a un líquido pleural normal?,pH: 7.30 - 7.40,Proteinas: 10 - 20 g/ml,Leucocitos entre 2000 y 2500/ml,LDH: <10% del nivel sérico,B
"Varón de 19 años que ingresa a la unidad de trauma shock por presentar herida por PAF en región precordial.  Unidad 
de bomberos refiere paro cardiorespiratorio minutos antes de su ingreso. Examen: pupilas aún reactivas, ausencia de 
pulsos, no se ausculta ruidos cardíacos, vena yugular distendida. ¿Cuál es la conducta a seguir?",Esternotomía media,Pericardiocentesis,Ventana pericárdica subxifoidea,Toracotomía anterolateral izquierda,D
"Mujer de 18 años, con neumotórax recidivante, rechaza la pleurodesis y el tratamiento quirúrgico destinado a extirpar las 
bulas y blebs pulmonares, tiene un dren pleural derecho con lo que se logró expandir el pulmón y se indica el retiro del 
dren. ¿Qué precauciones se debe tener antes de retirarlo?",Clampar el dren pleural durante 24 horas y luego tomar radiografía del tórax,Administrar analgésicos potentes,Aplicar un parche hemático a pesar de la negativa de la paciente,Colocar válvula de Hemlich y efectivizar el alta,A
¿Cuál es la condición que predispone al adenocarcinoma de esófago?,Metaplasia esofágica,Acalasia,Hiperqueratosis palmar,Esofagitis caústica,A
El sarcoma de Ewing de la pared torácica es un tumor que proviene del...,cartílago.,tejido óseo.,tejido muscular.,tejido conectivo.,B
El Adenocarcinoma de esófago se localiza principalmente en ...,tercio medio.,la unión cricofaringea.,tercio proximal.,tercio distal.,D
"Varón de 27 años, multitratado por TB pulmonar resistente a isoniacida, rifampicina, levofloxacina y bedaquilina, 
con fracaso al tratamiento médico. TC: caverna en el lóbulo superior derecho. Es candidato a cirugía de resección 
pulmonar si cumple la siguiente condición...",lesiones cavitarias bien localizadas a 1 ó 2 lóbulos o máximo un pulmón.,cavidades que comprometen al menos 4 lóbulos pulmonares.,cavidades que comprometen un pulmón y máximo un lóbulo adicional.,pulmón destruido bilateral.,A
"Si dispone de varios calibres de drenes pleurales, ¿Cuál es el calibre más idóneo en Fr para el tratamiento del neumotórax 
en un paciente adulto?",28,14,36,38,A
"Varón de 55 años con antecedente de transplante cardíaco hace 5 años. Acude por disnea a medianos esfuerzos sin dolor 
torácico. Ecocardiograma evidencia FE de 35%. Biopsia endomiocardica es negativa. ¿Cuál es la principal sospecha 
diagnóstica?",Rechazo agudo,Vasculopatía coronaria,Linfoma,Neumonía,B
El transplante pulmonar está indicado en:,Bronquiectasia secundaria a TBC,Neoplasia maligna,Enfermedad pulmonar obstructiva crónica,Aspergilloma,C
"Mujer de 35 años, se realiza embolización de aneurisma cerebral, un día después presenta en la zona de punción inguinal 
aumento de volumen con masa pulsátil. ¿Cuál es el diagnóstico?",Linforragia,Pseudoaneurisma femoral,Fístula arteriovenosa,Trombosis femoral,B
"Varón de 25 años que ingresa por disnea y dolor torácico súbito. Examen: FC: 120X',  PA: 70/50 mmHg, hiperresonancia 
y MV abolido en HTD. ¿Cuál es el tratamiento inicial de emergencia?",Drenaje intercostal,Toracotomía exploratoria,Descompresión con aguja,Videotorascopía,C
La hernia de Bochdalek es en la mayoría de veces un defecto diafragmático ...,posterolateral derecho.,retroesternal anterior.,posterolateral izquierdo.,paraesofágico.,C
"Mujer de 39 años, acude con fiebre y malestar general. Antecedente: transplante pulmonar hace 6 meses. Rx de tórax: 
evidencia infiltrado pulmonar. ¿Cuál es la conducta a seguir?",Análisis gases arteriales,TC tórax,Prueba función pulmonar,Broncoscopía y biopsia transbronquial,D
El diagnóstico definitivo de los traumatismos traqueales contusos se hace con:,Tomografía axial computarizada,Broncoscopía,Radiografía simple de tórax,Ecografía cervical,B
"Mujer de 45 años que ingresa por disnea, dolor torácico retroesternal y fiebre. Antecedente: dos días antes ingesta 
accidental de hueso de pollo. Examen: T°: 38°C, FC: 120X', FR: 30X', PA: 100/60 mmHg. ¿Cuál es el diagnóstico más 
probable?",Neumonía,Faringoamigdalitis,Mediastinitis,Laringotraqueitis,C
"Varón de 45 años con antecedente de transplante pulmonar 12 meses antes. Ingresa por tos, disnea y deterioro progresivo 
de la función pulmonar. Estudio histológico confirma bronquiolitis obliterante. ¿Cuál es el tratamiento de elección?",Corticoides,Inmunosupresión,Antibióticos,Retransplante,D
"Mujer de 30 años que ingresa por ptosis palpebral, disfagia, disfonía, disnea y debilidad muscular generalizada. 
Laboratorio: presencia de anticuerpos contra el receptor de acetilcolina. ¿Cuál es el tratamiento de elección?",Plasmaféresis,Inmunosupresión,Timectomía,Inhibidores de la colinesterasa,C
"El índice de severidad del trauma es ampliamente utilizado y establece 4 rangos de severidad para clasificar el grado. Una 
puntuación de 16 a 24 ¿Qué grado de severidad del trauma indica?",Menor,Severo,Moderado,Muy severo,B
"El procedimiento de DRIL o ligadura de intervalo de revascularización distal se usa en los pacientes con fístula A-V 
braquial como tratamiento de:",Infección,Hemorragia,Síndrome túnel carpiano,Sindrome del robo,D
¿En qué tipo de accidentes se observa mayor incidencia de trauma cardiaco cerrado?,Accidentes automovilísticos,Caída de grandes alturas,Atropellamiento de peatones,Accidentes deportivos,A
"Varón de 35 años que ingresa por agresión con arma blanca en HTI. Examen: FV estables; herida punzopenetrante de 8 
cm aprox. a nivel 8vo EICI y línea axilar posterior. RX tórax: vísceras abdominales en tórax. ¿Cuál es el diagnóstico 
probable?",Ruptura diafragma,Eventración,Hemotórax masivo,Neumotórax a tensión,A
¿Cuál es el tumor benigno más frecuente de las vías aéreas superiores?,Tumor de células granulosas,Papiloma escamoso,Condroma,Neurofibroma,C
¿Cuál es la causa más frecuente de fallecimiento en hemoptisis masiva?,Shock hipovolémico,Asfixia por obstrucción de la vía aérea,Infarto miocardio,Arritmia cardiaca,B
¿Cuál es el factor de riesgo más frecuente para la formación de aspergiloma pulmonar?,Inmunosupresión,Hiperreactividad inmunológica,Neumonías bacterianas,Cavidades pulmonares preexistentes,D
"Varón de 55 años que ingresa por dolor torácico leve y disnea en la posición decúbito. Antecedente: caída de árbol a los 
30 años. Hemodinamicamente estable, SatO2: 92%; TC: elevación de hemidiafragma izquierdo. ¿Cuál es el diagnóstico 
probable?",Hernia diafragmática,Hernia Bochdalek,Hernia paraesofágica,Parálisis del diafragma,D
"RN de 2 días que presenta cianosis y SatO2 78 %, pulsos periféricos presentes, soplo cardíaco sistodiastólico de leve 
intensidad. ¿Cuál es la conducta a seguir?",Ecocardiograma transtorácico,TC corazón y grandes vasos,RM cardiaca,Cateterismo cardíaco,A
"La disección de aorta que empieza en la arteria subclavia y avanza distalmente, sin comprometer a la aorta ascendente 
se incluye en el tipo...",A Stanford.,I Debakey.,B Stanford.,II Debakey.,C
