questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 31 años, politraumatizado, cursa con hipotensión, taquicardia y palidez marcada, orina francamente hematúrica. 
Abdomen: distendido, doloroso, con matidez a la percusión. En la laparotomía exploratoria se encuentra hemoperitoneo 
por lesión de bazo grado III. Al explorar celda renal izquierda se encuentra laceración > a un cm de profundidad de la 
corteza renal, sin rotura del sistema colector ni extravasación de orina. De acuerdo a la clasificación de la Asociación 
Americana de Cirugía de Trauma (AAST). ¿A qué grado corresponde esta lesión?",III,I,II,V,A
¿Cuál es la estructura u órgano que se hernia con más frecuencia a través del hiato esofágico?,Bazo,Fondo gástrico,Colon,Epiplon,B
"Varón de 45 años, obeso y con diabetes mellitus no controlada; acude al servicio de urgencias por una gangrena de 
Fournier. Examen: PA: 120/60 mmHg, FC: 86X', FR: 24X'. Región anorectal: celulitis, edema y necrosis marcada con 
afectación del esfínter anal externo. ¿Qué tipo de colostomía es la más indicada?",En asa izquierda,En asa derecha,En cañon de escopeta,Bocas separadas por piel,A
"Niño de 10 años, acude por dolor testicular derecho súbito desde hace 3 horas, acompañado de náusea. Examen: 
testículo en posición alta, edematoso y muy doloroso a la palpación. Doppler testicular: disminución del flujo arterial en el 
testículo comprometido. ¿Cuál es el diagnóstico?",Epididimitis,Orquitis,Varicocele,Torsión testicular,D
"Varón de 40 años con hipoacusia y otorrea fétida. TC oído: masa centrada en el receso epitimpánico lateral asociada a 
erosión del escutum y destrucción de la cadena de los huesecillos. ¿Cuál es el diagnóstico más probable?",Colesteatoma,Otitis crónica,Otitis aguda,Glomus timpánico,A
"Paciente de 25 años, hace 3 días sufrió traumatismo punzocortante por arma blanca a nivel de 6to espacio intercostal 
derecho, por lo que se le realizó exploración local de la herida y sutura; actualmente acude por disnea severa y dolor. 
Examen: HTD timpánico y con ausencia del MV. Rx de tórax: presencia de radiolucidez del hemitórax derecho 
y desviación contralateral del mediastino. ¿Cuál es la conducta a seguir?",TC con contraste de tórax,RNM de tórax,Revisión de la sutura,Inserción de aguja o tubo,D
"RN que presenta evisceración de contenido intestinal. Examen: cordón umbilical intacto con defecto de pared a la derecha 
del mismo de 4 cm de diámetro, sin saco que cubra las vísceras abdominales. ¿Cuál es la conducta terapéutica?",Cierre quirúrgico primario,Colocación de parche protésico de Gorotex,Cubrir intestino con bolsa de plástico llena de solución salina,Cierre con colgajos cutáneos secuenciales,C
"Varón de 55 años, consulta por dolor abdominal recurrente, con presencia de tumoración en región inguinal izquierda, 
que se acentúa en la posición de pie. Examen: anillo inguinal interno dilatado, al esfuerzo se observa tumoración masiva 
que ocupa la región escrotal. ¿Cuál es el tipo de hernia de acuerdo a la clasificación de Nyhus?",III-A,III-C,III-B,IV,C
"Mujer multípara de 45 años, consulta por pesadez, molestias y cansancio en la extremidad inferior derecha, con dolor 
sordo que no suele producirse al estar recostada ni a primera hora de la mañana y empeora por la tarde cuando está de 
pie mucho tiempo, suele mejorar elevando las piernas o con soportes elásticos. Examen: dilataciones varicosas en pierna 
del lado derecho, ligeramente edematosa, piel sin cambios de coloración. ¿Cuál es el examen a solicitar?",Resonancia magnética,Tomografía,Ecografía doppler,Flebografía,C
"Varón de 70 años, acude a consulta porque hace 8 meses presenta dolor epigástrico constante que no mejora a la ingesta 
de alimentos, llenura precoz y melena. Examen: MEN, REH, adenopatía supraclavicular izquierda. Abdomen: se palpa 
masa dolorosa en epigastrio. Laboratorio: Hb: 8 g/dL. ¿Cuál es el diagnóstico más probable?",Úlcera duodenal,Tumor de Pancoast,NM gástrico,Linfoma gástrico,C
