questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 65 años con antecedente de hipertensión arterial, acude por cefalea intensa, convulsiones y edema de papila. 
Examen: PA: 190/120 mmHg. ¿Cuál es el medicamento inicial a usar?",Labetalol,Hidralazina,Nitroprusiato,Nitroglicerina,C
"Mujer de 32 años asintomática que acude por chequeo. Al examen de mama a la expresión de uno de los pezones sale 
secreción blanco lechoso. ¿Cuál es el manejo más adecuado?",Solicitar prolactina,Mamografía,Ecografía de mamas,Observación,D
¿Cuál es el sitio más frecuente de implantación del blastocisto?,Fondo uterino,Segmento inferior del útero,Cérvix uterino,Cuerno uterino,A
"Varón de 43 años, llevado a urgencias porque sufrió hace 30 minutos impacto de timón en el tórax por accidente de 
tránsito. Presenta disnea intensa, dolor torácico izquierdo, taquipnea. Examen: PA:80/40 mmHg, FC: 100X', FR: 36X'; 
cianosis distal, movimiento paradojal de la pared torácica. RX: múltiples fracturas costales izquierdas. ¿Cuál es la 
conducta más adecuada?",Colocación de catéter central,Ventilación no invasiva,Fijación costal quirúrgica,Intubación orotraqueal,D
"Varón de 27 años, acude a consulta por visión doble y caída del párpado derecho. Examen: se evidencia pupila derecha 
dilatada con incapacidad para mover el ojo hacia el lado nasal ¿Cuál es el par craneal comprometido?",VI,I,III,IV,C
"Mujer de 58 años con antecedentes de litiasis renal recurrente, presenta fiebre de 39.2 °C, vómitos y dolor lumbar 
izquierdo de 48 horas de evolución. Examen: PA: 90/60 mmHg, FC: 120X', dolor en fosa lumbar izquierda. Leucocitosis. 
Tomografía abdomino pélvica: litiasis obstructiva en uréter proximal izquierdo, dilatación del sistema pielocalicial y 
absceso perinéfrico. ¿Cuál es la intervención inicial más adecuada?",Litotricia extracorpórea y seguimiento con antibióticos,Derivación urinaria urgente con  catéter doble J y nefrostomía percutánea,Antibióticos de amplio espectro y nefrectomía diferida,Drenaje quirúrgico del absceso sin derivación urinaria,B
"Preescolar de 4 años, contacto de familiar con TB pulmonar acude a control presentando un resultado de PPD de 12 mm. 
Asintomático. Antecedentes: inmunizaciones completas. Examen físico normal. Rx de tórax sin hallazgos. ¿Cuál es el 
diagnóstico?",Reacción cruzada a BCG,Infección por Mycobacterium tuberculosis,Enfermedad por Mycobacterium tuberculosis,Exposición a Mycobacterium tuberculosis,B
"Varón de 64 años con diagnóstico de enfermedad pulmonar obstructiva crónica, ingresa a emergencia por 
descompensación. Examen: FR: 32X'. Laboratorio: pH: 7.24, PaCO2: 62 mmHg, PaO2: 55 mmHg. ¿Qué tipo de receptores 
son los más sensibles a los cambios de CO2?",Quimiorreceptores centrales bulbo raquídeo,Receptores J (yuxtacapilares),Receptores de estiramiento pulmonar,Quimiorreceptores periféricos en los cuerpos carotídeos y aórticos,A
"Varón de 38 años, gasfitero, presenta fiebre, escalofríos, cefalea frontal intensa, náusea, vómitos, dolor abdominal 
inespecífico, congestión conjuntival, mialgia intensa y fotofobia. Examen: febril, ictérico, PA: 105/75 mmHg, FC: 68 X', 
congestión conjuntival y faríngea, sensibilidad muscular, adenomegalia cervical, meningismo y hepatoesplenomegalia. 
Crepitantes en hemitórax derecho. ¿Cuál es el tratamiento indicado?",Gentamicina,Sulfametoxazol,Penicilina,Metronidazol,C
"Varón de 46 años, hace una hora sufre impacto de proyectil de arma de fuego en abdomen. Examen: PA: 60/40 mmHg, 
FC: 100X'. Pálido. Tórax: MV normal. Cardiovascular: RC disminuidos de intensidad. Abdomen: distendido, orificio en 
mesogastrio, RHA disminuidos, signo de rebote (+). ¿Cuál es la indicación inmediata?",Laparatomía exploratoria,Laparoscopía diagnóstica,Exploración de la herida,FAST,A
