questions,option_A,option_B,option_C,option_D,correct_answer
"Puérpera mediata de 33 años, acude por presentar fiebre y congestión mamaria desde hace 3 días. Se inicia cobertura 
antibiótica con dicloxacilina y compresas; luego de 72 horas de tratamiento continúa febril. Se le realiza ecografía mamaria 
y se encuentra colección de 45 mm en cuadrante supero externo de mama derecha. ¿Cuál es la conducta más adecuada?",Drenaje quirúrgico,Rotación de antibiótico,Compresas tibias,Extracción vigorosa de leche,A
El grosor endometrial alcanza casi 12 mm al momento del pico de ...,Estriol,LH,Progesterona,Inhibina,B
"En el contexto de una hemorragia obstétrica posparto por atonía, se realiza una sutura compresiva uterina tipo B-Lynch 
logrando controlar la situación con éxito. ¿Cuál de las siguientes podría ser una complicación reportada por dicho 
procedimiento?",Sinequias de la cavidad uterina,Necrosis isquémica del cérvix,Riesgo aumentado de embarazo ectópico,Aumento de tamaño del istmocele,A
"Segundigesta de 32 semanas, antecedente de cesárea hace tres años por macrosomía fetal, acude por contracciones 
uterinas cada 20 minutos desde hace 6 horas. Niega síntomas y signos de alarma. Examen: PA: 120/60 mmHg Abdomen: 
AU: 28 cm, DU: 1/10, 20"" ++; Latidos fetales: 140X'; Feto: longitudinal podálico izquierdo; Tacto vaginal: cérvix sin 
cambios. Pelvis ginecoide. ¿Cuál es la conducta a seguir?",Cesárea de emergencia,Evolución del trabajo de parto espontáneo,Tocólisis más neuroprotección,Tocólisis más corticoides,D
"Mujer de 19 años, con úlcera genital indolora e indurada, que al examen es muy poco sensible a la palpación y en la que 
no se detecta adenopatía inguinal. ¿Cuál es el diagnóstico más probable?",Sífilis,Chancroide,Herpes,Molusco contagioso,A
El antibiótico recomendado para la profilaxis en la cesárea es ..... y se debe administrar ...,ampicilina / al momento del pinzamiento del cordón umbilical.,cefalosporina de tercera generación / al momento del pinzamiento del cordón umbilical.,cefalosporina de tercera generación / 30 a 60 minutos antes de la incisión.,cefalosporina de primera generación / 30 a 60 minutos antes de la incisión.,D
"Mujer de 68 años, acude por dolor hipogástrico. Examen ginecológico: tumor de 12 x 10 cm en anexo derecho, doloroso, 
poco móvil, no signos peritoneales. TC con contraste: Tumor complejo de 15 x 12 cm. con líquido libre en cavidad 175 
cc. ¿Cuál es la conducta a seguir?",Laparoscopía diagnóstica,Ecografía abdomino pélvica,Laparatomía exploradora,Estudio de líquido ascítico,C
"Multigesta de 41 años; peso de 106 Kg, afroperuana, con dificultad para la evaluación por obesidad. La ecografía 2D 
indica placenta con inserción en cara posterior de útero y se sospecha de placenta previa. ¿Cuál de los siguientes 
exámenes podría ayudar a precisar el diagnóstico?",TC sin contraste,Ecografía 4D,RMN,Ecografía Doppler,C
La evaluación de una víctima de violencia sexual cuya vida corre riesgo incluye inicialmente...,realizar un interrogatorio exhaustivo.,recolectar evidencias de violencia sexual.,identificar lesiones serias en genitales y zonas no genitales.,consejería para uso de kits de violencia sexual.,C
"Primigesta de 32 semanas por ecografía del primer trimestre; acude a control prenatal asintomática. Examen:  AU: 27 
cm, SPP: LCI, LCF: 142X´. Ecografía: gestación única activa con ponderado fetal en percentil 2 y Doppler fetal normal. 
¿Cuál es el diagnóstico más probable?",Pequeño para la edad gestacional,Error en la edad gestacional,Restricción en el crecimiento intrauterino,Crecimiento adecuado para la edad gestacional,C
