questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuáles son las principales causas de vértebras osteoescleróticas solitarias o múltiples?,Sarcomas osteogénicos,Metástasis osteoclásticas,Esclerosis tuberosa,Enfermedad de Paget,A
"Lactante femenina de 3 meses con macrocefalia, fontanela dilatada. RM: fosa posterior dilatada, prensa de Herófilo 
elevada, vermis cerebeloso hipoplásico y rotado hacia arriba, con ausencia de surco fastigial. ¿Cuál es el diagnóstico?",Síndrome de Chiari tipo 1,Malformación de Dandy Walker,Malformación del molar,Síndrome de Chiari tipo 2,B
"Mujer de 55 años referida de Ayacucho, con atención médica precaria, acude con cefalea severa, hipertensa, 
acompañada de vómitos en varias oportunidades. Examen: anosmia del lado derecho, escotoma central con atrofia óptica 
derecha y papiledema del lado izquierdo. ¿Cuál es el diagnóstico?",Tumor del tercio medio del ala del esfenoides derecho más hipertensión endocraneana,Tumor del III ventrículo más hipertensión endocraneana,Tumor de la región selar y supraselar,Quiste aracnoideo derecho,A
"Varón de 33 años. TC: proceso expansivo el cual produce hidrocefalia obstructiva con dilatación de los ventrículos 
laterales y tercer ventrículo. Se decide procedimiento endoscópico.  ¿Cuál es el punto ideal para la III ventriculostomía?",Anterior al infundíbulo y posterior a los cuerpos mamilares,Posterior a la arteria basilar y anterior al infundíbulo,Posterior a los cuerpos mamilares y anterior al infundíbulo,"Anterior a cuerpos mamilares, anterior al tope de la basilar y por detrás del infundíbulo",D
"La hipótesis modificada de ...... establece que la suma del volumen intracraneal de la sangre, el LCR, el parénquima 
encefálico y otros componentes (p.ej. tumores, hematomas) es constante y que el aumento de uno de ellos debe estar 
compensado por una disminución de otro.",Monro-Kellie,Ramsay-Hunt,Hakim-Adams,Dandy-Walker,A
La Glasgow Coma Scale (GCS) o escala de coma de Glasgow fue diseñada en 1974 para ser aplicada en casos de:,Muerte encefálica,Tumores Cerebrales,Coma metabólico,Traumatismo craneoencefálico,D
"En la edad pediátrica, la apófisis mastoidea comienza a formarse a los ...... de vida y la neumatización se completa a 
los...",10 meses / 2 años.,5 meses / 8 meses.,2 años / 6 años.,3 años / 7 años.,C
"Varón de 75 años, refiere que hace 20 días sufrió caída de su altura. Despierta con dificultad para mover brazo y pierna 
izquierda. TC: imagen hipodensa frontoparietal derecha en forma de semiluna que desplaza línea media 6 mm y comprime 
corteza cerebral. ¿Cuál es el diagnóstico y tratamiento?",Hematoma epidural / craneotomía y evacuación del hematoma,Hematoma subdural crónico izquierdo / craneotomía y evacuación del hematoma,Hematoma subdural crónico derecho / trepanación craneal evacuatoria,Hematoma subdural agudo derecho / craneotomía y evacuación del hematoma,C
"En casos de hidrocefalia, cuando aparece en las imágenes tomográficas una hipodensidad rodeando a las astas de los 
ventrículos laterales; esto significa que la presión del líquido céfalo-raquídeo es tan alta que...",ocasiona edema vasogénico en el parénquima circundante a los ventrículos.,provoca edematización citotóxica en el parénquima alrededor de los ventrículos.,"sale a través del epéndimo, ocasionando edema subependimario.",colapsa los surcos corticales originando gran edema intersticial difuso bihemisférico.,C
"¿Cuál es una indicación para descompresión neurovascular microquirúrgica como tratamiento para la neuralgia del 
trigémino?",Pacientes que obtuvieron alivio tras la rizotomía percutánea y no volvieron a tener dolor,Pacientes con diagnóstico de esclerosis múltiple por el alto índice de respuesta,Casos resistentes a la farmacoterapia con esperanza de vida > 5 años sin factores de riesgo importantes,Casos de neuralgia con afección de tercera rama del V par craneal que desean evitar la anestesia facial,C
"La tractografía puede mostrar los componentes de las fibras de la cápsula interna en su trayecto descendente; es una 
reconstrucción que...",puede ser proyectada de una tomografía o de una resonancia.,se obtiene al fusionar los estudios de tomografía y resonancia.,se obtiene a partir de una resonancia magnética de encéfalo.,se usa exclusivamente en el intraoperatorio con microscopios de última generación.,C
"Mujer de 42 años; acude presentando cefalea, soplo occipital y acúfenos pulsátiles. Antecedente: accidente de tránsito 
hace 5 años. Angiografía cerebral: arteria occipital anómala con flujo retrogrado hacia seno sigmoideo y venas corticales. 
Según la clasificación de Cognard. ¿A qué tipo pertenece?",IIB,IV,IIA+B,IIA,C
"Varón 82 años postoperado de hematoma subdural crónico bilateral hace 2 días; acude a emergencia por presentar 
cefalea moderada, con vómitos en una ocasión y desorientado. TC: signo del monte Fuji. ¿Cuál es el diagnóstico y 
tratamiento?",Hematoma subdural agudo/ craneotomía y evacuación del hematoma urgente,Neumoencefalo / evacuación del aire por vía quirúrgica,Absceso cerebral/ cirugía y evacuación del absceso,Aerocele intracraneal / observación y oxígeno por máscara de reservorio,D
"En el abordaje suboccipital lateral, el asterión nos guía en la craneotomía para poder encontrar el punto de unión de los 
senos ......; también encontramos la ranura digástrica que corresponde a la proyección de la emergencia del ...... par.",sigmoide y transverso / VII,transverso y tórcula / VI,tórcula y transverso / VII,sigmoide y transverso / VIII,A
"Varón de 77 años traído por sus familiares reportando que hace 3 meses empezó a hablar incoherencias, se le escapa 
la orina cada vez más frecuentemente y ha empezado a caminar a pasos más cortos. Solamente por la clínica debemos 
sospechar de ....... y solicitar en primera instancia una ...",enfermedad de Alzheimer / RM.,parkinsonismo / RM.,demencia multiinfarto / TC.,síndrome de Hakim-Adams / TC.,D
Sobre las fracturas de cráneo. ¿Cuándo se considera tratamiento no quirúrgico?,"Signos de penetración dural, no hay HIC importante, hundimiento <1 cm","No signos de penetración dural, hay HIC importante, hundimiento <1 cm","No signos de penetración dural, no hay HIC importante, hundimiento <1 cm","Signos de penetración dural, no hay HIC importante, hundimiento >1 cm",C
"Varón de 35 años acude a un hospital MINSA Glasgow 14, desorientado, náuseas y vómitos. TC craneal: hematoma 
intracerebral, frontal derecho con escaso efecto de masa. Angiografía cerebral: MAV de 3.5 cm con aferente única de la 
frontopolar derecha y drenaje único a seno longitudinal superior. ¿Cuál es el tipo según la clasificación de Spetzler-Martin 
y el tratamiento ideal?",S-M 1 / tratamiento quirúrgico exéresis de la MAV,S-M 3 / embolización de la MAV,S-M 2 / tratamiento quirúrgico exéresis de la MAV,S-M 3 / radiocirugía,C
¿Qué arteria suministra la irrigación principal de la médula espinal desde D8 hasta el cono medular?,Radicular C3,Cervical profunda,De Adamkiewicz,Espinal posterior izquierda,C
Los aneurismas que mejor responden a la tercera regla de Rhoton son de la arteria ...,comunicante posterior.,cerebral media.,comunicante anterior.,coroidea.,B
¿Cuál es la patología vascular que su forma de presentación clínica puede ser por la compresión de un III nervio craneal?,Aneurisma de la arteria comunicante posterior,Angioma venoso de fosa posterior,Telangiectasia capilar en lóbulo temporal,MAV Spetzler Martin I parietal,A
"Estibador de 48 años; acude con lumbociatalgia intensa derecha llegando al maléolo interno derecho. Examen: Lasegue 
y Bragard (+); imposibilidad de dorsiflexión del tobillo y reflejo poplíteo interno alterado. RM: hernia del núcleo pulposo 
paramediana derecha. ¿Cuál es el nivel de la hernia, la raíz emergente y la raíz comprimida?",L5-S1 / S1 / L5,L3-L4 / L3 / L4,L4-L5 / L4 / L5,L5-S1 / L5 / S1,B
