questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál es una característica del albinismo oculocutáneo tirosinasa negativo?,"No pueden sintetizar melanina, tienen pelo blanco y el iris traslúcido",Es la variante incompleta y la agudeza visual es superior a 20/200,La hipoplasia foveal con ausencia de la depresión foveal es inusual,El iris puede ser azul o marrón oscuro y el fondo de ojo con hipopigmentación variable,A
"Adolescente de 14 años con ceguera de OD y visión borrosa, hiperemia y fotofobia de OI; niega síntomas sistémicos. 
Antecedente: vitrectomía OD 3 veces por desprendimiento de retina regmatógeno.  Examen: precipitados retroqueráticos 
en grasa de carnero en ambos ojos. Fondo de ojo: OD desprendimiento de retina recidivante, OI con vitritis moderada, 
infiltrados coroideos multifocales en la media periferia y desprendimiento seroso macular. ¿Cuál es el diagnóstico más 
probable?",Vogt-Koyanagi-Harada,Oftalmía simpática,Coriorretinopatía serosa central,Enfermedad de Whipple,B
¿Cuál es la capa donde se divide la retina en la retinosquisis degenerativa típica?,Plexiforme externa,Células ganglionares,Epitelio pigmentario,Fotorreceptores,A
"Varón de 20 años, con un diámetro anteroposterior del globo ocular de 30 mm. Se diagnostica un defecto refractivo 
esférico, con poder dióptrico de la córnea y cristalino dentro de rangos normales. ¿Dónde se enfocan las imágenes que 
vienen del infinito?",Detras de la retina,En la retina,Delante y detrás de la retina,Delante de la retina,D
"La sensación de flashes de luz producidos por irritación mecánica o eléctrica de la retina, las vías neurales o el cerebro, 
en ausencia de estímulos luminosos corresponde a:",Fotopsias,Fotoestimulación,Escotoma centellante,Fotoestrés,A
"¿Cuál es la enfermedad que causa ceguera nocturna estacionaria congénita, con fondo de ojo que presenta coloración 
amarilla-dorada en adaptación a la luz y que se normaliza tras una adaptación a la oscuridad prolongada?",Paget,Fabry,Krill,Oguchi,D
"Varón de 57 años, con parálisis facial izquierda, refiere dolor en OI desde hace 2 días. Examen: congestión conjuntival, 
queratitis por exposición grave en OI. ¿Cuál es la cirugía necesaria para corregir la causa?",Queratectomía,Paracentesis,Tarsorrafia,Iridoplastía,C
"¿Qué caracteriza a la artritis reactiva, también conocida como Sindrome de Reiter?","Triada clásica de uretritis inespecífica, escleritis y colitis ulcerosa","Iritis recurrente por una infección por herpes simple, con dolor y rigidez lumbar",Puede ser desencadenada por una infección por Chlamydia pneumoniae,"La presencia de úlceras genitales, estomatitis aftosa, hipopión e iritis recurrentes",C
"Varón de 50 años con visión borrosa en OI. Antecedente de dislipidemia. Campimetría: escotoma paracentral. Tomografía 
de coherencia óptica: engrosamiento macular difuso con hiperreflectividad de la capa nuclear interna y plexiforme interna, 
que desaparece a las tres semanas con atrofia posterior. La capa de células ganglionares y fibras nerviosas de la retina 
está intacta. ¿Cuál es la patología más probable?",Oclusión de la arteria oftálmica,Oclusión de la arteria central de la retina,Maculopatía aguda media paracentral,Oclusión de rama venosa de la retina,C
"¿Cuál es el tratamiento en un ojo nanoftálmico que presenta un desprendimiento ciliocoroideo seguido de 
desprendimiento de retina exudativo secundario a un síndrome de efusión uveal?",Inhibidores de la anhidrasa carbónica,Triamcinolona intravítrea,Esclerectomía de espesor total,Agentes osmóticos,C
"¿Cuál es el síndrome en el que hay una limitación de la elevación en aducción por una anomalía de la vaina del tendón 
del músculo oblicuo superior?",Duane,Von Graefe,Brown,Möbius,C
¿Cuál de los siguientes es característico del seudotumor cerebral?,Mas frecuente en varones diabéticos e hipertensos,La presión intracraneal esta normal,Mas frecuente en mujeres jóvenes obesas,Ausencia de papiledema,C
¿Cuál es una causa de miopía transitoria?,Ojo seco,Hipertensión arterial,Migraña,Hiperglicemia,D
"En relación al queratocono. ¿Cómo se denominan a las líneas de estrés muy finas y verticales en el estroma profundo de 
la córnea que desaparecen al presionar el ojo?",Vogt,Haab,Fleischer,Munson,A
