questions,option_A,option_B,option_C,option_D,correct_answer
"Neonato de 12 días, recibe LME, traído a urgencias por ictericia. Examen: FC: 120X'; FR: 30X´; T°: 37°C, ictericia hasta 
raíz de muslos; llenado capilar <2""; sensorio: activo y reactivo, succión vigorosa. Laboratorio: bilirrubina total: 18 mg/dL a 
predominio indirecta; madre es A+ y el neonato es O+. ¿Cuál es el diagnóstico más probable?",Ictericia por lactancia materna,Deficiencia de G6PD,Incompatibilidad ABO,Sepsis neonatal,A
"Según la norma técnica peruana para el manejo de la anemia en lactantes; si la suspensión del suplemento de hierro es 
mayor a 3 meses, debe...",continuar el tratamiento por 6 meses.,"iniciar un nuevo esquema, previa evaluación de hemoglobina.",continuar el tratamiento hasta los dos años.,reiniciar la indicación hasta completar el esquema previamente indicado.,B
"Varón de 9 años con dolor testicular izquierdo de 5 horas de evolución, niega síntomas urinarios. Examen: 
testículo izquierdo aumentado de volumen y horizontalizado, reflejo cremastérico negativo. Para confirmar el diagnóstico. 
¿Qué examen solicitaría?",Ecografía doppler testicular,Ecografía testicular,Resonancia magnética,Gammagrafía testicular,A
"Niño de 3 años, fue traído al centro de salud, por presentar cuadro que fue diagnosticado como otitis media aguda. Usted 
sospecha de Moraxella catarrhalis. ¿Cuál es el tratamiento de primera elección?",Ceftriaxona,Amoxicilina,Claritromicina,Amoxicilina-ácido clavulánico,D
"Adolescente de 13 años, es traída a emergencia después de un intento de suicidio, presentando vómitos, deposiciones 
líquidas, salivación excesiva, broncorrea y miosis. ¿Cuál es el tratamiento más apropiado?",Atropina,Flumazenil,Naloxona,Carbón activado,A
"Niño de 9 años con diagnóstico de cetoacidosis diabética con deshidratación moderada sin choque. Laboratorio: 
electrolitos normales. Luego de la reposición de fluidos con ClNa al 0.9%. ¿Cuál es la medida a seguir?",Bicarbonato de sodio en bolos,Insulina SC,Manitol al 20%,Insulina en infusión,D
"Adolescente de 15 años, cursa con fiebre, escalofríos y malestar general. Examen: adenopatías epitrocleares y 
axilares dolorosas y eritematosas. AP de ganglio: hiperplasia folicular, con áreas necróticas focales con neutrófilos, e 
histiocitos epitelioides formando granulomas y células gigantes multinucleadas. ¿Cuál es el diagnóstico más probable?",Mononucleosis infecciosa,Tuberculosis ganglionar,Enfermedad por arañazo de gato,Histoplasmosis,C
"¿Cuál es el marcador pronóstico cuyo valor en sangre permite monitorizar la evolución, y está asociado a mayor 
mortalidad y progresión a disfunción orgánica en sepsis?",Procalcitonina,PCR,Lactato,Glucemia,C
"Lactante varón de 5 meses, presenta un rápido crecimiento del volumen testicular. Laboratorio: AFP elevada, HCG y DHL 
normales. AP: tumor de patrón microquístico con numerosos cuerpos de Schiller-Duval. ¿Cuál es el diagnóstico?",Seminoma,Carcinoma embrionario,Tumor del saco vitelino,Coriocarcinoma,C
"Niño de 7 años referido de centro de salud por anemia refractaria al tratamiento con hierro. Examen: FC: 120X', FR: 
20X', T°: 36.7 °C. Manchas café con leche e hiperpigmentación cutánea; talla corta, pulgares y radios anormales, 
hipogonadismo, dismorfias en cabeza. ¿Cuál es el diagnóstico más probable?",Sindrome de Shawchman-Diamond,Anemia megaloblástica,Anemia de Fanconi,Anemia regenerativa,C
