questions,option_A,option_B,option_C,option_D,correct_answer
¿Hasta cuántos días se puede detectar los metabolitos de marihuana en orina?,7,14,21,28,A
"Mujer de 32 años, denunciada por golpear a las mascotas de los vecinos incluso en presencia de niños; ante los reclamos, 
insulta, amenaza con agredir a los vecinos del edificio y los culpa de perturbar la paz. Hace fiestas ruidosas en su 
departamento con consumo de alcohol y drogas; soborna o echa a los serenos diciendo: ""para eso pago mi alquiler"". 
Roba objetos que los vecinos dejan en los pasillos. Desde muy joven ha tenido problemas con la justicia e incluso ha 
robado a sus padres, negándolo aún siendo descubierta in fraganti. ¿Cuál es el trastorno más probable?",Narcisismo maligno,Personalidad disocial,Indiferencia afectiva,Control de impulsos,B
"En la esquizofrenia. ¿Cuál es el complejo sintomático que se caracteriza por un comportamiento inadecuado o necio, 
manierismos, afecto inapropiado y delusiones o alucinaciones transitorias y no sistematizadas?",Hebefrenia,Limítrofe,Escisión,Catéxica,A
¿Cómo se llama al aspecto psicosocial y experiencia subjetiva del sexo?,Identidad,Asignación,Congruencia,Género,D
"Mujer de 38 años, ingeniera civil, que debe supervisar obras en diferentes departamentos; tiene miedo intenso y 
paralizante a viajar en avión, el medio más rápido de enlace con las obras que su compañía realiza. ¿Cuál es la terapia 
más recomendable?",Realidad virtual,De esquemas,Sistémica,Psicodinámica,A
"En el retraso mental grave, el coeficiente intelectual se sitúa entre:",50 - 69,35 - 49,15 - 25,20 - 34,D
¿Cuál de los siguientes fármacos tiene mayores probabilidades de causar disfunción sexual?,Bupropión,Lurasidona,Paroxetina,Clonazepam,C
"Mujer de 22 años, universitaria, de tercio superior, que consultó por sentirse triste, desanimada y fracasada; piensa que 
es inútil como estudiante, afirmando sobre su último examen: ""como obtuve una calificación baja en mi evaluación, 
significa que estoy haciendo un mal trabajo"". ¿Cuál es la distorsión cognitiva que expresa?",Sobregeneralización,Visión en túnel,Filtro mental,Catastrofización,C
"Mujer de 42 años, casada; consulta todas las decisiones hogareñas con su esposo y su madre, por temor a equivocarse, 
aunque no le guste el resultado final; teme que su esposo la abandone porque ""con mi torpeza, no podré salir adelante"". 
Se siente frustrada por no ejercer su carrera (economía) y afirma que eso fue porque su esposo decidió que se quede a 
cargo del hogar. ¿Cuál es el trastorno de personalidad más probable?",Obsesivo,Inhibido,Dependiente,Pasivo,C
"Mujer de 51 años, soltera, retraída, secretaria; afirmó en la consulta: ""tengo una relación en secreto con Elon Musk desde 
hace años, pero no puede revelarlo para protegerme de sus enemigos; sin embargo, todos los días me declara su amor 
en mensajes en clave por periódicos y noticieros; yo le soy fiel y lo espero"". ¿Cuál es el trastorno más probable?.",Celotipia,Obnubilación,Erotomanía,Fijación,C
"Interno de psicología de 24 años, que no participa de actividades sociales ni almuerza con sus compañeros, afirma que 
""tenía que estudiar""; en su último día de internado, mientras preparaba su exposición ante el servicio, el residente notó 
que tenía rubefacción, sudor y temblor de manos. Al ver la sala llena, el interno salió con un pretexto y no regresó nunca 
más. ¿Cuál es el trastorno más probable?",Pánico,Eritrofobia,Fobia social,Adaptación,C
"Varón de 36 años; en ocasiones se viste con ropas de mujer para cumplir con sus fantasias e impulsos sexuales y como 
complemento para la masturbación y el coito. ¿Cuál es el trastorno más probable?",Voyeurismo,Sadismo sexual,Travestismo,Coprofilia,C
¿Cuál de los siguientes antidepresivos está más asociado a la aparición de malformaciones fetales?,Escitalopram,Sertralina,Fluvoxamina,Paroxetina,D
