questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál es la complicación más frecuente de la fractura del hueso navicular de la muñeca?,Necrosis avascular,Luxación,Ausencia de consolidación,Consolidación tardía,A
"Niño de 5 años con dolor en pierna post traumatismo. Radiografía de metáfisis tibial: destrucción focal de hueso cortical, 
formación de nuevo hueso perióstico y tumefacción en partes blandas. ¿Cuál es el diagnóstico más probable?",Metástasis osteoblásticas,Osteomielitis,Fractura conminuta,Osteoporosis,B
"En el estadiaje de cáncer de recto. RMN: lesión intramural con discontinuidad de la capa muscular y extensión a la fascia 
mesorrectal con una base amplia, corresponde a estadio ...",T3,T4,T1,T2,A
¿Cuál es el signo ecográfico más característico de apendicitis perforada?,Apendicolito,Grasa perientérica levemente inflamada,Apéndice no compresible,Líquido pericecal loculado,D
"Varón de 60 años, diagnosticado de VIH, con adenopatías cervicales. Rx lateral izquierda del tórax: aumento de densidad 
de partes blandas, de bordes multilobulados, que ocupan el espacio retroesternal. ¿Cuál es el diagnóstico más probable?",Linfoma,Bocio sumergido,Teratoma,Timoma,A
"Mujer de 50 años, asintomática, acude a chequeo. TC de abdomen: cúmulo de imágenes hipodensas de densidad aire, 
redondeadas u ovales menores a 10 mm, paralelas al contorno de la pared del colon izquierdo. ¿Cuál es el diagnóstico 
más probable?",Enterocolitis necrosante,Neumatosis secundaria intestinal,Enfermedad isquémica intestinal,Neumatosis primaria intestinal,D
"Varón de 20 años sufre traumatismo en región temporoparietal. TC: lesión tipo masa de alta densidad, extraxial, biconvexa 
y con configuración lenticular. ¿Cuál es el diagnóstico más probable?",Hematoma subdural,Hemorragia intracerebral,Hematoma epidural,Hemorragia subaracnoidea,C
"Varón de 48 años, dolor abdominal intenso en epigastrio y abdomen timpánico. Rx abdomen: distensión de asas 
intestinales delgadas y signo de Rigler. ¿Cuál es el diagnóstico más probable?",Pancreatitis,Colecistitis,Neumoperitoneo,Obstrucción intestinal,C
"Paciente diabético post operado de colecistectomía. Rx de abdomen: dilatación de estómago, asas intestinales delgadas 
y gruesas; múltiples niveles hidroaéreos, con aire en ampolla rectal. ¿Cuál es el diagnóstico más probable?",Suboclusión intestinal,Íleo paralítico localizado,Íleo paralítico generalizado,Obstrucción intestinal,C
"En la dominancia de las arterias coronarias, si la arteria descendente posterior depende de la circunfleja, se dice que la 
circulación coronaria presenta una dominancia ...",anterior.,derecha.,izquierda.,posterior.,C
"En una radiografía de tórax en incidencia PA técnicamente adecuada. ¿Cuál es la referencia anatómica que nos indica 
que el paciente se encuentra bien centrado?",El borde medial de las clavículas es equidistante a las apófisis transversas,El borde medial de la clavícula izquierda es equidistante a la apófisis espinosa,La apófisis espinosa es equidistante al borde medial de las clavículas,El borde medial de la clavícula derecha es equidistante a la apófisis espinosa,C
"Varón de 73 años sometido a intervención quirúrgica abdominal, con dificultad para mantener una inspiración profunda. 
Rx tórax: densidades lineales en las bases pulmonares paralelas a los diafragmas que se extienden a través de todos los 
segmentos de los lóbulos inferiores. ¿Cuál es el diagnóstico más probable?",Derrame pleural bilateral,Neumonía lobar bibasal,Atelectasias discoides,Atelectasias cicatriciales,C
"En la osteocondrosis del disco vertebral, los cambios de aumento de señal en las placas terminales en T1 y T2, con 
irregularidad de la misma en relación a sustitución de la médula ósea edematosa por infiltración grasa. ¿A 
qué clasificación de Modic corresponde?",III,I,IV,II,D
"Paciente neutropénico con fiebre por infección fúngica angioinvasiva.TC tórax: zona de vidrio deslustrado que rodea a un 
nódulo, corresponde al signo del...",halo.,patrón en empedrado.,vaso aferente.,anillo de sello.,A
"Mujer de 35 años con dolor epigástrico y pérdida de peso. TC contrastada: leve engrosamiento de la pared gástrica en la 
curvatura menor con realce de la mucosa en la fase arterial, en la fase tardía se mantiene realce de la pared; adenopatías 
regionales. ¿Cuál es el diagnóstico más probable?",Linfoma gástrico,Enfermedad de Ménétrier,Cáncer gástrico polipoide,Carcinoma escirro del estómago,D
"Mujer de 40 años, en buen estado general, refiere tos seca de larga evolución, examen físico normal. Rx de tórax PA: 
columna vertebral no visible a través de la silueta cardiaca, hemidiafragma izquierdo no visible, trama pulmonar 
acentuada. ¿Qué parámetro técnico NO es el adecuado?",Inspiración,Angulación,Penetración,Centrado,C
"El hallazgo tomográfico que consiste en la separación y captación de contraste de las hojas pleurales, constituye el signo 
de la pleura separada, que caracteriza al...",derrame pleural.,hidrotórax.,empiema.,neumotórax.,C
¿Qué estructura anatómica comprende el espacio glótico de la larínge?,Cuerdas vocales falsas,Cartílago cricoides,Cuerdas vocales verdaderas,Ventrículos de Morgagni,C
"En una radiografía de tórax lateral, la cisura menor se localiza en un plano situado a la altura de la ...",quinta vértebra dorsal.,cuarta costilla anterior.,cuarta vértebra dorsal.,cuarta costilla posterior.,B
"Paciente con diagnóstico de úlcera gástrica perforada. Rx abdomen: signos de aire libre en cavidad e imagen lineal de 
densidad de partes blandas proyectada a la derecha de la parte superior de la columna lumbar. ¿Cuál es el signo que 
caracteriza este hallazgo?",Ligamento falciforme,De la cúpula,Chilaiditi,Rigler,A
¿Cuál es la secuencia en RMN que mejor evalúa las estructuras anatómicas del útero y anexos?,T1,T2,Difusión,ADC,B
¿Qué estructura anatómica podemos evaluar en la ventana de los cinco vasos en una TC cardiaca?,El cayado aórtico,La aorta ascendente,El esófago,El tabique interventricular,C
¿Cuál es el signo ecográfico más frecuente en la Enfermedad de Crohn?,Obstrucción intestinal mecánica,Perforación intestinal,Masas inflamatorias,Engrosamiento de pared intestinal,D
¿Cuál es el método de diagnóstico por imágenes indicado ante la sospecha de isquemia mesentérica aguda?,Ecografía,Radiografía de abdomen,Angio TC,TC sin contraste,C
"Niño de 3 años con dolor abdominal intermitente tipo cólico, vómitos y masa abdominal palpable en región ileocólica. 
Ecografía abdominal: masa hipoecogénica con ecos centrales hiperecogénicos (signo de pseudo-riñón), con múltiples 
capas y anillos concéntricos. ¿Cuál es el diagnóstico más probable?",Vólvulo,Quiste mesentérico,Adenitis mesentérica,Intususcepción,D
"Paciente con diagnóstico de insuficiencia cardiaca congestiva. Rx de tórax lateral: línea radiopaca de grosor uniforme que 
se proyecta desde la quinta vertebra dorsal hasta la parte anterior del hemidiafragma a unos centímetros por detrás del 
esternón, hallazgo que representa a ...",la cisura mayor.,el hilio pulmonar.,las líneas B de Kerley.,la cisura menor.,A
¿Cuál es la causa más frecuente de nódulos pulmonares múltiples?,Procesos infecciosos,Malformaciones vasculares,Metástasis,Linfoma,C
"Varón de 60 años con dolor óseo. Rx columna lumbar:  vértebras con aumento de la densidad ósea en bandas 
horizontales en los extremos, denominado en ""jersey rayado"", con disminución de la amplitud del canal medular. ¿Cuál 
es el diagnóstico más probable?",Displasia fibrosa,Osteopetrosis,Osteogénesis imperfecta,Encondroma,B
¿Cuál es una contraindicación relativa para realizar mamografía con contraste?,Lactancia,Embarazo,Prótesis mamarias,Diabetes mellitus,D
"En una radiografía de tórax en incidencia postero anterior, técnicamente adecuada, la ausencia de angulación se 
evalúa cuando observamos que el extremo medial de la clavícula ...",se superpone a la primera costilla anterior.,se superpone a la primera costilla posterior.,es equidistante a la apófisis transversa.,es equidistante a la apófisis espinosa.,A
"Varón de 40 años con disnea y tos. Rx de tórax: aumento de separación entre los espacios intercostales, inversión del 
diafragma, opacificación de un hemitórax y desplazamiento de mediastino contralateral. ¿Cuál es el diagnóstico más 
probable?",Derrame pleural masivo,Engrosamiento pleural difuso,Derrame loculado,Calcificaciones pleurales,A
"¿Cuál es la estructura anatómica que hace signo de la silueta positivo con el corazón en una radiografía de tórax 
en incidencia lateral?",Cámara gástrica,Hemidiafragma izquierdo,Hemidiafragma derecho,Ángulo esplénico del colon,B
¿Cuál es una característica ecográfica doppler de un ganglio cervical benigno?,Presencia de varios pedículos vasculares,Desplazamiento de los vasos,Ausencia focal de perfusión,Indice de resistencia menor de 0.7,D
"En las hemorragias cerebrales transfontanelares; el aumento de la velocidad sistólica de la arteria cerebral anterior con 
oclusión y desplazamiento de las venas terminales y subependimarias. ¿A qué grado corresponde?",II,IV,III,I,A
"Según la clasificación de Bosniak. TC: quiste renal cortical hipodenso, de pared delgada que no capta contraste, sin 
componente sólido y menor de 2 cm, corresponde a:",1,3,2,4,A
¿Cuál es la utilidad de una radiografía torácica lateral en bipedestación?,Evaluación del seno costofrénico lateral,Visualizar una patología no visible en una radiografía PA,Visualizar los vasos pulmonares en toda su extensión,Diagnóstico de escoliosis dorsal,B
