questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 45 años con dolor lumbar derecho recurrente. Antecedente de coagulopatía. TC: cálculo en pelvis renal de 1.6 
cm, 1200 UH. ¿Qué procedimiento indicaría?",Ureterolitotricia láser,Litotricia extracorpórea,Nefrolitotricia percutánea,Pielolitotomía laparoscópica,A
"Mujer de 55 años con escape de orina a grandes esfuerzos. Examen: POPQ Aa +2, Ba + 2, C -6, Ap -3, Bp -3. ¿Cuál es 
el diagnóstico?",IUU + prolapso posterior grado 2,IUE + prolapso anterior grado 3,IUE + prolapso anterior grado 2,IUU + prolapso posterior grado 3,B
¿Cuál es la causa más frecuente de estenosis ureteral después del trasplante renal?,Isquemia,Rechazo de injerto,Infección por CMV,Hematuria,A
"Mujer joven sin comorbilidades con 2 días de malestar general, fiebre y dolor lumbar izquierdo. Examen: abdomen blando, 
no doloroso, puño percusión lumbar izquierda positiva. Examen de orina: piuria y microhematuria, 
hemograma: leucocitosis con desviación izquierda. ¿Cuál es el diagnóstico más probable?",Cistitis aguda,Hematoma renal,Cólico renoureteral,Pielonefritis aguda,D
¿Cuál es la hormona que estimula la espermatogénesis?,FSH,LH,Prolactina,Oxitocina,A
La ITU recurrente se define como ..... infecciones en un periodo de ..... meses.,2 / 8,2 / 12,3 / 18,2 / 6,D
"Mujer de 45 años post histerectomía laparoscópica hace 20 días, cursa con pérdida de orina por vagina. Ecografía: 
riñones y vejiga sin alteraciones. Cistoscopía sin alteraciones. ¿Qué examen solicitaría?",Ureterografía retrógrada,Ureterografía anterógrada,Tomografía con fase tardía,Resonancia magnética,C
Es un principio de la terapia antimicrobiana en las infecciones urinarias:,En insuficiencia renal se debe mantener la dosis usual de los antibióticos,La concentración del antibiótico en orina es lo más importante en la pielonefrítis aguda,La concentración del antibiótico en sangre no es importante en cistitis no complicada,La susceptibilidad antibiótica es similar entre pacientes hospitalizados y ambulatorios,C
Es una característica del CIS de vejiga:,"Es una lesión elevada, de bajo grado e invasiva",Está compuesta de urotelio poco displásico,Se considera precursora de cáncer invasivo,Es raro el desarrollo de invasión muscular,C
"Es un microorganismo perteneciente a la flora normal del introito vaginal, área periuretral y la uretra, constituyente de la 
barrera contra la colonización uropatógena.",Escherichia coli,Candida albicans,Estafilococo epidermidis,Corynebacteria diphteriae,C
